"Step","standard-16384-LR-3e-05-Tokens-1.000e+08 - losses/l1_loss","standard-16384-LR-3e-05-Tokens-1.000e+08 - losses/l1_loss__MIN","standard-16384-LR-3e-05-Tokens-1.000e+08 - losses/l1_loss__MAX","standard-16384-LR-3e-05-Tokens-5.000e+07 - losses/l1_loss","standard-16384-LR-3e-05-Tokens-5.000e+07 - losses/l1_loss__MIN","standard-16384-LR-3e-05-Tokens-5.000e+07 - losses/l1_loss__MAX","standard-16384-LR-3e-05-Tokens-2.500e+07 - losses/l1_loss","standard-16384-LR-3e-05-Tokens-2.500e+07 - losses/l1_loss__MIN","standard-16384-LR-3e-05-Tokens-2.500e+07 - losses/l1_loss__MAX","standard-16384-LR-3e-05-Tokens-1.000e+07 - losses/l1_loss","standard-16384-LR-3e-05-Tokens-1.000e+07 - losses/l1_loss__MIN","standard-16384-LR-3e-05-Tokens-1.000e+07 - losses/l1_loss__MAX","standard-16384-LR-3e-05-Tokens-5.000e+06 - losses/l1_loss","standard-16384-LR-3e-05-Tokens-5.000e+06 - losses/l1_loss__MIN","standard-16384-LR-3e-05-Tokens-5.000e+06 - losses/l1_loss__MAX","standard-16384-LR-3e-05-Tokens-1.000e+06 - losses/l1_loss","standard-16384-LR-3e-05-Tokens-1.000e+06 - losses/l1_loss__MIN","standard-16384-LR-3e-05-Tokens-1.000e+06 - losses/l1_loss__MAX"
"29","261.0890197753906","261.0890197753906","261.0890197753906","261.0890197753906","261.0890197753906","261.0890197753906","261.0890197753906","261.0890197753906","261.0890197753906","261.0890197753906","261.0890197753906","261.0890197753906","261.0890197753906","261.0890197753906","261.0890197753906","261.0890197753906","261.0890197753906","261.0890197753906"
"59","330.5917663574219","330.5917663574219","330.5917663574219","330.5917663574219","330.5917663574219","330.5917663574219","330.5917663574219","330.5917663574219","330.5917663574219","330.5917663574219","330.5917663574219","330.5917663574219","330.5917663574219","330.5917663574219","330.5917663574219","330.5917663574219","330.5917663574219","330.5917663574219"
"89","501.24261474609375","501.24261474609375","501.24261474609375","501.24261474609375","501.24261474609375","501.24261474609375","501.24261474609375","501.24261474609375","501.24261474609375","501.24261474609375","501.24261474609375","501.24261474609375","501.24261474609375","501.24261474609375","501.24261474609375","501.24261474609375","501.24261474609375","501.24261474609375"
"119","539.8318481445312","539.8318481445312","539.8318481445312","539.8318481445312","539.8318481445312","539.8318481445312","539.8318481445312","539.8318481445312","539.8318481445312","539.8318481445312","539.8318481445312","539.8318481445312","539.8318481445312","539.8318481445312","539.8318481445312","539.8318481445312","539.8318481445312","539.8318481445312"
"149","590.997314453125","590.997314453125","590.997314453125","590.997314453125","590.997314453125","590.997314453125","590.997314453125","590.997314453125","590.997314453125","590.997314453125","590.997314453125","590.997314453125","590.997314453125","590.997314453125","590.997314453125","590.997314453125","590.997314453125","590.997314453125"
"179","775.10546875","775.10546875","775.10546875","775.10546875","775.10546875","775.10546875","775.10546875","775.10546875","775.10546875","775.10546875","775.10546875","775.10546875","775.10546875","775.10546875","775.10546875","775.10546875","775.10546875","775.10546875"
"209","604.6773681640625","604.6773681640625","604.6773681640625","604.6773681640625","604.6773681640625","604.6773681640625","604.6773681640625","604.6773681640625","604.6773681640625","604.6773681640625","604.6773681640625","604.6773681640625","604.6773681640625","604.6773681640625","604.6773681640625","604.6773681640625","604.6773681640625","604.6773681640625"
"239","815.5830688476562","815.5830688476562","815.5830688476562","815.5830688476562","815.5830688476562","815.5830688476562","815.5830688476562","815.5830688476562","815.5830688476562","815.5830688476562","815.5830688476562","815.5830688476562","815.5830688476562","815.5830688476562","815.5830688476562","815.5830688476562","815.5830688476562","815.5830688476562"
"269","728.8577880859375","728.8577880859375","728.8577880859375","728.8577880859375","728.8577880859375","728.8577880859375","728.8577880859375","728.8577880859375","728.8577880859375","728.8577880859375","728.8577880859375","728.8577880859375","728.8577880859375","728.8577880859375","728.8577880859375","","",""
"299","684.7269897460938","684.7269897460938","684.7269897460938","684.7269897460938","684.7269897460938","684.7269897460938","684.7269897460938","684.7269897460938","684.7269897460938","684.7269897460938","684.7269897460938","684.7269897460938","684.7269897460938","684.7269897460938","684.7269897460938","","",""
"329","876.1860961914062","876.1860961914062","876.1860961914062","876.1860961914062","876.1860961914062","876.1860961914062","876.1860961914062","876.1860961914062","876.1860961914062","876.1860961914062","876.1860961914062","876.1860961914062","876.1860961914062","876.1860961914062","876.1860961914062","","",""
"359","709.690673828125","709.690673828125","709.690673828125","709.690673828125","709.690673828125","709.690673828125","709.690673828125","709.690673828125","709.690673828125","709.690673828125","709.690673828125","709.690673828125","709.690673828125","709.690673828125","709.690673828125","","",""
"389","1029.0474853515625","1029.0474853515625","1029.0474853515625","1029.0474853515625","1029.0474853515625","1029.0474853515625","1029.0474853515625","1029.0474853515625","1029.0474853515625","1029.0474853515625","1029.0474853515625","1029.0474853515625","1029.0474853515625","1029.0474853515625","1029.0474853515625","","",""
"419","1286.10791015625","1286.10791015625","1286.10791015625","1286.10791015625","1286.10791015625","1286.10791015625","1286.10791015625","1286.10791015625","1286.10791015625","1286.10791015625","1286.10791015625","1286.10791015625","1286.10791015625","1286.10791015625","1286.10791015625","","",""
"449","1437.083251953125","1437.083251953125","1437.083251953125","1437.083251953125","1437.083251953125","1437.083251953125","1437.083251953125","1437.083251953125","1437.083251953125","1437.083251953125","1437.083251953125","1437.083251953125","1437.083251953125","1437.083251953125","1437.083251953125","","",""
"479","1134.35009765625","1134.35009765625","1134.35009765625","1134.35009765625","1134.35009765625","1134.35009765625","1134.35009765625","1134.35009765625","1134.35009765625","1134.35009765625","1134.35009765625","1134.35009765625","1134.35009765625","1134.35009765625","1134.35009765625","","",""
"509","1200.576416015625","1200.576416015625","1200.576416015625","1200.576416015625","1200.576416015625","1200.576416015625","1200.576416015625","1200.576416015625","1200.576416015625","1200.576416015625","1200.576416015625","1200.576416015625","1200.576416015625","1200.576416015625","1200.576416015625","","",""
"539","1710.9847412109375","1710.9847412109375","1710.9847412109375","1710.9847412109375","1710.9847412109375","1710.9847412109375","1710.9847412109375","1710.9847412109375","1710.9847412109375","1710.9847412109375","1710.9847412109375","1710.9847412109375","1710.9847412109375","1710.9847412109375","1710.9847412109375","","",""
"569","1559.9637451171875","1559.9637451171875","1559.9637451171875","1559.9637451171875","1559.9637451171875","1559.9637451171875","1559.9637451171875","1559.9637451171875","1559.9637451171875","1559.9637451171875","1559.9637451171875","1559.9637451171875","1559.9637451171875","1559.9637451171875","1559.9637451171875","","",""
"599","1447.8599853515625","1447.8599853515625","1447.8599853515625","1447.8599853515625","1447.8599853515625","1447.8599853515625","1447.8599853515625","1447.8599853515625","1447.8599853515625","1447.8599853515625","1447.8599853515625","1447.8599853515625","1447.8599853515625","1447.8599853515625","1447.8599853515625","","",""
"629","1815.233154296875","1815.233154296875","1815.233154296875","1815.233154296875","1815.233154296875","1815.233154296875","1815.233154296875","1815.233154296875","1815.233154296875","1815.233154296875","1815.233154296875","1815.233154296875","1815.233154296875","1815.233154296875","1815.233154296875","","",""
"659","1853.695068359375","1853.695068359375","1853.695068359375","1853.695068359375","1853.695068359375","1853.695068359375","1853.695068359375","1853.695068359375","1853.695068359375","1853.695068359375","1853.695068359375","1853.695068359375","1853.695068359375","1853.695068359375","1853.695068359375","","",""
"689","2272.228515625","2272.228515625","2272.228515625","2272.228515625","2272.228515625","2272.228515625","2272.228515625","2272.228515625","2272.228515625","2272.228515625","2272.228515625","2272.228515625","2272.228515625","2272.228515625","2272.228515625","","",""
"719","2036.126953125","2036.126953125","2036.126953125","2036.126953125","2036.126953125","2036.126953125","2036.126953125","2036.126953125","2036.126953125","2036.126953125","2036.126953125","2036.126953125","2036.126953125","2036.126953125","2036.126953125","","",""
"749","1878.1263427734375","1878.1263427734375","1878.1263427734375","1878.1263427734375","1878.1263427734375","1878.1263427734375","1878.1263427734375","1878.1263427734375","1878.1263427734375","1878.1263427734375","1878.1263427734375","1878.1263427734375","1878.1263427734375","1878.1263427734375","1878.1263427734375","","",""
"779","1716.89111328125","1716.89111328125","1716.89111328125","1716.89111328125","1716.89111328125","1716.89111328125","1716.89111328125","1716.89111328125","1716.89111328125","1716.89111328125","1716.89111328125","1716.89111328125","1716.89111328125","1716.89111328125","1716.89111328125","","",""
"809","1796.88525390625","1796.88525390625","1796.88525390625","1796.88525390625","1796.88525390625","1796.88525390625","1796.88525390625","1796.88525390625","1796.88525390625","1796.88525390625","1796.88525390625","1796.88525390625","1796.88525390625","1796.88525390625","1796.88525390625","","",""
"839","2103.697265625","2103.697265625","2103.697265625","2103.697265625","2103.697265625","2103.697265625","2103.697265625","2103.697265625","2103.697265625","2103.697265625","2103.697265625","2103.697265625","2103.697265625","2103.697265625","2103.697265625","","",""
"869","2289.091064453125","2289.091064453125","2289.091064453125","2289.091064453125","2289.091064453125","2289.091064453125","2289.091064453125","2289.091064453125","2289.091064453125","2289.091064453125","2289.091064453125","2289.091064453125","2289.091064453125","2289.091064453125","2289.091064453125","","",""
"899","2426.83251953125","2426.83251953125","2426.83251953125","2426.83251953125","2426.83251953125","2426.83251953125","2426.83251953125","2426.83251953125","2426.83251953125","2426.83251953125","2426.83251953125","2426.83251953125","2426.83251953125","2426.83251953125","2426.83251953125","","",""
"929","2254.50341796875","2254.50341796875","2254.50341796875","2254.50341796875","2254.50341796875","2254.50341796875","2254.50341796875","2254.50341796875","2254.50341796875","2254.50341796875","2254.50341796875","2254.50341796875","2254.50341796875","2254.50341796875","2254.50341796875","","",""
"959","2268.65966796875","2268.65966796875","2268.65966796875","2268.65966796875","2268.65966796875","2268.65966796875","2268.65966796875","2268.65966796875","2268.65966796875","2268.65966796875","2268.65966796875","2268.65966796875","2268.65966796875","2268.65966796875","2268.65966796875","","",""
"989","2286.51318359375","2286.51318359375","2286.51318359375","2286.51318359375","2286.51318359375","2286.51318359375","2286.51318359375","2286.51318359375","2286.51318359375","2286.51318359375","2286.51318359375","2286.51318359375","2286.51318359375","2286.51318359375","2286.51318359375","","",""
"1019","2530.855712890625","2530.855712890625","2530.855712890625","2530.855712890625","2530.855712890625","2530.855712890625","2530.855712890625","2530.855712890625","2530.855712890625","2530.855712890625","2530.855712890625","2530.855712890625","2530.855712890625","2530.855712890625","2530.855712890625","","",""
