"Step","standard-16384-LR-3e-05-Tokens-1.000e+08 - losses/mse_loss","standard-16384-LR-3e-05-Tokens-1.000e+08 - losses/mse_loss__MIN","standard-16384-LR-3e-05-Tokens-1.000e+08 - losses/mse_loss__MAX","standard-16384-LR-3e-05-Tokens-5.000e+07 - losses/mse_loss","standard-16384-LR-3e-05-Tokens-5.000e+07 - losses/mse_loss__MIN","standard-16384-LR-3e-05-Tokens-5.000e+07 - losses/mse_loss__MAX","standard-16384-LR-3e-05-Tokens-2.500e+07 - losses/mse_loss","standard-16384-LR-3e-05-Tokens-2.500e+07 - losses/mse_loss__MIN","standard-16384-LR-3e-05-Tokens-2.500e+07 - losses/mse_loss__MAX","standard-16384-LR-3e-05-Tokens-1.000e+07 - losses/mse_loss","standard-16384-LR-3e-05-Tokens-1.000e+07 - losses/mse_loss__MIN","standard-16384-LR-3e-05-Tokens-1.000e+07 - losses/mse_loss__MAX","standard-16384-LR-3e-05-Tokens-5.000e+06 - losses/mse_loss","standard-16384-LR-3e-05-Tokens-5.000e+06 - losses/mse_loss__MIN","standard-16384-LR-3e-05-Tokens-5.000e+06 - losses/mse_loss__MAX","standard-16384-LR-3e-05-Tokens-1.000e+06 - losses/mse_loss","standard-16384-LR-3e-05-Tokens-1.000e+06 - losses/mse_loss__MIN","standard-16384-LR-3e-05-Tokens-1.000e+06 - losses/mse_loss__MAX"
"29","1717908.75","1717908.75","1717908.75","1717908.75","1717908.75","1717908.75","1717908.75","1717908.75","1717908.75","1717908.75","1717908.75","1717908.75","1717908.75","1717908.75","1717908.75","1717908.75","1717908.75","1717908.75"
"59","1833833.125","1833833.125","1833833.125","1833833.125","1833833.125","1833833.125","1833833.125","1833833.125","1833833.125","1833833.125","1833833.125","1833833.125","1833833.125","1833833.125","1833833.125","1833833.125","1833833.125","1833833.125"
"89","2443547","2443547","2443547","2443547","2443547","2443547","2443547","2443547","2443547","2443547","2443547","2443547","2443547","2443547","2443547","2443547","2443547","2443547"
"119","2142516","2142516","2142516","2142516","2142516","2142516","2142516","2142516","2142516","2142516","2142516","2142516","2142516","2142516","2142516","2117756.4375","2092996.875","2142516"
"149","1953026.75","1953026.75","1953026.75","1953026.75","1953026.75","1953026.75","1953026.75","1953026.75","1953026.75","1953026.75","1953026.75","1953026.75","1953026.75","1953026.75","1953026.75","1563590.3125","1174153.875","1953026.75"
"179","2257625","2257625","2257625","2257625","2257625","2257625","2257625","2257625","2257625","2257625","2257625","2257625","2257625","2257625","2257625","1751048.75","1244472.5","2257625"
"209","1364592","1364592","1364592","1364592","1364592","1364592","1364592","1364592","1364592","1364592","1364592","1364592","1364592","1364592","1364592","1191182","1017772","1364592"
"239","1683467.25","1683467.25","1683467.25","1683467.25","1683467.25","1683467.25","1683467.25","1683467.25","1683467.25","1683467.25","1683467.25","1683467.25","1683467.25","1683467.25","1683467.25","1428251.5625","1173035.875","1683467.25"
"269","1188572.5","1188572.5","1188572.5","1188572.5","1188572.5","1188572.5","1188572.5","1188572.5","1188572.5","1188572.5","1188572.5","1188572.5","1188572.5","1188572.5","1188572.5","","",""
"299","970826","970826","970826","970826","970826","970826","970826","970826","970826","970826","970826","970826","970826","970826","970826","","",""
"329","1158872.75","1158872.75","1158872.75","1158872.75","1158872.75","1158872.75","1158872.75","1158872.75","1158872.75","1158872.75","1158872.75","1158872.75","1158872.75","1158872.75","1158872.75","","",""
"359","772717.625","772717.625","772717.625","772717.625","772717.625","772717.625","772717.625","772717.625","772717.625","772717.625","772717.625","772717.625","772717.625","772717.625","772717.625","","",""
"389","1012302.4375","1012302.4375","1012302.4375","1012302.4375","1012302.4375","1012302.4375","1012302.4375","1012302.4375","1012302.4375","1012302.4375","1012302.4375","1012302.4375","1012302.4375","1012302.4375","1012302.4375","","",""
"419","1153799.625","1153799.625","1153799.625","1153799.625","1153799.625","1153799.625","1153799.625","1153799.625","1153799.625","1153799.625","1153799.625","1153799.625","1153799.625","1153799.625","1153799.625","","",""
"449","1072491.625","1072491.625","1072491.625","1072491.625","1072491.625","1072491.625","1072491.625","1072491.625","1072491.625","1072491.625","1072491.625","1072491.625","1072491.625","1072491.625","1072491.625","","",""
"479","711851.875","711851.875","711851.875","711851.875","711851.875","711851.875","711851.875","711851.875","711851.875","711851.875","711851.875","711851.875","711851.875","711851.875","711851.875","","",""
"509","649585.875","649585.875","649585.875","649585.875","649585.875","649585.875","649585.875","649585.875","649585.875","649585.875","649585.875","649585.875","649585.875","649585.875","649585.875","","",""
"539","817517.75","817517.75","817517.75","817517.75","817517.75","817517.75","817517.75","817517.75","817517.75","817517.75","817517.75","817517.75","817517.75","817517.75","817517.75","","",""
"569","600981.25","600981.25","600981.25","600981.25","600981.25","600981.25","600981.25","600981.25","600981.25","600981.25","600981.25","600981.25","600981.25","600981.25","600981.25","","",""
"599","449414.0625","449414.0625","449414.0625","449414.0625","449414.0625","449414.0625","449414.0625","449414.0625","449414.0625","449414.0625","449414.0625","449414.0625","449414.0625","449414.0625","449414.0625","","",""
"629","490085.3125","490085.3125","490085.3125","490085.3125","490085.3125","490085.3125","490085.3125","490085.3125","490085.3125","490085.3125","490085.3125","490085.3125","490085.3125","490085.3125","490085.3125","","",""
"659","395539.625","395539.625","395539.625","395539.625","395539.625","395539.625","395539.625","395539.625","395539.625","395539.625","395539.625","395539.625","395539.625","395539.625","395539.625","","",""
"689","408425.6875","408425.6875","408425.6875","408425.6875","408425.6875","408425.6875","408425.6875","408425.6875","408425.6875","408425.6875","408425.6875","408425.6875","408425.6875","408425.6875","408425.6875","","",""
"719","276966.9375","276966.9375","276966.9375","276966.9375","276966.9375","276966.9375","276966.9375","276966.9375","276966.9375","276966.9375","276966.9375","276966.9375","276966.9375","276966.9375","276966.9375","","",""
"749","201019.75","201019.75","201019.75","201019.75","201019.75","201019.75","201019.75","201019.75","201019.75","201019.75","201019.75","201019.75","201019.75","201019.75","201019.75","","",""
"779","127916.453125","127916.453125","127916.453125","127916.453125","127916.453125","127916.453125","127916.453125","127916.453125","127916.453125","127916.453125","127916.453125","127916.453125","127916.453125","127916.453125","127916.453125","","",""
"809","95845.515625","95845.515625","95845.515625","95845.515625","95845.515625","95845.515625","95845.515625","95845.515625","95845.515625","95845.515625","95845.515625","95845.515625","95845.515625","95845.515625","95845.515625","","",""
"839","77244.21875","77244.21875","77244.21875","77244.21875","77244.21875","77244.21875","77244.21875","77244.21875","77244.21875","77244.21875","77244.21875","77244.21875","77244.21875","77244.21875","77244.21875","","",""
"869","53983.734375","53983.734375","53983.734375","53983.734375","53983.734375","53983.734375","53983.734375","53983.734375","53983.734375","53983.734375","53983.734375","53983.734375","53983.734375","53983.734375","53983.734375","","",""
"899","34474.5625","34474.5625","34474.5625","34474.5625","34474.5625","34474.5625","34474.5625","34474.5625","34474.5625","34474.5625","34474.5625","34474.5625","34474.5625","34474.5625","34474.5625","","",""
"929","16905.517578125","16905.517578125","16905.517578125","16905.517578125","16905.517578125","16905.517578125","16905.517578125","16905.517578125","16905.517578125","16905.517578125","16905.517578125","16905.517578125","16905.517578125","16905.517578125","16905.517578125","","",""
"959","8163.21630859375","8163.21630859375","8163.21630859375","8163.21630859375","8163.21630859375","8163.21630859375","8163.21630859375","8163.21630859375","8163.21630859375","8163.21630859375","8163.21630859375","8163.21630859375","8163.21630859375","8163.21630859375","8163.21630859375","","",""
"989","3809.055419921875","3809.055419921875","3809.055419921875","3809.055419921875","3809.055419921875","3809.055419921875","3809.055419921875","3809.055419921875","3809.055419921875","3809.055419921875","3809.055419921875","3809.055419921875","3809.055419921875","3809.055419921875","3809.055419921875","","",""
"1019","3271.9658203125","3271.9658203125","3271.9658203125","3271.9658203125","3271.9658203125","3271.9658203125","3271.9658203125","3271.9658203125","3271.9658203125","3271.9658203125","3271.9658203125","3271.9658203125","3271.9658203125","3271.9658203125","3271.9658203125","","",""
