"Step","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - sparsity.l1","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - sparsity.l1__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - sparsity.l1__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - sparsity.l1","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - sparsity.l1__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - sparsity.l1__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - sparsity.l1","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - sparsity.l1__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - sparsity.l1__MAX","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - sparsity.l1","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - sparsity.l1__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - sparsity.l1__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - sparsity.l1","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - sparsity.l1__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - sparsity.l1__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - sparsity.l1","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - sparsity.l1__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - sparsity.l1__MAX"
"599","897.0432739257812","897.0432739257812","897.0432739257812","399.2050476074219","399.2050476074219","399.2050476074219","565.5180053710938","565.5180053710938","565.5180053710938","894.0812377929688","894.0812377929688","894.0812377929688","395.616943359375","395.616943359375","395.616943359375","561.3865966796875","561.3865966796875","561.3865966796875"
"1199","723.3724975585938","723.3724975585938","723.3724975585938","368.60504150390625","368.60504150390625","368.60504150390625","464.5630798339844","464.5630798339844","464.5630798339844","718.6798095703125","718.6798095703125","718.6798095703125","365.43951416015625","365.43951416015625","365.43951416015625","461.9975280761719","461.9975280761719","461.9975280761719"
"1799","614.7197875976562","614.7197875976562","614.7197875976562","346.9163818359375","346.9163818359375","346.9163818359375","388.37091064453125","388.37091064453125","388.37091064453125","609.4119262695312","609.4119262695312","609.4119262695312","343.3996276855469","343.3996276855469","343.3996276855469","386.9747009277344","386.9747009277344","386.9747009277344"
"2399","563.5892944335938","563.5892944335938","563.5892944335938","317.8968200683594","317.8968200683594","317.8968200683594","328.2755432128906","328.2755432128906","328.2755432128906","556.337646484375","556.337646484375","556.337646484375","314.4754333496094","314.4754333496094","314.4754333496094","327.5895690917969","327.5895690917969","327.5895690917969"
"2999","476.8798828125","476.8798828125","476.8798828125","291.797607421875","291.797607421875","291.797607421875","288.7618103027344","288.7618103027344","288.7618103027344","469.20263671875","469.20263671875","469.20263671875","288.39385986328125","288.39385986328125","288.39385986328125","287.072998046875","287.072998046875","287.072998046875"
"3599","433.5436706542969","433.5436706542969","433.5436706542969","275.5956726074219","275.5956726074219","275.5956726074219","258.3634338378906","258.3634338378906","258.3634338378906","424.8506774902344","424.8506774902344","424.8506774902344","272.3902587890625","272.3902587890625","272.3902587890625","256.061279296875","256.061279296875","256.061279296875"
"4199","388.71630859375","388.71630859375","388.71630859375","257.01422119140625","257.01422119140625","257.01422119140625","237.4627227783203","237.4627227783203","237.4627227783203","380.18951416015625","380.18951416015625","380.18951416015625","254.219970703125","254.219970703125","254.219970703125","234.8312225341797","234.8312225341797","234.8312225341797"
"4799","372.4418640136719","372.4418640136719","372.4418640136719","245.4392547607422","245.4392547607422","245.4392547607422","221.0338134765625","221.0338134765625","221.0338134765625","362.858642578125","362.858642578125","362.858642578125","242.6824188232422","242.6824188232422","242.6824188232422","218.4681396484375","218.4681396484375","218.4681396484375"
"5399","335.7395935058594","335.7395935058594","335.7395935058594","239.9189453125","239.9189453125","239.9189453125","209.6142120361328","209.6142120361328","209.6142120361328","326.41888427734375","326.41888427734375","326.41888427734375","236.9772186279297","236.9772186279297","236.9772186279297","206.95303344726562","206.95303344726562","206.95303344726562"
"5999","325.33349609375","325.33349609375","325.33349609375","229.5243682861328","229.5243682861328","229.5243682861328","198.83758544921875","198.83758544921875","198.83758544921875","314.8136901855469","314.8136901855469","314.8136901855469","227.0462646484375","227.0462646484375","227.0462646484375","196.52854919433594","196.52854919433594","196.52854919433594"
