"Step","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - losses/mse_loss","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - losses/mse_loss__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - losses/mse_loss__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - losses/mse_loss","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - losses/mse_loss__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - losses/mse_loss__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - losses/mse_loss","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - losses/mse_loss__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - losses/mse_loss__MAX","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - losses/mse_loss","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - losses/mse_loss__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - losses/mse_loss__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - losses/mse_loss","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - losses/mse_loss__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - losses/mse_loss__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - losses/mse_loss","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - losses/mse_loss__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - losses/mse_loss__MAX"
"29","2069.922607421875","2069.922607421875","2069.922607421875","230.02757263183594","230.02757263183594","230.02757263183594","430.96136474609375","430.96136474609375","430.96136474609375","2081.66943359375","2081.66943359375","2081.66943359375","229.7701873779297","229.7701873779297","229.7701873779297","432.7445983886719","432.7445983886719","432.7445983886719"
"59","935.9659423828125","935.9659423828125","935.9659423828125","170.84848022460938","170.84848022460938","170.84848022460938","241.10446166992188","241.10446166992188","241.10446166992188","935.5443725585938","935.5443725585938","935.5443725585938","170.10409545898438","170.10409545898438","170.10409545898438","242.62646484375","242.62646484375","242.62646484375"
"89","690.1359252929688","690.1359252929688","690.1359252929688","159.83477783203125","159.83477783203125","159.83477783203125","246.5542449951172","246.5542449951172","246.5542449951172","687.8034057617188","687.8034057617188","687.8034057617188","160.4587860107422","160.4587860107422","160.4587860107422","247.7490997314453","247.7490997314453","247.7490997314453"
"119","670.1898803710938","670.1898803710938","670.1898803710938","157.16696166992188","157.16696166992188","157.16696166992188","237.7427215576172","237.7427215576172","237.7427215576172","667.5430297851562","667.5430297851562","667.5430297851562","156.81581115722656","156.81581115722656","156.81581115722656","239.19552612304688","239.19552612304688","239.19552612304688"
"149","599.6693725585938","599.6693725585938","599.6693725585938","205.4089813232422","205.4089813232422","205.4089813232422","285.1502990722656","285.1502990722656","285.1502990722656","597.3613891601562","597.3613891601562","597.3613891601562","212.60467529296875","212.60467529296875","212.60467529296875","291.6477355957031","291.6477355957031","291.6477355957031"
"179","532.721923828125","532.721923828125","532.721923828125","173.8591766357422","173.8591766357422","173.8591766357422","227.2615966796875","227.2615966796875","227.2615966796875","530.7800903320312","530.7800903320312","530.7800903320312","182.04966735839844","182.04966735839844","182.04966735839844","232.64971923828125","232.64971923828125","232.64971923828125"
"209","496.75286865234375","496.75286865234375","496.75286865234375","118.0279541015625","118.0279541015625","118.0279541015625","138.966064453125","138.966064453125","138.966064453125","494.6058044433594","494.6058044433594","494.6058044433594","117.85902404785156","117.85902404785156","117.85902404785156","137.8502655029297","137.8502655029297","137.8502655029297"
"239","510.49078369140625","510.49078369140625","510.49078369140625","120.68502044677734","120.68502044677734","120.68502044677734","124.34371185302734","124.34371185302734","124.34371185302734","508.8321838378906","508.8321838378906","508.8321838378906","120.57521057128906","120.57521057128906","120.57521057128906","123.72284698486328","123.72284698486328","123.72284698486328"
"269","454.91357421875","454.91357421875","454.91357421875","114.78208923339844","114.78208923339844","114.78208923339844","96.5919189453125","96.5919189453125","96.5919189453125","453.15185546875","453.15185546875","453.15185546875","114.40019226074219","114.40019226074219","114.40019226074219","95.34264373779297","95.34264373779297","95.34264373779297"
"299","504.14349365234375","504.14349365234375","504.14349365234375","124.59843444824219","124.59843444824219","124.59843444824219","147.71731567382812","147.71731567382812","147.71731567382812","501.9280090332031","501.9280090332031","501.9280090332031","124.24976348876953","124.24976348876953","124.24976348876953","146.73989868164062","146.73989868164062","146.73989868164062"
"329","285.712158203125","285.712158203125","285.712158203125","204.1463623046875","204.1463623046875","204.1463623046875","150.80728149414062","150.80728149414062","150.80728149414062","284.7481689453125","284.7481689453125","284.7481689453125","202.2535858154297","202.2535858154297","202.2535858154297","150.4532470703125","150.4532470703125","150.4532470703125"
"359","242.8316192626953","242.8316192626953","242.8316192626953","156.4186248779297","156.4186248779297","156.4186248779297","106.49823760986328","106.49823760986328","106.49823760986328","241.9732208251953","241.9732208251953","241.9732208251953","154.9423370361328","154.9423370361328","154.9423370361328","106.39892578125","106.39892578125","106.39892578125"
"389","270.9562072753906","270.9562072753906","270.9562072753906","172.81979370117188","172.81979370117188","172.81979370117188","104.93457794189453","104.93457794189453","104.93457794189453","270.32440185546875","270.32440185546875","270.32440185546875","172.25830078125","172.25830078125","172.25830078125","104.92070007324219","104.92070007324219","104.92070007324219"
"419","288.91766357421875","288.91766357421875","288.91766357421875","175.87335205078125","175.87335205078125","175.87335205078125","105.99835968017578","105.99835968017578","105.99835968017578","288.5977478027344","288.5977478027344","288.5977478027344","173.7069091796875","173.7069091796875","173.7069091796875","105.54729461669922","105.54729461669922","105.54729461669922"
"449","283.8716735839844","283.8716735839844","283.8716735839844","155.88790893554688","155.88790893554688","155.88790893554688","91.09546661376953","91.09546661376953","91.09546661376953","283.1617431640625","283.1617431640625","283.1617431640625","154.7213897705078","154.7213897705078","154.7213897705078","90.75911712646484","90.75911712646484","90.75911712646484"
"479","304.2047119140625","304.2047119140625","304.2047119140625","171.29710388183594","171.29710388183594","171.29710388183594","120.45948791503906","120.45948791503906","120.45948791503906","303.38006591796875","303.38006591796875","303.38006591796875","169.79379272460938","169.79379272460938","169.79379272460938","120.3623046875","120.3623046875","120.3623046875"
"509","239.08409118652344","239.08409118652344","239.08409118652344","149.69189453125","149.69189453125","149.69189453125","77.6107406616211","77.6107406616211","77.6107406616211","238.597412109375","238.597412109375","238.597412109375","149.07447814941406","149.07447814941406","149.07447814941406","77.6880874633789","77.6880874633789","77.6880874633789"
"539","239.35435485839844","239.35435485839844","239.35435485839844","152.10433959960938","152.10433959960938","152.10433959960938","91.96369934082031","91.96369934082031","91.96369934082031","238.49501037597656","238.49501037597656","238.49501037597656","151.5363311767578","151.5363311767578","151.5363311767578","91.81019592285156","91.81019592285156","91.81019592285156"
"569","257.5285339355469","257.5285339355469","257.5285339355469","135.608154296875","135.608154296875","135.608154296875","70.02965545654297","70.02965545654297","70.02965545654297","257.083984375","257.083984375","257.083984375","133.91253662109375","133.91253662109375","133.91253662109375","69.79717254638672","69.79717254638672","69.79717254638672"
"599","235.183349609375","235.183349609375","235.183349609375","153.54830932617188","153.54830932617188","153.54830932617188","95.78302764892578","95.78302764892578","95.78302764892578","234.53355407714844","234.53355407714844","234.53355407714844","152.14601135253906","152.14601135253906","152.14601135253906","95.93537139892578","95.93537139892578","95.93537139892578"
"629","254.34426879882812","254.34426879882812","254.34426879882812","157.74169921875","157.74169921875","157.74169921875","77.88052368164062","77.88052368164062","77.88052368164062","253.97262573242188","253.97262573242188","253.97262573242188","156.25247192382812","156.25247192382812","156.25247192382812","77.60089111328125","77.60089111328125","77.60089111328125"
"659","214.18276977539062","214.18276977539062","214.18276977539062","178.56886291503906","178.56886291503906","178.56886291503906","75.39090728759766","75.39090728759766","75.39090728759766","213.8213653564453","213.8213653564453","213.8213653564453","176.9827117919922","176.9827117919922","176.9827117919922","75.058837890625","75.058837890625","75.058837890625"
"689","214.9031982421875","214.9031982421875","214.9031982421875","167.03041076660156","167.03041076660156","167.03041076660156","78.4833984375","78.4833984375","78.4833984375","214.32254028320312","214.32254028320312","214.32254028320312","165.2997589111328","165.2997589111328","165.2997589111328","78.21370697021484","78.21370697021484","78.21370697021484"
"719","196.11915588378906","196.11915588378906","196.11915588378906","150.30746459960938","150.30746459960938","150.30746459960938","77.27235412597656","77.27235412597656","77.27235412597656","195.8371124267578","195.8371124267578","195.8371124267578","148.39999389648438","148.39999389648438","148.39999389648438","77.0584716796875","77.0584716796875","77.0584716796875"
"749","199.9799346923828","199.9799346923828","199.9799346923828","149.0223846435547","149.0223846435547","149.0223846435547","82.63658905029297","82.63658905029297","82.63658905029297","199.3222198486328","199.3222198486328","199.3222198486328","147.66641235351562","147.66641235351562","147.66641235351562","82.74809265136719","82.74809265136719","82.74809265136719"
"779","198.8795623779297","198.8795623779297","198.8795623779297","161.758544921875","161.758544921875","161.758544921875","90.99810028076172","90.99810028076172","90.99810028076172","198.36453247070312","198.36453247070312","198.36453247070312","159.96498107910156","159.96498107910156","159.96498107910156","90.70491790771484","90.70491790771484","90.70491790771484"
"809","233.53530883789062","233.53530883789062","233.53530883789062","172.62147521972656","172.62147521972656","172.62147521972656","84.47887420654297","84.47887420654297","84.47887420654297","232.91131591796875","232.91131591796875","232.91131591796875","171.79476928710938","171.79476928710938","171.79476928710938","84.61309051513672","84.61309051513672","84.61309051513672"
"839","205.6201934814453","205.6201934814453","205.6201934814453","131.093017578125","131.093017578125","131.093017578125","71.74304962158203","71.74304962158203","71.74304962158203","205.02093505859375","205.02093505859375","205.02093505859375","129.21185302734375","129.21185302734375","129.21185302734375","71.87841033935547","71.87841033935547","71.87841033935547"
"869","217.70079040527344","217.70079040527344","217.70079040527344","147.76004028320312","147.76004028320312","147.76004028320312","77.12773895263672","77.12773895263672","77.12773895263672","217.0917510986328","217.0917510986328","217.0917510986328","146.01905822753906","146.01905822753906","146.01905822753906","76.958740234375","76.958740234375","76.958740234375"
"899","208.82334899902344","208.82334899902344","208.82334899902344","151.7726287841797","151.7726287841797","151.7726287841797","94.65644073486328","94.65644073486328","94.65644073486328","208.17784118652344","208.17784118652344","208.17784118652344","150.5927734375","150.5927734375","150.5927734375","94.75601959228516","94.75601959228516","94.75601959228516"
"929","224.000732421875","224.000732421875","224.000732421875","144.52748107910156","144.52748107910156","144.52748107910156","70.76485443115234","70.76485443115234","70.76485443115234","223.65704345703125","223.65704345703125","223.65704345703125","142.9767608642578","142.9767608642578","142.9767608642578","70.69851684570312","70.69851684570312","70.69851684570312"
"959","234.27964782714844","234.27964782714844","234.27964782714844","142.26622009277344","142.26622009277344","142.26622009277344","57.60022735595703","57.60022735595703","57.60022735595703","234.3919219970703","234.3919219970703","234.3919219970703","140.88946533203125","140.88946533203125","140.88946533203125","57.36899948120117","57.36899948120117","57.36899948120117"
"989","164.77626037597656","164.77626037597656","164.77626037597656","176.69461059570312","176.69461059570312","176.69461059570312","66.82095336914062","66.82095336914062","66.82095336914062","164.54502868652344","164.54502868652344","164.54502868652344","174.9000701904297","174.9000701904297","174.9000701904297","66.67415618896484","66.67415618896484","66.67415618896484"
"1019","129.44476318359375","129.44476318359375","129.44476318359375","133.4942626953125","133.4942626953125","133.4942626953125","64.26980590820312","64.26980590820312","64.26980590820312","129.15003967285156","129.15003967285156","129.15003967285156","131.98345947265625","131.98345947265625","131.98345947265625","64.61605072021484","64.61605072021484","64.61605072021484"
"1049","129.88290405273438","129.88290405273438","129.88290405273438","166.4821319580078","166.4821319580078","166.4821319580078","61.71525192260742","61.71525192260742","61.71525192260742","129.60986328125","129.60986328125","129.60986328125","164.58407592773438","164.58407592773438","164.58407592773438","61.66267013549805","61.66267013549805","61.66267013549805"
"1079","132.4967803955078","132.4967803955078","132.4967803955078","151.43411254882812","151.43411254882812","151.43411254882812","64.29827117919922","64.29827117919922","64.29827117919922","132.5502166748047","132.5502166748047","132.5502166748047","149.2264862060547","149.2264862060547","149.2264862060547","64.46562957763672","64.46562957763672","64.46562957763672"
"1109","122.62187194824219","122.62187194824219","122.62187194824219","145.35877990722656","145.35877990722656","145.35877990722656","61.838623046875","61.838623046875","61.838623046875","122.48170471191406","122.48170471191406","122.48170471191406","143.56292724609375","143.56292724609375","143.56292724609375","61.97707748413086","61.97707748413086","61.97707748413086"
"1139","136.27767944335938","136.27767944335938","136.27767944335938","155.82260131835938","155.82260131835938","155.82260131835938","75.31209564208984","75.31209564208984","75.31209564208984","136.02146911621094","136.02146911621094","136.02146911621094","153.94308471679688","153.94308471679688","153.94308471679688","75.71263122558594","75.71263122558594","75.71263122558594"
"1169","174.37307739257812","174.37307739257812","174.37307739257812","143.384033203125","143.384033203125","143.384033203125","63.26294708251953","63.26294708251953","63.26294708251953","174.1742706298828","174.1742706298828","174.1742706298828","141.4225616455078","141.4225616455078","141.4225616455078","63.31932067871094","63.31932067871094","63.31932067871094"
"1199","169.73590087890625","169.73590087890625","169.73590087890625","138.05303955078125","138.05303955078125","138.05303955078125","60.07381820678711","60.07381820678711","60.07381820678711","169.2838592529297","169.2838592529297","169.2838592529297","136.47434997558594","136.47434997558594","136.47434997558594","60.095741271972656","60.095741271972656","60.095741271972656"
"1229","107.29907989501953","107.29907989501953","107.29907989501953","138.9534912109375","138.9534912109375","138.9534912109375","36.6282958984375","36.6282958984375","36.6282958984375","107.0966796875","107.0966796875","107.0966796875","136.6370391845703","136.6370391845703","136.6370391845703","36.56178665161133","36.56178665161133","36.56178665161133"
"1259","140.42843627929688","140.42843627929688","140.42843627929688","148.6886749267578","148.6886749267578","148.6886749267578","56.734291076660156","56.734291076660156","56.734291076660156","140.31353759765625","140.31353759765625","140.31353759765625","147.10728454589844","147.10728454589844","147.10728454589844","56.859832763671875","56.859832763671875","56.859832763671875"
"1289","139.38552856445312","139.38552856445312","139.38552856445312","163.67538452148438","163.67538452148438","163.67538452148438","53.1321907043457","53.1321907043457","53.1321907043457","139.23175048828125","139.23175048828125","139.23175048828125","161.57763671875","161.57763671875","161.57763671875","53.18697738647461","53.18697738647461","53.18697738647461"
"1319","124.33200073242188","124.33200073242188","124.33200073242188","147.2887420654297","147.2887420654297","147.2887420654297","53.96839141845703","53.96839141845703","53.96839141845703","124.29367065429688","124.29367065429688","124.29367065429688","145.19561767578125","145.19561767578125","145.19561767578125","53.79273223876953","53.79273223876953","53.79273223876953"
"1349","131.234130859375","131.234130859375","131.234130859375","124.07962799072266","124.07962799072266","124.07962799072266","57.22713851928711","57.22713851928711","57.22713851928711","130.94358825683594","130.94358825683594","130.94358825683594","122.39969635009766","122.39969635009766","122.39969635009766","57.302162170410156","57.302162170410156","57.302162170410156"
"1379","136.20860290527344","136.20860290527344","136.20860290527344","163.120361328125","163.120361328125","163.120361328125","56.167640686035156","56.167640686035156","56.167640686035156","136.1342010498047","136.1342010498047","136.1342010498047","161.65927124023438","161.65927124023438","161.65927124023438","56.21499252319336","56.21499252319336","56.21499252319336"
"1409","121.00214385986328","121.00214385986328","121.00214385986328","134.470947265625","134.470947265625","134.470947265625","52.255184173583984","52.255184173583984","52.255184173583984","120.68611145019531","120.68611145019531","120.68611145019531","132.4737548828125","132.4737548828125","132.4737548828125","52.2531623840332","52.2531623840332","52.2531623840332"
"1439","112.62814331054688","112.62814331054688","112.62814331054688","121.37686157226562","121.37686157226562","121.37686157226562","49.54673385620117","49.54673385620117","49.54673385620117","112.28034973144531","112.28034973144531","112.28034973144531","119.47846221923828","119.47846221923828","119.47846221923828","49.674949645996094","49.674949645996094","49.674949645996094"
"1469","117.95597076416016","117.95597076416016","117.95597076416016","117.47950744628906","117.47950744628906","117.47950744628906","44.61051559448242","44.61051559448242","44.61051559448242","117.41267395019531","117.41267395019531","117.41267395019531","116.1058349609375","116.1058349609375","116.1058349609375","44.524383544921875","44.524383544921875","44.524383544921875"
"1499","131.02618408203125","131.02618408203125","131.02618408203125","140.3516845703125","140.3516845703125","140.3516845703125","57.07967758178711","57.07967758178711","57.07967758178711","130.6714630126953","130.6714630126953","130.6714630126953","138.44993591308594","138.44993591308594","138.44993591308594","57.093231201171875","57.093231201171875","57.093231201171875"
"1529","100.3221435546875","100.3221435546875","100.3221435546875","136.82679748535156","136.82679748535156","136.82679748535156","44.78546142578125","44.78546142578125","44.78546142578125","99.9819107055664","99.9819107055664","99.9819107055664","135.68917846679688","135.68917846679688","135.68917846679688","44.58265686035156","44.58265686035156","44.58265686035156"
"1559","112.51904296875","112.51904296875","112.51904296875","151.62509155273438","151.62509155273438","151.62509155273438","55.0831298828125","55.0831298828125","55.0831298828125","112.343994140625","112.343994140625","112.343994140625","149.51719665527344","149.51719665527344","149.51719665527344","55.55497741699219","55.55497741699219","55.55497741699219"
"1589","114.93457794189453","114.93457794189453","114.93457794189453","136.17782592773438","136.17782592773438","136.17782592773438","43.13945388793945","43.13945388793945","43.13945388793945","114.78915405273438","114.78915405273438","114.78915405273438","134.71336364746094","134.71336364746094","134.71336364746094","42.89826202392578","42.89826202392578","42.89826202392578"
