"Step","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l0","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l0__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l0__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l0","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l0__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l0__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l0","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l0__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l0__MAX","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l0","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l0__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l0__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l0","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l0__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l0__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l0","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l0__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l0__MAX"
"599","12031.3271484375","12031.3271484375","12031.3271484375","11729.1513671875","11729.1513671875","11729.1513671875","11900.4541015625","11900.4541015625","11900.4541015625","11450.1591796875","11450.1591796875","11450.1591796875","11264.078125","11264.078125","11264.078125","11887.8154296875","11887.8154296875","11887.8154296875"
"1199","12055.65234375","12055.65234375","12055.65234375","11887.8388671875","11887.8388671875","11887.8388671875","11987.0810546875","11987.0810546875","11987.0810546875","10792.556640625","10792.556640625","10792.556640625","11340.7998046875","11340.7998046875","11340.7998046875","11923.9638671875","11923.9638671875","11923.9638671875"
"1799","12076.79296875","12076.79296875","12076.79296875","11919.1162109375","11919.1162109375","11919.1162109375","12025.77734375","12025.77734375","12025.77734375","10515.2265625","10515.2265625","10515.2265625","11392.3291015625","11392.3291015625","11392.3291015625","11932.7587890625","11932.7587890625","11932.7587890625"
"2399","12129.365234375","12129.365234375","12129.365234375","12031.9482421875","12031.9482421875","12031.9482421875","12056.0751953125","12056.0751953125","12056.0751953125","10435.328125","10435.328125","10435.328125","11514.361328125","11514.361328125","11514.361328125","11950.9326171875","11950.9326171875","11950.9326171875"
"2999","12132.4990234375","12132.4990234375","12132.4990234375","12112.8671875","12112.8671875","12112.8671875","12095.7373046875","12095.7373046875","12095.7373046875","10504.8857421875","10504.8857421875","10504.8857421875","11626.544921875","11626.544921875","11626.544921875","11979.7373046875","11979.7373046875","11979.7373046875"
"3599","12171.2568359375","12171.2568359375","12171.2568359375","12151.642578125","12151.642578125","12151.642578125","12119.6572265625","12119.6572265625","12119.6572265625","10574.2744140625","10574.2744140625","10574.2744140625","11696.2646484375","11696.2646484375","11696.2646484375","11987.2392578125","11987.2392578125","11987.2392578125"
"4199","12201.578125","12201.578125","12201.578125","12185.1201171875","12185.1201171875","12185.1201171875","12141.0546875","12141.0546875","12141.0546875","10811.5537109375","10811.5537109375","10811.5537109375","11760.8798828125","11760.8798828125","11760.8798828125","12005.6826171875","12005.6826171875","12005.6826171875"
"4799","12198.169921875","12198.169921875","12198.169921875","12182.275390625","12182.275390625","12182.275390625","12145.328125","12145.328125","12145.328125","10987.3779296875","10987.3779296875","10987.3779296875","11774.6748046875","11774.6748046875","11774.6748046875","11995.3583984375","11995.3583984375","11995.3583984375"
"5399","12193.86328125","12193.86328125","12193.86328125","12155.8974609375","12155.8974609375","12155.8974609375","12131.3623046875","12131.3623046875","12131.3623046875","11128.6630859375","11128.6630859375","11128.6630859375","11758.533203125","11758.533203125","11758.533203125","11983.4658203125","11983.4658203125","11983.4658203125"
"5999","12206.974609375","12206.974609375","12206.974609375","12174.44140625","12174.44140625","12174.44140625","12153.3251953125","12153.3251953125","12153.3251953125","11262.7763671875","11262.7763671875","11262.7763671875","11783.140625","11783.140625","11783.140625","11995.314453125","11995.314453125","11995.314453125"
