"Step","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - sparsity.l0","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - sparsity.l0__MIN","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - sparsity.l0__MAX","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - sparsity.l0","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - sparsity.l0__MIN","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - sparsity.l0__MAX","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - sparsity.l0","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - sparsity.l0__MIN","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - sparsity.l0__MAX","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - sparsity.l0","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - sparsity.l0__MIN","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - sparsity.l0__MAX","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - sparsity.l0","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - sparsity.l0__MIN","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - sparsity.l0__MAX","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - sparsity.l0","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - sparsity.l0__MIN","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - sparsity.l0__MAX"
"599","12033.7705078125","12033.7705078125","12033.7705078125","11730.060546875","11730.060546875","11730.060546875","11902.2685546875","11902.2685546875","11902.2685546875","11458.7587890625","11458.7587890625","11458.7587890625","11267.5205078125","11267.5205078125","11267.5205078125","11888.86328125","11888.86328125","11888.86328125"
"1199","12057.7734375","12057.7734375","12057.7734375","11888.9267578125","11888.9267578125","11888.9267578125","11988.408203125","11988.408203125","11988.408203125","10805.751953125","10805.751953125","10805.751953125","11345.1904296875","11345.1904296875","11345.1904296875","11925.3984375","11925.3984375","11925.3984375"
"1799","12078.849609375","12078.849609375","12078.849609375","11920.5771484375","11920.5771484375","11920.5771484375","12027.634765625","12027.634765625","12027.634765625","10530.408203125","10530.408203125","10530.408203125","11397.4345703125","11397.4345703125","11397.4345703125","11934.3095703125","11934.3095703125","11934.3095703125"
"2399","12131.0078125","12131.0078125","12131.0078125","12033.19140625","12033.19140625","12033.19140625","12058.1083984375","12058.1083984375","12058.1083984375","10452.0830078125","10452.0830078125","10452.0830078125","11520.0703125","11520.0703125","11520.0703125","11952.193359375","11952.193359375","11952.193359375"
"2999","12134.2294921875","12134.2294921875","12134.2294921875","12114.0537109375","12114.0537109375","12114.0537109375","12097.93359375","12097.93359375","12097.93359375","10523.5849609375","10523.5849609375","10523.5849609375","11632.1435546875","11632.1435546875","11632.1435546875","11981.115234375","11981.115234375","11981.115234375"
"3599","12172.615234375","12172.615234375","12172.615234375","12152.740234375","12152.740234375","12152.740234375","12121.9482421875","12121.9482421875","12121.9482421875","10594.2197265625","10594.2197265625","10594.2197265625","11702.048828125","11702.048828125","11702.048828125","11989.72265625","11989.72265625","11989.72265625"
"4199","12202.6455078125","12202.6455078125","12202.6455078125","12185.9345703125","12185.9345703125","12185.9345703125","12143.4326171875","12143.4326171875","12143.4326171875","10830.8193359375","10830.8193359375","10830.8193359375","11766.576171875","11766.576171875","11766.576171875","12003.7626953125","12003.7626953125","12003.7626953125"
"4799","12199.6923828125","12199.6923828125","12199.6923828125","12183.4912109375","12183.4912109375","12183.4912109375","12143.8193359375","12143.8193359375","12143.8193359375","11005.7763671875","11005.7763671875","11005.7763671875","11781.6044921875","11781.6044921875","11781.6044921875","11999.4365234375","11999.4365234375","11999.4365234375"
"5399","12196.7958984375","12196.7958984375","12196.7958984375","12157.548828125","12157.548828125","12157.548828125","12133.603515625","12133.603515625","12133.603515625","11147.244140625","11147.244140625","11147.244140625","11764.5146484375","11764.5146484375","11764.5146484375","11986.1796875","11986.1796875","11986.1796875"
"5999","12207.876953125","12207.876953125","12207.876953125","12176.2919921875","12176.2919921875","12176.2919921875","12157.0234375","12157.0234375","12157.0234375","11283.6240234375","11283.6240234375","11283.6240234375","11789.3349609375","11789.3349609375","11789.3349609375","11998.0771484375","11998.0771484375","11998.0771484375"
