"Step","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - shrinkage.l2_ratio","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - shrinkage.l2_ratio__MIN","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - shrinkage.l2_ratio__MAX","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - shrinkage.l2_ratio","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - shrinkage.l2_ratio__MIN","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - shrinkage.l2_ratio__MAX","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - shrinkage.l2_ratio","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - shrinkage.l2_ratio__MIN","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_Devign - shrinkage.l2_ratio__MAX","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - shrinkage.l2_ratio","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - shrinkage.l2_ratio__MIN","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - shrinkage.l2_ratio__MAX","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - shrinkage.l2_ratio","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - shrinkage.l2_ratio__MIN","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - shrinkage.l2_ratio__MAX","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - shrinkage.l2_ratio","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - shrinkage.l2_ratio__MIN","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_Devign - shrinkage.l2_ratio__MAX"
"599","2.4665417671203613","2.4665417671203613","2.4665417671203613","0.582435131072998","0.582435131072998","0.582435131072998","0.9569881558418274","0.9569881558418274","0.9569881558418274","2.4840145111083984","2.4840145111083984","2.4840145111083984","0.5890021324157715","0.5890021324157715","0.5890021324157715","0.9594694972038269","0.9594694972038269","0.9594694972038269"
"1199","2.509336471557617","2.509336471557617","2.509336471557617","0.6136656403541565","0.6136656403541565","0.6136656403541565","0.9754600524902344","0.9754600524902344","0.9754600524902344","2.5308735370635986","2.5308735370635986","2.5308735370635986","0.6185057759284973","0.6185057759284973","0.6185057759284973","0.9783161282539368","0.9783161282539368","0.9783161282539368"
"1799","2.5329043865203857","2.5329043865203857","2.5329043865203857","0.6238805651664734","0.6238805651664734","0.6238805651664734","0.9829532504081726","0.9829532504081726","0.9829532504081726","2.550307035446167","2.550307035446167","2.550307035446167","0.627349853515625","0.627349853515625","0.627349853515625","0.9843077063560486","0.9843077063560486","0.9843077063560486"
"2399","2.5462939739227295","2.5462939739227295","2.5462939739227295","0.631563663482666","0.631563663482666","0.631563663482666","0.9878454208374023","0.9878454208374023","0.9878454208374023","2.5534989833831787","2.5534989833831787","2.5534989833831787","0.6344794631004333","0.6344794631004333","0.6344794631004333","0.9901518225669861","0.9901518225669861","0.9901518225669861"
"2999","2.552539825439453","2.552539825439453","2.552539825439453","0.6356114745140076","0.6356114745140076","0.6356114745140076","0.99065762758255","0.99065762758255","0.99065762758255","2.5626306533813477","2.5626306533813477","2.5626306533813477","0.6369330286979675","0.6369330286979675","0.6369330286979675","0.9939175844192505","0.9939175844192505","0.9939175844192505"
"3599","2.5601108074188232","2.5601108074188232","2.5601108074188232","0.6375570297241211","0.6375570297241211","0.6375570297241211","0.9917199015617371","0.9917199015617371","0.9917199015617371","2.559035539627075","2.559035539627075","2.559035539627075","0.638651967048645","0.638651967048645","0.638651967048645","0.9925726056098938","0.9925726056098938","0.9925726056098938"
"4199","2.5596444606781006","2.5596444606781006","2.5596444606781006","0.6385313868522644","0.6385313868522644","0.6385313868522644","0.9952375292778015","0.9952375292778015","0.9952375292778015","2.5654923915863037","2.5654923915863037","2.5654923915863037","0.6382320523262024","0.6382320523262024","0.6382320523262024","0.9950189590454102","0.9950189590454102","0.9950189590454102"
"4799","2.5609781742095947","2.5609781742095947","2.5609781742095947","0.6385094523429871","0.6385094523429871","0.6385094523429871","1.0005306005477905","1.0005306005477905","1.0005306005477905","2.5658748149871826","2.5658748149871826","2.5658748149871826","0.6379519701004028","0.6379519701004028","0.6379519701004028","0.9953392148017883","0.9953392148017883","0.9953392148017883"
"5399","2.562762975692749","2.562762975692749","2.562762975692749","0.637786865234375","0.637786865234375","0.637786865234375","0.9935821890830994","0.9935821890830994","0.9935821890830994","2.560178756713867","2.560178756713867","2.560178756713867","0.6385228037834167","0.6385228037834167","0.6385228037834167","0.9940847754478455","0.9940847754478455","0.9940847754478455"
"5999","2.5658445358276367","2.5658445358276367","2.5658445358276367","0.6389649510383606","0.6389649510383606","0.6389649510383606","0.993533730506897","0.993533730506897","0.993533730506897","2.5661580562591553","2.5661580562591553","2.5661580562591553","0.6390482783317566","0.6390482783317566","0.6390482783317566","0.9934793710708618","0.9934793710708618","0.9934793710708618"
"6599","2.56290602684021","2.56290602684021","2.56290602684021","0.6384012699127197","0.6384012699127197","0.6384012699127197","0.9937101602554321","0.9937101602554321","0.9937101602554321","2.568206548690796","2.568206548690796","2.568206548690796","0.6403055787086487","0.6403055787086487","0.6403055787086487","0.9922284483909607","0.9922284483909607","0.9922284483909607"
"7199","2.5645930767059326","2.5645930767059326","2.5645930767059326","0.6381585597991943","0.6381585597991943","0.6381585597991943","0.9903926849365234","0.9903926849365234","0.9903926849365234","2.5661511421203613","2.5661511421203613","2.5661511421203613","0.6386294960975647","0.6386294960975647","0.6386294960975647","0.9964675903320312","0.9964675903320312","0.9964675903320312"
"7799","2.5653340816497803","2.5653340816497803","2.5653340816497803","0.6383354067802429","0.6383354067802429","0.6383354067802429","0.9947536587715149","0.9947536587715149","0.9947536587715149","2.566401958465576","2.566401958465576","2.566401958465576","0.6384288668632507","0.6384288668632507","0.6384288668632507","0.9931322336196899","0.9931322336196899","0.9931322336196899"
"8399","2.564347505569458","2.564347505569458","2.564347505569458","0.6392968893051147","0.6392968893051147","0.6392968893051147","0.9943549036979675","0.9943549036979675","0.9943549036979675","2.567450523376465","2.567450523376465","2.567450523376465","0.6398444175720215","0.6398444175720215","0.6398444175720215","0.9936756491661072","0.9936756491661072","0.9936756491661072"
"8999","2.563368558883667","2.563368558883667","2.563368558883667","0.639236569404602","0.639236569404602","0.639236569404602","0.9919951558113098","0.9919951558113098","0.9919951558113098","2.5651586055755615","2.5651586055755615","2.5651586055755615","0.6386825442314148","0.6386825442314148","0.6386825442314148","0.9941484332084656","0.9941484332084656","0.9941484332084656"
