"Step","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l1","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l1__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l1__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l1","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l1__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l1__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l1","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l1__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l1__MAX","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l1","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l1__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l1__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l1","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l1__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l1__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l1","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l1__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l1__MAX"
"599","962.7125244140625","962.7125244140625","962.7125244140625","778.608154296875","778.608154296875","778.608154296875","673.2105712890625","673.2105712890625","673.2105712890625","960.6715087890625","960.6715087890625","960.6715087890625","776.5343017578125","776.5343017578125","776.5343017578125","647.5580444335938","647.5580444335938","647.5580444335938"
"1199","771.4436645507812","771.4436645507812","771.4436645507812","586.9114990234375","586.9114990234375","586.9114990234375","529.9235229492188","529.9235229492188","529.9235229492188","769.1998901367188","769.1998901367188","769.1998901367188","584.4310913085938","584.4310913085938","584.4310913085938","501.6654357910156","501.6654357910156","501.6654357910156"
"1799","643.5128173828125","643.5128173828125","643.5128173828125","470.376220703125","470.376220703125","470.376220703125","450.5015563964844","450.5015563964844","450.5015563964844","640.7737426757812","640.7737426757812","640.7737426757812","468.6636657714844","468.6636657714844","468.6636657714844","421.1787109375","421.1787109375","421.1787109375"
"2399","530.1226806640625","530.1226806640625","530.1226806640625","392.00970458984375","392.00970458984375","392.00970458984375","395.93536376953125","395.93536376953125","395.93536376953125","526.99365234375","526.99365234375","526.99365234375","389.1841735839844","389.1841735839844","389.1841735839844","368.9032287597656","368.9032287597656","368.9032287597656"
"2999","452.3387145996094","452.3387145996094","452.3387145996094","339.2944030761719","339.2944030761719","339.2944030761719","355.345947265625","355.345947265625","355.345947265625","449.8565979003906","449.8565979003906","449.8565979003906","337.7065124511719","337.7065124511719","337.7065124511719","330.24591064453125","330.24591064453125","330.24591064453125"
"3599","403.0078430175781","403.0078430175781","403.0078430175781","297.1050720214844","297.1050720214844","297.1050720214844","325.60650634765625","325.60650634765625","325.60650634765625","400.4233703613281","400.4233703613281","400.4233703613281","295.5230407714844","295.5230407714844","295.5230407714844","300.5407409667969","300.5407409667969","300.5407409667969"
"4199","333.05078125","333.05078125","333.05078125","265.4891052246094","265.4891052246094","265.4891052246094","302.5696716308594","302.5696716308594","302.5696716308594","331.9236755371094","331.9236755371094","331.9236755371094","262.6037902832031","262.6037902832031","262.6037902832031","277.9441833496094","277.9441833496094","277.9441833496094"
"4799","284.826171875","284.826171875","284.826171875","239.8836212158203","239.8836212158203","239.8836212158203","282.9185485839844","282.9185485839844","282.9185485839844","284.1318054199219","284.1318054199219","284.1318054199219","238.7395782470703","238.7395782470703","238.7395782470703","259.9607849121094","259.9607849121094","259.9607849121094"
"5399","250.02749633789062","250.02749633789062","250.02749633789062","221.0719451904297","221.0719451904297","221.0719451904297","268.1274108886719","268.1274108886719","268.1274108886719","249.6840362548828","249.6840362548828","249.6840362548828","220.08779907226562","220.08779907226562","220.08779907226562","246.01113891601562","246.01113891601562","246.01113891601562"
"5999","222.1644287109375","222.1644287109375","222.1644287109375","205.80088806152344","205.80088806152344","205.80088806152344","253.1278839111328","253.1278839111328","253.1278839111328","222.0662384033203","222.0662384033203","222.0662384033203","204.6110076904297","204.6110076904297","204.6110076904297","231.9359588623047","231.9359588623047","231.9359588623047"
"6599","198.2202911376953","198.2202911376953","198.2202911376953","190.36920166015625","190.36920166015625","190.36920166015625","242.01475524902344","242.01475524902344","242.01475524902344","198.1252899169922","198.1252899169922","198.1252899169922","189.3403778076172","189.3403778076172","189.3403778076172","221.4626007080078","221.4626007080078","221.4626007080078"
"7199","184.5179901123047","184.5179901123047","184.5179901123047","180.56436157226562","180.56436157226562","180.56436157226562","228.8372344970703","228.8372344970703","228.8372344970703","184.4048614501953","184.4048614501953","184.4048614501953","179.8602752685547","179.8602752685547","179.8602752685547","209.6771697998047","209.6771697998047","209.6771697998047"
"7799","170.51483154296875","170.51483154296875","170.51483154296875","171.3529510498047","171.3529510498047","171.3529510498047","219.2857666015625","219.2857666015625","219.2857666015625","170.5001983642578","170.5001983642578","170.5001983642578","170.49684143066406","170.49684143066406","170.49684143066406","201.64682006835938","201.64682006835938","201.64682006835938"
"8399","159.1986541748047","159.1986541748047","159.1986541748047","160.6215057373047","160.6215057373047","160.6215057373047","210.70103454589844","210.70103454589844","210.70103454589844","159.23875427246094","159.23875427246094","159.23875427246094","160.3567352294922","160.3567352294922","160.3567352294922","192.06771850585938","192.06771850585938","192.06771850585938"
"8999","153.7428436279297","153.7428436279297","153.7428436279297","155.9436798095703","155.9436798095703","155.9436798095703","203.6005859375","203.6005859375","203.6005859375","153.7591552734375","153.7591552734375","153.7591552734375","155.67762756347656","155.67762756347656","155.67762756347656","185.95126342773438","185.95126342773438","185.95126342773438"
"9599","144.4249267578125","144.4249267578125","144.4249267578125","148.12646484375","148.12646484375","148.12646484375","196.09178161621094","196.09178161621094","196.09178161621094","144.4861297607422","144.4861297607422","144.4861297607422","147.62356567382812","147.62356567382812","147.62356567382812","179.14451599121094","179.14451599121094","179.14451599121094"
"10199","141.5966033935547","141.5966033935547","141.5966033935547","144.5368194580078","144.5368194580078","144.5368194580078","191.0941162109375","191.0941162109375","191.0941162109375","141.7051239013672","141.7051239013672","141.7051239013672","144.0967254638672","144.0967254638672","144.0967254638672","175.6834716796875","175.6834716796875","175.6834716796875"
