"Step","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - shrinkage.l2_ratio","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - shrinkage.l2_ratio__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - shrinkage.l2_ratio__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - shrinkage.l2_ratio","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - shrinkage.l2_ratio__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - shrinkage.l2_ratio__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - shrinkage.l2_ratio","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - shrinkage.l2_ratio__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - shrinkage.l2_ratio__MAX","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - shrinkage.l2_ratio","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - shrinkage.l2_ratio__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - shrinkage.l2_ratio__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - shrinkage.l2_ratio","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - shrinkage.l2_ratio__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - shrinkage.l2_ratio__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - shrinkage.l2_ratio","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - shrinkage.l2_ratio__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - shrinkage.l2_ratio__MAX"
"599","6.4644975662231445","6.4644975662231445","6.4644975662231445","3.0323750972747803","3.0323750972747803","3.0323750972747803","1.2530888319015503","1.2530888319015503","1.2530888319015503","6.465757846832275","6.465757846832275","6.465757846832275","3.0325124263763428","3.0325124263763428","3.0325124263763428","1.2520338296890259","1.2520338296890259","1.2520338296890259"
"1199","6.412938594818115","6.412938594818115","6.412938594818115","3.0471324920654297","3.0471324920654297","3.0471324920654297","1.2592843770980835","1.2592843770980835","1.2592843770980835","6.416360378265381","6.416360378265381","6.416360378265381","3.046875","3.046875","3.046875","1.2598031759262085","1.2598031759262085","1.2598031759262085"
"1799","6.332675457000732","6.332675457000732","6.332675457000732","3.002667188644409","3.002667188644409","3.002667188644409","1.2590501308441162","1.2590501308441162","1.2590501308441162","6.339341640472412","6.339341640472412","6.339341640472412","3.004411458969116","3.004411458969116","3.004411458969116","1.2543890476226807","1.2543890476226807","1.2543890476226807"
"2399","6.138063907623291","6.138063907623291","6.138063907623291","2.971410036087036","2.971410036087036","2.971410036087036","1.2595975399017334","1.2595975399017334","1.2595975399017334","6.144303798675537","6.144303798675537","6.144303798675537","2.9701170921325684","2.9701170921325684","2.9701170921325684","1.2568578720092773","1.2568578720092773","1.2568578720092773"
"2999","6.150813579559326","6.150813579559326","6.150813579559326","3.0111806392669678","3.0111806392669678","3.0111806392669678","1.2568074464797974","1.2568074464797974","1.2568074464797974","6.155309200286865","6.155309200286865","6.155309200286865","3.01203989982605","3.01203989982605","3.01203989982605","1.2588082551956177","1.2588082551956177","1.2588082551956177"
"3599","6.275063991546631","6.275063991546631","6.275063991546631","2.9989264011383057","2.9989264011383057","2.9989264011383057","1.2587946653366089","1.2587946653366089","1.2587946653366089","6.27821683883667","6.27821683883667","6.27821683883667","2.9983344078063965","2.9983344078063965","2.9983344078063965","1.2581976652145386","1.2581976652145386","1.2581976652145386"
"4199","6.287757396697998","6.287757396697998","6.287757396697998","3.055880308151245","3.055880308151245","3.055880308151245","1.2630131244659424","1.2630131244659424","1.2630131244659424","6.287879467010498","6.287879467010498","6.287879467010498","3.0580356121063232","3.0580356121063232","3.0580356121063232","1.2624472379684448","1.2624472379684448","1.2624472379684448"
"4799","6.240440368652344","6.240440368652344","6.240440368652344","3.03116774559021","3.03116774559021","3.03116774559021","1.2602428197860718","1.2602428197860718","1.2602428197860718","6.241237163543701","6.241237163543701","6.241237163543701","3.029135227203369","3.029135227203369","3.029135227203369","1.2604511976242065","1.2604511976242065","1.2604511976242065"
"5399","6.253051280975342","6.253051280975342","6.253051280975342","3.0275168418884277","3.0275168418884277","3.0275168418884277","1.261365532875061","1.261365532875061","1.261365532875061","6.254634380340576","6.254634380340576","6.254634380340576","3.0278897285461426","3.0278897285461426","3.0278897285461426","1.2622238397598267","1.2622238397598267","1.2622238397598267"
"5999","6.270578861236572","6.270578861236572","6.270578861236572","3.0433831214904785","3.0433831214904785","3.0433831214904785","1.2647961378097534","1.2647961378097534","1.2647961378097534","6.273627758026123","6.273627758026123","6.273627758026123","3.041700839996338","3.041700839996338","3.041700839996338","1.2641855478286743","1.2641855478286743","1.2641855478286743"
