"Step","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - losses/mse_loss","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - losses/mse_loss__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - losses/mse_loss__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - losses/mse_loss","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - losses/mse_loss__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - losses/mse_loss__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - losses/mse_loss","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - losses/mse_loss__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - losses/mse_loss__MAX","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - losses/mse_loss","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - losses/mse_loss__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - losses/mse_loss__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - losses/mse_loss","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - losses/mse_loss__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - losses/mse_loss__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - losses/mse_loss","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - losses/mse_loss__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - losses/mse_loss__MAX"
"29","9653.2744140625","9653.2744140625","9653.2744140625","2503.50830078125","2503.50830078125","2503.50830078125","534.6331787109375","534.6331787109375","534.6331787109375","9651.46484375","9651.46484375","9651.46484375","2503.872802734375","2503.872802734375","2503.872802734375","548.4331665039062","548.4331665039062","548.4331665039062"
"59","4684.8935546875","4684.8935546875","4684.8935546875","1295.64794921875","1295.64794921875","1295.64794921875","185.54229736328125","185.54229736328125","185.54229736328125","4681.40234375","4681.40234375","4681.40234375","1294.322265625","1294.322265625","1294.322265625","197.23739624023438","197.23739624023438","197.23739624023438"
"89","3924.947998046875","3924.947998046875","3924.947998046875","1103.96435546875","1103.96435546875","1103.96435546875","102.12478637695312","102.12478637695312","102.12478637695312","3922.2705078125","3922.2705078125","3922.2705078125","1102.6552734375","1102.6552734375","1102.6552734375","107.55113220214844","107.55113220214844","107.55113220214844"
"119","3973.40869140625","3973.40869140625","3973.40869140625","1087.6380615234375","1087.6380615234375","1087.6380615234375","93.4739990234375","93.4739990234375","93.4739990234375","3971.4267578125","3971.4267578125","3971.4267578125","1086.9193115234375","1086.9193115234375","1086.9193115234375","96.0155029296875","96.0155029296875","96.0155029296875"
"149","44123.765625","44123.765625","44123.765625","35921.21484375","35921.21484375","35921.21484375","82.35262298583984","82.35262298583984","82.35262298583984","44117.98828125","44117.98828125","44117.98828125","35915.1484375","35915.1484375","35915.1484375","84.50364685058594","84.50364685058594","84.50364685058594"
"179","35826.2578125","35826.2578125","35826.2578125","28178.822265625","28178.822265625","28178.822265625","66.70923614501953","66.70923614501953","66.70923614501953","35819.9375","35819.9375","35819.9375","28169.662109375","28169.662109375","28169.662109375","67.97040557861328","67.97040557861328","67.97040557861328"
"209","2809.57421875","2809.57421875","2809.57421875","730.0305786132812","730.0305786132812","730.0305786132812","60.25728988647461","60.25728988647461","60.25728988647461","2807.831787109375","2807.831787109375","2807.831787109375","729.3343505859375","729.3343505859375","729.3343505859375","60.616268157958984","60.616268157958984","60.616268157958984"
"239","2821.9599609375","2821.9599609375","2821.9599609375","712.52294921875","712.52294921875","712.52294921875","56.95347595214844","56.95347595214844","56.95347595214844","2820.861083984375","2820.861083984375","2820.861083984375","711.8917236328125","711.8917236328125","711.8917236328125","57.07124328613281","57.07124328613281","57.07124328613281"
"269","2599.23974609375","2599.23974609375","2599.23974609375","636.1515502929688","636.1515502929688","636.1515502929688","46.59235382080078","46.59235382080078","46.59235382080078","2598.534912109375","2598.534912109375","2598.534912109375","635.489013671875","635.489013671875","635.489013671875","46.29339599609375","46.29339599609375","46.29339599609375"
"299","2608.867431640625","2608.867431640625","2608.867431640625","755.7059326171875","755.7059326171875","755.7059326171875","65.2841567993164","65.2841567993164","65.2841567993164","2608.091064453125","2608.091064453125","2608.091064453125","755.3812866210938","755.3812866210938","755.3812866210938","65.09819030761719","65.09819030761719","65.09819030761719"
"329","1334.607666015625","1334.607666015625","1334.607666015625","408.88482666015625","408.88482666015625","408.88482666015625","49.42856216430664","49.42856216430664","49.42856216430664","1334.61181640625","1334.61181640625","1334.61181640625","408.7986755371094","408.7986755371094","408.7986755371094","49.1658821105957","49.1658821105957","49.1658821105957"
"359","1191.04150390625","1191.04150390625","1191.04150390625","341.6648254394531","341.6648254394531","341.6648254394531","39.35566329956055","39.35566329956055","39.35566329956055","1191.9246826171875","1191.9246826171875","1191.9246826171875","341.72393798828125","341.72393798828125","341.72393798828125","38.75453567504883","38.75453567504883","38.75453567504883"
"389","1290.7044677734375","1290.7044677734375","1290.7044677734375","405.7737731933594","405.7737731933594","405.7737731933594","40.79196548461914","40.79196548461914","40.79196548461914","1291.317138671875","1291.317138671875","1291.317138671875","405.8137512207031","405.8137512207031","405.8137512207031","39.949424743652344","39.949424743652344","39.949424743652344"
