"Step","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - losses/fisher_reg_term","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - losses/fisher_reg_term__MIN","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - losses/fisher_reg_term__MAX","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - losses/fisher_reg_term","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - losses/fisher_reg_term__MIN","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - losses/fisher_reg_term__MAX","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - losses/fisher_reg_term","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - losses/fisher_reg_term__MIN","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - losses/fisher_reg_term__MAX"
"29","22.925819396972656","22.925819396972656","22.925819396972656","22.82014274597168","22.82014274597168","22.82014274597168","22.856531143188477","22.856531143188477","22.856531143188477"
"59","21.40032196044922","21.40032196044922","21.40032196044922","15.400247573852539","15.400247573852539","15.400247573852539","27.015960693359375","27.015960693359375","27.015960693359375"
"89","16.487834930419922","16.487834930419922","16.487834930419922","11.32170581817627","11.32170581817627","11.32170581817627","21.24123764038086","21.24123764038086","21.24123764038086"
"119","12.838258743286133","12.838258743286133","12.838258743286133","9.631852149963379","9.631852149963379","9.631852149963379","17.20508575439453","17.20508575439453","17.20508575439453"
"149","39.37165451049805","39.37165451049805","39.37165451049805","50.85761260986328","50.85761260986328","50.85761260986328","14.881928443908691","14.881928443908691","14.881928443908691"
"179","41.383914947509766","41.383914947509766","41.383914947509766","52.58301544189453","52.58301544189453","52.58301544189453","12.942553520202637","12.942553520202637","12.942553520202637"
"209","10.115653038024902","10.115653038024902","10.115653038024902","8.24198055267334","8.24198055267334","8.24198055267334","12.324213981628418","12.324213981628418","12.324213981628418"
"239","10.454704284667969","10.454704284667969","10.454704284667969","7.236706256866455","7.236706256866455","7.236706256866455","10.713623046875","10.713623046875","10.713623046875"
"269","10.56002426147461","10.56002426147461","10.56002426147461","7.431977272033691","7.431977272033691","7.431977272033691","10.329808235168457","10.329808235168457","10.329808235168457"
"299","8.334088325500488","8.334088325500488","8.334088325500488","6.464473247528076","6.464473247528076","6.464473247528076","8.862432479858398","8.862432479858398","8.862432479858398"
"329","64.50569915771484","64.50569915771484","64.50569915771484","35.869449615478516","35.869449615478516","35.869449615478516","9.128326416015625","9.128326416015625","9.128326416015625"
"359","60.934749603271484","60.934749603271484","60.934749603271484","29.228422164916992","29.228422164916992","29.228422164916992","8.576149940490723","8.576149940490723","8.576149940490723"
"389","50.00273513793945","50.00273513793945","50.00273513793945","25.036346435546875","25.036346435546875","25.036346435546875","8.243339538574219","8.243339538574219","8.243339538574219"
"419","53.508914947509766","53.508914947509766","53.508914947509766","25.061176300048828","25.061176300048828","25.061176300048828","7.593153476715088","7.593153476715088","7.593153476715088"
"449","52.127235412597656","52.127235412597656","52.127235412597656","22.031661987304688","22.031661987304688","22.031661987304688","8.175185203552246","8.175185203552246","8.175185203552246"
"479","50.0765380859375","50.0765380859375","50.0765380859375","20.210241317749023","20.210241317749023","20.210241317749023","6.790573596954346","6.790573596954346","6.790573596954346"
"509","50.53949737548828","50.53949737548828","50.53949737548828","20.783424377441406","20.783424377441406","20.783424377441406","7.1219635009765625","7.1219635009765625","7.1219635009765625"
