"Step","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l1","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l1__MIN","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l1__MAX","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l1","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l1__MIN","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l1__MAX","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l1","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l1__MIN","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l1__MAX","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l1","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l1__MIN","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l1__MAX","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l1","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l1__MIN","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l1__MAX","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l1","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l1__MIN","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l1__MAX"
"599","4311.2626953125","4311.2626953125","4311.2626953125","4273.11083984375","4273.11083984375","4273.11083984375","4389.15625","4389.15625","4389.15625","3781.861083984375","3781.861083984375","3781.861083984375","3297.906982421875","3297.906982421875","3297.906982421875","3713.393310546875","3713.393310546875","3713.393310546875"
"1199","4274.92138671875","4274.92138671875","4274.92138671875","4285.32080078125","4285.32080078125","4285.32080078125","4273.77685546875","4273.77685546875","4273.77685546875","3317.36328125","3317.36328125","3317.36328125","2871.079345703125","2871.079345703125","2871.079345703125","3389.50244140625","3389.50244140625","3389.50244140625"
"1799","4084.032958984375","4084.032958984375","4084.032958984375","4109.67333984375","4109.67333984375","4109.67333984375","4100.6552734375","4100.6552734375","4100.6552734375","2887.002685546875","2887.002685546875","2887.002685546875","2637.35302734375","2637.35302734375","2637.35302734375","3248.73486328125","3248.73486328125","3248.73486328125"
"2399","3963.997802734375","3963.997802734375","3963.997802734375","4073.079833984375","4073.079833984375","4073.079833984375","3951.45361328125","3951.45361328125","3951.45361328125","2598.976806640625","2598.976806640625","2598.976806640625","2557.868896484375","2557.868896484375","2557.868896484375","3212.925537109375","3212.925537109375","3212.925537109375"
"2999","3813.682861328125","3813.682861328125","3813.682861328125","4008.156982421875","4008.156982421875","4008.156982421875","3833.25390625","3833.25390625","3833.25390625","2436.274169921875","2436.274169921875","2436.274169921875","2531.860595703125","2531.860595703125","2531.860595703125","3227.12939453125","3227.12939453125","3227.12939453125"
"3599","3768.194580078125","3768.194580078125","3768.194580078125","3980.352294921875","3980.352294921875","3980.352294921875","3707.74609375","3707.74609375","3707.74609375","2228.1455078125","2228.1455078125","2228.1455078125","2478.86767578125","2478.86767578125","2478.86767578125","3225.948974609375","3225.948974609375","3225.948974609375"
"4199","3797.546142578125","3797.546142578125","3797.546142578125","4014.4296875","4014.4296875","4014.4296875","3622.279052734375","3622.279052734375","3622.279052734375","2189.114013671875","2189.114013671875","2189.114013671875","2615.783447265625","2615.783447265625","2615.783447265625","3244.728515625","3244.728515625","3244.728515625"
"4799","3950.340576171875","3950.340576171875","3950.340576171875","4041.92578125","4041.92578125","4041.92578125","3563.51416015625","3563.51416015625","3563.51416015625","2287.662109375","2287.662109375","2287.662109375","2777.309326171875","2777.309326171875","2777.309326171875","3210.615966796875","3210.615966796875","3210.615966796875"
"5399","4014.755615234375","4014.755615234375","4014.755615234375","3949.944580078125","3949.944580078125","3949.944580078125","3488.463623046875","3488.463623046875","3488.463623046875","2378.922607421875","2378.922607421875","2378.922607421875","2855.909423828125","2855.909423828125","2855.909423828125","3168.458984375","3168.458984375","3168.458984375"
"5999","4150.24560546875","4150.24560546875","4150.24560546875","3971.06494140625","3971.06494140625","3971.06494140625","3453.2109375","3453.2109375","3453.2109375","2630.061279296875","2630.061279296875","2630.061279296875","3062.480712890625","3062.480712890625","3062.480712890625","3152.23291015625","3152.23291015625","3152.23291015625"
