"Step","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_Devign - shrinkage.l2_ratio","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_Devign - shrinkage.l2_ratio__MIN","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_Devign - shrinkage.l2_ratio__MAX","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_Devign - shrinkage.l2_ratio","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_Devign - shrinkage.l2_ratio__MIN","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_Devign - shrinkage.l2_ratio__MAX","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_Devign - shrinkage.l2_ratio","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_Devign - shrinkage.l2_ratio__MIN","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_Devign - shrinkage.l2_ratio__MAX","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - shrinkage.l2_ratio","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - shrinkage.l2_ratio__MIN","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - shrinkage.l2_ratio__MAX","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - shrinkage.l2_ratio","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - shrinkage.l2_ratio__MIN","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - shrinkage.l2_ratio__MAX","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - shrinkage.l2_ratio","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - shrinkage.l2_ratio__MIN","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - shrinkage.l2_ratio__MAX"
"599","6.3122687339782715","6.3122687339782715","6.3122687339782715","3.0394344329833984","3.0394344329833984","3.0394344329833984","1.262560248374939","1.262560248374939","1.262560248374939","6.331052780151367","6.331052780151367","6.331052780151367","3.052210807800293","3.052210807800293","3.052210807800293","1.2624790668487549","1.2624790668487549","1.2624790668487549"
"1199","6.421451568603516","6.421451568603516","6.421451568603516","3.085617780685425","3.085617780685425","3.085617780685425","1.2673110961914062","1.2673110961914062","1.2673110961914062","6.454038143157959","6.454038143157959","6.454038143157959","3.1117026805877686","3.1117026805877686","3.1117026805877686","1.2686855792999268","1.2686855792999268","1.2686855792999268"
"1799","6.453226566314697","6.453226566314697","6.453226566314697","3.1054065227508545","3.1054065227508545","3.1054065227508545","1.2696765661239624","1.2696765661239624","1.2696765661239624","6.487756252288818","6.487756252288818","6.487756252288818","3.128390073776245","3.128390073776245","3.128390073776245","1.2700899839401245","1.2700899839401245","1.2700899839401245"
"2399","6.460488796234131","6.460488796234131","6.460488796234131","3.114285707473755","3.114285707473755","3.114285707473755","1.2694514989852905","1.2694514989852905","1.2694514989852905","6.489013671875","6.489013671875","6.489013671875","3.130737543106079","3.130737543106079","3.130737543106079","1.270328164100647","1.270328164100647","1.270328164100647"
"2999","6.485861301422119","6.485861301422119","6.485861301422119","3.1206910610198975","3.1206910610198975","3.1206910610198975","1.2707244157791138","1.2707244157791138","1.2707244157791138","6.539498805999756","6.539498805999756","6.539498805999756","3.1376779079437256","3.1376779079437256","3.1376779079437256","1.2707791328430176","1.2707791328430176","1.2707791328430176"
"3599","6.527229309082031","6.527229309082031","6.527229309082031","3.1355295181274414","3.1355295181274414","3.1355295181274414","1.2714089155197144","1.2714089155197144","1.2714089155197144","6.532299995422363","6.532299995422363","6.532299995422363","3.13669753074646","3.13669753074646","3.13669753074646","1.2710986137390137","1.2710986137390137","1.2710986137390137"
"4199","6.53529691696167","6.53529691696167","6.53529691696167","3.1666934490203857","3.1666934490203857","3.1666934490203857","1.2713422775268555","1.2713422775268555","1.2713422775268555","6.562858581542969","6.562858581542969","6.562858581542969","3.1240298748016357","3.1240298748016357","3.1240298748016357","1.2720037698745728","1.2720037698745728","1.2720037698745728"
"4799","6.528695583343506","6.528695583343506","6.528695583343506","3.138338804244995","3.138338804244995","3.138338804244995","1.2710622549057007","1.2710622549057007","1.2710622549057007","6.567759990692139","6.567759990692139","6.567759990692139","3.144141674041748","3.144141674041748","3.144141674041748","1.2704030275344849","1.2704030275344849","1.2704030275344849"
"5399","6.544236660003662","6.544236660003662","6.544236660003662","3.1413910388946533","3.1413910388946533","3.1413910388946533","1.2708698511123657","1.2708698511123657","1.2708698511123657","6.516819953918457","6.516819953918457","6.516819953918457","3.1432881355285645","3.1432881355285645","3.1432881355285645","1.2705538272857666","1.2705538272857666","1.2705538272857666"
"5999","6.555854797363281","6.555854797363281","6.555854797363281","3.1413066387176514","3.1413066387176514","3.1413066387176514","1.2707700729370117","1.2707700729370117","1.2707700729370117","6.550680637359619","6.550680637359619","6.550680637359619","3.146074056625366","3.146074056625366","3.146074056625366","1.2709438800811768","1.2709438800811768","1.2709438800811768"
"6599","6.543229579925537","6.543229579925537","6.543229579925537","3.1465835571289062","3.1465835571289062","3.1465835571289062","1.271032691001892","1.271032691001892","1.271032691001892","6.557426452636719","6.557426452636719","6.557426452636719","3.1523475646972656","3.1523475646972656","3.1523475646972656","1.2716223001480103","1.2716223001480103","1.2716223001480103"
"7199","6.552297115325928","6.552297115325928","6.552297115325928","3.154966354370117","3.154966354370117","3.154966354370117","1.270758032798767","1.270758032798767","1.270758032798767","6.536363124847412","6.536363124847412","6.536363124847412","3.1491472721099854","3.1491472721099854","3.1491472721099854","1.2712171077728271","1.2712171077728271","1.2712171077728271"
"7799","6.554393768310547","6.554393768310547","6.554393768310547","3.1446597576141357","3.1446597576141357","3.1446597576141357","1.2708157300949097","1.2708157300949097","1.2708157300949097","6.534942150115967","6.534942150115967","6.534942150115967","3.1446645259857178","3.1446645259857178","3.1446645259857178","1.2710422277450562","1.2710422277450562","1.2710422277450562"
"8399","6.53395938873291","6.53395938873291","6.53395938873291","3.148594617843628","3.148594617843628","3.148594617843628","1.2710307836532593","1.2710307836532593","1.2710307836532593","6.536876678466797","6.536876678466797","6.536876678466797","3.1482303142547607","3.1482303142547607","3.1482303142547607","1.2710355520248413","1.2710355520248413","1.2710355520248413"
"8999","6.5634307861328125","6.5634307861328125","6.5634307861328125","3.1422760486602783","3.1422760486602783","3.1422760486602783","1.271288275718689","1.271288275718689","1.271288275718689","6.552420139312744","6.552420139312744","6.552420139312744","3.149599075317383","3.149599075317383","3.149599075317383","1.2714245319366455","1.2714245319366455","1.2714245319366455"
"9599","6.5640459060668945","6.5640459060668945","6.5640459060668945","3.143693208694458","3.143693208694458","3.143693208694458","1.2724577188491821","1.2724577188491821","1.2724577188491821","6.5570068359375","6.5570068359375","6.5570068359375","3.1628634929656982","3.1628634929656982","3.1628634929656982","1.270790934562683","1.270790934562683","1.270790934562683"
"10199","6.537243843078613","6.537243843078613","6.537243843078613","3.140406847000122","3.140406847000122","3.140406847000122","1.2714166641235352","1.2714166641235352","1.2714166641235352","6.529819011688232","6.529819011688232","6.529819011688232","3.1399574279785156","3.1399574279785156","3.1399574279785156","1.2712033987045288","1.2712033987045288","1.2712033987045288"
"10799","6.531071662902832","6.531071662902832","6.531071662902832","3.1439425945281982","3.1439425945281982","3.1439425945281982","1.2721668481826782","1.2721668481826782","1.2721668481826782","6.549314975738525","6.549314975738525","6.549314975738525","3.1463232040405273","3.1463232040405273","3.1463232040405273","1.2713912725448608","1.2713912725448608","1.2713912725448608"
"11399","6.552073955535889","6.552073955535889","6.552073955535889","3.1428205966949463","3.1428205966949463","3.1428205966949463","1.2718111276626587","1.2718111276626587","1.2718111276626587","6.5788798332214355","6.5788798332214355","6.5788798332214355","3.1439521312713623","3.1439521312713623","3.1439521312713623","1.2709071636199951","1.2709071636199951","1.2709071636199951"
"11999","6.542038917541504","6.542038917541504","6.542038917541504","3.1416358947753906","3.1416358947753906","3.1416358947753906","1.2712215185165405","1.2712215185165405","1.2712215185165405","6.591106414794922","6.591106414794922","6.591106414794922","3.1378512382507324","3.1378512382507324","3.1378512382507324","1.2713769674301147","1.2713769674301147","1.2713769674301147"
"12599","6.546685695648193","6.546685695648193","6.546685695648193","3.1508753299713135","3.1508753299713135","3.1508753299713135","1.272369146347046","1.272369146347046","1.272369146347046","6.528662204742432","6.528662204742432","6.528662204742432","3.145845651626587","3.145845651626587","3.145845651626587","1.2717894315719604","1.2717894315719604","1.2717894315719604"
"13199","6.554103374481201","6.554103374481201","6.554103374481201","3.1415014266967773","3.1415014266967773","3.1415014266967773","1.2719563245773315","1.2719563245773315","1.2719563245773315","6.564273357391357","6.564273357391357","6.564273357391357","3.1442248821258545","3.1442248821258545","3.1442248821258545","1.2711806297302246","1.2711806297302246","1.2711806297302246"
"13799","6.551768779754639","6.551768779754639","6.551768779754639","3.159773588180542","3.159773588180542","3.159773588180542","1.271480917930603","1.271480917930603","1.271480917930603","6.558539867401123","6.558539867401123","6.558539867401123","3.1493589878082275","3.1493589878082275","3.1493589878082275","1.2717281579971313","1.2717281579971313","1.2717281579971313"
"14399","6.555152893066406","6.555152893066406","6.555152893066406","3.151057720184326","3.151057720184326","3.151057720184326","1.272755742073059","1.272755742073059","1.272755742073059","6.548423767089844","6.548423767089844","6.548423767089844","3.1496732234954834","3.1496732234954834","3.1496732234954834","1.2715572118759155","1.2715572118759155","1.2715572118759155"
"14999","6.552775859832764","6.552775859832764","6.552775859832764","3.1499340534210205","3.1499340534210205","3.1499340534210205","1.271744966506958","1.271744966506958","1.271744966506958","6.555264472961426","6.555264472961426","6.555264472961426","3.137082576751709","3.137082576751709","3.137082576751709","1.2719342708587646","1.2719342708587646","1.2719342708587646"
"15599","6.546124458312988","6.546124458312988","6.546124458312988","3.151810884475708","3.151810884475708","3.151810884475708","1.2711868286132812","1.2711868286132812","1.2711868286132812","6.5521240234375","6.5521240234375","6.5521240234375","3.1574807167053223","3.1574807167053223","3.1574807167053223","1.2716072797775269","1.2716072797775269","1.2716072797775269"
"16199","6.5489959716796875","6.5489959716796875","6.5489959716796875","3.1424052715301514","3.1424052715301514","3.1424052715301514","1.272290587425232","1.272290587425232","1.272290587425232","6.555352687835693","6.555352687835693","6.555352687835693","3.1424612998962402","3.1424612998962402","3.1424612998962402","1.2715716361999512","1.2715716361999512","1.2715716361999512"
"16799","6.558503150939941","6.558503150939941","6.558503150939941","3.1466429233551025","3.1466429233551025","3.1466429233551025","1.270567774772644","1.270567774772644","1.270567774772644","6.546530246734619","6.546530246734619","6.546530246734619","3.1482837200164795","3.1482837200164795","3.1482837200164795","1.2717565298080444","1.2717565298080444","1.2717565298080444"
"17399","6.5569939613342285","6.5569939613342285","6.5569939613342285","3.1620025634765625","3.1620025634765625","3.1620025634765625","1.271929144859314","1.271929144859314","1.271929144859314","6.545909404754639","6.545909404754639","6.545909404754639","3.1424453258514404","3.1424453258514404","3.1424453258514404","1.2712684869766235","1.2712684869766235","1.2712684869766235"
"17999","6.545361518859863","6.545361518859863","6.545361518859863","3.152390241622925","3.152390241622925","3.152390241622925","1.2726025581359863","1.2726025581359863","1.2726025581359863","6.556605815887451","6.556605815887451","6.556605815887451","3.1564993858337402","3.1564993858337402","3.1564993858337402","1.2719491720199585","1.2719491720199585","1.2719491720199585"
"18599","6.555777072906494","6.555777072906494","6.555777072906494","3.1486001014709473","3.1486001014709473","3.1486001014709473","1.2708402872085571","1.2708402872085571","1.2708402872085571","6.567454814910889","6.567454814910889","6.567454814910889","3.1463725566864014","3.1463725566864014","3.1463725566864014","1.2714697122573853","1.2714697122573853","1.2714697122573853"
"19199","6.563747406005859","6.563747406005859","6.563747406005859","3.138240098953247","3.138240098953247","3.138240098953247","1.2719215154647827","1.2719215154647827","1.2719215154647827","6.549695014953613","6.549695014953613","6.549695014953613","3.1541011333465576","3.1541011333465576","3.1541011333465576","1.271651268005371","1.271651268005371","1.271651268005371"
