"Step","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_Devign - losses/mse_loss","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_Devign - losses/mse_loss__MIN","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_Devign - losses/mse_loss__MAX","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_Devign - losses/mse_loss","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_Devign - losses/mse_loss__MIN","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_Devign - losses/mse_loss__MAX","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_Devign - losses/mse_loss","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_Devign - losses/mse_loss__MIN","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_Devign - losses/mse_loss__MAX","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - losses/mse_loss","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - losses/mse_loss__MIN","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - losses/mse_loss__MAX","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - losses/mse_loss","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - losses/mse_loss__MIN","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - losses/mse_loss__MAX","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - losses/mse_loss","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - losses/mse_loss__MIN","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - losses/mse_loss__MAX"
"29","8990.9443359375","8990.9443359375","8990.9443359375","2156.834716796875","2156.834716796875","2156.834716796875","282.3398132324219","282.3398132324219","282.3398132324219","8983.8115234375","8983.8115234375","8983.8115234375","2149.316162109375","2149.316162109375","2149.316162109375","304.67779541015625","304.67779541015625","304.67779541015625"
"59","4272.98779296875","4272.98779296875","4272.98779296875","1018.845458984375","1018.845458984375","1018.845458984375","74.52375793457031","74.52375793457031","74.52375793457031","4265.4296875","4265.4296875","4265.4296875","1012.4947509765625","1012.4947509765625","1012.4947509765625","77.34041595458984","77.34041595458984","77.34041595458984"
"89","3492.323974609375","3492.323974609375","3492.323974609375","862.447509765625","862.447509765625","862.447509765625","52.13551712036133","52.13551712036133","52.13551712036133","3485.291748046875","3485.291748046875","3485.291748046875","854.9026489257812","854.9026489257812","854.9026489257812","50.89445114135742","50.89445114135742","50.89445114135742"
"119","3505.405029296875","3505.405029296875","3505.405029296875","814.8287353515625","814.8287353515625","814.8287353515625","50.82086944580078","50.82086944580078","50.82086944580078","3498.749267578125","3498.749267578125","3498.749267578125","808.6296997070312","808.6296997070312","808.6296997070312","49.12665939331055","49.12665939331055","49.12665939331055"
"149","43925.75","43925.75","43925.75","35533.34375","35533.34375","35533.34375","45.649227142333984","45.649227142333984","45.649227142333984","43881.4609375","43881.4609375","43881.4609375","35464.46484375","35464.46484375","35464.46484375","43.24885559082031","43.24885559082031","43.24885559082031"
"179","34640.8125","34640.8125","34640.8125","27554.5546875","27554.5546875","27554.5546875","34.24493408203125","34.24493408203125","34.24493408203125","34590.4765625","34590.4765625","34590.4765625","27482.689453125","27482.689453125","27482.689453125","31.899755477905273","31.899755477905273","31.899755477905273"
"209","2301.45458984375","2301.45458984375","2301.45458984375","489.3958740234375","489.3958740234375","489.3958740234375","27.74341583251953","27.74341583251953","27.74341583251953","2296.62646484375","2296.62646484375","2296.62646484375","485.51678466796875","485.51678466796875","485.51678466796875","25.98326873779297","25.98326873779297","25.98326873779297"
"239","2226.958740234375","2226.958740234375","2226.958740234375","458.39166259765625","458.39166259765625","458.39166259765625","24.972946166992188","24.972946166992188","24.972946166992188","2222.4599609375","2222.4599609375","2222.4599609375","455.05560302734375","455.05560302734375","455.05560302734375","23.28218650817871","23.28218650817871","23.28218650817871"
"269","2198.081298828125","2198.081298828125","2198.081298828125","421.2719421386719","421.2719421386719","421.2719421386719","18.68829345703125","18.68829345703125","18.68829345703125","2193.42578125","2193.42578125","2193.42578125","418.9623718261719","418.9623718261719","418.9623718261719","17.363500595092773","17.363500595092773","17.363500595092773"
"299","2013.215576171875","2013.215576171875","2013.215576171875","458.060302734375","458.060302734375","458.060302734375","26.473087310791016","26.473087310791016","26.473087310791016","2009.0963134765625","2009.0963134765625","2009.0963134765625","455.2508239746094","455.2508239746094","455.2508239746094","24.53854751586914","24.53854751586914","24.53854751586914"
"329","1022.887451171875","1022.887451171875","1022.887451171875","240.0097198486328","240.0097198486328","240.0097198486328","18.500038146972656","18.500038146972656","18.500038146972656","1020.822021484375","1020.822021484375","1020.822021484375","238.9106903076172","238.9106903076172","238.9106903076172","17.174015045166016","17.174015045166016","17.174015045166016"
"359","837.5977172851562","837.5977172851562","837.5977172851562","184.50746154785156","184.50746154785156","184.50746154785156","13.663846969604492","13.663846969604492","13.663846969604492","836.9409790039062","836.9409790039062","836.9409790039062","184.90975952148438","184.90975952148438","184.90975952148438","12.6798677444458","12.6798677444458","12.6798677444458"
"389","875.2592163085938","875.2592163085938","875.2592163085938","218.43382263183594","218.43382263183594","218.43382263183594","13.067519187927246","13.067519187927246","13.067519187927246","877.6792602539062","877.6792602539062","877.6792602539062","217.384765625","217.384765625","217.384765625","12.165031433105469","12.165031433105469","12.165031433105469"
"419","947.4776611328125","947.4776611328125","947.4776611328125","195.9764404296875","195.9764404296875","195.9764404296875","12.32071304321289","12.32071304321289","12.32071304321289","938.3780517578125","938.3780517578125","938.3780517578125","194.7911834716797","194.7911834716797","194.7911834716797","11.405253410339355","11.405253410339355","11.405253410339355"
"449","838.9608154296875","838.9608154296875","838.9608154296875","160.53988647460938","160.53988647460938","160.53988647460938","9.893821716308594","9.893821716308594","9.893821716308594","834.01318359375","834.01318359375","834.01318359375","161.38790893554688","161.38790893554688","161.38790893554688","9.135404586791992","9.135404586791992","9.135404586791992"
"479","815.3923950195312","815.3923950195312","815.3923950195312","186.64459228515625","186.64459228515625","186.64459228515625","11.673737525939941","11.673737525939941","11.673737525939941","812.4791870117188","812.4791870117188","812.4791870117188","187.38211059570312","187.38211059570312","187.38211059570312","10.799970626831055","10.799970626831055","10.799970626831055"
"509","627.0877075195312","627.0877075195312","627.0877075195312","129.95712280273438","129.95712280273438","129.95712280273438","7.958486080169678","7.958486080169678","7.958486080169678","626.606689453125","626.606689453125","626.606689453125","128.9452667236328","128.9452667236328","128.9452667236328","7.275837421417236","7.275837421417236","7.275837421417236"
"539","716.6170043945312","716.6170043945312","716.6170043945312","185.92759704589844","185.92759704589844","185.92759704589844","8.929484367370605","8.929484367370605","8.929484367370605","710.2195434570312","710.2195434570312","710.2195434570312","195.28550720214844","195.28550720214844","195.28550720214844","8.226746559143066","8.226746559143066","8.226746559143066"
