"Step","layer_10_residual_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l0","layer_10_residual_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l0__MIN","layer_10_residual_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l0__MAX","layer_10_residual_mid_gpt2_topk_fisher_false_project_Devign - sparsity.l0","layer_10_residual_mid_gpt2_topk_fisher_false_project_Devign - sparsity.l0__MIN","layer_10_residual_mid_gpt2_topk_fisher_false_project_Devign - sparsity.l0__MAX","layer_10_residual_mid_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l0","layer_10_residual_mid_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l0__MIN","layer_10_residual_mid_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l0__MAX","layer_10_residual_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l0","layer_10_residual_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l0__MIN","layer_10_residual_mid_gpt2_gated_fisher_false_project_Devign - sparsity.l0__MAX","layer_10_residual_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l0","layer_10_residual_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l0__MIN","layer_10_residual_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l0__MAX","layer_10_residual_mid_gpt2_topk_fisher_true_project_Devign - sparsity.l0","layer_10_residual_mid_gpt2_topk_fisher_true_project_Devign - sparsity.l0__MIN","layer_10_residual_mid_gpt2_topk_fisher_true_project_Devign - sparsity.l0__MAX","layer_10_residual_mid_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l0","layer_10_residual_mid_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l0__MIN","layer_10_residual_mid_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l0__MAX","layer_10_residual_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l0","layer_10_residual_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l0__MIN","layer_10_residual_mid_gpt2_gated_fisher_true_project_Devign - sparsity.l0__MAX"
"599","12113.2685546875","12113.2685546875","12113.2685546875","100","100","100","12110.40625","12110.40625","12110.40625","4181.037109375","4181.037109375","4181.037109375","11877.8486328125","11877.8486328125","11877.8486328125","100","100","100","11871.6318359375","11871.6318359375","11871.6318359375","4168.8525390625","4168.8525390625","4168.8525390625"
"1199","12068.908203125","12068.908203125","12068.908203125","100","100","100","12065.6005859375","12065.6005859375","12065.6005859375","2655.485595703125","2655.485595703125","2655.485595703125","11327.2685546875","11327.2685546875","11327.2685546875","100","100","100","11315.583984375","11315.583984375","11315.583984375","2641.581298828125","2641.581298828125","2641.581298828125"
"1799","11986.8642578125","11986.8642578125","11986.8642578125","100","100","100","11982.5029296875","11982.5029296875","11982.5029296875","1852.2562255859375","1852.2562255859375","1852.2562255859375","10572.2392578125","10572.2392578125","10572.2392578125","100","100","100","10555.091796875","10555.091796875","10555.091796875","1835.1455078125","1835.1455078125","1835.1455078125"
"2399","11925.0498046875","11925.0498046875","11925.0498046875","100","100","100","11920.1611328125","11920.1611328125","11920.1611328125","1290.2242431640625","1290.2242431640625","1290.2242431640625","9934.7763671875","9934.7763671875","9934.7763671875","100","100","100","9915.150390625","9915.150390625","9915.150390625","1272.5980224609375","1272.5980224609375","1272.5980224609375"
"2999","11889.5869140625","11889.5869140625","11889.5869140625","100","100","100","11884.09375","11884.09375","11884.09375","974.9693603515625","974.9693603515625","974.9693603515625","9741.0341796875","9741.0341796875","9741.0341796875","100","100","100","9719.7734375","9719.7734375","9719.7734375","961.080078125","961.080078125","961.080078125"
"3599","11870.03125","11870.03125","11870.03125","100","100","100","11863.9267578125","11863.9267578125","11863.9267578125","796.1488647460938","796.1488647460938","796.1488647460938","9298.9267578125","9298.9267578125","9298.9267578125","100","100","100","9275.9833984375","9275.9833984375","9275.9833984375","784.5814819335938","784.5814819335938","784.5814819335938"
"4199","11924.9755859375","11924.9755859375","11924.9755859375","100","100","100","11919.958984375","11919.958984375","11919.958984375","608.2518310546875","608.2518310546875","608.2518310546875","9471.6376953125","9471.6376953125","9471.6376953125","100","100","100","9447.6044921875","9447.6044921875","9447.6044921875","602.459716796875","602.459716796875","602.459716796875"
"4799","11993.2177734375","11993.2177734375","11993.2177734375","100","100","100","11989.296875","11989.296875","11989.296875","497.9761657714844","497.9761657714844","497.9761657714844","9679.443359375","9679.443359375","9679.443359375","100","100","100","9656.310546875","9656.310546875","9656.310546875","494.14678955078125","494.14678955078125","494.14678955078125"
"5399","12015.2744140625","12015.2744140625","12015.2744140625","100","100","100","12010.314453125","12010.314453125","12010.314453125","422.50225830078125","422.50225830078125","422.50225830078125","9852.7841796875","9852.7841796875","9852.7841796875","100","100","100","9829.291015625","9829.291015625","9829.291015625","420.1915588378906","420.1915588378906","420.1915588378906"
"5999","12072.1240234375","12072.1240234375","12072.1240234375","100","100","100","12068.822265625","12068.822265625","12068.822265625","359.893798828125","359.893798828125","359.893798828125","10136.947265625","10136.947265625","10136.947265625","100","100","100","10113.3203125","10113.3203125","10113.3203125","358.5452575683594","358.5452575683594","358.5452575683594"
