"Step","layer_5_residual_mid_gpt2_standard_fisher_false_project_Devign - shrinkage.l2_ratio","layer_5_residual_mid_gpt2_standard_fisher_false_project_Devign - shrinkage.l2_ratio__MIN","layer_5_residual_mid_gpt2_standard_fisher_false_project_Devign - shrinkage.l2_ratio__MAX","layer_5_residual_mid_gpt2_topk_fisher_false_project_Devign - shrinkage.l2_ratio","layer_5_residual_mid_gpt2_topk_fisher_false_project_Devign - shrinkage.l2_ratio__MIN","layer_5_residual_mid_gpt2_topk_fisher_false_project_Devign - shrinkage.l2_ratio__MAX","layer_5_residual_mid_gpt2_jumprelu_fisher_false_project_Devign - shrinkage.l2_ratio","layer_5_residual_mid_gpt2_jumprelu_fisher_false_project_Devign - shrinkage.l2_ratio__MIN","layer_5_residual_mid_gpt2_jumprelu_fisher_false_project_Devign - shrinkage.l2_ratio__MAX","layer_5_residual_mid_gpt2_gated_fisher_false_project_Devign - shrinkage.l2_ratio","layer_5_residual_mid_gpt2_gated_fisher_false_project_Devign - shrinkage.l2_ratio__MIN","layer_5_residual_mid_gpt2_gated_fisher_false_project_Devign - shrinkage.l2_ratio__MAX","layer_5_residual_mid_gpt2_standard_fisher_true_project_Devign - shrinkage.l2_ratio","layer_5_residual_mid_gpt2_standard_fisher_true_project_Devign - shrinkage.l2_ratio__MIN","layer_5_residual_mid_gpt2_standard_fisher_true_project_Devign - shrinkage.l2_ratio__MAX","layer_5_residual_mid_gpt2_topk_fisher_true_project_Devign - shrinkage.l2_ratio","layer_5_residual_mid_gpt2_topk_fisher_true_project_Devign - shrinkage.l2_ratio__MIN","layer_5_residual_mid_gpt2_topk_fisher_true_project_Devign - shrinkage.l2_ratio__MAX","layer_5_residual_mid_gpt2_jumprelu_fisher_true_project_Devign - shrinkage.l2_ratio","layer_5_residual_mid_gpt2_jumprelu_fisher_true_project_Devign - shrinkage.l2_ratio__MIN","layer_5_residual_mid_gpt2_jumprelu_fisher_true_project_Devign - shrinkage.l2_ratio__MAX","layer_5_residual_mid_gpt2_gated_fisher_true_project_Devign - shrinkage.l2_ratio","layer_5_residual_mid_gpt2_gated_fisher_true_project_Devign - shrinkage.l2_ratio__MIN","layer_5_residual_mid_gpt2_gated_fisher_true_project_Devign - shrinkage.l2_ratio__MAX"
"599","3.0394809246063232","3.0394809246063232","3.0394809246063232","2.7220139503479004","2.7220139503479004","2.7220139503479004","3.0394344329833984","3.0394344329833984","3.0394344329833984","3.0323750972747803","3.0323750972747803","3.0323750972747803","3.052241086959839","3.052241086959839","3.052241086959839","2.7220041751861572","2.7220041751861572","2.7220041751861572","3.052210807800293","3.052210807800293","3.052210807800293","3.0325124263763428","3.0325124263763428","3.0325124263763428"
"1199","3.085603952407837","3.085603952407837","3.085603952407837","2.812751054763794","2.812751054763794","2.812751054763794","3.085617780685425","3.085617780685425","3.085617780685425","3.0471324920654297","3.0471324920654297","3.0471324920654297","3.111802816390991","3.111802816390991","3.111802816390991","2.814058303833008","2.814058303833008","2.814058303833008","3.1117026805877686","3.1117026805877686","3.1117026805877686","3.046875","3.046875","3.046875"
"1799","3.105517625808716","3.105517625808716","3.105517625808716","2.857691526412964","2.857691526412964","2.857691526412964","3.1054065227508545","3.1054065227508545","3.1054065227508545","3.002667188644409","3.002667188644409","3.002667188644409","3.1282780170440674","3.1282780170440674","3.1282780170440674","2.85896635055542","2.85896635055542","2.85896635055542","3.128390073776245","3.128390073776245","3.128390073776245","3.004411458969116","3.004411458969116","3.004411458969116"
"2399","3.114257335662842","3.114257335662842","3.114257335662842","2.912243604660034","2.912243604660034","2.912243604660034","3.114285707473755","3.114285707473755","3.114285707473755","2.971410036087036","2.971410036087036","2.971410036087036","3.1307599544525146","3.1307599544525146","3.1307599544525146","2.9135587215423584","2.9135587215423584","2.9135587215423584","3.130737543106079","3.130737543106079","3.130737543106079","2.9701170921325684","2.9701170921325684","2.9701170921325684"
"2999","3.1206071376800537","3.1206071376800537","3.1206071376800537","2.9502739906311035","2.9502739906311035","2.9502739906311035","3.1206910610198975","3.1206910610198975","3.1206910610198975","3.0111806392669678","3.0111806392669678","3.0111806392669678","3.1380398273468018","3.1380398273468018","3.1380398273468018","2.9498302936553955","2.9498302936553955","2.9498302936553955","3.1376779079437256","3.1376779079437256","3.1376779079437256","3.01203989982605","3.01203989982605","3.01203989982605"
"3599","3.1342525482177734","3.1342525482177734","3.1342525482177734","2.96514630317688","2.96514630317688","2.96514630317688","3.1355295181274414","3.1355295181274414","3.1355295181274414","2.9989264011383057","2.9989264011383057","2.9989264011383057","3.1355721950531006","3.1355721950531006","3.1355721950531006","2.9653756618499756","2.9653756618499756","2.9653756618499756","3.13669753074646","3.13669753074646","3.13669753074646","2.9983344078063965","2.9983344078063965","2.9983344078063965"
"4199","3.1754987239837646","3.1754987239837646","3.1754987239837646","2.9915578365325928","2.9915578365325928","2.9915578365325928","3.1666934490203857","3.1666934490203857","3.1666934490203857","3.055880308151245","3.055880308151245","3.055880308151245","3.1255085468292236","3.1255085468292236","3.1255085468292236","2.991806745529175","2.991806745529175","2.991806745529175","3.1240298748016357","3.1240298748016357","3.1240298748016357","3.0580356121063232","3.0580356121063232","3.0580356121063232"
"4799","3.144469976425171","3.144469976425171","3.144469976425171","3.001725435256958","3.001725435256958","3.001725435256958","3.138338804244995","3.138338804244995","3.138338804244995","3.03116774559021","3.03116774559021","3.03116774559021","3.1430606842041016","3.1430606842041016","3.1430606842041016","3.001730442047119","3.001730442047119","3.001730442047119","3.144141674041748","3.144141674041748","3.144141674041748","3.029135227203369","3.029135227203369","3.029135227203369"
"5399","3.1596932411193848","3.1596932411193848","3.1596932411193848","3.005211591720581","3.005211591720581","3.005211591720581","3.1413910388946533","3.1413910388946533","3.1413910388946533","3.0275168418884277","3.0275168418884277","3.0275168418884277","3.144026756286621","3.144026756286621","3.144026756286621","3.0077474117279053","3.0077474117279053","3.0077474117279053","3.1432881355285645","3.1432881355285645","3.1432881355285645","3.0278897285461426","3.0278897285461426","3.0278897285461426"
"5999","3.129458427429199","3.129458427429199","3.129458427429199","3.0184452533721924","3.0184452533721924","3.0184452533721924","3.1413066387176514","3.1413066387176514","3.1413066387176514","3.0433831214904785","3.0433831214904785","3.0433831214904785","3.1381008625030518","3.1381008625030518","3.1381008625030518","3.019571542739868","3.019571542739868","3.019571542739868","3.146074056625366","3.146074056625366","3.146074056625366","3.041700839996338","3.041700839996338","3.041700839996338"
