"Step","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - losses/mse_loss","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - losses/mse_loss__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - losses/mse_loss__MAX","layer_5_hook_resid_mid_gpt2_topk_fisher_false_project_Devign - losses/mse_loss","layer_5_hook_resid_mid_gpt2_topk_fisher_false_project_Devign - losses/mse_loss__MIN","layer_5_hook_resid_mid_gpt2_topk_fisher_false_project_Devign - losses/mse_loss__MAX","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_Devign - losses/mse_loss","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_Devign - losses/mse_loss__MIN","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_Devign - losses/mse_loss__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - losses/mse_loss","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - losses/mse_loss__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_Devign - losses/mse_loss__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - losses/mse_loss","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - losses/mse_loss__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - losses/mse_loss__MAX","layer_5_hook_resid_mid_gpt2_topk_fisher_true_project_Devign - losses/mse_loss","layer_5_hook_resid_mid_gpt2_topk_fisher_true_project_Devign - losses/mse_loss__MIN","layer_5_hook_resid_mid_gpt2_topk_fisher_true_project_Devign - losses/mse_loss__MAX","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - losses/mse_loss","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - losses/mse_loss__MIN","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - losses/mse_loss__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - losses/mse_loss","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - losses/mse_loss__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_Devign - losses/mse_loss__MAX"
"29","2157.03955078125","2157.03955078125","2157.03955078125","6065.9375","6065.9375","6065.9375","2156.834716796875","2156.834716796875","2156.834716796875","2503.50830078125","2503.50830078125","2503.50830078125","2149.560546875","2149.560546875","2149.560546875","6065.9287109375","6065.9287109375","6065.9287109375","2149.316162109375","2149.316162109375","2149.316162109375","2503.872802734375","2503.872802734375","2503.872802734375"
"59","1018.8203125","1018.8203125","1018.8203125","4674.7119140625","4674.7119140625","4674.7119140625","1018.845458984375","1018.845458984375","1018.845458984375","1295.64794921875","1295.64794921875","1295.64794921875","1012.4547729492188","1012.4547729492188","1012.4547729492188","4674.65478515625","4674.65478515625","4674.65478515625","1012.4947509765625","1012.4947509765625","1012.4947509765625","1294.322265625","1294.322265625","1294.322265625"
"89","862.3461303710938","862.3461303710938","862.3461303710938","4038.639404296875","4038.639404296875","4038.639404296875","862.447509765625","862.447509765625","862.447509765625","1103.96435546875","1103.96435546875","1103.96435546875","854.7857055664062","854.7857055664062","854.7857055664062","4038.65625","4038.65625","4038.65625","854.9026489257812","854.9026489257812","854.9026489257812","1102.6552734375","1102.6552734375","1102.6552734375"
"119","814.7177734375","814.7177734375","814.7177734375","3993.011474609375","3993.011474609375","3993.011474609375","814.8287353515625","814.8287353515625","814.8287353515625","1087.6380615234375","1087.6380615234375","1087.6380615234375","808.5079345703125","808.5079345703125","808.5079345703125","3993.081787109375","3993.081787109375","3993.081787109375","808.6296997070312","808.6296997070312","808.6296997070312","1086.9193115234375","1086.9193115234375","1086.9193115234375"
"149","35532.80859375","35532.80859375","35532.80859375","85566.78125","85566.78125","85566.78125","35533.34375","35533.34375","35533.34375","35921.21484375","35921.21484375","35921.21484375","35463.28125","35463.28125","35463.28125","85567.015625","85567.015625","85567.015625","35464.46484375","35464.46484375","35464.46484375","35915.1484375","35915.1484375","35915.1484375"
"179","27553.634765625","27553.634765625","27553.634765625","84468.0859375","84468.0859375","84468.0859375","27554.5546875","27554.5546875","27554.5546875","28178.822265625","28178.822265625","28178.822265625","27480.6796875","27480.6796875","27480.6796875","84468.5078125","84468.5078125","84468.5078125","27482.689453125","27482.689453125","27482.689453125","28169.662109375","28169.662109375","28169.662109375"
"209","489.2696228027344","489.2696228027344","489.2696228027344","2630.9892578125","2630.9892578125","2630.9892578125","489.3958740234375","489.3958740234375","489.3958740234375","730.0305786132812","730.0305786132812","730.0305786132812","485.3856506347656","485.3856506347656","485.3856506347656","2631.936767578125","2631.936767578125","2631.936767578125","485.51678466796875","485.51678466796875","485.51678466796875","729.3343505859375","729.3343505859375","729.3343505859375"
"239","458.2931213378906","458.2931213378906","458.2931213378906","2401.203369140625","2401.203369140625","2401.203369140625","458.39166259765625","458.39166259765625","458.39166259765625","712.52294921875","712.52294921875","712.52294921875","454.9504699707031","454.9504699707031","454.9504699707031","2401.3154296875","2401.3154296875","2401.3154296875","455.05560302734375","455.05560302734375","455.05560302734375","711.8917236328125","711.8917236328125","711.8917236328125"
"269","421.08489990234375","421.08489990234375","421.08489990234375","2097.216796875","2097.216796875","2097.216796875","421.2719421386719","421.2719421386719","421.2719421386719","636.1515502929688","636.1515502929688","636.1515502929688","418.7732849121094","418.7732849121094","418.7732849121094","2097.1728515625","2097.1728515625","2097.1728515625","418.9623718261719","418.9623718261719","418.9623718261719","635.489013671875","635.489013671875","635.489013671875"
"299","457.91522216796875","457.91522216796875","457.91522216796875","2341.400390625","2341.400390625","2341.400390625","458.060302734375","458.060302734375","458.060302734375","755.7059326171875","755.7059326171875","755.7059326171875","455.1022644042969","455.1022644042969","455.1022644042969","2341.010009765625","2341.010009765625","2341.010009765625","455.2508239746094","455.2508239746094","455.2508239746094","755.3812866210938","755.3812866210938","755.3812866210938"
