"Step","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l1","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l1__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l1__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l1","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l1__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l1__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l1","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l1__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - sparsity.l1__MAX","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l1","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l1__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l1__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l1","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l1__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l1__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l1","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l1__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - sparsity.l1__MAX"
"599","4309.5810546875","4309.5810546875","4309.5810546875","4269.25390625","4269.25390625","4269.25390625","4381.88525390625","4381.88525390625","4381.88525390625","3780.066162109375","3780.066162109375","3780.066162109375","3294.884521484375","3294.884521484375","3294.884521484375","3697.173583984375","3697.173583984375","3697.173583984375"
"1199","4272.849609375","4272.849609375","4272.849609375","4280.91455078125","4280.91455078125","4280.91455078125","4265.65283203125","4265.65283203125","4265.65283203125","3315.27392578125","3315.27392578125","3315.27392578125","2867.87646484375","2867.87646484375","2867.87646484375","3373.799560546875","3373.799560546875","3373.799560546875"
"1799","4081.61328125","4081.61328125","4081.61328125","4104.71826171875","4104.71826171875","4104.71826171875","4092.68408203125","4092.68408203125","4092.68408203125","2885.001708984375","2885.001708984375","2885.001708984375","2634.068115234375","2634.068115234375","2634.068115234375","3234.61328125","3234.61328125","3234.61328125"
"2399","3961.11962890625","3961.11962890625","3961.11962890625","4067.49609375","4067.49609375","4067.49609375","3943.909423828125","3943.909423828125","3943.909423828125","2596.778076171875","2596.778076171875","2596.778076171875","2555.00439453125","2555.00439453125","2555.00439453125","3195.02783203125","3195.02783203125","3195.02783203125"
"2999","3810.41650390625","3810.41650390625","3810.41650390625","4002.156005859375","4002.156005859375","4002.156005859375","3826.571044921875","3826.571044921875","3826.571044921875","2434.236572265625","2434.236572265625","2434.236572265625","2529.469482421875","2529.469482421875","2529.469482421875","3210.470458984375","3210.470458984375","3210.470458984375"
"3599","3765.197998046875","3765.197998046875","3765.197998046875","3977.532958984375","3977.532958984375","3977.532958984375","3701.032470703125","3701.032470703125","3701.032470703125","2226.19482421875","2226.19482421875","2226.19482421875","2476.635009765625","2476.635009765625","2476.635009765625","3203.87109375","3203.87109375","3203.87109375"
"4199","3793.29541015625","3793.29541015625","3793.29541015625","4030.171142578125","4030.171142578125","4030.171142578125","3620.482177734375","3620.482177734375","3620.482177734375","2187.46533203125","2187.46533203125","2187.46533203125","2614.731201171875","2614.731201171875","2614.731201171875","3219.035888671875","3219.035888671875","3219.035888671875"
"4799","3945.75390625","3945.75390625","3945.75390625","4041.857177734375","4041.857177734375","4041.857177734375","3562.26611328125","3562.26611328125","3562.26611328125","2287.528076171875","2287.528076171875","2287.528076171875","2780.596435546875","2780.596435546875","2780.596435546875","3170.674560546875","3170.674560546875","3170.674560546875"
"5399","4012.540283203125","4012.540283203125","4012.540283203125","3944.529052734375","3944.529052734375","3944.529052734375","3481.543701171875","3481.543701171875","3481.543701171875","2379.992919921875","2379.992919921875","2379.992919921875","2851.098388671875","2851.098388671875","2851.098388671875","3134.934814453125","3134.934814453125","3134.934814453125"
"5999","4148.39208984375","4148.39208984375","4148.39208984375","3963.07470703125","3963.07470703125","3963.07470703125","3448.853271484375","3448.853271484375","3448.853271484375","2632.921630859375","2632.921630859375","2632.921630859375","3087.550537109375","3087.550537109375","3087.550537109375","3114.23095703125","3114.23095703125","3114.23095703125"
"6599","4145.01611328125","4145.01611328125","4145.01611328125","3892.288818359375","3892.288818359375","3892.288818359375","3371.483154296875","3371.483154296875","3371.483154296875","2745.224365234375","2745.224365234375","2745.224365234375","3119.260009765625","3119.260009765625","3119.260009765625","3085.319091796875","3085.319091796875","3085.319091796875"
"7199","4159.66943359375","4159.66943359375","4159.66943359375","3841.817138671875","3841.817138671875","3841.817138671875","3317.577392578125","3317.577392578125","3317.577392578125","2932.0263671875","2932.0263671875","2932.0263671875","3204.645263671875","3204.645263671875","3204.645263671875","3040.759033203125","3040.759033203125","3040.759033203125"
"7799","4104.6064453125","4104.6064453125","4104.6064453125","3892.415771484375","3892.415771484375","3892.415771484375","3296.31689453125","3296.31689453125","3296.31689453125","3117.4189453125","3117.4189453125","3117.4189453125","3369.949951171875","3369.949951171875","3369.949951171875","3013.696044921875","3013.696044921875","3013.696044921875"
"8399","4031.00634765625","4031.00634765625","4031.00634765625","3697.881591796875","3697.881591796875","3697.881591796875","3212.365966796875","3212.365966796875","3212.365966796875","3243.309814453125","3243.309814453125","3243.309814453125","3364.3203125","3364.3203125","3364.3203125","2999.870849609375","2999.870849609375","2999.870849609375"
"8999","4025.55712890625","4025.55712890625","4025.55712890625","3721.5078125","3721.5078125","3721.5078125","3202.641845703125","3202.641845703125","3202.641845703125","3387.560546875","3387.560546875","3387.560546875","3379.048583984375","3379.048583984375","3379.048583984375","2970.52197265625","2970.52197265625","2970.52197265625"
"9599","3995.356201171875","3995.356201171875","3995.356201171875","3706.15478515625","3706.15478515625","3706.15478515625","3143.113037109375","3143.113037109375","3143.113037109375","3527.231201171875","3527.231201171875","3527.231201171875","3454.49267578125","3454.49267578125","3454.49267578125","2938.752685546875","2938.752685546875","2938.752685546875"
"10199","4026.638427734375","4026.638427734375","4026.638427734375","3725.276611328125","3725.276611328125","3725.276611328125","3133.333251953125","3133.333251953125","3133.333251953125","3565.208251953125","3565.208251953125","3565.208251953125","3476.552490234375","3476.552490234375","3476.552490234375","2918.58056640625","2918.58056640625","2918.58056640625"
"10799","3984.110107421875","3984.110107421875","3984.110107421875","3656.276611328125","3656.276611328125","3656.276611328125","3087.892333984375","3087.892333984375","3087.892333984375","3632.11572265625","3632.11572265625","3632.11572265625","3466.82666015625","3466.82666015625","3466.82666015625","2891.851806640625","2891.851806640625","2891.851806640625"
"11399","3910.653076171875","3910.653076171875","3910.653076171875","3622.283935546875","3622.283935546875","3622.283935546875","3048.634765625","3048.634765625","3048.634765625","3615.453857421875","3615.453857421875","3615.453857421875","3461.69921875","3461.69921875","3461.69921875","2877.783935546875","2877.783935546875","2877.783935546875"
"11999","3931.397705078125","3931.397705078125","3931.397705078125","3584.983642578125","3584.983642578125","3584.983642578125","3018.832275390625","3018.832275390625","3018.832275390625","3717.37548828125","3717.37548828125","3717.37548828125","3390.99658203125","3390.99658203125","3390.99658203125","2852.740966796875","2852.740966796875","2852.740966796875"
"12599","3826.375732421875","3826.375732421875","3826.375732421875","3467.819091796875","3467.819091796875","3467.819091796875","2955.551513671875","2955.551513671875","2955.551513671875","3771.22900390625","3771.22900390625","3771.22900390625","3373.285888671875","3373.285888671875","3373.285888671875","2844.23828125","2844.23828125","2844.23828125"
"13199","3942.193115234375","3942.193115234375","3942.193115234375","3538.149658203125","3538.149658203125","3538.149658203125","2980.229248046875","2980.229248046875","2980.229248046875","3807.926513671875","3807.926513671875","3807.926513671875","3395.677001953125","3395.677001953125","3395.677001953125","2825.7333984375","2825.7333984375","2825.7333984375"
"13799","3938.22265625","3938.22265625","3938.22265625","3586.817626953125","3586.817626953125","3586.817626953125","2956.33984375","2956.33984375","2956.33984375","3839.565673828125","3839.565673828125","3839.565673828125","3437.766357421875","3437.766357421875","3437.766357421875","2805.647216796875","2805.647216796875","2805.647216796875"
"14399","3890.322998046875","3890.322998046875","3890.322998046875","3565.573486328125","3565.573486328125","3565.573486328125","2971.031005859375","2971.031005859375","2971.031005859375","3829.095458984375","3829.095458984375","3829.095458984375","3418.978271484375","3418.978271484375","3418.978271484375","2792.808349609375","2792.808349609375","2792.808349609375"
"14999","3846.505615234375","3846.505615234375","3846.505615234375","3508.935546875","3508.935546875","3508.935546875","2943.6015625","2943.6015625","2943.6015625","3767.76953125","3767.76953125","3767.76953125","3405.585205078125","3405.585205078125","3405.585205078125","2773.158935546875","2773.158935546875","2773.158935546875"
"15599","3802.456787109375","3802.456787109375","3802.456787109375","3448.86328125","3448.86328125","3448.86328125","2900.835205078125","2900.835205078125","2900.835205078125","3807.837646484375","3807.837646484375","3807.837646484375","3352.80859375","3352.80859375","3352.80859375","2757.759765625","2757.759765625","2757.759765625"
"16199","3789.344482421875","3789.344482421875","3789.344482421875","3447.362548828125","3447.362548828125","3447.362548828125","2838.286865234375","2838.286865234375","2838.286865234375","3823.348388671875","3823.348388671875","3823.348388671875","3361.31103515625","3361.31103515625","3361.31103515625","2736.307373046875","2736.307373046875","2736.307373046875"
"16799","3760.742919921875","3760.742919921875","3760.742919921875","3455.024169921875","3455.024169921875","3455.024169921875","2835.962646484375","2835.962646484375","2835.962646484375","3821.26416015625","3821.26416015625","3821.26416015625","3379.483642578125","3379.483642578125","3379.483642578125","2707.619140625","2707.619140625","2707.619140625"
"17399","3782.081298828125","3782.081298828125","3782.081298828125","3434.66015625","3434.66015625","3434.66015625","2812.422607421875","2812.422607421875","2812.422607421875","3798.672607421875","3798.672607421875","3798.672607421875","3346.641845703125","3346.641845703125","3346.641845703125","2702.133544921875","2702.133544921875","2702.133544921875"
"17999","3834.089111328125","3834.089111328125","3834.089111328125","3469.142333984375","3469.142333984375","3469.142333984375","2826.449951171875","2826.449951171875","2826.449951171875","3817.401611328125","3817.401611328125","3817.401611328125","3357.173583984375","3357.173583984375","3357.173583984375","2687.572998046875","2687.572998046875","2687.572998046875"
"18599","3723.33642578125","3723.33642578125","3723.33642578125","3385.940673828125","3385.940673828125","3385.940673828125","2797.427734375","2797.427734375","2797.427734375","3801.001708984375","3801.001708984375","3801.001708984375","3345.189208984375","3345.189208984375","3345.189208984375","2659.512939453125","2659.512939453125","2659.512939453125"
"19199","3718.469970703125","3718.469970703125","3718.469970703125","3352.81689453125","3352.81689453125","3352.81689453125","2706.929443359375","2706.929443359375","2706.929443359375","3794.52783203125","3794.52783203125","3794.52783203125","3354.083740234375","3354.083740234375","3354.083740234375","2652.92822265625","2652.92822265625","2652.92822265625"
"19799","3703.947998046875","3703.947998046875","3703.947998046875","3341.698486328125","3341.698486328125","3341.698486328125","2737.288818359375","2737.288818359375","2737.288818359375","3774.368896484375","3774.368896484375","3774.368896484375","3331.610107421875","3331.610107421875","3331.610107421875","2636.784423828125","2636.784423828125","2636.784423828125"
