"Step","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - shrinkage.l2_ratio","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - shrinkage.l2_ratio__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - shrinkage.l2_ratio__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - shrinkage.l2_ratio","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - shrinkage.l2_ratio__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - shrinkage.l2_ratio__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - shrinkage.l2_ratio","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - shrinkage.l2_ratio__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - shrinkage.l2_ratio__MAX","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - shrinkage.l2_ratio","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - shrinkage.l2_ratio__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - shrinkage.l2_ratio__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - shrinkage.l2_ratio","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - shrinkage.l2_ratio__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - shrinkage.l2_ratio__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - shrinkage.l2_ratio","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - shrinkage.l2_ratio__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - shrinkage.l2_ratio__MAX"
"599","6.31227970123291","6.31227970123291","6.31227970123291","3.0394809246063232","3.0394809246063232","3.0394809246063232","1.2625654935836792","1.2625654935836792","1.2625654935836792","6.331062316894531","6.331062316894531","6.331062316894531","3.052241086959839","3.052241086959839","3.052241086959839","1.2625406980514526","1.2625406980514526","1.2625406980514526"
"1199","6.421455383300781","6.421455383300781","6.421455383300781","3.085603952407837","3.085603952407837","3.085603952407837","1.2673362493515015","1.2673362493515015","1.2673362493515015","6.453985691070557","6.453985691070557","6.453985691070557","3.111802816390991","3.111802816390991","3.111802816390991","1.2687153816223145","1.2687153816223145","1.2687153816223145"
"1799","6.453253269195557","6.453253269195557","6.453253269195557","3.105517625808716","3.105517625808716","3.105517625808716","1.2696932554244995","1.2696932554244995","1.2696932554244995","6.487815856933594","6.487815856933594","6.487815856933594","3.1282780170440674","3.1282780170440674","3.1282780170440674","1.2700303792953491","1.2700303792953491","1.2700303792953491"
"2399","6.46035099029541","6.46035099029541","6.46035099029541","3.114257335662842","3.114257335662842","3.114257335662842","1.2694600820541382","1.2694600820541382","1.2694600820541382","6.488473415374756","6.488473415374756","6.488473415374756","3.1307599544525146","3.1307599544525146","3.1307599544525146","1.2701114416122437","1.2701114416122437","1.2701114416122437"
"2999","6.485988140106201","6.485988140106201","6.485988140106201","3.1206071376800537","3.1206071376800537","3.1206071376800537","1.2706800699234009","1.2706800699234009","1.2706800699234009","6.539657115936279","6.539657115936279","6.539657115936279","3.1380398273468018","3.1380398273468018","3.1380398273468018","1.2709494829177856","1.2709494829177856","1.2709494829177856"
"3599","6.5272746086120605","6.5272746086120605","6.5272746086120605","3.1342525482177734","3.1342525482177734","3.1342525482177734","1.2714382410049438","1.2714382410049438","1.2714382410049438","6.53230619430542","6.53230619430542","6.53230619430542","3.1355721950531006","3.1355721950531006","3.1355721950531006","1.27069890499115","1.27069890499115","1.27069890499115"
"4199","6.535168647766113","6.535168647766113","6.535168647766113","3.1754987239837646","3.1754987239837646","3.1754987239837646","1.271830439567566","1.271830439567566","1.271830439567566","6.561370849609375","6.561370849609375","6.561370849609375","3.1255085468292236","3.1255085468292236","3.1255085468292236","1.2719814777374268","1.2719814777374268","1.2719814777374268"
"4799","6.5290117263793945","6.5290117263793945","6.5290117263793945","3.144469976425171","3.144469976425171","3.144469976425171","1.2706302404403687","1.2706302404403687","1.2706302404403687","6.566581726074219","6.566581726074219","6.566581726074219","3.1430606842041016","3.1430606842041016","3.1430606842041016","1.2705992460250854","1.2705992460250854","1.2705992460250854"
"5399","6.541501045227051","6.541501045227051","6.541501045227051","3.1596932411193848","3.1596932411193848","3.1596932411193848","1.2704895734786987","1.2704895734786987","1.2704895734786987","6.518710613250732","6.518710613250732","6.518710613250732","3.144026756286621","3.144026756286621","3.144026756286621","1.2706125974655151","1.2706125974655151","1.2706125974655151"
"5999","6.53985595703125","6.53985595703125","6.53985595703125","3.129458427429199","3.129458427429199","3.129458427429199","1.2714699506759644","1.2714699506759644","1.2714699506759644","6.549388408660889","6.549388408660889","6.549388408660889","3.1381008625030518","3.1381008625030518","3.1381008625030518","1.2713574171066284","1.2713574171066284","1.2713574171066284"
"6599","6.548916816711426","6.548916816711426","6.548916816711426","3.140770673751831","3.140770673751831","3.140770673751831","1.2715240716934204","1.2715240716934204","1.2715240716934204","6.548170566558838","6.548170566558838","6.548170566558838","3.143605947494507","3.143605947494507","3.143605947494507","1.2717872858047485","1.2717872858047485","1.2717872858047485"
"7199","6.5541090965271","6.5541090965271","6.5541090965271","3.143216371536255","3.143216371536255","3.143216371536255","1.2715498208999634","1.2715498208999634","1.2715498208999634","6.553617000579834","6.553617000579834","6.553617000579834","3.150423765182495","3.150423765182495","3.150423765182495","1.272180438041687","1.272180438041687","1.272180438041687"
"7799","6.533818244934082","6.533818244934082","6.533818244934082","3.1456458568573","3.1456458568573","3.1456458568573","1.2712815999984741","1.2712815999984741","1.2712815999984741","6.536484718322754","6.536484718322754","6.536484718322754","3.1471550464630127","3.1471550464630127","3.1471550464630127","1.2714241743087769","1.2714241743087769","1.2714241743087769"
"8399","6.558799743652344","6.558799743652344","6.558799743652344","3.152919054031372","3.152919054031372","3.152919054031372","1.2711833715438843","1.2711833715438843","1.2711833715438843","6.539042949676514","6.539042949676514","6.539042949676514","3.1376311779022217","3.1376311779022217","3.1376311779022217","1.2709802389144897","1.2709802389144897","1.2709802389144897"
"8999","6.540595531463623","6.540595531463623","6.540595531463623","3.140533447265625","3.140533447265625","3.140533447265625","1.2718957662582397","1.2718957662582397","1.2718957662582397","6.554534912109375","6.554534912109375","6.554534912109375","3.159214735031128","3.159214735031128","3.159214735031128","1.2711528539657593","1.2711528539657593","1.2711528539657593"
"9599","6.552951812744141","6.552951812744141","6.552951812744141","3.1501224040985107","3.1501224040985107","3.1501224040985107","1.271248698234558","1.271248698234558","1.271248698234558","6.581275939941406","6.581275939941406","6.581275939941406","3.1614251136779785","3.1614251136779785","3.1614251136779785","1.2709399461746216","1.2709399461746216","1.2709399461746216"
"10199","6.544938564300537","6.544938564300537","6.544938564300537","3.1408157348632812","3.1408157348632812","3.1408157348632812","1.2708343267440796","1.2708343267440796","1.2708343267440796","6.544358730316162","6.544358730316162","6.544358730316162","3.14982008934021","3.14982008934021","3.14982008934021","1.271912932395935","1.271912932395935","1.271912932395935"
"10799","6.553659915924072","6.553659915924072","6.553659915924072","3.150320053100586","3.150320053100586","3.150320053100586","1.2715195417404175","1.2715195417404175","1.2715195417404175","6.554636478424072","6.554636478424072","6.554636478424072","3.1513671875","3.1513671875","3.1513671875","1.2710422277450562","1.2710422277450562","1.2710422277450562"
"11399","6.552875518798828","6.552875518798828","6.552875518798828","3.142251491546631","3.142251491546631","3.142251491546631","1.2704113721847534","1.2704113721847534","1.2704113721847534","6.558624267578125","6.558624267578125","6.558624267578125","3.1479625701904297","3.1479625701904297","3.1479625701904297","1.270679235458374","1.270679235458374","1.270679235458374"
"11999","6.566986083984375","6.566986083984375","6.566986083984375","3.1619908809661865","3.1619908809661865","3.1619908809661865","1.2709519863128662","1.2709519863128662","1.2709519863128662","6.551608562469482","6.551608562469482","6.551608562469482","3.1511926651000977","3.1511926651000977","3.1511926651000977","1.27146315574646","1.27146315574646","1.27146315574646"
"12599","6.553349494934082","6.553349494934082","6.553349494934082","3.144272565841675","3.144272565841675","3.144272565841675","1.2724590301513672","1.2724590301513672","1.2724590301513672","6.546727657318115","6.546727657318115","6.546727657318115","3.1424028873443604","3.1424028873443604","3.1424028873443604","1.2724170684814453","1.2724170684814453","1.2724170684814453"
"13199","6.549193859100342","6.549193859100342","6.549193859100342","3.1512489318847656","3.1512489318847656","3.1512489318847656","1.271382212638855","1.271382212638855","1.271382212638855","6.553040981292725","6.553040981292725","6.553040981292725","3.1487953662872314","3.1487953662872314","3.1487953662872314","1.2708076238632202","1.2708076238632202","1.2708076238632202"
"13799","6.5549540519714355","6.5549540519714355","6.5549540519714355","3.127328395843506","3.127328395843506","3.127328395843506","1.271989107131958","1.271989107131958","1.271989107131958","6.576916694641113","6.576916694641113","6.576916694641113","3.1492488384246826","3.1492488384246826","3.1492488384246826","1.2712959051132202","1.2712959051132202","1.2712959051132202"
"14399","6.5600266456604","6.5600266456604","6.5600266456604","3.148038864135742","3.148038864135742","3.148038864135742","1.2722753286361694","1.2722753286361694","1.2722753286361694","6.5447540283203125","6.5447540283203125","6.5447540283203125","3.149090528488159","3.149090528488159","3.149090528488159","1.2716283798217773","1.2716283798217773","1.2716283798217773"
"14999","6.5504469871521","6.5504469871521","6.5504469871521","3.1511616706848145","3.1511616706848145","3.1511616706848145","1.2713302373886108","1.2713302373886108","1.2713302373886108","6.569632053375244","6.569632053375244","6.569632053375244","3.1460530757904053","3.1460530757904053","3.1460530757904053","1.2718642950057983","1.2718642950057983","1.2718642950057983"
"15599","6.541476726531982","6.541476726531982","6.541476726531982","3.1540157794952393","3.1540157794952393","3.1540157794952393","1.2728455066680908","1.2728455066680908","1.2728455066680908","6.555640697479248","6.555640697479248","6.555640697479248","3.1507110595703125","3.1507110595703125","3.1507110595703125","1.2718479633331299","1.2718479633331299","1.2718479633331299"
"16199","6.554126262664795","6.554126262664795","6.554126262664795","3.1498970985412598","3.1498970985412598","3.1498970985412598","1.2724286317825317","1.2724286317825317","1.2724286317825317","6.545199871063232","6.545199871063232","6.545199871063232","3.1380672454833984","3.1380672454833984","3.1380672454833984","1.2719334363937378","1.2719334363937378","1.2719334363937378"
"16799","6.5596842765808105","6.5596842765808105","6.5596842765808105","3.1568357944488525","3.1568357944488525","3.1568357944488525","1.2715086936950684","1.2715086936950684","1.2715086936950684","6.552811622619629","6.552811622619629","6.552811622619629","3.1452152729034424","3.1452152729034424","3.1452152729034424","1.272214412689209","1.272214412689209","1.272214412689209"
"17399","6.565145969390869","6.565145969390869","6.565145969390869","3.144280195236206","3.144280195236206","3.144280195236206","1.2729370594024658","1.2729370594024658","1.2729370594024658","6.545952796936035","6.545952796936035","6.545952796936035","3.150083541870117","3.150083541870117","3.150083541870117","1.2712897062301636","1.2712897062301636","1.2712897062301636"
"17999","6.526547431945801","6.526547431945801","6.526547431945801","3.145334243774414","3.145334243774414","3.145334243774414","1.273990511894226","1.273990511894226","1.273990511894226","6.562117099761963","6.562117099761963","6.562117099761963","3.157491445541382","3.157491445541382","3.157491445541382","1.2724045515060425","1.2724045515060425","1.2724045515060425"
