"Step","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - losses/mse_loss","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - losses/mse_loss__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - losses/mse_loss__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - losses/mse_loss","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - losses/mse_loss__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - losses/mse_loss__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - losses/mse_loss","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - losses/mse_loss__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_Devign - losses/mse_loss__MAX","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - losses/mse_loss","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - losses/mse_loss__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - losses/mse_loss__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - losses/mse_loss","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - losses/mse_loss__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - losses/mse_loss__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - losses/mse_loss","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - losses/mse_loss__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_Devign - losses/mse_loss__MAX"
"29","8991.4716796875","8991.4716796875","8991.4716796875","2157.03955078125","2157.03955078125","2157.03955078125","282.3670349121094","282.3670349121094","282.3670349121094","8984.4052734375","8984.4052734375","8984.4052734375","2149.560546875","2149.560546875","2149.560546875","306.0349426269531","306.0349426269531","306.0349426269531"
"59","4272.8369140625","4272.8369140625","4272.8369140625","1018.8203125","1018.8203125","1018.8203125","74.5096435546875","74.5096435546875","74.5096435546875","4265.296875","4265.296875","4265.296875","1012.4547729492188","1012.4547729492188","1012.4547729492188","78.50868225097656","78.50868225097656","78.50868225097656"
"89","3492.142333984375","3492.142333984375","3492.142333984375","862.3461303710938","862.3461303710938","862.3461303710938","52.127201080322266","52.127201080322266","52.127201080322266","3485.10986328125","3485.10986328125","3485.10986328125","854.7857055664062","854.7857055664062","854.7857055664062","51.412811279296875","51.412811279296875","51.412811279296875"
"119","3505.218017578125","3505.218017578125","3505.218017578125","814.7177734375","814.7177734375","814.7177734375","50.81180953979492","50.81180953979492","50.81180953979492","3498.566162109375","3498.566162109375","3498.566162109375","808.5079345703125","808.5079345703125","808.5079345703125","49.9593505859375","49.9593505859375","49.9593505859375"
"149","43926.5546875","43926.5546875","43926.5546875","35532.80859375","35532.80859375","35532.80859375","45.639949798583984","45.639949798583984","45.639949798583984","43881.3125","43881.3125","43881.3125","35463.28125","35463.28125","35463.28125","43.90505599975586","43.90505599975586","43.90505599975586"
"179","34641.61328125","34641.61328125","34641.61328125","27553.634765625","27553.634765625","27553.634765625","34.2379150390625","34.2379150390625","34.2379150390625","34590.0625","34590.0625","34590.0625","27480.6796875","27480.6796875","27480.6796875","32.288719177246094","32.288719177246094","32.288719177246094"
"209","2301.1884765625","2301.1884765625","2301.1884765625","489.2696228027344","489.2696228027344","489.2696228027344","27.728506088256836","27.728506088256836","27.728506088256836","2296.4052734375","2296.4052734375","2296.4052734375","485.3856506347656","485.3856506347656","485.3856506347656","26.293275833129883","26.293275833129883","26.293275833129883"
"239","2226.76220703125","2226.76220703125","2226.76220703125","458.2931213378906","458.2931213378906","458.2931213378906","24.95699691772461","24.95699691772461","24.95699691772461","2222.28076171875","2222.28076171875","2222.28076171875","454.9504699707031","454.9504699707031","454.9504699707031","23.487756729125977","23.487756729125977","23.487756729125977"
"269","2197.70751953125","2197.70751953125","2197.70751953125","421.08489990234375","421.08489990234375","421.08489990234375","18.674354553222656","18.674354553222656","18.674354553222656","2193.044189453125","2193.044189453125","2193.044189453125","418.7732849121094","418.7732849121094","418.7732849121094","17.48465919494629","17.48465919494629","17.48465919494629"
"299","2012.958740234375","2012.958740234375","2012.958740234375","457.91522216796875","457.91522216796875","457.91522216796875","26.454647064208984","26.454647064208984","26.454647064208984","2008.837646484375","2008.837646484375","2008.837646484375","455.1022644042969","455.1022644042969","455.1022644042969","24.664020538330078","24.664020538330078","24.664020538330078"
