"Step","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - losses/fisher_reg_term","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - losses/fisher_reg_term__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - losses/fisher_reg_term__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - losses/fisher_reg_term","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - losses/fisher_reg_term__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - losses/fisher_reg_term__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - losses/fisher_reg_term","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - losses/fisher_reg_term__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - losses/fisher_reg_term__MAX"
"29","29.515949249267578","29.515949249267578","29.515949249267578","5.537181377410889","5.537181377410889","5.537181377410889","8.643498420715332","8.643498420715332","8.643498420715332"
"59","25.893583297729492","25.893583297729492","25.893583297729492","4.476139545440674","4.476139545440674","4.476139545440674","6.173115253448486","6.173115253448486","6.173115253448486"
"89","19.7192325592041","19.7192325592041","19.7192325592041","4.327003002166748","4.327003002166748","4.327003002166748","5.813056468963623","5.813056468963623","5.813056468963623"
"119","16.269437789916992","16.269437789916992","16.269437789916992","4.183126926422119","4.183126926422119","4.183126926422119","5.3441948890686035","5.3441948890686035","5.3441948890686035"
"149","12.258148193359375","12.258148193359375","12.258148193359375","7.772099018096924","7.772099018096924","7.772099018096924","11.065945625305176","11.065945625305176","11.065945625305176"
"179","9.106765747070312","9.106765747070312","9.106765747070312","8.0863618850708","8.0863618850708","8.0863618850708","10.414352416992188","10.414352416992188","10.414352416992188"
"209","8.576388359069824","8.576388359069824","8.576388359069824","3.7042791843414307","3.7042791843414307","3.7042791843414307","4.964041709899902","4.964041709899902","4.964041709899902"
"239","7.454855918884277","7.454855918884277","7.454855918884277","3.5438146591186523","3.5438146591186523","3.5438146591186523","4.094903945922852","4.094903945922852","4.094903945922852"
"269","6.755724906921387","6.755724906921387","6.755724906921387","3.6644322872161865","3.6644322872161865","3.6644322872161865","4.215251922607422","4.215251922607422","4.215251922607422"
"299","5.540015697479248","5.540015697479248","5.540015697479248","3.012355089187622","3.012355089187622","3.012355089187622","3.3791439533233643","3.3791439533233643","3.3791439533233643"
"329","7.094388484954834","7.094388484954834","7.094388484954834","3.4328973293304443","3.4328973293304443","3.4328973293304443","3.8597731590270996","3.8597731590270996","3.8597731590270996"
"359","6.43718957901001","6.43718957901001","6.43718957901001","3.766071319580078","3.766071319580078","3.766071319580078","3.538581371307373","3.538581371307373","3.538581371307373"
"389","5.210118293762207","5.210118293762207","5.210118293762207","3.3577215671539307","3.3577215671539307","3.3577215671539307","3.320664644241333","3.320664644241333","3.320664644241333"
"419","5.958771705627441","5.958771705627441","5.958771705627441","3.17758846282959","3.17758846282959","3.17758846282959","3.491276264190674","3.491276264190674","3.491276264190674"
"449","5.416216850280762","5.416216850280762","5.416216850280762","3.1608800888061523","3.1608800888061523","3.1608800888061523","3.5383806228637695","3.5383806228637695","3.5383806228637695"
