"Step","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - sparsity.l1","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - sparsity.l1__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - sparsity.l1__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - sparsity.l1","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - sparsity.l1__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - sparsity.l1__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - sparsity.l1","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - sparsity.l1__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - sparsity.l1__MAX","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - sparsity.l1","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - sparsity.l1__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - sparsity.l1__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - sparsity.l1","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - sparsity.l1__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - sparsity.l1__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - sparsity.l1","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - sparsity.l1__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - sparsity.l1__MAX"
"599","896.4481811523438","896.4481811523438","896.4481811523438","441.4897155761719","441.4897155761719","441.4897155761719","624.1740112304688","624.1740112304688","624.1740112304688","895.0712890625","895.0712890625","895.0712890625","439.57037353515625","439.57037353515625","439.57037353515625","619.1885986328125","619.1885986328125","619.1885986328125"
"1199","741.2073364257812","741.2073364257812","741.2073364257812","425.5059509277344","425.5059509277344","425.5059509277344","508.9087829589844","508.9087829589844","508.9087829589844","738.2095336914062","738.2095336914062","738.2095336914062","422.783935546875","422.783935546875","422.783935546875","505.05181884765625","505.05181884765625","505.05181884765625"
"1799","628.0692749023438","628.0692749023438","628.0692749023438","396.10516357421875","396.10516357421875","396.10516357421875","430.1294860839844","430.1294860839844","430.1294860839844","623.748046875","623.748046875","623.748046875","393.3473815917969","393.3473815917969","393.3473815917969","427.6771545410156","427.6771545410156","427.6771545410156"
"2399","535.3405151367188","535.3405151367188","535.3405151367188","370.1162109375","370.1162109375","370.1162109375","372.4842529296875","372.4842529296875","372.4842529296875","531.2723999023438","531.2723999023438","531.2723999023438","367.0464782714844","367.0464782714844","367.0464782714844","370.455810546875","370.455810546875","370.455810546875"
"2999","486.9937438964844","486.9937438964844","486.9937438964844","347.3799743652344","347.3799743652344","347.3799743652344","333.3191223144531","333.3191223144531","333.3191223144531","481.14111328125","481.14111328125","481.14111328125","344.2535400390625","344.2535400390625","344.2535400390625","331.4333190917969","331.4333190917969","331.4333190917969"
"3599","433.95166015625","433.95166015625","433.95166015625","331.3456726074219","331.3456726074219","331.3456726074219","298.6397399902344","298.6397399902344","298.6397399902344","427.76611328125","427.76611328125","427.76611328125","328.44757080078125","328.44757080078125","328.44757080078125","296.8292541503906","296.8292541503906","296.8292541503906"
"4199","408.4961853027344","408.4961853027344","408.4961853027344","301.9346008300781","301.9346008300781","301.9346008300781","271.1571960449219","271.1571960449219","271.1571960449219","401.5609436035156","401.5609436035156","401.5609436035156","299.3279724121094","299.3279724121094","299.3279724121094","269.28912353515625","269.28912353515625","269.28912353515625"
"4799","384.2355651855469","384.2355651855469","384.2355651855469","300.024658203125","300.024658203125","300.024658203125","253.9971160888672","253.9971160888672","253.9971160888672","377.31683349609375","377.31683349609375","377.31683349609375","297.1690979003906","297.1690979003906","297.1690979003906","251.98912048339844","251.98912048339844","251.98912048339844"
"5399","345.91009521484375","345.91009521484375","345.91009521484375","274.7491149902344","274.7491149902344","274.7491149902344","237.5133819580078","237.5133819580078","237.5133819580078","339.42047119140625","339.42047119140625","339.42047119140625","272.5317077636719","272.5317077636719","272.5317077636719","235.6409149169922","235.6409149169922","235.6409149169922"
"5999","335.5614318847656","335.5614318847656","335.5614318847656","267.6288757324219","267.6288757324219","267.6288757324219","219.87124633789062","219.87124633789062","219.87124633789062","328.3164367675781","328.3164367675781","328.3164367675781","265.19677734375","265.19677734375","265.19677734375","218.0168914794922","218.0168914794922","218.0168914794922"
