"Step","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - shrinkage.l2_ratio","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - shrinkage.l2_ratio","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - shrinkage.l2_ratio","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - shrinkage.l2_ratio","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - shrinkage.l2_ratio","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - shrinkage.l2_ratio","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MAX"
"599","2.4024503231048584","2.4024503231048584","2.4024503231048584","0.41373521089553833","0.41373521089553833","0.41373521089553833","0.8232618570327759","0.8232618570327759","0.8232618570327759","2.4026448726654053","2.4026448726654053","2.4026448726654053","0.41468650102615356","0.41468650102615356","0.41468650102615356","0.8239960074424744","0.8239960074424744","0.8239960074424744"
"1199","2.418611526489258","2.418611526489258","2.418611526489258","0.46994391083717346","0.46994391083717346","0.46994391083717346","0.8790357708930969","0.8790357708930969","0.8790357708930969","2.4184746742248535","2.4184746742248535","2.4184746742248535","0.4714181125164032","0.4714181125164032","0.4714181125164032","0.8791666030883789","0.8791666030883789","0.8791666030883789"
"1799","2.3991191387176514","2.3991191387176514","2.3991191387176514","0.4943225085735321","0.4943225085735321","0.4943225085735321","0.9021549224853516","0.9021549224853516","0.9021549224853516","2.398637533187866","2.398637533187866","2.398637533187866","0.49611082673072815","0.49611082673072815","0.49611082673072815","0.9027773141860962","0.9027773141860962","0.9027773141860962"
"2399","2.413835287094116","2.413835287094116","2.413835287094116","0.5203825831413269","0.5203825831413269","0.5203825831413269","0.9145509004592896","0.9145509004592896","0.9145509004592896","2.4153811931610107","2.4153811931610107","2.4153811931610107","0.5216854810714722","0.5216854810714722","0.5216854810714722","0.9147698283195496","0.9147698283195496","0.9147698283195496"
"2999","2.4104163646698","2.4104163646698","2.4104163646698","0.5288289189338684","0.5288289189338684","0.5288289189338684","0.9252542853355408","0.9252542853355408","0.9252542853355408","2.410494565963745","2.410494565963745","2.410494565963745","0.5298737287521362","0.5298737287521362","0.5298737287521362","0.9252055287361145","0.9252055287361145","0.9252055287361145"
"3599","2.429687261581421","2.429687261581421","2.429687261581421","0.5469193458557129","0.5469193458557129","0.5469193458557129","0.9318229556083679","0.9318229556083679","0.9318229556083679","2.430631637573242","2.430631637573242","2.430631637573242","0.5478593707084656","0.5478593707084656","0.5478593707084656","0.9315425753593445","0.9315425753593445","0.9315425753593445"
"4199","2.4356446266174316","2.4356446266174316","2.4356446266174316","0.5527355670928955","0.5527355670928955","0.5527355670928955","0.9399778246879578","0.9399778246879578","0.9399778246879578","2.436488151550293","2.436488151550293","2.436488151550293","0.5535282492637634","0.5535282492637634","0.5535282492637634","0.9399821162223816","0.9399821162223816","0.9399821162223816"
"4799","2.441617965698242","2.441617965698242","2.441617965698242","0.5610021948814392","0.5610021948814392","0.5610021948814392","0.9362964630126953","0.9362964630126953","0.9362964630126953","2.443236827850342","2.443236827850342","2.443236827850342","0.5615742206573486","0.5615742206573486","0.5615742206573486","0.936126708984375","0.936126708984375","0.936126708984375"
"5399","2.451103925704956","2.451103925704956","2.451103925704956","0.5636178851127625","0.5636178851127625","0.5636178851127625","0.9428960084915161","0.9428960084915161","0.9428960084915161","2.451038122177124","2.451038122177124","2.451038122177124","0.5642394423484802","0.5642394423484802","0.5642394423484802","0.9428427815437317","0.9428427815437317","0.9428427815437317"
"5999","2.4712719917297363","2.4712719917297363","2.4712719917297363","0.5728424191474915","0.5728424191474915","0.5728424191474915","0.9512256979942322","0.9512256979942322","0.9512256979942322","2.469472885131836","2.469472885131836","2.469472885131836","0.572998583316803","0.572998583316803","0.572998583316803","0.9513184428215027","0.9513184428215027","0.9513184428215027"
