"Step","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - losses/mse_loss","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - losses/mse_loss__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - losses/mse_loss__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - losses/mse_loss","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - losses/mse_loss__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - losses/mse_loss__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - losses/mse_loss","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - losses/mse_loss__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - losses/mse_loss__MAX","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - losses/mse_loss","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - losses/mse_loss__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - losses/mse_loss__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - losses/mse_loss","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - losses/mse_loss__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - losses/mse_loss__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - losses/mse_loss","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - losses/mse_loss__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - losses/mse_loss__MAX"
"29","2097.5361328125","2097.5361328125","2097.5361328125","214.78155517578125","214.78155517578125","214.78155517578125","431.4901428222656","431.4901428222656","431.4901428222656","2100.282958984375","2100.282958984375","2100.282958984375","214.34483337402344","214.34483337402344","214.34483337402344","432.43701171875","432.43701171875","432.43701171875"
"59","1286.031982421875","1286.031982421875","1286.031982421875","227.97622680664062","227.97622680664062","227.97622680664062","383.45172119140625","383.45172119140625","383.45172119140625","1281.956298828125","1281.956298828125","1281.956298828125","227.15585327148438","227.15585327148438","227.15585327148438","385.64508056640625","385.64508056640625","385.64508056640625"
"89","959.3042602539062","959.3042602539062","959.3042602539062","200.60592651367188","200.60592651367188","200.60592651367188","301.7052307128906","301.7052307128906","301.7052307128906","953.3287963867188","953.3287963867188","953.3287963867188","199.59521484375","199.59521484375","199.59521484375","302.2117614746094","302.2117614746094","302.2117614746094"
"119","806.30078125","806.30078125","806.30078125","180.4940948486328","180.4940948486328","180.4940948486328","248.27357482910156","248.27357482910156","248.27357482910156","802.2940673828125","802.2940673828125","802.2940673828125","180.12152099609375","180.12152099609375","180.12152099609375","248.69900512695312","248.69900512695312","248.69900512695312"
"149","639.2564086914062","639.2564086914062","639.2564086914062","219.50167846679688","219.50167846679688","219.50167846679688","302.96807861328125","302.96807861328125","302.96807861328125","635.4937133789062","635.4937133789062","635.4937133789062","225.58816528320312","225.58816528320312","225.58816528320312","308.5412902832031","308.5412902832031","308.5412902832031"
"179","735.30419921875","735.30419921875","735.30419921875","218.2451171875","218.2451171875","218.2451171875","297.12451171875","297.12451171875","297.12451171875","732.0335693359375","732.0335693359375","732.0335693359375","226.0341339111328","226.0341339111328","226.0341339111328","301.6209716796875","301.6209716796875","301.6209716796875"
"209","602.62841796875","602.62841796875","602.62841796875","144.01910400390625","144.01910400390625","144.01910400390625","178.72959899902344","178.72959899902344","178.72959899902344","600.4876098632812","600.4876098632812","600.4876098632812","143.52645874023438","143.52645874023438","143.52645874023438","178.11862182617188","178.11862182617188","178.11862182617188"
"239","626.5337524414062","626.5337524414062","626.5337524414062","154.5849151611328","154.5849151611328","154.5849151611328","175.1685333251953","175.1685333251953","175.1685333251953","625.0932006835938","625.0932006835938","625.0932006835938","153.3236541748047","153.3236541748047","153.3236541748047","173.8875732421875","173.8875732421875","173.8875732421875"
"269","587.11083984375","587.11083984375","587.11083984375","140.468017578125","140.468017578125","140.468017578125","161.4159698486328","161.4159698486328","161.4159698486328","585.265869140625","585.265869140625","585.265869140625","139.76913452148438","139.76913452148438","139.76913452148438","160.60665893554688","160.60665893554688","160.60665893554688"
"299","730.1976318359375","730.1976318359375","730.1976318359375","170.39495849609375","170.39495849609375","170.39495849609375","190.29737854003906","190.29737854003906","190.29737854003906","728.0804443359375","728.0804443359375","728.0804443359375","169.12554931640625","169.12554931640625","169.12554931640625","189.2870635986328","189.2870635986328","189.2870635986328"
"329","276.6091003417969","276.6091003417969","276.6091003417969","229.6728057861328","229.6728057861328","229.6728057861328","159.41680908203125","159.41680908203125","159.41680908203125","276.3634338378906","276.3634338378906","276.3634338378906","227.48989868164062","227.48989868164062","227.48989868164062","158.68264770507812","158.68264770507812","158.68264770507812"
"359","406.7722473144531","406.7722473144531","406.7722473144531","238.50936889648438","238.50936889648438","238.50936889648438","149.21224975585938","149.21224975585938","149.21224975585938","405.81365966796875","405.81365966796875","405.81365966796875","236.50747680664062","236.50747680664062","236.50747680664062","147.84112548828125","147.84112548828125","147.84112548828125"
"389","350.36883544921875","350.36883544921875","350.36883544921875","214.17837524414062","214.17837524414062","214.17837524414062","166.72984313964844","166.72984313964844","166.72984313964844","349.28875732421875","349.28875732421875","349.28875732421875","212.0506591796875","212.0506591796875","212.0506591796875","166.26968383789062","166.26968383789062","166.26968383789062"
"419","331.31781005859375","331.31781005859375","331.31781005859375","202.970703125","202.970703125","202.970703125","153.2039337158203","153.2039337158203","153.2039337158203","330.6714782714844","330.6714782714844","330.6714782714844","200.8324432373047","200.8324432373047","200.8324432373047","152.64910888671875","152.64910888671875","152.64910888671875"
"449","310.60443115234375","310.60443115234375","310.60443115234375","186.82437133789062","186.82437133789062","186.82437133789062","130.44833374023438","130.44833374023438","130.44833374023438","309.82763671875","309.82763671875","309.82763671875","185.38812255859375","185.38812255859375","185.38812255859375","130.1668701171875","130.1668701171875","130.1668701171875"
"479","352.36639404296875","352.36639404296875","352.36639404296875","211.4459686279297","211.4459686279297","211.4459686279297","148.3714141845703","148.3714141845703","148.3714141845703","351.7567138671875","351.7567138671875","351.7567138671875","210.22003173828125","210.22003173828125","210.22003173828125","147.67669677734375","147.67669677734375","147.67669677734375"
"509","370.6379089355469","370.6379089355469","370.6379089355469","219.20721435546875","219.20721435546875","219.20721435546875","158.01504516601562","158.01504516601562","158.01504516601562","370.0510559082031","370.0510559082031","370.0510559082031","217.6892852783203","217.6892852783203","217.6892852783203","157.63131713867188","157.63131713867188","157.63131713867188"
"539","356.2331848144531","356.2331848144531","356.2331848144531","196.55722045898438","196.55722045898438","196.55722045898438","129.08786010742188","129.08786010742188","129.08786010742188","355.2511291503906","355.2511291503906","355.2511291503906","196.0408935546875","196.0408935546875","196.0408935546875","128.4196319580078","128.4196319580078","128.4196319580078"
"569","418.33984375","418.33984375","418.33984375","181.92745971679688","181.92745971679688","181.92745971679688","99.58785247802734","99.58785247802734","99.58785247802734","417.58349609375","417.58349609375","417.58349609375","180.55960083007812","180.55960083007812","180.55960083007812","99.3346939086914","99.3346939086914","99.3346939086914"
"599","304.66571044921875","304.66571044921875","304.66571044921875","205.00494384765625","205.00494384765625","205.00494384765625","128.37184143066406","128.37184143066406","128.37184143066406","304.0721130371094","304.0721130371094","304.0721130371094","203.32562255859375","203.32562255859375","203.32562255859375","128.02342224121094","128.02342224121094","128.02342224121094"
"629","268.19647216796875","268.19647216796875","268.19647216796875","191.48928833007812","191.48928833007812","191.48928833007812","97.65792846679688","97.65792846679688","97.65792846679688","267.97271728515625","267.97271728515625","267.97271728515625","189.71832275390625","189.71832275390625","189.71832275390625","97.13523864746094","97.13523864746094","97.13523864746094"
"659","264.0329284667969","264.0329284667969","264.0329284667969","214.90696716308594","214.90696716308594","214.90696716308594","117.13980102539062","117.13980102539062","117.13980102539062","263.4143371582031","263.4143371582031","263.4143371582031","213.5536651611328","213.5536651611328","213.5536651611328","116.86570739746094","116.86570739746094","116.86570739746094"
"689","239.252685546875","239.252685546875","239.252685546875","178.2146453857422","178.2146453857422","178.2146453857422","120.50066375732422","120.50066375732422","120.50066375732422","238.626708984375","238.626708984375","238.626708984375","176.5185546875","176.5185546875","176.5185546875","120.33304595947266","120.33304595947266","120.33304595947266"
"719","266.9561462402344","266.9561462402344","266.9561462402344","172.8583221435547","172.8583221435547","172.8583221435547","106.31697082519531","106.31697082519531","106.31697082519531","266.4719543457031","266.4719543457031","266.4719543457031","170.86471557617188","170.86471557617188","170.86471557617188","106.03823852539062","106.03823852539062","106.03823852539062"
"749","322.10150146484375","322.10150146484375","322.10150146484375","190.55206298828125","190.55206298828125","190.55206298828125","124.30575561523438","124.30575561523438","124.30575561523438","322.04754638671875","322.04754638671875","322.04754638671875","188.4076385498047","188.4076385498047","188.4076385498047","124.15636444091797","124.15636444091797","124.15636444091797"
"779","259.8057556152344","259.8057556152344","259.8057556152344","192.086181640625","192.086181640625","192.086181640625","96.57015228271484","96.57015228271484","96.57015228271484","259.17388916015625","259.17388916015625","259.17388916015625","190.36968994140625","190.36968994140625","190.36968994140625","96.19646453857422","96.19646453857422","96.19646453857422"
"809","282.58648681640625","282.58648681640625","282.58648681640625","171.61260986328125","171.61260986328125","171.61260986328125","95.09113311767578","95.09113311767578","95.09113311767578","282.1059265136719","282.1059265136719","282.1059265136719","169.8093719482422","169.8093719482422","169.8093719482422","94.75563049316406","94.75563049316406","94.75563049316406"
"839","269.9504699707031","269.9504699707031","269.9504699707031","178.49134826660156","178.49134826660156","178.49134826660156","104.98118591308594","104.98118591308594","104.98118591308594","269.1062927246094","269.1062927246094","269.1062927246094","176.73129272460938","176.73129272460938","176.73129272460938","104.70426177978516","104.70426177978516","104.70426177978516"
"869","287.39373779296875","287.39373779296875","287.39373779296875","186.18502807617188","186.18502807617188","186.18502807617188","92.3018569946289","92.3018569946289","92.3018569946289","286.6177673339844","286.6177673339844","286.6177673339844","185.2195587158203","185.2195587158203","185.2195587158203","91.92312622070312","91.92312622070312","91.92312622070312"
"899","281.6034240722656","281.6034240722656","281.6034240722656","179.7865447998047","179.7865447998047","179.7865447998047","119.31410217285156","119.31410217285156","119.31410217285156","281.0556335449219","281.0556335449219","281.0556335449219","177.657470703125","177.657470703125","177.657470703125","119.14812469482422","119.14812469482422","119.14812469482422"
"929","263.7524108886719","263.7524108886719","263.7524108886719","199.8884735107422","199.8884735107422","199.8884735107422","113.96573638916016","113.96573638916016","113.96573638916016","263.18280029296875","263.18280029296875","263.18280029296875","198.0237579345703","198.0237579345703","198.0237579345703","113.66752624511719","113.66752624511719","113.66752624511719"
"959","307.0401916503906","307.0401916503906","307.0401916503906","178.64781188964844","178.64781188964844","178.64781188964844","100.66695404052734","100.66695404052734","100.66695404052734","306.320068359375","306.320068359375","306.320068359375","177.46432495117188","177.46432495117188","177.46432495117188","100.47301483154297","100.47301483154297","100.47301483154297"
"989","175.0078125","175.0078125","175.0078125","212.67233276367188","212.67233276367188","212.67233276367188","109.03599548339844","109.03599548339844","109.03599548339844","174.72018432617188","174.72018432617188","174.72018432617188","210.5868377685547","210.5868377685547","210.5868377685547","108.75806427001953","108.75806427001953","108.75806427001953"
"1019","172.81988525390625","172.81988525390625","172.81988525390625","206.7731170654297","206.7731170654297","206.7731170654297","112.69669342041016","112.69669342041016","112.69669342041016","172.46319580078125","172.46319580078125","172.46319580078125","204.58865356445312","204.58865356445312","204.58865356445312","112.4073486328125","112.4073486328125","112.4073486328125"
"1049","191.56455993652344","191.56455993652344","191.56455993652344","216.90554809570312","216.90554809570312","216.90554809570312","94.9986343383789","94.9986343383789","94.9986343383789","191.30233764648438","191.30233764648438","191.30233764648438","215.0146026611328","215.0146026611328","215.0146026611328","95.03775024414062","95.03775024414062","95.03775024414062"
"1079","147.30918884277344","147.30918884277344","147.30918884277344","188.98483276367188","188.98483276367188","188.98483276367188","76.0980453491211","76.0980453491211","76.0980453491211","147.0221405029297","147.0221405029297","147.0221405029297","187.4022674560547","187.4022674560547","187.4022674560547","75.89960479736328","75.89960479736328","75.89960479736328"
"1109","187.7787322998047","187.7787322998047","187.7787322998047","206.04367065429688","206.04367065429688","206.04367065429688","95.28196716308594","95.28196716308594","95.28196716308594","187.36622619628906","187.36622619628906","187.36622619628906","203.9237823486328","203.9237823486328","203.9237823486328","94.99267578125","94.99267578125","94.99267578125"
