"Step","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/fisher_reg_term","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/fisher_reg_term__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/fisher_reg_term__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/fisher_reg_term","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/fisher_reg_term__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/fisher_reg_term__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/fisher_reg_term","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/fisher_reg_term__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/fisher_reg_term__MAX"
"29","42.2831916809082","42.2831916809082","42.2831916809082","8.723654747009277","8.723654747009277","8.723654747009277","15.490978240966797","15.490978240966797","15.490978240966797"
"59","40.08161926269531","40.08161926269531","40.08161926269531","7.633015155792236","7.633015155792236","7.633015155792236","11.194393157958984","11.194393157958984","11.194393157958984"
"89","34.42129898071289","34.42129898071289","34.42129898071289","6.510782241821289","6.510782241821289","6.510782241821289","8.921158790588379","8.921158790588379","8.921158790588379"
"119","32.26759338378906","32.26759338378906","32.26759338378906","6.385842800140381","6.385842800140381","6.385842800140381","8.088336944580078","8.088336944580078","8.088336944580078"
"149","27.51972198486328","27.51972198486328","27.51972198486328","8.603830337524414","8.603830337524414","8.603830337524414","10.808378219604492","10.808378219604492","10.808378219604492"
"179","23.45256233215332","23.45256233215332","23.45256233215332","9.463865280151367","9.463865280151367","9.463865280151367","11.17209243774414","11.17209243774414","11.17209243774414"
"209","21.29108428955078","21.29108428955078","21.29108428955078","5.20524787902832","5.20524787902832","5.20524787902832","6.961554527282715","6.961554527282715","6.961554527282715"
"239","18.672183990478516","18.672183990478516","18.672183990478516","4.525482177734375","4.525482177734375","4.525482177734375","5.950226783752441","5.950226783752441","5.950226783752441"
"269","18.394577026367188","18.394577026367188","18.394577026367188","4.7835211753845215","4.7835211753845215","4.7835211753845215","5.887784481048584","5.887784481048584","5.887784481048584"
"299","14.540483474731445","14.540483474731445","14.540483474731445","4.082376480102539","4.082376480102539","4.082376480102539","5.006120681762695","5.006120681762695","5.006120681762695"
"329","28.033300399780273","28.033300399780273","28.033300399780273","5.771169185638428","5.771169185638428","5.771169185638428","6.183564186096191","6.183564186096191","6.183564186096191"
"359","24.380409240722656","24.380409240722656","24.380409240722656","7.198750019073486","7.198750019073486","7.198750019073486","4.764679431915283","4.764679431915283","4.764679431915283"
"389","23.313444137573242","23.313444137573242","23.313444137573242","5.383967399597168","5.383967399597168","5.383967399597168","4.541412353515625","4.541412353515625","4.541412353515625"
"419","22.590927124023438","22.590927124023438","22.590927124023438","7.564479351043701","7.564479351043701","7.564479351043701","5.457364559173584","5.457364559173584","5.457364559173584"
"449","18.58058738708496","18.58058738708496","18.58058738708496","6.925518035888672","6.925518035888672","6.925518035888672","4.814173698425293","4.814173698425293","4.814173698425293"
"479","22.46761703491211","22.46761703491211","22.46761703491211","5.231281757354736","5.231281757354736","5.231281757354736","5.47682523727417","5.47682523727417","5.47682523727417"
"509","21.06487274169922","21.06487274169922","21.06487274169922","6.16868782043457","6.16868782043457","6.16868782043457","5.1641106605529785","5.1641106605529785","5.1641106605529785"
