"Step","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackJava - sparsity.l1","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackJava - sparsity.l1__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackJava - sparsity.l1__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackJava - sparsity.l1","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackJava - sparsity.l1__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackJava - sparsity.l1__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackJava - sparsity.l1","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackJava - sparsity.l1__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackJava - sparsity.l1__MAX","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - sparsity.l1","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - sparsity.l1__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - sparsity.l1__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - sparsity.l1","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - sparsity.l1__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - sparsity.l1__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - sparsity.l1","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - sparsity.l1__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - sparsity.l1__MAX"
"599","4603.64208984375","4603.64208984375","4603.64208984375","4624.43115234375","4624.43115234375","4624.43115234375","4573.66748046875","4573.66748046875","4573.66748046875","3516.627685546875","3516.627685546875","3516.627685546875","3473.90234375","3473.90234375","3473.90234375","4152.45849609375","4152.45849609375","4152.45849609375"
"1199","5030.8154296875","5030.8154296875","5030.8154296875","5474.21044921875","5474.21044921875","5474.21044921875","5110.02685546875","5110.02685546875","5110.02685546875","3220.907958984375","3220.907958984375","3220.907958984375","3888.522216796875","3888.522216796875","3888.522216796875","4712.4580078125","4712.4580078125","4712.4580078125"
"1799","5124.22265625","5124.22265625","5124.22265625","5745.0556640625","5745.0556640625","5745.0556640625","5335.9189453125","5335.9189453125","5335.9189453125","3026.845947265625","3026.845947265625","3026.845947265625","3974.951904296875","3974.951904296875","3974.951904296875","4893.78759765625","4893.78759765625","4893.78759765625"
"2399","5114.5283203125","5114.5283203125","5114.5283203125","6279.9111328125","6279.9111328125","6279.9111328125","5452.3154296875","5452.3154296875","5452.3154296875","2898.326171875","2898.326171875","2898.326171875","4155.47802734375","4155.47802734375","4155.47802734375","5075.234375","5075.234375","5075.234375"
"2999","5328.44873046875","5328.44873046875","5328.44873046875","6618.59130859375","6618.59130859375","6618.59130859375","5507.19482421875","5507.19482421875","5507.19482421875","2892.952880859375","2892.952880859375","2892.952880859375","4262.31103515625","4262.31103515625","4262.31103515625","5142.4052734375","5142.4052734375","5142.4052734375"
"3599","5362.7373046875","5362.7373046875","5362.7373046875","6827.47998046875","6827.47998046875","6827.47998046875","5648.03857421875","5648.03857421875","5648.03857421875","2827.154541015625","2827.154541015625","2827.154541015625","4370.75146484375","4370.75146484375","4370.75146484375","5245.2041015625","5245.2041015625","5245.2041015625"
"4199","5554.52685546875","5554.52685546875","5554.52685546875","7147.35791015625","7147.35791015625","7147.35791015625","5700.41748046875","5700.41748046875","5700.41748046875","2972.98779296875","2972.98779296875","2972.98779296875","4498.60888671875","4498.60888671875","4498.60888671875","5327.4609375","5327.4609375","5327.4609375"
"4799","5583.22900390625","5583.22900390625","5583.22900390625","7038.51171875","7038.51171875","7038.51171875","5616.11474609375","5616.11474609375","5616.11474609375","3105.113037109375","3105.113037109375","3105.113037109375","4448.61474609375","4448.61474609375","4448.61474609375","5283.74365234375","5283.74365234375","5283.74365234375"
"5399","5559.8115234375","5559.8115234375","5559.8115234375","7091.7236328125","7091.7236328125","7091.7236328125","5673.72021484375","5673.72021484375","5673.72021484375","3242.990966796875","3242.990966796875","3242.990966796875","4536.4404296875","4536.4404296875","4536.4404296875","5345.123046875","5345.123046875","5345.123046875"
"5999","5554.98193359375","5554.98193359375","5554.98193359375","7242.71728515625","7242.71728515625","7242.71728515625","5626.33056640625","5626.33056640625","5626.33056640625","3384.98046875","3384.98046875","3384.98046875","4601.38330078125","4601.38330078125","4601.38330078125","5422.55078125","5422.55078125","5422.55078125"
"6599","5536.634765625","5536.634765625","5536.634765625","7269.68505859375","7269.68505859375","7269.68505859375","5581.35498046875","5581.35498046875","5581.35498046875","3468.74072265625","3468.74072265625","3468.74072265625","4595.69091796875","4595.69091796875","4595.69091796875","5356.27685546875","5356.27685546875","5356.27685546875"
"7199","5617.4736328125","5617.4736328125","5617.4736328125","7198.3955078125","7198.3955078125","7198.3955078125","5614.078125","5614.078125","5614.078125","3562.318359375","3562.318359375","3562.318359375","4574.9765625","4574.9765625","4574.9765625","5393.16943359375","5393.16943359375","5393.16943359375"
"7799","5512.59912109375","5512.59912109375","5512.59912109375","7219.68310546875","7219.68310546875","7219.68310546875","5548.390625","5548.390625","5548.390625","3574.392333984375","3574.392333984375","3574.392333984375","4603.5263671875","4603.5263671875","4603.5263671875","5379.8544921875","5379.8544921875","5379.8544921875"
