"Step","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackJava - losses/mse_loss","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackJava - losses/mse_loss__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackJava - losses/mse_loss__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackJava - losses/mse_loss","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackJava - losses/mse_loss__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackJava - losses/mse_loss__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackJava - losses/mse_loss","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackJava - losses/mse_loss__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackJava - losses/mse_loss__MAX","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/mse_loss","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/mse_loss__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/mse_loss__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/mse_loss","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/mse_loss__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/mse_loss__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/mse_loss","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/mse_loss__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/mse_loss__MAX"
"29","1857.5196533203125","1857.5196533203125","1857.5196533203125","151.4800567626953","151.4800567626953","151.4800567626953","326.962890625","326.962890625","326.962890625","1854.513671875","1854.513671875","1854.513671875","152.82455444335938","152.82455444335938","152.82455444335938","326.6549987792969","326.6549987792969","326.6549987792969"
"59","1085.206787109375","1085.206787109375","1085.206787109375","138.57174682617188","138.57174682617188","138.57174682617188","241.3425750732422","241.3425750732422","241.3425750732422","1075.097412109375","1075.097412109375","1075.097412109375","137.11605834960938","137.11605834960938","137.11605834960938","238.61892700195312","238.61892700195312","238.61892700195312"
"89","759.7787475585938","759.7787475585938","759.7787475585938","115.42294311523438","115.42294311523438","115.42294311523438","170.67921447753906","170.67921447753906","170.67921447753906","749.1520385742188","749.1520385742188","749.1520385742188","112.4765625","112.4765625","112.4765625","165.85498046875","165.85498046875","165.85498046875"
"119","579.193359375","579.193359375","579.193359375","90.71202850341797","90.71202850341797","90.71202850341797","135.47567749023438","135.47567749023438","135.47567749023438","569.4367065429688","569.4367065429688","569.4367065429688","87.68073272705078","87.68073272705078","87.68073272705078","130.84901428222656","130.84901428222656","130.84901428222656"
"149","421.7566223144531","421.7566223144531","421.7566223144531","113.25591278076172","113.25591278076172","113.25591278076172","174.91632080078125","174.91632080078125","174.91632080078125","412.4842224121094","412.4842224121094","412.4842224121094","110.35453033447266","110.35453033447266","110.35453033447266","172.68019104003906","172.68019104003906","172.68019104003906"
"179","454.859375","454.859375","454.859375","109.7958755493164","109.7958755493164","109.7958755493164","151.93247985839844","151.93247985839844","151.93247985839844","444.53070068359375","444.53070068359375","444.53070068359375","104.7083740234375","104.7083740234375","104.7083740234375","149.38665771484375","149.38665771484375","149.38665771484375"
"209","350.962890625","350.962890625","350.962890625","56.457420349121094","56.457420349121094","56.457420349121094","83.04171752929688","83.04171752929688","83.04171752929688","340.4366760253906","340.4366760253906","340.4366760253906","53.2697639465332","53.2697639465332","53.2697639465332","79.58665466308594","79.58665466308594","79.58665466308594"
"239","330.1642150878906","330.1642150878906","330.1642150878906","61.11794662475586","61.11794662475586","61.11794662475586","73.23653411865234","73.23653411865234","73.23653411865234","319.60345458984375","319.60345458984375","319.60345458984375","57.172264099121094","57.172264099121094","57.172264099121094","69.77388000488281","69.77388000488281","69.77388000488281"
"269","309.1845703125","309.1845703125","309.1845703125","50.46750259399414","50.46750259399414","50.46750259399414","68.7686538696289","68.7686538696289","68.7686538696289","295.5500793457031","295.5500793457031","295.5500793457031","46.971405029296875","46.971405029296875","46.971405029296875","65.78776550292969","65.78776550292969","65.78776550292969"
"299","359.36639404296875","359.36639404296875","359.36639404296875","61.1982421875","61.1982421875","61.1982421875","77.4557113647461","77.4557113647461","77.4557113647461","347.20404052734375","347.20404052734375","347.20404052734375","56.026092529296875","56.026092529296875","56.026092529296875","73.8721694946289","73.8721694946289","73.8721694946289"
