"Step","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - losses/fisher_reg_term","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - losses/fisher_reg_term__MIN","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - losses/fisher_reg_term__MAX","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - losses/fisher_reg_term","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - losses/fisher_reg_term__MIN","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - losses/fisher_reg_term__MAX","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - losses/fisher_reg_term","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - losses/fisher_reg_term__MIN","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - losses/fisher_reg_term__MAX"
"29","42.27157974243164","42.27157974243164","42.27157974243164","8.706588745117188","8.706588745117188","8.706588745117188","15.48442554473877","15.48442554473877","15.48442554473877"
"59","40.072967529296875","40.072967529296875","40.072967529296875","7.607605934143066","7.607605934143066","7.607605934143066","11.173283576965332","11.173283576965332","11.173283576965332"
"89","34.41584014892578","34.41584014892578","34.41584014892578","6.491608619689941","6.491608619689941","6.491608619689941","8.91060733795166","8.91060733795166","8.91060733795166"
"119","32.25592803955078","32.25592803955078","32.25592803955078","6.372824668884277","6.372824668884277","6.372824668884277","8.080495834350586","8.080495834350586","8.080495834350586"
"149","27.508914947509766","27.508914947509766","27.508914947509766","8.593392372131348","8.593392372131348","8.593392372131348","10.801735877990723","10.801735877990723","10.801735877990723"
"179","23.44072914123535","23.44072914123535","23.44072914123535","9.450101852416992","9.450101852416992","9.450101852416992","11.165715217590332","11.165715217590332","11.165715217590332"
"209","21.281147003173828","21.281147003173828","21.281147003173828","5.194924354553223","5.194924354553223","5.194924354553223","6.954038143157959","6.954038143157959","6.954038143157959"
"239","18.665239334106445","18.665239334106445","18.665239334106445","4.514967441558838","4.514967441558838","4.514967441558838","5.944765567779541","5.944765567779541","5.944765567779541"
"269","18.38524055480957","18.38524055480957","18.38524055480957","4.773031711578369","4.773031711578369","4.773031711578369","5.881473064422607","5.881473064422607","5.881473064422607"
"299","14.532872200012207","14.532872200012207","14.532872200012207","4.075009822845459","4.075009822845459","4.075009822845459","4.999094009399414","4.999094009399414","4.999094009399414"
"329","28.008930206298828","28.008930206298828","28.008930206298828","5.749885082244873","5.749885082244873","5.749885082244873","6.174059867858887","6.174059867858887","6.174059867858887"
"359","24.355199813842773","24.355199813842773","24.355199813842773","7.168173789978027","7.168173789978027","7.168173789978027","4.760870933532715","4.760870933532715","4.760870933532715"
"389","23.282840728759766","23.282840728759766","23.282840728759766","5.366634368896484","5.366634368896484","5.366634368896484","4.536393165588379","4.536393165588379","4.536393165588379"
"419","22.565073013305664","22.565073013305664","22.565073013305664","7.5367431640625","7.5367431640625","7.5367431640625","5.449678897857666","5.449678897857666","5.449678897857666"
"449","18.559919357299805","18.559919357299805","18.559919357299805","6.898510456085205","6.898510456085205","6.898510456085205","4.809791088104248","4.809791088104248","4.809791088104248"
