"Step","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - sparsity.l0","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - sparsity.l0__MIN","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - sparsity.l0__MAX","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - sparsity.l0","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - sparsity.l0__MIN","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - sparsity.l0__MAX","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - sparsity.l0","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - sparsity.l0__MIN","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - sparsity.l0__MAX","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - sparsity.l0","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - sparsity.l0__MIN","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - sparsity.l0__MAX","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - sparsity.l0","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - sparsity.l0__MIN","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - sparsity.l0__MAX","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - sparsity.l0","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - sparsity.l0__MIN","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - sparsity.l0__MAX"
"599","11846.4208984375","11846.4208984375","11846.4208984375","11381.134765625","11381.134765625","11381.134765625","11758.3271484375","11758.3271484375","11758.3271484375","11366.8349609375","11366.8349609375","11366.8349609375","10841.529296875","10841.529296875","10841.529296875","11630.2451171875","11630.2451171875","11630.2451171875"
"1199","12004.091796875","12004.091796875","12004.091796875","11662.10546875","11662.10546875","11662.10546875","11955.822265625","11955.822265625","11955.822265625","10922.796875","10922.796875","10922.796875","10948.064453125","10948.064453125","10948.064453125","11792.4443359375","11792.4443359375","11792.4443359375"
"1799","12024.041015625","12024.041015625","12024.041015625","11753.3525390625","11753.3525390625","11753.3525390625","12016.3349609375","12016.3349609375","12016.3349609375","10554.3037109375","10554.3037109375","10554.3037109375","10975.1474609375","10975.1474609375","10975.1474609375","11839.9970703125","11839.9970703125","11839.9970703125"
"2399","12073.8564453125","12073.8564453125","12073.8564453125","11938.728515625","11938.728515625","11938.728515625","12083.6630859375","12083.6630859375","12083.6630859375","10508.9658203125","10508.9658203125","10508.9658203125","11115.9833984375","11115.9833984375","11115.9833984375","11904.3759765625","11904.3759765625","11904.3759765625"
"2999","12121.1357421875","12121.1357421875","12121.1357421875","12003.21484375","12003.21484375","12003.21484375","12107.2314453125","12107.2314453125","12107.2314453125","10488.6015625","10488.6015625","10488.6015625","11171.7724609375","11171.7724609375","11171.7724609375","11910.666015625","11910.666015625","11910.666015625"
"3599","12142.712890625","12142.712890625","12142.712890625","12053.6787109375","12053.6787109375","12053.6787109375","12150.5107421875","12150.5107421875","12150.5107421875","10484.5068359375","10484.5068359375","10484.5068359375","11250.953125","11250.953125","11250.953125","11950.1123046875","11950.1123046875","11950.1123046875"
"4199","12182.37109375","12182.37109375","12182.37109375","12115.7451171875","12115.7451171875","12115.7451171875","12168.4423828125","12168.4423828125","12168.4423828125","10746.203125","10746.203125","10746.203125","11357.6982421875","11357.6982421875","11357.6982421875","11972.2705078125","11972.2705078125","11972.2705078125"
"4799","12167.0234375","12167.0234375","12167.0234375","12083.8193359375","12083.8193359375","12083.8193359375","12161.1240234375","12161.1240234375","12161.1240234375","10876.7431640625","10876.7431640625","10876.7431640625","11313.791015625","11313.791015625","11313.791015625","11969.853515625","11969.853515625","11969.853515625"
"5399","12177.173828125","12177.173828125","12177.173828125","12132.2724609375","12132.2724609375","12132.2724609375","12172.103515625","12172.103515625","12172.103515625","11095.46484375","11095.46484375","11095.46484375","11408.2138671875","11408.2138671875","11408.2138671875","11994.8916015625","11994.8916015625","11994.8916015625"
"5999","12184.546875","12184.546875","12184.546875","12136.1796875","12136.1796875","12136.1796875","12194.4091796875","12194.4091796875","12194.4091796875","11210.3115234375","11210.3115234375","11210.3115234375","11407.80859375","11407.80859375","11407.80859375","12019.9814453125","12019.9814453125","12019.9814453125"
