"Step","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - shrinkage.l2_ratio","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - shrinkage.l2_ratio","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - shrinkage.l2_ratio","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - shrinkage.l2_ratio","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - shrinkage.l2_ratio","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - shrinkage.l2_ratio","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MAX"
"599","2.5108091831207275","2.5108091831207275","2.5108091831207275","0.5725530982017517","0.5725530982017517","0.5725530982017517","0.9287590384483337","0.9287590384483337","0.9287590384483337","2.5310921669006348","2.5310921669006348","2.5310921669006348","0.5817402005195618","0.5817402005195618","0.5817402005195618","0.933795154094696","0.933795154094696","0.933795154094696"
"1199","2.578193426132202","2.578193426132202","2.578193426132202","0.6140042543411255","0.6140042543411255","0.6140042543411255","0.9584333300590515","0.9584333300590515","0.9584333300590515","2.5996949672698975","2.5996949672698975","2.5996949672698975","0.6199296116828918","0.6199296116828918","0.6199296116828918","0.9614350199699402","0.9614350199699402","0.9614350199699402"
"1799","2.600364923477173","2.600364923477173","2.600364923477173","0.6251307725906372","0.6251307725906372","0.6251307725906372","0.9668834805488586","0.9668834805488586","0.9668834805488586","2.6262474060058594","2.6262474060058594","2.6262474060058594","0.6292860507965088","0.6292860507965088","0.6292860507965088","0.9685778021812439","0.9685778021812439","0.9685778021812439"
"2399","2.6219916343688965","2.6219916343688965","2.6219916343688965","0.6347067356109619","0.6347067356109619","0.6347067356109619","0.9716225862503052","0.9716225862503052","0.9716225862503052","2.6423845291137695","2.6423845291137695","2.6423845291137695","0.6361826658248901","0.6361826658248901","0.6361826658248901","0.9733484387397766","0.9733484387397766","0.9733484387397766"
"2999","2.6298959255218506","2.6298959255218506","2.6298959255218506","0.6375638246536255","0.6375638246536255","0.6375638246536255","0.973471462726593","0.973471462726593","0.973471462726593","2.6392405033111572","2.6392405033111572","2.6392405033111572","0.6381170153617859","0.6381170153617859","0.6381170153617859","0.9740617871284485","0.9740617871284485","0.9740617871284485"
"3599","2.6336236000061035","2.6336236000061035","2.6336236000061035","0.6377924084663391","0.6377924084663391","0.6377924084663391","0.9755426645278931","0.9755426645278931","0.9755426645278931","2.631540298461914","2.631540298461914","2.631540298461914","0.6378828287124634","0.6378828287124634","0.6378828287124634","0.9765335321426392","0.9765335321426392","0.9765335321426392"
"4199","2.636448383331299","2.636448383331299","2.636448383331299","0.6401371955871582","0.6401371955871582","0.6401371955871582","0.9764219522476196","0.9764219522476196","0.9764219522476196","2.6473374366760254","2.6473374366760254","2.6473374366760254","0.6401252746582031","0.6401252746582031","0.6401252746582031","0.9763509631156921","0.9763509631156921","0.9763509631156921"
"4799","2.6363723278045654","2.6363723278045654","2.6363723278045654","0.6379688382148743","0.6379688382148743","0.6379688382148743","0.9750577211380005","0.9750577211380005","0.9750577211380005","2.64077091217041","2.64077091217041","2.64077091217041","0.6375471353530884","0.6375471353530884","0.6375471353530884","0.9771019220352173","0.9771019220352173","0.9771019220352173"
"5399","2.6380221843719482","2.6380221843719482","2.6380221843719482","0.6394307017326355","0.6394307017326355","0.6394307017326355","0.9762355089187622","0.9762355089187622","0.9762355089187622","2.643481492996216","2.643481492996216","2.643481492996216","0.6405156850814819","0.6405156850814819","0.6405156850814819","0.9770721793174744","0.9770721793174744","0.9770721793174744"
"5999","2.646088123321533","2.646088123321533","2.646088123321533","0.6398319602012634","0.6398319602012634","0.6398319602012634","0.9760668873786926","0.9760668873786926","0.9760668873786926","2.6378591060638428","2.6378591060638428","2.6378591060638428","0.639366090297699","0.639366090297699","0.639366090297699","0.9775223731994629","0.9775223731994629","0.9775223731994629"
