"Step","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - losses/mse_loss","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - losses/mse_loss__MIN","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - losses/mse_loss__MAX","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - losses/mse_loss","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - losses/mse_loss__MIN","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - losses/mse_loss__MAX","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - losses/mse_loss","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - losses/mse_loss__MIN","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - losses/mse_loss__MAX","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - losses/mse_loss","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - losses/mse_loss__MIN","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - losses/mse_loss__MAX","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - losses/mse_loss","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - losses/mse_loss__MIN","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - losses/mse_loss__MAX","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - losses/mse_loss","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - losses/mse_loss__MIN","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - losses/mse_loss__MAX"
"29","1857.5675048828125","1857.5675048828125","1857.5675048828125","151.50083923339844","151.50083923339844","151.50083923339844","326.9920654296875","326.9920654296875","326.9920654296875","1854.599609375","1854.599609375","1854.599609375","152.87274169921875","152.87274169921875","152.87274169921875","326.72686767578125","326.72686767578125","326.72686767578125"
"59","1085.1981201171875","1085.1981201171875","1085.1981201171875","138.59793090820312","138.59793090820312","138.59793090820312","241.3628692626953","241.3628692626953","241.3628692626953","1075.0909423828125","1075.0909423828125","1075.0909423828125","137.17144775390625","137.17144775390625","137.17144775390625","238.6712188720703","238.6712188720703","238.6712188720703"
"89","759.7297973632812","759.7297973632812","759.7297973632812","115.4340591430664","115.4340591430664","115.4340591430664","170.66986083984375","170.66986083984375","170.66986083984375","749.1023559570312","749.1023559570312","749.1023559570312","112.5189437866211","112.5189437866211","112.5189437866211","165.86085510253906","165.86085510253906","165.86085510253906"
"119","579.131103515625","579.131103515625","579.131103515625","90.73074340820312","90.73074340820312","90.73074340820312","135.45118713378906","135.45118713378906","135.45118713378906","569.387939453125","569.387939453125","569.387939453125","87.72039794921875","87.72039794921875","87.72039794921875","130.83914184570312","130.83914184570312","130.83914184570312"
"149","421.6846923828125","421.6846923828125","421.6846923828125","113.24152374267578","113.24152374267578","113.24152374267578","174.92189025878906","174.92189025878906","174.92189025878906","412.42315673828125","412.42315673828125","412.42315673828125","110.38926696777344","110.38926696777344","110.38926696777344","172.6891326904297","172.6891326904297","172.6891326904297"
"179","454.7923278808594","454.7923278808594","454.7923278808594","109.79448699951172","109.79448699951172","109.79448699951172","151.9310302734375","151.9310302734375","151.9310302734375","444.4583435058594","444.4583435058594","444.4583435058594","104.74243927001953","104.74243927001953","104.74243927001953","149.39401245117188","149.39401245117188","149.39401245117188"
"209","350.89654541015625","350.89654541015625","350.89654541015625","56.464271545410156","56.464271545410156","56.464271545410156","83.00929260253906","83.00929260253906","83.00929260253906","340.37274169921875","340.37274169921875","340.37274169921875","53.293479919433594","53.293479919433594","53.293479919433594","79.56396484375","79.56396484375","79.56396484375"
"239","330.0975036621094","330.0975036621094","330.0975036621094","61.119163513183594","61.119163513183594","61.119163513183594","73.19929504394531","73.19929504394531","73.19929504394531","319.5382080078125","319.5382080078125","319.5382080078125","57.19091796875","57.19091796875","57.19091796875","69.74683380126953","69.74683380126953","69.74683380126953"
"269","309.120361328125","309.120361328125","309.120361328125","50.46949768066406","50.46949768066406","50.46949768066406","68.7353744506836","68.7353744506836","68.7353744506836","295.491455078125","295.491455078125","295.491455078125","46.989906311035156","46.989906311035156","46.989906311035156","65.76565551757812","65.76565551757812","65.76565551757812"
"299","359.2906188964844","359.2906188964844","359.2906188964844","61.19484329223633","61.19484329223633","61.19484329223633","77.41097259521484","77.41097259521484","77.41097259521484","347.1341247558594","347.1341247558594","347.1341247558594","56.04750442504883","56.04750442504883","56.04750442504883","73.84269714355469","73.84269714355469","73.84269714355469"
