"Step","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackJava - sparsity.l0","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackJava - sparsity.l0__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackJava - sparsity.l0__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackJava - sparsity.l0","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackJava - sparsity.l0__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackJava - sparsity.l0__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackJava - sparsity.l0","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackJava - sparsity.l0__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackJava - sparsity.l0__MAX","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - sparsity.l0","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - sparsity.l0__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - sparsity.l0__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - sparsity.l0","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - sparsity.l0__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - sparsity.l0__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - sparsity.l0","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - sparsity.l0__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - sparsity.l0__MAX"
"599","4728.40625","4728.40625","4728.40625","2866.084716796875","2866.084716796875","2866.084716796875","2392.913818359375","2392.913818359375","2392.913818359375","4716.75732421875","4716.75732421875","4716.75732421875","2858.130126953125","2858.130126953125","2858.130126953125","2171.3955078125","2171.3955078125","2171.3955078125"
"1199","2976.826171875","2976.826171875","2976.826171875","1777.4993896484375","1777.4993896484375","1777.4993896484375","1807.0784912109375","1807.0784912109375","1807.0784912109375","2965.340576171875","2965.340576171875","2965.340576171875","1767.925048828125","1767.925048828125","1767.925048828125","1579.421142578125","1579.421142578125","1579.421142578125"
"1799","2080.711669921875","2080.711669921875","2080.711669921875","1301.9786376953125","1301.9786376953125","1301.9786376953125","1542.0130615234375","1542.0130615234375","1542.0130615234375","2065.96435546875","2065.96435546875","2065.96435546875","1291.0277099609375","1291.0277099609375","1291.0277099609375","1321.4093017578125","1321.4093017578125","1321.4093017578125"
"2399","1453.8065185546875","1453.8065185546875","1453.8065185546875","953.1292114257812","953.1292114257812","953.1292114257812","1329.655517578125","1329.655517578125","1329.655517578125","1437.3160400390625","1437.3160400390625","1437.3160400390625","943.8378295898438","943.8378295898438","943.8378295898438","1123.517578125","1123.517578125","1123.517578125"
"2999","1072.980712890625","1072.980712890625","1072.980712890625","755.3048706054688","755.3048706054688","755.3048706054688","1210.5621337890625","1210.5621337890625","1210.5621337890625","1060.1317138671875","1060.1317138671875","1060.1317138671875","747.0944213867188","747.0944213867188","747.0944213867188","1012.7399291992188","1012.7399291992188","1012.7399291992188"
"3599","858.2613525390625","858.2613525390625","858.2613525390625","614.7616577148438","614.7616577148438","614.7616577148438","1107.8380126953125","1107.8380126953125","1107.8380126953125","846.5714721679688","846.5714721679688","846.5714721679688","608.4545288085938","608.4545288085938","608.4545288085938","920.0344848632812","920.0344848632812","920.0344848632812"
"4199","639.9017944335938","639.9017944335938","639.9017944335938","500.44805908203125","500.44805908203125","500.44805908203125","1020.6144409179688","1020.6144409179688","1020.6144409179688","633.4425048828125","633.4425048828125","633.4425048828125","496.0002136230469","496.0002136230469","496.0002136230469","840.673828125","840.673828125","840.673828125"
"4799","516.2733764648438","516.2733764648438","516.2733764648438","433.384765625","433.384765625","433.384765625","958.7391967773438","958.7391967773438","958.7391967773438","512.1802978515625","512.1802978515625","512.1802978515625","429.4676818847656","429.4676818847656","429.4676818847656","784.7590942382812","784.7590942382812","784.7590942382812"
"5399","432.1429748535156","432.1429748535156","432.1429748535156","370.8079833984375","370.8079833984375","370.8079833984375","904.4947509765625","904.4947509765625","904.4947509765625","429.58843994140625","429.58843994140625","429.58843994140625","367.6501159667969","367.6501159667969","367.6501159667969","734.8728637695312","734.8728637695312","734.8728637695312"
"5999","353.01776123046875","353.01776123046875","353.01776123046875","322.46246337890625","322.46246337890625","322.46246337890625","839.626953125","839.626953125","839.626953125","351.2572326660156","351.2572326660156","351.2572326660156","320.2115478515625","320.2115478515625","320.2115478515625","681.1375122070312","681.1375122070312","681.1375122070312"
"6599","309.7335205078125","309.7335205078125","309.7335205078125","290.6756896972656","290.6756896972656","290.6756896972656","799.8522338867188","799.8522338867188","799.8522338867188","308.3812561035156","308.3812561035156","308.3812561035156","288.2596435546875","288.2596435546875","288.2596435546875","645.556640625","645.556640625","645.556640625"
"7199","277.93658447265625","277.93658447265625","277.93658447265625","264.868896484375","264.868896484375","264.868896484375","762.7167358398438","762.7167358398438","762.7167358398438","277.1374206542969","277.1374206542969","277.1374206542969","262.61077880859375","262.61077880859375","262.61077880859375","615.9215698242188","615.9215698242188","615.9215698242188"
"7799","258.982177734375","258.982177734375","258.982177734375","248.501953125","248.501953125","248.501953125","743.6701049804688","743.6701049804688","743.6701049804688","258.10760498046875","258.10760498046875","258.10760498046875","246.459716796875","246.459716796875","246.459716796875","596.0401000976562","596.0401000976562","596.0401000976562"
"8399","230.9197235107422","230.9197235107422","230.9197235107422","226.1295928955078","226.1295928955078","226.1295928955078","697.1260375976562","697.1260375976562","697.1260375976562","230.2863006591797","230.2863006591797","230.2863006591797","224.0947723388672","224.0947723388672","224.0947723388672","558.3402099609375","558.3402099609375","558.3402099609375"
"8999","217.6627655029297","217.6627655029297","217.6627655029297","213.0666961669922","213.0666961669922","213.0666961669922","684.36181640625","684.36181640625","684.36181640625","217.0318145751953","217.0318145751953","217.0318145751953","211.3539581298828","211.3539581298828","211.3539581298828","548.9450073242188","548.9450073242188","548.9450073242188"
"9599","203.5086669921875","203.5086669921875","203.5086669921875","198.56858825683594","198.56858825683594","198.56858825683594","659.5269775390625","659.5269775390625","659.5269775390625","202.95347595214844","202.95347595214844","202.95347595214844","196.8648223876953","196.8648223876953","196.8648223876953","526.7353515625","526.7353515625","526.7353515625"
"10199","190.62405395507812","190.62405395507812","190.62405395507812","185.79495239257812","185.79495239257812","185.79495239257812","645.1464233398438","645.1464233398438","645.1464233398438","190.19993591308594","190.19993591308594","190.19993591308594","184.39382934570312","184.39382934570312","184.39382934570312","511.556640625","511.556640625","511.556640625"
"10799","179.3798065185547","179.3798065185547","179.3798065185547","175.0805206298828","175.0805206298828","175.0805206298828","609.7916870117188","609.7916870117188","609.7916870117188","179.0501251220703","179.0501251220703","179.0501251220703","173.7492218017578","173.7492218017578","173.7492218017578","485.5563049316406","485.5563049316406","485.5563049316406"
