"Step","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackJava - shrinkage.l2_ratio","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackJava - shrinkage.l2_ratio","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackJava - shrinkage.l2_ratio","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - shrinkage.l2_ratio","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - shrinkage.l2_ratio","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - shrinkage.l2_ratio","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MAX"
"599","6.419139385223389","6.419139385223389","6.419139385223389","2.962409257888794","2.962409257888794","2.962409257888794","1.264897346496582","1.264897346496582","1.264897346496582","6.4205851554870605","6.4205851554870605","6.4205851554870605","2.963005781173706","2.963005781173706","2.963005781173706","1.2649904489517212","1.2649904489517212","1.2649904489517212"
"1199","6.322789192199707","6.322789192199707","6.322789192199707","2.970759630203247","2.970759630203247","2.970759630203247","1.271386981010437","1.271386981010437","1.271386981010437","6.327471733093262","6.327471733093262","6.327471733093262","2.9714019298553467","2.9714019298553467","2.9714019298553467","1.2726625204086304","1.2726625204086304","1.2726625204086304"
"1799","6.170945644378662","6.170945644378662","6.170945644378662","2.9576992988586426","2.9576992988586426","2.9576992988586426","1.2680424451828003","1.2680424451828003","1.2680424451828003","6.177981853485107","6.177981853485107","6.177981853485107","2.958759069442749","2.958759069442749","2.958759069442749","1.2685869932174683","1.2685869932174683","1.2685869932174683"
"2399","6.112646102905273","6.112646102905273","6.112646102905273","2.9615607261657715","2.9615607261657715","2.9615607261657715","1.271100640296936","1.271100640296936","1.271100640296936","6.117642879486084","6.117642879486084","6.117642879486084","2.963165283203125","2.963165283203125","2.963165283203125","1.2681471109390259","1.2681471109390259","1.2681471109390259"
"2999","6.03469181060791","6.03469181060791","6.03469181060791","2.9183425903320312","2.9183425903320312","2.9183425903320312","1.2740585803985596","1.2740585803985596","1.2740585803985596","6.042190074920654","6.042190074920654","6.042190074920654","2.918917179107666","2.918917179107666","2.918917179107666","1.2742787599563599","1.2742787599563599","1.2742787599563599"
"3599","6.079010009765625","6.079010009765625","6.079010009765625","2.9400458335876465","2.9400458335876465","2.9400458335876465","1.2763659954071045","1.2763659954071045","1.2763659954071045","6.081971645355225","6.081971645355225","6.081971645355225","2.939697027206421","2.939697027206421","2.939697027206421","1.2775801420211792","1.2775801420211792","1.2775801420211792"
"4199","6.082572937011719","6.082572937011719","6.082572937011719","2.973853349685669","2.973853349685669","2.973853349685669","1.2821639776229858","1.2821639776229858","1.2821639776229858","6.084349155426025","6.084349155426025","6.084349155426025","2.9735782146453857","2.9735782146453857","2.9735782146453857","1.2810298204421997","1.2810298204421997","1.2810298204421997"
"4799","6.0607380867004395","6.0607380867004395","6.0607380867004395","2.9874179363250732","2.9874179363250732","2.9874179363250732","1.2791317701339722","1.2791317701339722","1.2791317701339722","6.063265800476074","6.063265800476074","6.063265800476074","2.9875786304473877","2.9875786304473877","2.9875786304473877","1.277626395225525","1.277626395225525","1.277626395225525"
"5399","6.1554999351501465","6.1554999351501465","6.1554999351501465","2.9822633266448975","2.9822633266448975","2.9822633266448975","1.280290961265564","1.280290961265564","1.280290961265564","6.156121730804443","6.156121730804443","6.156121730804443","2.982625961303711","2.982625961303711","2.982625961303711","1.2806103229522705","1.2806103229522705","1.2806103229522705"
"5999","6.150665283203125","6.150665283203125","6.150665283203125","2.9994256496429443","2.9994256496429443","2.9994256496429443","1.2797304391860962","1.2797304391860962","1.2797304391860962","6.150331497192383","6.150331497192383","6.150331497192383","2.999804973602295","2.999804973602295","2.999804973602295","1.2806366682052612","1.2806366682052612","1.2806366682052612"
"6599","6.1396989822387695","6.1396989822387695","6.1396989822387695","3.000239849090576","3.000239849090576","3.000239849090576","1.2709169387817383","1.2709169387817383","1.2709169387817383","6.139803886413574","6.139803886413574","6.139803886413574","2.999685287475586","2.999685287475586","2.999685287475586","1.2722810506820679","1.2722810506820679","1.2722810506820679"
"7199","6.176297664642334","6.176297664642334","6.176297664642334","3.004276990890503","3.004276990890503","3.004276990890503","1.2677406072616577","1.2677406072616577","1.2677406072616577","6.177445411682129","6.177445411682129","6.177445411682129","3.0033156871795654","3.0033156871795654","3.0033156871795654","1.2706646919250488","1.2706646919250488","1.2706646919250488"
"7799","6.177789688110352","6.177789688110352","6.177789688110352","3.015876054763794","3.015876054763794","3.015876054763794","1.279552698135376","1.279552698135376","1.279552698135376","6.175417423248291","6.175417423248291","6.175417423248291","3.0151126384735107","3.0151126384735107","3.0151126384735107","1.278260350227356","1.278260350227356","1.278260350227356"
"8399","6.184995174407959","6.184995174407959","6.184995174407959","3.0207343101501465","3.0207343101501465","3.0207343101501465","1.2689399719238281","1.2689399719238281","1.2689399719238281","6.185587406158447","6.185587406158447","6.185587406158447","3.0192809104919434","3.0192809104919434","3.0192809104919434","1.2696298360824585","1.2696298360824585","1.2696298360824585"
"8999","6.191989421844482","6.191989421844482","6.191989421844482","3.009500026702881","3.009500026702881","3.009500026702881","1.2786329984664917","1.2786329984664917","1.2786329984664917","6.18941593170166","6.18941593170166","6.18941593170166","3.0103776454925537","3.0103776454925537","3.0103776454925537","1.2800428867340088","1.2800428867340088","1.2800428867340088"
"9599","6.216159820556641","6.216159820556641","6.216159820556641","3.012324094772339","3.012324094772339","3.012324094772339","1.276165246963501","1.276165246963501","1.276165246963501","6.21801233291626","6.21801233291626","6.21801233291626","3.012526035308838","3.012526035308838","3.012526035308838","1.2775555849075317","1.2775555849075317","1.2775555849075317"
"10199","6.2371344566345215","6.2371344566345215","6.2371344566345215","3.023185968399048","3.023185968399048","3.023185968399048","1.2895618677139282","1.2895618677139282","1.2895618677139282","6.238484859466553","6.238484859466553","6.238484859466553","3.021976947784424","3.021976947784424","3.021976947784424","1.28740656375885","1.28740656375885","1.28740656375885"
"10799","6.228518009185791","6.228518009185791","6.228518009185791","3.0192620754241943","3.0192620754241943","3.0192620754241943","1.27890145778656","1.27890145778656","1.27890145778656","6.2284321784973145","6.2284321784973145","6.2284321784973145","3.0193138122558594","3.0193138122558594","3.0193138122558594","1.2792543172836304","1.2792543172836304","1.2792543172836304"
"11399","6.2343621253967285","6.2343621253967285","6.2343621253967285","3.0242083072662354","3.0242083072662354","3.0242083072662354","1.2857340574264526","1.2857340574264526","1.2857340574264526","6.234556198120117","6.234556198120117","6.234556198120117","3.0256359577178955","3.0256359577178955","3.0256359577178955","1.2866851091384888","1.2866851091384888","1.2866851091384888"
"11999","6.188820838928223","6.188820838928223","6.188820838928223","3.0199272632598877","3.0199272632598877","3.0199272632598877","1.2871383428573608","1.2871383428573608","1.2871383428573608","6.18488883972168","6.18488883972168","6.18488883972168","3.017657995223999","3.017657995223999","3.017657995223999","1.2869514226913452","1.2869514226913452","1.2869514226913452"
"12599","6.246884822845459","6.246884822845459","6.246884822845459","3.022216320037842","3.022216320037842","3.022216320037842","1.2768957614898682","1.2768957614898682","1.2768957614898682","6.247650146484375","6.247650146484375","6.247650146484375","3.0210766792297363","3.0210766792297363","3.0210766792297363","1.2778980731964111","1.2778980731964111","1.2778980731964111"
"13199","6.25563383102417","6.25563383102417","6.25563383102417","3.0259010791778564","3.0259010791778564","3.0259010791778564","1.2782038450241089","1.2782038450241089","1.2782038450241089","6.256467819213867","6.256467819213867","6.256467819213867","3.0268361568450928","3.0268361568450928","3.0268361568450928","1.2787399291992188","1.2787399291992188","1.2787399291992188"
"13799","6.258468151092529","6.258468151092529","6.258468151092529","3.0419700145721436","3.0419700145721436","3.0419700145721436","1.2835382223129272","1.2835382223129272","1.2835382223129272","6.254724025726318","6.254724025726318","6.254724025726318","3.041137456893921","3.041137456893921","3.041137456893921","1.2835949659347534","1.2835949659347534","1.2835949659347534"
"14399","6.241157054901123","6.241157054901123","6.241157054901123","3.0304880142211914","3.0304880142211914","3.0304880142211914","1.2788926362991333","1.2788926362991333","1.2788926362991333","6.241797924041748","6.241797924041748","6.241797924041748","3.0285420417785645","3.0285420417785645","3.0285420417785645","1.2795047760009766","1.2795047760009766","1.2795047760009766"
"14999","6.235232353210449","6.235232353210449","6.235232353210449","3.024080753326416","3.024080753326416","3.024080753326416","1.291223406791687","1.291223406791687","1.291223406791687","6.235290050506592","6.235290050506592","6.235290050506592","3.0241756439208984","3.0241756439208984","3.0241756439208984","1.2875564098358154","1.2875564098358154","1.2875564098358154"
"15599","6.2750773429870605","6.2750773429870605","6.2750773429870605","3.0496022701263428","3.0496022701263428","3.0496022701263428","1.2844942808151245","1.2844942808151245","1.2844942808151245","6.2744646072387695","6.2744646072387695","6.2744646072387695","3.0495901107788086","3.0495901107788086","3.0495901107788086","1.285490870475769","1.285490870475769","1.285490870475769"
"16199","6.244167327880859","6.244167327880859","6.244167327880859","3.026766538619995","3.026766538619995","3.026766538619995","1.2896416187286377","1.2896416187286377","1.2896416187286377","6.246364593505859","6.246364593505859","6.246364593505859","3.027092933654785","3.027092933654785","3.027092933654785","1.2891757488250732","1.2891757488250732","1.2891757488250732"
"16799","6.264655113220215","6.264655113220215","6.264655113220215","3.0320897102355957","3.0320897102355957","3.0320897102355957","1.2787246704101562","1.2787246704101562","1.2787246704101562","6.261950969696045","6.261950969696045","6.261950969696045","3.034343719482422","3.034343719482422","3.034343719482422","1.2749080657958984","1.2749080657958984","1.2749080657958984"
"17399","6.245639801025391","6.245639801025391","6.245639801025391","3.0266361236572266","3.0266361236572266","3.0266361236572266","1.2808159589767456","1.2808159589767456","1.2808159589767456","6.249404430389404","6.249404430389404","6.249404430389404","3.026961088180542","3.026961088180542","3.026961088180542","1.2818595170974731","1.2818595170974731","1.2818595170974731"
"17999","6.30566930770874","6.30566930770874","6.30566930770874","3.0371055603027344","3.0371055603027344","3.0371055603027344","1.2794047594070435","1.2794047594070435","1.2794047594070435","6.303805828094482","6.303805828094482","6.303805828094482","3.0362961292266846","3.0362961292266846","3.0362961292266846","1.2816773653030396","1.2816773653030396","1.2816773653030396"
