"Step","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackJava - losses/mse_loss","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackJava - losses/mse_loss__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackJava - losses/mse_loss__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackJava - losses/mse_loss","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackJava - losses/mse_loss__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackJava - losses/mse_loss__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackJava - losses/mse_loss","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackJava - losses/mse_loss__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackJava - losses/mse_loss__MAX","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - losses/mse_loss","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - losses/mse_loss__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - losses/mse_loss__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - losses/mse_loss","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - losses/mse_loss__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - losses/mse_loss__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - losses/mse_loss","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - losses/mse_loss__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - losses/mse_loss__MAX"
"29","10404.0380859375","10404.0380859375","10404.0380859375","2534.529296875","2534.529296875","2534.529296875","596.0088500976562","596.0088500976562","596.0088500976562","10402.302734375","10402.302734375","10402.302734375","2533.862060546875","2533.862060546875","2533.862060546875","610.3399047851562","610.3399047851562","610.3399047851562"
"59","6877.8935546875","6877.8935546875","6877.8935546875","1772.22802734375","1772.22802734375","1772.22802734375","242.39407348632812","242.39407348632812","242.39407348632812","6873.982421875","6873.982421875","6873.982421875","1771.0224609375","1771.0224609375","1771.0224609375","262.1139221191406","262.1139221191406","262.1139221191406"
"89","5150.05419921875","5150.05419921875","5150.05419921875","1367.97119140625","1367.97119140625","1367.97119140625","128.50491333007812","128.50491333007812","128.50491333007812","5146.8544921875","5146.8544921875","5146.8544921875","1366.4771728515625","1366.4771728515625","1366.4771728515625","132.35267639160156","132.35267639160156","132.35267639160156"
"119","4517.46826171875","4517.46826171875","4517.46826171875","1133.14453125","1133.14453125","1133.14453125","101.06233215332031","101.06233215332031","101.06233215332031","4514.87744140625","4514.87744140625","4514.87744140625","1131.6082763671875","1131.6082763671875","1131.6082763671875","102.60749053955078","102.60749053955078","102.60749053955078"
"149","45045.28515625","45045.28515625","45045.28515625","35758.58984375","35758.58984375","35758.58984375","92.87246704101562","92.87246704101562","92.87246704101562","45040.09375","45040.09375","45040.09375","35747.328125","35747.328125","35747.328125","93.97001647949219","93.97001647949219","93.97001647949219"
"179","37603.92578125","37603.92578125","37603.92578125","28680.1015625","28680.1015625","28680.1015625","93.76847076416016","93.76847076416016","93.76847076416016","37598.3125","37598.3125","37598.3125","28666.841796875","28666.841796875","28666.841796875","93.58455657958984","93.58455657958984","93.58455657958984"
"209","3388.177001953125","3388.177001953125","3388.177001953125","838.7051391601562","838.7051391601562","838.7051391601562","74.08837127685547","74.08837127685547","74.08837127685547","3386.875244140625","3386.875244140625","3386.875244140625","837.9624633789062","837.9624633789062","837.9624633789062","73.51410675048828","73.51410675048828","73.51410675048828"
"239","3522.614501953125","3522.614501953125","3522.614501953125","888.3663330078125","888.3663330078125","888.3663330078125","73.13613891601562","73.13613891601562","73.13613891601562","3521.22607421875","3521.22607421875","3521.22607421875","887.2901611328125","887.2901611328125","887.2901611328125","71.97394561767578","71.97394561767578","71.97394561767578"
"269","3244.532958984375","3244.532958984375","3244.532958984375","813.5787353515625","813.5787353515625","813.5787353515625","70.8524169921875","70.8524169921875","70.8524169921875","3243.36376953125","3243.36376953125","3243.36376953125","812.6509399414062","812.6509399414062","812.6509399414062","69.24703216552734","69.24703216552734","69.24703216552734"
"299","3670.6875","3670.6875","3670.6875","978.2947998046875","978.2947998046875","978.2947998046875","82.63811492919922","82.63811492919922","82.63811492919922","3669.78564453125","3669.78564453125","3669.78564453125","977.4288940429688","977.4288940429688","977.4288940429688","80.37845611572266","80.37845611572266","80.37845611572266"
"329","1256.712646484375","1256.712646484375","1256.712646484375","346.6516418457031","346.6516418457031","346.6516418457031","50.218475341796875","50.218475341796875","50.218475341796875","1256.8065185546875","1256.8065185546875","1256.8065185546875","346.42626953125","346.42626953125","346.42626953125","48.88021469116211","48.88021469116211","48.88021469116211"
"359","1768.325439453125","1768.325439453125","1768.325439453125","517.1398315429688","517.1398315429688","517.1398315429688","55.54576110839844","55.54576110839844","55.54576110839844","1768.990234375","1768.990234375","1768.990234375","516.7583618164062","516.7583618164062","516.7583618164062","53.47193145751953","53.47193145751953","53.47193145751953"
"389","1596.595947265625","1596.595947265625","1596.595947265625","464.3246765136719","464.3246765136719","464.3246765136719","57.97434616088867","57.97434616088867","57.97434616088867","1597.5618896484375","1597.5618896484375","1597.5618896484375","464.23077392578125","464.23077392578125","464.23077392578125","55.991615295410156","55.991615295410156","55.991615295410156"
"419","1447.601806640625","1447.601806640625","1447.601806640625","425.3648376464844","425.3648376464844","425.3648376464844","53.66164779663086","53.66164779663086","53.66164779663086","1448.434814453125","1448.434814453125","1448.434814453125","425.240234375","425.240234375","425.240234375","51.96015930175781","51.96015930175781","51.96015930175781"
"449","1429.5123291015625","1429.5123291015625","1429.5123291015625","428.31451416015625","428.31451416015625","428.31451416015625","47.288368225097656","47.288368225097656","47.288368225097656","1430.447509765625","1430.447509765625","1430.447509765625","428.091552734375","428.091552734375","428.091552734375","45.499481201171875","45.499481201171875","45.499481201171875"
"479","1539.8209228515625","1539.8209228515625","1539.8209228515625","454.8309326171875","454.8309326171875","454.8309326171875","49.59795379638672","49.59795379638672","49.59795379638672","1540.533447265625","1540.533447265625","1540.533447265625","454.546875","454.546875","454.546875","47.76649475097656","47.76649475097656","47.76649475097656"
"509","1571.6258544921875","1571.6258544921875","1571.6258544921875","466.3592834472656","466.3592834472656","466.3592834472656","51.757713317871094","51.757713317871094","51.757713317871094","1572.7449951171875","1572.7449951171875","1572.7449951171875","466.21038818359375","466.21038818359375","466.21038818359375","49.70025634765625","49.70025634765625","49.70025634765625"
"539","1537.8900146484375","1537.8900146484375","1537.8900146484375","497.32073974609375","497.32073974609375","497.32073974609375","45.63882827758789","45.63882827758789","45.63882827758789","1538.8533935546875","1538.8533935546875","1538.8533935546875","496.7610168457031","496.7610168457031","496.7610168457031","43.43682098388672","43.43682098388672","43.43682098388672"
"569","1625.8756103515625","1625.8756103515625","1625.8756103515625","422.51513671875","422.51513671875","422.51513671875","41.91416931152344","41.91416931152344","41.91416931152344","1626.7943115234375","1626.7943115234375","1626.7943115234375","422.23583984375","422.23583984375","422.23583984375","39.9221076965332","39.9221076965332","39.9221076965332"
"599","1283.637451171875","1283.637451171875","1283.637451171875","377.8758544921875","377.8758544921875","377.8758544921875","47.65978240966797","47.65978240966797","47.65978240966797","1284.629638671875","1284.629638671875","1284.629638671875","377.798828125","377.798828125","377.798828125","45.26169967651367","45.26169967651367","45.26169967651367"
"629","1116.5523681640625","1116.5523681640625","1116.5523681640625","300.8497009277344","300.8497009277344","300.8497009277344","36.79894256591797","36.79894256591797","36.79894256591797","1116.9991455078125","1116.9991455078125","1116.9991455078125","300.65533447265625","300.65533447265625","300.65533447265625","34.98348617553711","34.98348617553711","34.98348617553711"
"659","1051.121826171875","1051.121826171875","1051.121826171875","299.3758239746094","299.3758239746094","299.3758239746094","39.70331954956055","39.70331954956055","39.70331954956055","1051.8782958984375","1051.8782958984375","1051.8782958984375","299.1537170410156","299.1537170410156","299.1537170410156","37.881500244140625","37.881500244140625","37.881500244140625"
"689","1109.2159423828125","1109.2159423828125","1109.2159423828125","333.2325439453125","333.2325439453125","333.2325439453125","40.22667694091797","40.22667694091797","40.22667694091797","1109.4267578125","1109.4267578125","1109.4267578125","332.6053161621094","332.6053161621094","332.6053161621094","38.39585876464844","38.39585876464844","38.39585876464844"
"719","1003.4835205078125","1003.4835205078125","1003.4835205078125","325.6268615722656","325.6268615722656","325.6268615722656","38.319339752197266","38.319339752197266","38.319339752197266","1004.0743408203125","1004.0743408203125","1004.0743408203125","325.4632873535156","325.4632873535156","325.4632873535156","36.586830139160156","36.586830139160156","36.586830139160156"
"749","1324.068115234375","1324.068115234375","1324.068115234375","381.3288269042969","381.3288269042969","381.3288269042969","42.23854446411133","42.23854446411133","42.23854446411133","1325.08935546875","1325.08935546875","1325.08935546875","381.25592041015625","381.25592041015625","381.25592041015625","40.51103973388672","40.51103973388672","40.51103973388672"
"779","999.2844848632812","999.2844848632812","999.2844848632812","296.34930419921875","296.34930419921875","296.34930419921875","36.35016632080078","36.35016632080078","36.35016632080078","999.8993530273438","999.8993530273438","999.8993530273438","296.12158203125","296.12158203125","296.12158203125","34.39930725097656","34.39930725097656","34.39930725097656"
"809","1465.222412109375","1465.222412109375","1465.222412109375","656.9937133789062","656.9937133789062","656.9937133789062","38.44041442871094","38.44041442871094","38.44041442871094","1464.699462890625","1464.699462890625","1464.699462890625","660.9469604492188","660.9469604492188","660.9469604492188","36.220802307128906","36.220802307128906","36.220802307128906"
"839","1099.8660888671875","1099.8660888671875","1099.8660888671875","349.6742858886719","349.6742858886719","349.6742858886719","40.36808395385742","40.36808395385742","40.36808395385742","1100.9466552734375","1100.9466552734375","1100.9466552734375","349.6039733886719","349.6039733886719","349.6039733886719","38.10105895996094","38.10105895996094","38.10105895996094"
"869","1399.2818603515625","1399.2818603515625","1399.2818603515625","432.36248779296875","432.36248779296875","432.36248779296875","36.67074203491211","36.67074203491211","36.67074203491211","1398.5201416015625","1398.5201416015625","1398.5201416015625","431.9300231933594","431.9300231933594","431.9300231933594","34.89744186401367","34.89744186401367","34.89744186401367"
"899","1140.3006591796875","1140.3006591796875","1140.3006591796875","331.7337951660156","331.7337951660156","331.7337951660156","40.812705993652344","40.812705993652344","40.812705993652344","1141.04541015625","1141.04541015625","1141.04541015625","331.51080322265625","331.51080322265625","331.51080322265625","38.64513397216797","38.64513397216797","38.64513397216797"
"929","1102.9158935546875","1102.9158935546875","1102.9158935546875","358.72100830078125","358.72100830078125","358.72100830078125","41.00405502319336","41.00405502319336","41.00405502319336","1103.9483642578125","1103.9483642578125","1103.9483642578125","358.5113220214844","358.5113220214844","358.5113220214844","38.80475616455078","38.80475616455078","38.80475616455078"
