"Step","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - sparsity.l1","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - sparsity.l1__MIN","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - sparsity.l1__MAX","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - sparsity.l1","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - sparsity.l1__MIN","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - sparsity.l1__MAX","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - sparsity.l1","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - sparsity.l1__MIN","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - sparsity.l1__MAX","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - sparsity.l1","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - sparsity.l1__MIN","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - sparsity.l1__MAX","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - sparsity.l1","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - sparsity.l1__MIN","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - sparsity.l1__MAX","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - sparsity.l1","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - sparsity.l1__MIN","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - sparsity.l1__MAX"
"599","4744.83837890625","4744.83837890625","4744.83837890625","4635.72509765625","4635.72509765625","4635.72509765625","4531.4599609375","4531.4599609375","4531.4599609375","4221.92724609375","4221.92724609375","4221.92724609375","3633.198486328125","3633.198486328125","3633.198486328125","3851.453857421875","3851.453857421875","3851.453857421875"
"1199","4825.56982421875","4825.56982421875","4825.56982421875","4749.6845703125","4749.6845703125","4749.6845703125","4492.548828125","4492.548828125","4492.548828125","3785.481201171875","3785.481201171875","3785.481201171875","3173.482421875","3173.482421875","3173.482421875","3471.52978515625","3471.52978515625","3471.52978515625"
"1799","4769.2509765625","4769.2509765625","4769.2509765625","4689.55029296875","4689.55029296875","4689.55029296875","4436.83154296875","4436.83154296875","4436.83154296875","3351.667724609375","3351.667724609375","3351.667724609375","2926.90869140625","2926.90869140625","2926.90869140625","3357.931396484375","3357.931396484375","3357.931396484375"
"2399","4620.63232421875","4620.63232421875","4620.63232421875","4576.11669921875","4576.11669921875","4576.11669921875","4280.29638671875","4280.29638671875","4280.29638671875","3025.129150390625","3025.129150390625","3025.129150390625","2811.18896484375","2811.18896484375","2811.18896484375","3359.48681640625","3359.48681640625","3359.48681640625"
"2999","4457.62646484375","4457.62646484375","4457.62646484375","4533.97314453125","4533.97314453125","4533.97314453125","4189.99755859375","4189.99755859375","4189.99755859375","2797.17626953125","2797.17626953125","2797.17626953125","2785.441162109375","2785.441162109375","2785.441162109375","3378.858642578125","3378.858642578125","3378.858642578125"
"3599","4447.79443359375","4447.79443359375","4447.79443359375","4523.6318359375","4523.6318359375","4523.6318359375","4071.292236328125","4071.292236328125","4071.292236328125","2561.346435546875","2561.346435546875","2561.346435546875","2713.791015625","2713.791015625","2713.791015625","3409.02197265625","3409.02197265625","3409.02197265625"
"4199","4492.47998046875","4492.47998046875","4492.47998046875","4592.67333984375","4592.67333984375","4592.67333984375","3999.26171875","3999.26171875","3999.26171875","2476.318359375","2476.318359375","2476.318359375","2830.382080078125","2830.382080078125","2830.382080078125","3454.763427734375","3454.763427734375","3454.763427734375"
"4799","4589.5712890625","4589.5712890625","4589.5712890625","4587.4140625","4587.4140625","4587.4140625","3936.89306640625","3936.89306640625","3936.89306640625","2534.96533203125","2534.96533203125","2534.96533203125","2962.037841796875","2962.037841796875","2962.037841796875","3452.607421875","3452.607421875","3452.607421875"
"5399","4644.83203125","4644.83203125","4644.83203125","4427.98046875","4427.98046875","4427.98046875","3946.612548828125","3946.612548828125","3946.612548828125","2641.54736328125","2641.54736328125","2641.54736328125","3083.78955078125","3083.78955078125","3083.78955078125","3472.469482421875","3472.469482421875","3472.469482421875"
"5999","4672.958984375","4672.958984375","4672.958984375","4339.71630859375","4339.71630859375","4339.71630859375","3789.604248046875","3789.604248046875","3789.604248046875","2850.335693359375","2850.335693359375","2850.335693359375","3288.091552734375","3288.091552734375","3288.091552734375","3464.16796875","3464.16796875","3464.16796875"
