"Step","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - shrinkage.l2_ratio","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - shrinkage.l2_ratio","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - shrinkage.l2_ratio","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - shrinkage.l2_ratio","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - shrinkage.l2_ratio","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - shrinkage.l2_ratio","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MAX"
"599","6.200978755950928","6.200978755950928","6.200978755950928","2.9987924098968506","2.9987924098968506","2.9987924098968506","1.2816647291183472","1.2816647291183472","1.2816647291183472","6.219874382019043","6.219874382019043","6.219874382019043","3.0096657276153564","3.0096657276153564","3.0096657276153564","1.2825065851211548","1.2825065851211548","1.2825065851211548"
"1199","6.336467266082764","6.336467266082764","6.336467266082764","3.061666488647461","3.061666488647461","3.061666488647461","1.2908544540405273","1.2908544540405273","1.2908544540405273","6.359957218170166","6.359957218170166","6.359957218170166","3.0827765464782715","3.0827765464782715","3.0827765464782715","1.2927764654159546","1.2927764654159546","1.2927764654159546"
"1799","6.3782854080200195","6.3782854080200195","6.3782854080200195","3.081852436065674","3.081852436065674","3.081852436065674","1.292255163192749","1.292255163192749","1.292255163192749","6.428607940673828","6.428607940673828","6.428607940673828","3.1056249141693115","3.1056249141693115","3.1056249141693115","1.2932180166244507","1.2932180166244507","1.2932180166244507"
"2399","6.445677280426025","6.445677280426025","6.445677280426025","3.094151020050049","3.094151020050049","3.094151020050049","1.2950172424316406","1.2950172424316406","1.2950172424316406","6.49047327041626","6.49047327041626","6.49047327041626","3.114650249481201","3.114650249481201","3.114650249481201","1.2947429418563843","1.2947429418563843","1.2947429418563843"
"2999","6.4535417556762695","6.4535417556762695","6.4535417556762695","3.108100175857544","3.108100175857544","3.108100175857544","1.2940882444381714","1.2940882444381714","1.2940882444381714","6.499560832977295","6.499560832977295","6.499560832977295","3.124986171722412","3.124986171722412","3.124986171722412","1.2933307886123657","1.2933307886123657","1.2933307886123657"
"3599","6.489787578582764","6.489787578582764","6.489787578582764","3.1127989292144775","3.1127989292144775","3.1127989292144775","1.2942960262298584","1.2942960262298584","1.2942960262298584","6.561898231506348","6.561898231506348","6.561898231506348","3.121598482131958","3.121598482131958","3.121598482131958","1.2946654558181763","1.2946654558181763","1.2946654558181763"
"4199","6.494665622711182","6.494665622711182","6.494665622711182","3.114448308944702","3.114448308944702","3.114448308944702","1.2953453063964844","1.2953453063964844","1.2953453063964844","6.496481418609619","6.496481418609619","6.496481418609619","3.120946168899536","3.120946168899536","3.120946168899536","1.2941910028457642","1.2941910028457642","1.2941910028457642"
"4799","6.5098466873168945","6.5098466873168945","6.5098466873168945","3.130521297454834","3.130521297454834","3.130521297454834","1.2938251495361328","1.2938251495361328","1.2938251495361328","6.523040771484375","6.523040771484375","6.523040771484375","3.1301534175872803","3.1301534175872803","3.1301534175872803","1.2935800552368164","1.2935800552368164","1.2935800552368164"
"5399","6.5074052810668945","6.5074052810668945","6.5074052810668945","3.12066650390625","3.12066650390625","3.12066650390625","1.2941123247146606","1.2941123247146606","1.2941123247146606","6.538186073303223","6.538186073303223","6.538186073303223","3.128955125808716","3.128955125808716","3.128955125808716","1.2945467233657837","1.2945467233657837","1.2945467233657837"
"5999","6.503493785858154","6.503493785858154","6.503493785858154","3.1293184757232666","3.1293184757232666","3.1293184757232666","1.2954777479171753","1.2954777479171753","1.2954777479171753","6.5247931480407715","6.5247931480407715","6.5247931480407715","3.1374330520629883","3.1374330520629883","3.1374330520629883","1.2946045398712158","1.2946045398712158","1.2946045398712158"
"6599","6.519259929656982","6.519259929656982","6.519259929656982","3.129784345626831","3.129784345626831","3.129784345626831","1.2944988012313843","1.2944988012313843","1.2944988012313843","6.530335903167725","6.530335903167725","6.530335903167725","3.122816801071167","3.122816801071167","3.122816801071167","1.2945685386657715","1.2945685386657715","1.2945685386657715"
"7199","6.5196075439453125","6.5196075439453125","6.5196075439453125","3.129312038421631","3.129312038421631","3.129312038421631","1.294775366783142","1.294775366783142","1.294775366783142","6.547532558441162","6.547532558441162","6.547532558441162","3.129098892211914","3.129098892211914","3.129098892211914","1.2949869632720947","1.2949869632720947","1.2949869632720947"
"7799","6.524083137512207","6.524083137512207","6.524083137512207","3.127218723297119","3.127218723297119","3.127218723297119","1.2950481176376343","1.2950481176376343","1.2950481176376343","6.533454418182373","6.533454418182373","6.533454418182373","3.13496994972229","3.13496994972229","3.13496994972229","1.293922781944275","1.293922781944275","1.293922781944275"
"8399","6.524777412414551","6.524777412414551","6.524777412414551","3.130659818649292","3.130659818649292","3.130659818649292","1.2949975728988647","1.2949975728988647","1.2949975728988647","6.516133785247803","6.516133785247803","6.516133785247803","3.1318471431732178","3.1318471431732178","3.1318471431732178","1.2938817739486694","1.2938817739486694","1.2938817739486694"
"8999","6.51382303237915","6.51382303237915","6.51382303237915","3.1270134449005127","3.1270134449005127","3.1270134449005127","1.294653296470642","1.294653296470642","1.294653296470642","6.523327827453613","6.523327827453613","6.523327827453613","3.1297519207000732","3.1297519207000732","3.1297519207000732","1.2941187620162964","1.2941187620162964","1.2941187620162964"
"9599","6.523238658905029","6.523238658905029","6.523238658905029","3.1278579235076904","3.1278579235076904","3.1278579235076904","1.29490065574646","1.29490065574646","1.29490065574646","6.5170793533325195","6.5170793533325195","6.5170793533325195","3.1298272609710693","3.1298272609710693","3.1298272609710693","1.2944258451461792","1.2944258451461792","1.2944258451461792"
"10199","6.5276970863342285","6.5276970863342285","6.5276970863342285","3.1371257305145264","3.1371257305145264","3.1371257305145264","1.2938857078552246","1.2938857078552246","1.2938857078552246","6.510951995849609","6.510951995849609","6.510951995849609","3.1306705474853516","3.1306705474853516","3.1306705474853516","1.2942914962768555","1.2942914962768555","1.2942914962768555"
"10799","6.517584323883057","6.517584323883057","6.517584323883057","3.1302309036254883","3.1302309036254883","3.1302309036254883","1.294421911239624","1.294421911239624","1.294421911239624","6.525389194488525","6.525389194488525","6.525389194488525","3.1281864643096924","3.1281864643096924","3.1281864643096924","1.2948887348175049","1.2948887348175049","1.2948887348175049"
"11399","6.501290321350098","6.501290321350098","6.501290321350098","3.1328353881835938","3.1328353881835938","3.1328353881835938","1.293998122215271","1.293998122215271","1.293998122215271","6.506439208984375","6.506439208984375","6.506439208984375","3.1338813304901123","3.1338813304901123","3.1338813304901123","1.294463038444519","1.294463038444519","1.294463038444519"
"11999","6.524453639984131","6.524453639984131","6.524453639984131","3.110069751739502","3.110069751739502","3.110069751739502","1.2947393655776978","1.2947393655776978","1.2947393655776978","6.518029689788818","6.518029689788818","6.518029689788818","3.124023675918579","3.124023675918579","3.124023675918579","1.2935336828231812","1.2935336828231812","1.2935336828231812"
"12599","6.528018474578857","6.528018474578857","6.528018474578857","3.127387523651123","3.127387523651123","3.127387523651123","1.2951314449310303","1.2951314449310303","1.2951314449310303","6.5207672119140625","6.5207672119140625","6.5207672119140625","3.131286144256592","3.131286144256592","3.131286144256592","1.2952654361724854","1.2952654361724854","1.2952654361724854"
"13199","6.50937032699585","6.50937032699585","6.50937032699585","3.1314094066619873","3.1314094066619873","3.1314094066619873","1.2946293354034424","1.2946293354034424","1.2946293354034424","6.528090000152588","6.528090000152588","6.528090000152588","3.1338717937469482","3.1338717937469482","3.1338717937469482","1.2950870990753174","1.2950870990753174","1.2950870990753174"
"13799","6.499600410461426","6.499600410461426","6.499600410461426","3.1289985179901123","3.1289985179901123","3.1289985179901123","1.2952030897140503","1.2952030897140503","1.2952030897140503","6.513427734375","6.513427734375","6.513427734375","3.130084276199341","3.130084276199341","3.130084276199341","1.2950032949447632","1.2950032949447632","1.2950032949447632"
"14399","6.513190746307373","6.513190746307373","6.513190746307373","3.129082441329956","3.129082441329956","3.129082441329956","1.2941464185714722","1.2941464185714722","1.2941464185714722","6.516648769378662","6.516648769378662","6.516648769378662","3.1296603679656982","3.1296603679656982","3.1296603679656982","1.2938270568847656","1.2938270568847656","1.2938270568847656"
"14999","6.521397590637207","6.521397590637207","6.521397590637207","3.1268017292022705","3.1268017292022705","3.1268017292022705","1.2955344915390015","1.2955344915390015","1.2955344915390015","6.534387111663818","6.534387111663818","6.534387111663818","3.1311004161834717","3.1311004161834717","3.1311004161834717","1.2948572635650635","1.2948572635650635","1.2948572635650635"
"15599","6.51397180557251","6.51397180557251","6.51397180557251","3.1328868865966797","3.1328868865966797","3.1328868865966797","1.293685793876648","1.293685793876648","1.293685793876648","6.527759075164795","6.527759075164795","6.527759075164795","3.136003255844116","3.136003255844116","3.136003255844116","1.2948251962661743","1.2948251962661743","1.2948251962661743"
"16199","6.523905277252197","6.523905277252197","6.523905277252197","3.1337976455688477","3.1337976455688477","3.1337976455688477","1.2947038412094116","1.2947038412094116","1.2947038412094116","6.517028331756592","6.517028331756592","6.517028331756592","3.1257078647613525","3.1257078647613525","3.1257078647613525","1.2940021753311157","1.2940021753311157","1.2940021753311157"
"16799","6.510350227355957","6.510350227355957","6.510350227355957","3.123800039291382","3.123800039291382","3.123800039291382","1.295107364654541","1.295107364654541","1.295107364654541","6.499412536621094","6.499412536621094","6.499412536621094","3.1258277893066406","3.1258277893066406","3.1258277893066406","1.294427514076233","1.294427514076233","1.294427514076233"
"17399","6.520580291748047","6.520580291748047","6.520580291748047","3.129908323287964","3.129908323287964","3.129908323287964","1.2973893880844116","1.2973893880844116","1.2973893880844116","6.504128932952881","6.504128932952881","6.504128932952881","3.1270318031311035","3.1270318031311035","3.1270318031311035","1.2943781614303589","1.2943781614303589","1.2943781614303589"
"17999","6.528445720672607","6.528445720672607","6.528445720672607","3.135089874267578","3.135089874267578","3.135089874267578","1.2957003116607666","1.2957003116607666","1.2957003116607666","6.529049873352051","6.529049873352051","6.529049873352051","3.13568377494812","3.13568377494812","3.13568377494812","1.2941324710845947","1.2941324710845947","1.2941324710845947"
"18599","6.518164157867432","6.518164157867432","6.518164157867432","3.135585308074951","3.135585308074951","3.135585308074951","1.2940353155136108","1.2940353155136108","1.2940353155136108","6.5205583572387695","6.5205583572387695","6.5205583572387695","3.126492738723755","3.126492738723755","3.126492738723755","1.2940118312835693","1.2940118312835693","1.2940118312835693"
"19199","6.535223484039307","6.535223484039307","6.535223484039307","3.140580654144287","3.140580654144287","3.140580654144287","1.2943674325942993","1.2943674325942993","1.2943674325942993","6.525245666503906","6.525245666503906","6.525245666503906","3.149690866470337","3.149690866470337","3.149690866470337","1.2945021390914917","1.2945021390914917","1.2945021390914917"
"19799","6.524137020111084","6.524137020111084","6.524137020111084","3.13167667388916","3.13167667388916","3.13167667388916","1.2949589490890503","1.2949589490890503","1.2949589490890503","6.51962423324585","6.51962423324585","6.51962423324585","3.127048969268799","3.127048969268799","3.127048969268799","1.2950252294540405","1.2950252294540405","1.2950252294540405"
