"Step","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - losses/mse_loss","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - losses/mse_loss__MIN","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - losses/mse_loss__MAX","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - losses/mse_loss","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - losses/mse_loss__MIN","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - losses/mse_loss__MAX","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - losses/mse_loss","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - losses/mse_loss__MIN","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - losses/mse_loss__MAX","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/mse_loss","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/mse_loss__MIN","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/mse_loss__MAX","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/mse_loss","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/mse_loss__MIN","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/mse_loss__MAX","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/mse_loss","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/mse_loss__MIN","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/mse_loss__MAX"
"29","9818.7236328125","9818.7236328125","9818.7236328125","2207.1298828125","2207.1298828125","2207.1298828125","348.18194580078125","348.18194580078125","348.18194580078125","9813.3623046875","9813.3623046875","9813.3623046875","2201.0068359375","2201.0068359375","2201.0068359375","367.31500244140625","367.31500244140625","367.31500244140625"
"59","6445.1474609375","6445.1474609375","6445.1474609375","1460.0518798828125","1460.0518798828125","1460.0518798828125","118.55671691894531","118.55671691894531","118.55671691894531","6436.5341796875","6436.5341796875","6436.5341796875","1454.1536865234375","1454.1536865234375","1454.1536865234375","124.364501953125","124.364501953125","124.364501953125"
"89","4701.6904296875","4701.6904296875","4701.6904296875","1077.7518310546875","1077.7518310546875","1077.7518310546875","70.00194549560547","70.00194549560547","70.00194549560547","4692.60498046875","4692.60498046875","4692.60498046875","1070.2374267578125","1070.2374267578125","1070.2374267578125","67.55130767822266","67.55130767822266","67.55130767822266"
"119","3974.82177734375","3974.82177734375","3974.82177734375","842.5596923828125","842.5596923828125","842.5596923828125","53.52193069458008","53.52193069458008","53.52193069458008","3967.41064453125","3967.41064453125","3967.41064453125","836.53515625","836.53515625","836.53515625","51.11870574951172","51.11870574951172","51.11870574951172"
"149","43862.5234375","43862.5234375","43862.5234375","35067.1015625","35067.1015625","35067.1015625","48.05192184448242","48.05192184448242","48.05192184448242","43820.23046875","43820.23046875","43820.23046875","34971.5390625","34971.5390625","34971.5390625","45.432098388671875","45.432098388671875","45.432098388671875"
"179","35244.921875","35244.921875","35244.921875","27524.927734375","27524.927734375","27524.927734375","45.71746063232422","45.71746063232422","45.71746063232422","35200.96484375","35200.96484375","35200.96484375","27426.33203125","27426.33203125","27426.33203125","42.74715805053711","42.74715805053711","42.74715805053711"
"209","2779.41455078125","2779.41455078125","2779.41455078125","548.1836547851562","548.1836547851562","548.1836547851562","30.91402244567871","30.91402244567871","30.91402244567871","2773.067138671875","2773.067138671875","2773.067138671875","543.9132690429688","543.9132690429688","543.9132690429688","28.961244583129883","28.961244583129883","28.961244583129883"
"239","2763.25439453125","2763.25439453125","2763.25439453125","550.8621215820312","550.8621215820312","550.8621215820312","28.612871170043945","28.612871170043945","28.612871170043945","2756.544921875","2756.544921875","2756.544921875","546.4712524414062","546.4712524414062","546.4712524414062","26.647727966308594","26.647727966308594","26.647727966308594"
"269","2677.75732421875","2677.75732421875","2677.75732421875","522.6930541992188","522.6930541992188","522.6930541992188","26.490663528442383","26.490663528442383","26.490663528442383","2669.8212890625","2669.8212890625","2669.8212890625","517.8555908203125","517.8555908203125","517.8555908203125","24.700464248657227","24.700464248657227","24.700464248657227"
"299","2743.291748046875","2743.291748046875","2743.291748046875","565.7174682617188","565.7174682617188","565.7174682617188","27.99268913269043","27.99268913269043","27.99268913269043","2736.292724609375","2736.292724609375","2736.292724609375","561.4815063476562","561.4815063476562","561.4815063476562","26.094642639160156","26.094642639160156","26.094642639160156"
