"Step","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - sparsity.l0","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - sparsity.l0__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - sparsity.l0__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - sparsity.l0","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - sparsity.l0__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - sparsity.l0__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - sparsity.l0","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - sparsity.l0__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - sparsity.l0__MAX","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - sparsity.l0","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - sparsity.l0__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - sparsity.l0__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - sparsity.l0","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - sparsity.l0__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - sparsity.l0__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - sparsity.l0","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - sparsity.l0__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - sparsity.l0__MAX"
"599","12115.7451171875","12115.7451171875","12115.7451171875","12076.7373046875","12076.7373046875","12076.7373046875","12117.462890625","12117.462890625","12117.462890625","11942.4638671875","11942.4638671875","11942.4638671875","11502.556640625","11502.556640625","11502.556640625","11911.564453125","11911.564453125","11911.564453125"
"1199","12087.0693359375","12087.0693359375","12087.0693359375","12055.7861328125","12055.7861328125","12055.7861328125","12148.9951171875","12148.9951171875","12148.9951171875","11477.40234375","11477.40234375","11477.40234375","10666.5107421875","10666.5107421875","10666.5107421875","11745.1611328125","11745.1611328125","11745.1611328125"
"1799","12015.2255859375","12015.2255859375","12015.2255859375","12018.5087890625","12018.5087890625","12018.5087890625","12151.384765625","12151.384765625","12151.384765625","10774.8388671875","10774.8388671875","10774.8388671875","10203.9716796875","10203.9716796875","10203.9716796875","11662.853515625","11662.853515625","11662.853515625"
"2399","12018.8583984375","12018.8583984375","12018.8583984375","12012.6640625","12012.6640625","12012.6640625","12155.001953125","12155.001953125","12155.001953125","10250.0849609375","10250.0849609375","10250.0849609375","10077.8291015625","10077.8291015625","10077.8291015625","11667.728515625","11667.728515625","11667.728515625"
"2999","11938.3466796875","11938.3466796875","11938.3466796875","11988.736328125","11988.736328125","11988.736328125","12153.6298828125","12153.6298828125","12153.6298828125","9862.548828125","9862.548828125","9862.548828125","10067.8017578125","10067.8017578125","10067.8017578125","11501.4423828125","11501.4423828125","11501.4423828125"
"3599","11948.216796875","11948.216796875","11948.216796875","11991.900390625","11991.900390625","11991.900390625","12148.095703125","12148.095703125","12148.095703125","9440.3701171875","9440.3701171875","9440.3701171875","10056.72265625","10056.72265625","10056.72265625","11249.8154296875","11249.8154296875","11249.8154296875"
"4199","11984.794921875","11984.794921875","11984.794921875","12036.7626953125","12036.7626953125","12036.7626953125","12148.501953125","12148.501953125","12148.501953125","9508.1396484375","9508.1396484375","9508.1396484375","10368.931640625","10368.931640625","10368.931640625","10979.7607421875","10979.7607421875","10979.7607421875"
"4799","12011.1826171875","12011.1826171875","12011.1826171875","12033.7138671875","12033.7138671875","12033.7138671875","12141.7724609375","12141.7724609375","12141.7724609375","9660.8544921875","9660.8544921875","9660.8544921875","10614.6591796875","10614.6591796875","10614.6591796875","10742.6669921875","10742.6669921875","10742.6669921875"
"5399","12037.4755859375","12037.4755859375","12037.4755859375","12002.5546875","12002.5546875","12002.5546875","12139.994140625","12139.994140625","12139.994140625","9838.9130859375","9838.9130859375","9838.9130859375","10870.8173828125","10870.8173828125","10870.8173828125","10527.0966796875","10527.0966796875","10527.0966796875"
"5999","12064.7802734375","12064.7802734375","12064.7802734375","11983.626953125","11983.626953125","11983.626953125","12146.9638671875","12146.9638671875","12146.9638671875","10093.298828125","10093.298828125","10093.298828125","11084.78125","11084.78125","11084.78125","10341.921875","10341.921875","10341.921875"
