"Step","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - shrinkage.l2_ratio","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - shrinkage.l2_ratio","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - shrinkage.l2_ratio","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - shrinkage.l2_ratio","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - shrinkage.l2_ratio","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - shrinkage.l2_ratio","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MAX"
"599","6.201002597808838","6.201002597808838","6.201002597808838","2.998858690261841","2.998858690261841","2.998858690261841","1.2816818952560425","1.2816818952560425","1.2816818952560425","6.219909191131592","6.219909191131592","6.219909191131592","3.009690999984741","3.009690999984741","3.009690999984741","1.2825759649276733","1.2825759649276733","1.2825759649276733"
"1199","6.336487293243408","6.336487293243408","6.336487293243408","3.0616488456726074","3.0616488456726074","3.0616488456726074","1.2908529043197632","1.2908529043197632","1.2908529043197632","6.359862804412842","6.359862804412842","6.359862804412842","3.0827739238739014","3.0827739238739014","3.0827739238739014","1.2927569150924683","1.2927569150924683","1.2927569150924683"
"1799","6.378304958343506","6.378304958343506","6.378304958343506","3.0818662643432617","3.0818662643432617","3.0818662643432617","1.2922589778900146","1.2922589778900146","1.2922589778900146","6.428575038909912","6.428575038909912","6.428575038909912","3.1056432723999023","3.1056432723999023","3.1056432723999023","1.293172836303711","1.293172836303711","1.293172836303711"
"2399","6.445756435394287","6.445756435394287","6.445756435394287","3.0940768718719482","3.0940768718719482","3.0940768718719482","1.2950241565704346","1.2950241565704346","1.2950241565704346","6.490667819976807","6.490667819976807","6.490667819976807","3.1147007942199707","3.1147007942199707","3.1147007942199707","1.2946816682815552","1.2946816682815552","1.2946816682815552"
"2999","6.453698635101318","6.453698635101318","6.453698635101318","3.108107089996338","3.108107089996338","3.108107089996338","1.2940932512283325","1.2940932512283325","1.2940932512283325","6.49910306930542","6.49910306930542","6.49910306930542","3.1249589920043945","3.1249589920043945","3.1249589920043945","1.293117880821228","1.293117880821228","1.293117880821228"
"3599","6.4898681640625","6.4898681640625","6.4898681640625","3.1127641201019287","3.1127641201019287","3.1127641201019287","1.2941964864730835","1.2941964864730835","1.2941964864730835","6.561902046203613","6.561902046203613","6.561902046203613","3.1215691566467285","3.1215691566467285","3.1215691566467285","1.294676661491394","1.294676661491394","1.294676661491394"
"4199","6.494232177734375","6.494232177734375","6.494232177734375","3.1159579753875732","3.1159579753875732","3.1159579753875732","1.2945441007614136","1.2945441007614136","1.2945441007614136","6.495526313781738","6.495526313781738","6.495526313781738","3.120311737060547","3.120311737060547","3.120311737060547","1.29457688331604","1.29457688331604","1.29457688331604"
"4799","6.509932041168213","6.509932041168213","6.509932041168213","3.123094081878662","3.123094081878662","3.123094081878662","1.293559193611145","1.293559193611145","1.293559193611145","6.522300720214844","6.522300720214844","6.522300720214844","3.1315579414367676","3.1315579414367676","3.1315579414367676","1.293959617614746","1.293959617614746","1.293959617614746"
"5399","6.508195400238037","6.508195400238037","6.508195400238037","3.1235909461975098","3.1235909461975098","3.1235909461975098","1.2932881116867065","1.2932881116867065","1.2932881116867065","6.538514614105225","6.538514614105225","6.538514614105225","3.1381895542144775","3.1381895542144775","3.1381895542144775","1.2940901517868042","1.2940901517868042","1.2940901517868042"
"5999","6.504624366760254","6.504624366760254","6.504624366760254","3.1156532764434814","3.1156532764434814","3.1156532764434814","1.295343279838562","1.295343279838562","1.295343279838562","6.5262603759765625","6.5262603759765625","6.5262603759765625","3.1305992603302","3.1305992603302","3.1305992603302","1.2946232557296753","1.2946232557296753","1.2946232557296753"
