"Step","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - losses/mse_loss","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - losses/mse_loss__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - losses/mse_loss__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - losses/mse_loss","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - losses/mse_loss__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - losses/mse_loss__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - losses/mse_loss","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - losses/mse_loss__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - losses/mse_loss__MAX","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - losses/mse_loss","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - losses/mse_loss__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - losses/mse_loss__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - losses/mse_loss","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - losses/mse_loss__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - losses/mse_loss__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - losses/mse_loss","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - losses/mse_loss__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - losses/mse_loss__MAX"
"29","9819.1943359375","9819.1943359375","9819.1943359375","2207.306396484375","2207.306396484375","2207.306396484375","348.21038818359375","348.21038818359375","348.21038818359375","9813.8876953125","9813.8876953125","9813.8876953125","2201.20703125","2201.20703125","2201.20703125","368.2731018066406","368.2731018066406","368.2731018066406"
"59","6445.08349609375","6445.08349609375","6445.08349609375","1459.9793701171875","1459.9793701171875","1459.9793701171875","118.50741577148438","118.50741577148438","118.50741577148438","6436.39111328125","6436.39111328125","6436.39111328125","1454.079833984375","1454.079833984375","1454.079833984375","125.63319396972656","125.63319396972656","125.63319396972656"
"89","4701.4755859375","4701.4755859375","4701.4755859375","1077.621826171875","1077.621826171875","1077.621826171875","69.99681854248047","69.99681854248047","69.99681854248047","4692.39013671875","4692.39013671875","4692.39013671875","1070.107666015625","1070.107666015625","1070.107666015625","68.04325866699219","68.04325866699219","68.04325866699219"
"119","3974.618896484375","3974.618896484375","3974.618896484375","842.4404296875","842.4404296875","842.4404296875","53.50734329223633","53.50734329223633","53.50734329223633","3967.20556640625","3967.20556640625","3967.20556640625","836.4076538085938","836.4076538085938","836.4076538085938","51.41271209716797","51.41271209716797","51.41271209716797"
"149","43862.2421875","43862.2421875","43862.2421875","35066.03515625","35066.03515625","35066.03515625","48.043094635009766","48.043094635009766","48.043094635009766","43819.25","43819.25","43819.25","34970.1328125","34970.1328125","34970.1328125","45.57931900024414","45.57931900024414","45.57931900024414"
"179","35244.6640625","35244.6640625","35244.6640625","27523.419921875","27523.419921875","27523.419921875","45.70201873779297","45.70201873779297","45.70201873779297","35200.0234375","35200.0234375","35200.0234375","27424.3515625","27424.3515625","27424.3515625","42.86280822753906","42.86280822753906","42.86280822753906"
"209","2779.11083984375","2779.11083984375","2779.11083984375","548.0595703125","548.0595703125","548.0595703125","30.89731216430664","30.89731216430664","30.89731216430664","2772.757080078125","2772.757080078125","2772.757080078125","543.780517578125","543.780517578125","543.780517578125","29.057607650756836","29.057607650756836","29.057607650756836"
"239","2762.949951171875","2762.949951171875","2762.949951171875","550.7173461914062","550.7173461914062","550.7173461914062","28.598295211791992","28.598295211791992","28.598295211791992","2756.240966796875","2756.240966796875","2756.240966796875","546.3172607421875","546.3172607421875","546.3172607421875","26.684675216674805","26.684675216674805","26.684675216674805"
"269","2677.29931640625","2677.29931640625","2677.29931640625","522.4849243164062","522.4849243164062","522.4849243164062","26.475587844848633","26.475587844848633","26.475587844848633","2669.3583984375","2669.3583984375","2669.3583984375","517.6492309570312","517.6492309570312","517.6492309570312","24.706560134887695","24.706560134887695","24.706560134887695"
"299","2742.95751953125","2742.95751953125","2742.95751953125","565.5518188476562","565.5518188476562","565.5518188476562","27.970922470092773","27.970922470092773","27.970922470092773","2735.95263671875","2735.95263671875","2735.95263671875","561.313232421875","561.313232421875","561.313232421875","26.077457427978516","26.077457427978516","26.077457427978516"
