"Step","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - losses/fisher_reg_term","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - losses/fisher_reg_term__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - losses/fisher_reg_term__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - losses/fisher_reg_term","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - losses/fisher_reg_term__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - losses/fisher_reg_term__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - losses/fisher_reg_term","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - losses/fisher_reg_term__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - losses/fisher_reg_term__MAX"
"29","24.719511032104492","24.719511032104492","24.719511032104492","5.61336088180542","5.61336088180542","5.61336088180542","7.9521307945251465","7.9521307945251465","7.9521307945251465"
"59","25.27323341369629","25.27323341369629","25.27323341369629","4.247169494628906","4.247169494628906","4.247169494628906","6.483753681182861","6.483753681182861","6.483753681182861"
"89","18.604862213134766","18.604862213134766","18.604862213134766","4.39775276184082","4.39775276184082","4.39775276184082","5.977097511291504","5.977097511291504","5.977097511291504"
"119","12.166296005249023","12.166296005249023","12.166296005249023","4.022497653961182","4.022497653961182","4.022497653961182","5.476213455200195","5.476213455200195","5.476213455200195"
"149","11.4702730178833","11.4702730178833","11.4702730178833","8.376255989074707","8.376255989074707","8.376255989074707","11.532454490661621","11.532454490661621","11.532454490661621"
"179","9.567816734313965","9.567816734313965","9.567816734313965","7.400561332702637","7.400561332702637","7.400561332702637","10.579878807067871","10.579878807067871","10.579878807067871"
"209","7.5644426345825195","7.5644426345825195","7.5644426345825195","3.4249753952026367","3.4249753952026367","3.4249753952026367","4.8044939041137695","4.8044939041137695","4.8044939041137695"
"239","6.521581649780273","6.521581649780273","6.521581649780273","3.4244225025177","3.4244225025177","3.4244225025177","4.105004787445068","4.105004787445068","4.105004787445068"
"269","6.120466232299805","6.120466232299805","6.120466232299805","3.2836055755615234","3.2836055755615234","3.2836055755615234","4.417019367218018","4.417019367218018","4.417019367218018"
"299","6.162744045257568","6.162744045257568","6.162744045257568","3.4058403968811035","3.4058403968811035","3.4058403968811035","4.236565589904785","4.236565589904785","4.236565589904785"
"329","6.497400283813477","6.497400283813477","6.497400283813477","3.5737147331237793","3.5737147331237793","3.5737147331237793","3.9392173290252686","3.9392173290252686","3.9392173290252686"
"359","6.561729431152344","6.561729431152344","6.561729431152344","3.3956170082092285","3.3956170082092285","3.3956170082092285","4.031619548797607","4.031619548797607","4.031619548797607"
"389","5.776969909667969","5.776969909667969","5.776969909667969","3.4528732299804688","3.4528732299804688","3.4528732299804688","3.633004665374756","3.633004665374756","3.633004665374756"
"419","5.418337345123291","5.418337345123291","5.418337345123291","3.368729829788208","3.368729829788208","3.368729829788208","3.863020658493042","3.863020658493042","3.863020658493042"
"449","5.56831169128418","5.56831169128418","5.56831169128418","3.1047635078430176","3.1047635078430176","3.1047635078430176","3.5730390548706055","3.5730390548706055","3.5730390548706055"
"479","5.5748291015625","5.5748291015625","5.5748291015625","3.2606475353240967","3.2606475353240967","3.2606475353240967","3.8415424823760986","3.8415424823760986","3.8415424823760986"
"509","6.011464595794678","6.011464595794678","6.011464595794678","3.28542160987854","3.28542160987854","3.28542160987854","3.6670310497283936","3.6670310497283936","3.6670310497283936"
"539","5.2509446144104","5.2509446144104","5.2509446144104","10.15216064453125","10.15216064453125","10.15216064453125","8.16373348236084","8.16373348236084","8.16373348236084"
"569","5.428318977355957","5.428318977355957","5.428318977355957","3.1053926944732666","3.1053926944732666","3.1053926944732666","3.619645595550537","3.619645595550537","3.619645595550537"
"599","5.469580173492432","5.469580173492432","5.469580173492432","2.9735827445983887","2.9735827445983887","2.9735827445983887","4.0812225341796875","4.0812225341796875","4.0812225341796875"
"629","4.62032413482666","4.62032413482666","4.62032413482666","3.1066067218780518","3.1066067218780518","3.1066067218780518","3.409515380859375","3.409515380859375","3.409515380859375"
"659","4.702779293060303","4.702779293060303","4.702779293060303","3.5812828540802","3.5812828540802","3.5812828540802","3.4839000701904297","3.4839000701904297","3.4839000701904297"
"689","4.739112854003906","4.739112854003906","4.739112854003906","6.331998825073242","6.331998825073242","6.331998825073242","6.687448501586914","6.687448501586914","6.687448501586914"
"719","5.094076156616211","5.094076156616211","5.094076156616211","3.157212495803833","3.157212495803833","3.157212495803833","3.6970202922821045","3.6970202922821045","3.6970202922821045"
"749","5.2275309562683105","5.2275309562683105","5.2275309562683105","3.2026360034942627","3.2026360034942627","3.2026360034942627","3.842648506164551","3.842648506164551","3.842648506164551"
"779","4.744231224060059","4.744231224060059","4.744231224060059","3.784003257751465","3.784003257751465","3.784003257751465","3.482144594192505","3.482144594192505","3.482144594192505"
"809","5.242907524108887","5.242907524108887","5.242907524108887","5.200563430786133","5.200563430786133","5.200563430786133","5.711875915527344","5.711875915527344","5.711875915527344"
"839","5.1914286613464355","5.1914286613464355","5.1914286613464355","2.9453582763671875","2.9453582763671875","2.9453582763671875","3.756709575653076","3.756709575653076","3.756709575653076"
"869","4.369194030761719","4.369194030761719","4.369194030761719","6.326966285705566","6.326966285705566","6.326966285705566","5.265833854675293","5.265833854675293","5.265833854675293"
"899","4.872249603271484","4.872249603271484","4.872249603271484","3.1348094940185547","3.1348094940185547","3.1348094940185547","3.5599029064178467","3.5599029064178467","3.5599029064178467"
"929","4.301469802856445","4.301469802856445","4.301469802856445","2.7769954204559326","2.7769954204559326","2.7769954204559326","3.35111927986145","3.35111927986145","3.35111927986145"
"959","4.550088405609131","4.550088405609131","4.550088405609131","6.844063758850098","6.844063758850098","6.844063758850098","5.383440017700195","5.383440017700195","5.383440017700195"
"989","4.807791233062744","4.807791233062744","4.807791233062744","2.694797992706299","2.694797992706299","2.694797992706299","3.1691393852233887","3.1691393852233887","3.1691393852233887"
"1019","4.68333625793457","4.68333625793457","4.68333625793457","4.784228324890137","4.784228324890137","4.784228324890137","4.417597770690918","4.417597770690918","4.417597770690918"
"1049","4.456105709075928","4.456105709075928","4.456105709075928","2.702385902404785","2.702385902404785","2.702385902404785","3.4119443893432617","3.4119443893432617","3.4119443893432617"
"1079","4.511205196380615","4.511205196380615","4.511205196380615","2.63397216796875","2.63397216796875","2.63397216796875","3.3259289264678955","3.3259289264678955","3.3259289264678955"
"1109","4.090756893157959","4.090756893157959","4.090756893157959","4.204779148101807","4.204779148101807","4.204779148101807","4.178218364715576","4.178218364715576","4.178218364715576"
"1139","4.258541584014893","4.258541584014893","4.258541584014893","2.85562801361084","2.85562801361084","2.85562801361084","3.2764978408813477","3.2764978408813477","3.2764978408813477"
"1169","5.099282264709473","5.099282264709473","5.099282264709473","2.758840799331665","2.758840799331665","2.758840799331665","3.5606634616851807","3.5606634616851807","3.5606634616851807"
"1199","4.449947834014893","4.449947834014893","4.449947834014893","3.0459814071655273","3.0459814071655273","3.0459814071655273","3.237839937210083","3.237839937210083","3.237839937210083"
"1229","4.053452014923096","4.053452014923096","4.053452014923096","4.980517387390137","4.980517387390137","4.980517387390137","4.05825662612915","4.05825662612915","4.05825662612915"
"1259","4.442277908325195","4.442277908325195","4.442277908325195","2.820018768310547","2.820018768310547","2.820018768310547","3.33559513092041","3.33559513092041","3.33559513092041"
"1289","4.242359638214111","4.242359638214111","4.242359638214111","2.9966354370117188","2.9966354370117188","2.9966354370117188","3.358704090118408","3.358704090118408","3.358704090118408"
"1319","4.337299346923828","4.337299346923828","4.337299346923828","4.469691276550293","4.469691276550293","4.469691276550293","4.0287628173828125","4.0287628173828125","4.0287628173828125"
"1349","4.335200309753418","4.335200309753418","4.335200309753418","2.579202175140381","2.579202175140381","2.579202175140381","3.212315320968628","3.212315320968628","3.212315320968628"
"1379","3.873671770095825","3.873671770095825","3.873671770095825","2.614842414855957","2.614842414855957","2.614842414855957","3.179718255996704","3.179718255996704","3.179718255996704"
"1409","4.4169721603393555","4.4169721603393555","4.4169721603393555","2.58151912689209","2.58151912689209","2.58151912689209","3.1318445205688477","3.1318445205688477","3.1318445205688477"
"1439","4.204129695892334","4.204129695892334","4.204129695892334","2.5413763523101807","2.5413763523101807","2.5413763523101807","3.142481565475464","3.142481565475464","3.142481565475464"
"1469","3.91184139251709","3.91184139251709","3.91184139251709","2.5275816917419434","2.5275816917419434","2.5275816917419434","3.351994514465332","3.351994514465332","3.351994514465332"
"1499","4.050802230834961","4.050802230834961","4.050802230834961","2.378429889678955","2.378429889678955","2.378429889678955","3.334003210067749","3.334003210067749","3.334003210067749"
"1529","3.664055585861206","3.664055585861206","3.664055585861206","2.5027987957000732","2.5027987957000732","2.5027987957000732","3.4549813270568848","3.4549813270568848","3.4549813270568848"
"1559","4.013609409332275","4.013609409332275","4.013609409332275","2.5971405506134033","2.5971405506134033","2.5971405506134033","3.3604612350463867","3.3604612350463867","3.3604612350463867"
"1589","3.8241195678710938","3.8241195678710938","3.8241195678710938","2.6049227714538574","2.6049227714538574","2.6049227714538574","2.9496164321899414","2.9496164321899414","2.9496164321899414"
"1619","3.9671571254730225","3.9671571254730225","3.9671571254730225","4.011569976806641","4.011569976806641","4.011569976806641","3.5110692977905273","3.5110692977905273","3.5110692977905273"
"1649","3.672884225845337","3.672884225845337","3.672884225845337","3.622494697570801","3.622494697570801","3.622494697570801","3.508319616317749","3.508319616317749","3.508319616317749"
"1679","4.045882701873779","4.045882701873779","4.045882701873779","2.864032506942749","2.864032506942749","2.864032506942749","3.46281361579895","3.46281361579895","3.46281361579895"
"1709","4.24463415145874","4.24463415145874","4.24463415145874","2.4949817657470703","2.4949817657470703","2.4949817657470703","3.0978405475616455","3.0978405475616455","3.0978405475616455"
"1739","3.466167449951172","3.466167449951172","3.466167449951172","2.576669454574585","2.576669454574585","2.576669454574585","3.1462738513946533","3.1462738513946533","3.1462738513946533"
"1769","3.5818135738372803","3.5818135738372803","3.5818135738372803","2.6518523693084717","2.6518523693084717","2.6518523693084717","3.042142868041992","3.042142868041992","3.042142868041992"
"1799","3.3420610427856445","3.3420610427856445","3.3420610427856445","2.40761399269104","2.40761399269104","2.40761399269104","3.060967445373535","3.060967445373535","3.060967445373535"
"1829","4.030160427093506","4.030160427093506","4.030160427093506","2.629124164581299","2.629124164581299","2.629124164581299","2.9953532218933105","2.9953532218933105","2.9953532218933105"
"1859","3.9166359901428223","3.9166359901428223","3.9166359901428223","2.514782428741455","2.514782428741455","2.514782428741455","2.8663618564605713","2.8663618564605713","2.8663618564605713"
"1889","3.3681323528289795","3.3681323528289795","3.3681323528289795","2.49729323387146","2.49729323387146","2.49729323387146","2.78702974319458","2.78702974319458","2.78702974319458"
"1919","4.025272846221924","4.025272846221924","4.025272846221924","3.043658971786499","3.043658971786499","3.043658971786499","3.1835601329803467","3.1835601329803467","3.1835601329803467"
"1949","3.823028564453125","3.823028564453125","3.823028564453125","2.6358625888824463","2.6358625888824463","2.6358625888824463","2.709714889526367","2.709714889526367","2.709714889526367"
"1979","3.833693742752075","3.833693742752075","3.833693742752075","2.5372073650360107","2.5372073650360107","2.5372073650360107","2.6689915657043457","2.6689915657043457","2.6689915657043457"
"2009","3.7508552074432373","3.7508552074432373","3.7508552074432373","2.59847092628479","2.59847092628479","2.59847092628479","2.9876246452331543","2.9876246452331543","2.9876246452331543"
"2039","4.582827568054199","4.582827568054199","4.582827568054199","2.553323268890381","2.553323268890381","2.553323268890381","2.7760517597198486","2.7760517597198486","2.7760517597198486"
"2069","3.8647563457489014","3.8647563457489014","3.8647563457489014","2.542518138885498","2.542518138885498","2.542518138885498","2.5278661251068115","2.5278661251068115","2.5278661251068115"
"2099","3.7148332595825195","3.7148332595825195","3.7148332595825195","2.270862102508545","2.270862102508545","2.270862102508545","2.427259683609009","2.427259683609009","2.427259683609009"
"2129","3.494706630706787","3.494706630706787","3.494706630706787","2.3893983364105225","2.3893983364105225","2.3893983364105225","2.9170022010803223","2.9170022010803223","2.9170022010803223"
"2159","3.1090264320373535","3.1090264320373535","3.1090264320373535","2.4535903930664062","2.4535903930664062","2.4535903930664062","2.5342366695404053","2.5342366695404053","2.5342366695404053"
"2189","3.3553738594055176","3.3553738594055176","3.3553738594055176","2.4350802898406982","2.4350802898406982","2.4350802898406982","2.788613796234131","2.788613796234131","2.788613796234131"
"2219","3.863323211669922","3.863323211669922","3.863323211669922","2.509732961654663","2.509732961654663","2.509732961654663","2.94622540473938","2.94622540473938","2.94622540473938"
"2249","3.7193686962127686","3.7193686962127686","3.7193686962127686","2.53934645652771","2.53934645652771","2.53934645652771","3.035714864730835","3.035714864730835","3.035714864730835"
"2279","44.150917053222656","44.150917053222656","44.150917053222656","33.360538482666016","33.360538482666016","33.360538482666016","25.623661041259766","25.623661041259766","25.623661041259766"
"2309","3.320524215698242","3.320524215698242","3.320524215698242","2.2190146446228027","2.2190146446228027","2.2190146446228027","2.4278788566589355","2.4278788566589355","2.4278788566589355"
"2339","3.4766972064971924","3.4766972064971924","3.4766972064971924","2.612633228302002","2.612633228302002","2.612633228302002","3.0678765773773193","3.0678765773773193","3.0678765773773193"
"2369","3.827650785446167","3.827650785446167","3.827650785446167","2.4846818447113037","2.4846818447113037","2.4846818447113037","2.989764451980591","2.989764451980591","2.989764451980591"
"2399","3.5298662185668945","3.5298662185668945","3.5298662185668945","2.771667957305908","2.771667957305908","2.771667957305908","3.199969530105591","3.199969530105591","3.199969530105591"
"2429","3.124433755874634","3.124433755874634","3.124433755874634","3.0855913162231445","3.0855913162231445","3.0855913162231445","2.843057155609131","2.843057155609131","2.843057155609131"
"2459","3.0435731410980225","3.0435731410980225","3.0435731410980225","2.4730703830718994","2.4730703830718994","2.4730703830718994","2.9709279537200928","2.9709279537200928","2.9709279537200928"
"2489","3.499396324157715","3.499396324157715","3.499396324157715","2.3582417964935303","2.3582417964935303","2.3582417964935303","2.5192947387695312","2.5192947387695312","2.5192947387695312"
"2519","3.1963906288146973","3.1963906288146973","3.1963906288146973","2.393256902694702","2.393256902694702","2.393256902694702","2.576878070831299","2.576878070831299","2.576878070831299"
"2549","3.3260319232940674","3.3260319232940674","3.3260319232940674","2.4514834880828857","2.4514834880828857","2.4514834880828857","2.8235113620758057","2.8235113620758057","2.8235113620758057"
"2579","2.8116557598114014","2.8116557598114014","2.8116557598114014","2.3580410480499268","2.3580410480499268","2.3580410480499268","2.621671199798584","2.621671199798584","2.621671199798584"
"2609","2.921015977859497","2.921015977859497","2.921015977859497","2.333022356033325","2.333022356033325","2.333022356033325","2.5943267345428467","2.5943267345428467","2.5943267345428467"
"2639","2.9181175231933594","2.9181175231933594","2.9181175231933594","2.721308469772339","2.721308469772339","2.721308469772339","2.347165584564209","2.347165584564209","2.347165584564209"
"2669","3.005988597869873","3.005988597869873","3.005988597869873","2.3863468170166016","2.3863468170166016","2.3863468170166016","2.5960071086883545","2.5960071086883545","2.5960071086883545"
