"Step","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - sparsity.l1","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - sparsity.l1__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - sparsity.l1__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - sparsity.l1","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - sparsity.l1__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - sparsity.l1__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - sparsity.l1","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - sparsity.l1__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - sparsity.l1__MAX","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - sparsity.l1","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - sparsity.l1__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - sparsity.l1__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - sparsity.l1","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - sparsity.l1__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - sparsity.l1__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - sparsity.l1","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - sparsity.l1__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - sparsity.l1__MAX"
"599","950.298828125","950.298828125","950.298828125","433.2181701660156","433.2181701660156","433.2181701660156","606.3187866210938","606.3187866210938","606.3187866210938","947.66162109375","947.66162109375","947.66162109375","430.85791015625","430.85791015625","430.85791015625","600.6190185546875","600.6190185546875","600.6190185546875"
"1199","776.98681640625","776.98681640625","776.98681640625","423.8736267089844","423.8736267089844","423.8736267089844","496.87432861328125","496.87432861328125","496.87432861328125","772.7704467773438","772.7704467773438","772.7704467773438","421.2235412597656","421.2235412597656","421.2235412597656","492.6466979980469","492.6466979980469","492.6466979980469"
"1799","668.4566650390625","668.4566650390625","668.4566650390625","394.05419921875","394.05419921875","394.05419921875","424.25445556640625","424.25445556640625","424.25445556640625","662.3881225585938","662.3881225585938","662.3881225585938","391.16241455078125","391.16241455078125","391.16241455078125","421.46484375","421.46484375","421.46484375"
"2399","558.8073120117188","558.8073120117188","558.8073120117188","362.3047790527344","362.3047790527344","362.3047790527344","366.5658264160156","366.5658264160156","366.5658264160156","552.5006103515625","552.5006103515625","552.5006103515625","358.92706298828125","358.92706298828125","358.92706298828125","364.6902770996094","364.6902770996094","364.6902770996094"
"2999","510.7177734375","510.7177734375","510.7177734375","352.21270751953125","352.21270751953125","352.21270751953125","322.0806579589844","322.0806579589844","322.0806579589844","502.6353454589844","502.6353454589844","502.6353454589844","348.4958801269531","348.4958801269531","348.4958801269531","320.3087463378906","320.3087463378906","320.3087463378906"
"3599","466.3415222167969","466.3415222167969","466.3415222167969","326.0420837402344","326.0420837402344","326.0420837402344","288.7719421386719","288.7719421386719","288.7719421386719","457.22271728515625","457.22271728515625","457.22271728515625","322.6435241699219","322.6435241699219","322.6435241699219","286.5311584472656","286.5311584472656","286.5311584472656"
"4199","416.43536376953125","416.43536376953125","416.43536376953125","307.4098815917969","307.4098815917969","307.4098815917969","263.09649658203125","263.09649658203125","263.09649658203125","407.47833251953125","407.47833251953125","407.47833251953125","304.033935546875","304.033935546875","304.033935546875","260.6434631347656","260.6434631347656","260.6434631347656"
"4799","399.06451416015625","399.06451416015625","399.06451416015625","298.823486328125","298.823486328125","298.823486328125","252.4241180419922","252.4241180419922","252.4241180419922","389.218994140625","389.218994140625","389.218994140625","295.36907958984375","295.36907958984375","295.36907958984375","249.66905212402344","249.66905212402344","249.66905212402344"
"5399","372.1007385253906","372.1007385253906","372.1007385253906","285.1421813964844","285.1421813964844","285.1421813964844","234.62486267089844","234.62486267089844","234.62486267089844","362.45611572265625","362.45611572265625","362.45611572265625","281.9960632324219","281.9960632324219","281.9960632324219","231.99571228027344","231.99571228027344","231.99571228027344"
"5999","344.8559265136719","344.8559265136719","344.8559265136719","267.4653015136719","267.4653015136719","267.4653015136719","223.04751586914062","223.04751586914062","223.04751586914062","335.33819580078125","335.33819580078125","335.33819580078125","264.8654479980469","264.8654479980469","264.8654479980469","220.3606719970703","220.3606719970703","220.3606719970703"
