"Step","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - shrinkage.l2_ratio","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - shrinkage.l2_ratio","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - shrinkage.l2_ratio","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - shrinkage.l2_ratio","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - shrinkage.l2_ratio","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - shrinkage.l2_ratio","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MAX"
"599","2.1329996585845947","2.1329996585845947","2.1329996585845947","0.41732916235923767","0.41732916235923767","0.41732916235923767","0.8301542401313782","0.8301542401313782","0.8301542401313782","2.1335041522979736","2.1335041522979736","2.1335041522979736","0.4179001748561859","0.4179001748561859","0.4179001748561859","0.8303081393241882","0.8303081393241882","0.8303081393241882"
"1199","2.1479108333587646","2.1479108333587646","2.1479108333587646","0.4625406265258789","0.4625406265258789","0.4625406265258789","0.8785421252250671","0.8785421252250671","0.8785421252250671","2.147808074951172","2.147808074951172","2.147808074951172","0.46393847465515137","0.46393847465515137","0.46393847465515137","0.8786256909370422","0.8786256909370422","0.8786256909370422"
"1799","2.164794683456421","2.164794683456421","2.164794683456421","0.49091801047325134","0.49091801047325134","0.49091801047325134","0.9105483889579773","0.9105483889579773","0.9105483889579773","2.1644482612609863","2.1644482612609863","2.1644482612609863","0.49287739396095276","0.49287739396095276","0.49287739396095276","0.9109344482421875","0.9109344482421875","0.9109344482421875"
"2399","2.1513969898223877","2.1513969898223877","2.1513969898223877","0.5069178938865662","0.5069178938865662","0.5069178938865662","0.918372631072998","0.918372631072998","0.918372631072998","2.1520371437072754","2.1520371437072754","2.1520371437072754","0.5082215666770935","0.5082215666770935","0.5082215666770935","0.9191014170646667","0.9191014170646667","0.9191014170646667"
"2999","2.1628997325897217","2.1628997325897217","2.1628997325897217","0.5244306325912476","0.5244306325912476","0.5244306325912476","0.9214004874229431","0.9214004874229431","0.9214004874229431","2.1632535457611084","2.1632535457611084","2.1632535457611084","0.5259886980056763","0.5259886980056763","0.5259886980056763","0.9218325018882751","0.9218325018882751","0.9218325018882751"
"3599","2.1959211826324463","2.1959211826324463","2.1959211826324463","0.5371457934379578","0.5371457934379578","0.5371457934379578","0.9312867522239685","0.9312867522239685","0.9312867522239685","2.194810628890991","2.194810628890991","2.194810628890991","0.538481593132019","0.538481593132019","0.538481593132019","0.9314713478088379","0.9314713478088379","0.9314713478088379"
"4199","2.183927297592163","2.183927297592163","2.183927297592163","0.5465077757835388","0.5465077757835388","0.5465077757835388","0.9362144470214844","0.9362144470214844","0.9362144470214844","2.183791160583496","2.183791160583496","2.183791160583496","0.5473958253860474","0.5473958253860474","0.5473958253860474","0.9363406300544739","0.9363406300544739","0.9363406300544739"
"4799","2.195416212081909","2.195416212081909","2.195416212081909","0.5499809384346008","0.5499809384346008","0.5499809384346008","0.9362072944641113","0.9362072944641113","0.9362072944641113","2.196359634399414","2.196359634399414","2.196359634399414","0.5506238341331482","0.5506238341331482","0.5506238341331482","0.9365760684013367","0.9365760684013367","0.9365760684013367"
"5399","2.1945440769195557","2.1945440769195557","2.1945440769195557","0.5556866526603699","0.5556866526603699","0.5556866526603699","0.9428223967552185","0.9428223967552185","0.9428223967552185","2.195896625518799","2.195896625518799","2.195896625518799","0.5563430786132812","0.5563430786132812","0.5563430786132812","0.9431371092796326","0.9431371092796326","0.9431371092796326"
"5999","2.2100844383239746","2.2100844383239746","2.2100844383239746","0.5589129328727722","0.5589129328727722","0.5589129328727722","0.9460789561271667","0.9460789561271667","0.9460789561271667","2.2096996307373047","2.2096996307373047","2.2096996307373047","0.5597646832466125","0.5597646832466125","0.5597646832466125","0.9463476538658142","0.9463476538658142","0.9463476538658142"
"6599","2.2146005630493164","2.2146005630493164","2.2146005630493164","0.5661837458610535","0.5661837458610535","0.5661837458610535","0.944675087928772","0.944675087928772","0.944675087928772","2.216171979904175","2.216171979904175","2.216171979904175","0.5663061141967773","0.5663061141967773","0.5663061141967773","0.944580078125","0.944580078125","0.944580078125"
"7199","2.1974809169769287","2.1974809169769287","2.1974809169769287","0.5614213943481445","0.5614213943481445","0.5614213943481445","0.9471475481987","0.9471475481987","0.9471475481987","2.1977388858795166","2.1977388858795166","2.1977388858795166","0.5617257356643677","0.5617257356643677","0.5617257356643677","0.9472624063491821","0.9472624063491821","0.9472624063491821"
"7799","2.2317521572113037","2.2317521572113037","2.2317521572113037","0.5692165493965149","0.5692165493965149","0.5692165493965149","0.9474582672119141","0.9474582672119141","0.9474582672119141","2.230734348297119","2.230734348297119","2.230734348297119","0.569867730140686","0.569867730140686","0.569867730140686","0.947073757648468","0.947073757648468","0.947073757648468"
"8399","2.2180519104003906","2.2180519104003906","2.2180519104003906","0.5675340890884399","0.5675340890884399","0.5675340890884399","0.9462523460388184","0.9462523460388184","0.9462523460388184","2.2171642780303955","2.2171642780303955","2.2171642780303955","0.5679181814193726","0.5679181814193726","0.5679181814193726","0.9466134309768677","0.9466134309768677","0.9466134309768677"
