"Step","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - losses/mse_loss","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - losses/mse_loss__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - losses/mse_loss__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - losses/mse_loss","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - losses/mse_loss__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - losses/mse_loss__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - losses/mse_loss","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - losses/mse_loss__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - losses/mse_loss__MAX","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - losses/mse_loss","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - losses/mse_loss__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - losses/mse_loss__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - losses/mse_loss","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - losses/mse_loss__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - losses/mse_loss__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - losses/mse_loss","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - losses/mse_loss__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - losses/mse_loss__MAX"
"29","2178.73095703125","2178.73095703125","2178.73095703125","222.7318115234375","222.7318115234375","222.7318115234375","431.92303466796875","431.92303466796875","431.92303466796875","2186.89501953125","2186.89501953125","2186.89501953125","222.4529266357422","222.4529266357422","222.4529266357422","433.23162841796875","433.23162841796875","433.23162841796875"
"59","1192.0556640625","1192.0556640625","1192.0556640625","204.63839721679688","204.63839721679688","204.63839721679688","372.97283935546875","372.97283935546875","372.97283935546875","1192.9139404296875","1192.9139404296875","1192.9139404296875","203.61300659179688","203.61300659179688","203.61300659179688","376.5401611328125","376.5401611328125","376.5401611328125"
"89","828.1016845703125","828.1016845703125","828.1016845703125","183.36306762695312","183.36306762695312","183.36306762695312","307.5160827636719","307.5160827636719","307.5160827636719","825.2352905273438","825.2352905273438","825.2352905273438","182.37161254882812","182.37161254882812","182.37161254882812","309.20758056640625","309.20758056640625","309.20758056640625"
"119","697.044189453125","697.044189453125","697.044189453125","174.16909790039062","174.16909790039062","174.16909790039062","235.76670837402344","235.76670837402344","235.76670837402344","694.1800537109375","694.1800537109375","694.1800537109375","174.2460174560547","174.2460174560547","174.2460174560547","236.37713623046875","236.37713623046875","236.37713623046875"
"149","633.1964111328125","633.1964111328125","633.1964111328125","212.33721923828125","212.33721923828125","212.33721923828125","312.72314453125","312.72314453125","312.72314453125","630.91162109375","630.91162109375","630.91162109375","218.4618682861328","218.4618682861328","218.4618682861328","320.5627136230469","320.5627136230469","320.5627136230469"
"179","649.831298828125","649.831298828125","649.831298828125","203.43011474609375","203.43011474609375","203.43011474609375","269.0097351074219","269.0097351074219","269.0097351074219","647.3466186523438","647.3466186523438","647.3466186523438","212.25160217285156","212.25160217285156","212.25160217285156","275.7125244140625","275.7125244140625","275.7125244140625"
"209","705.2941284179688","705.2941284179688","705.2941284179688","156.018310546875","156.018310546875","156.018310546875","228.3963165283203","228.3963165283203","228.3963165283203","702.5704345703125","702.5704345703125","702.5704345703125","155.39779663085938","155.39779663085938","155.39779663085938","228.24725341796875","228.24725341796875","228.24725341796875"
"239","636.141845703125","636.141845703125","636.141845703125","153.36819458007812","153.36819458007812","153.36819458007812","185.86476135253906","185.86476135253906","185.86476135253906","633.4537353515625","633.4537353515625","633.4537353515625","153.03294372558594","153.03294372558594","153.03294372558594","185.4656982421875","185.4656982421875","185.4656982421875"
"269","581.4627075195312","581.4627075195312","581.4627075195312","140.5529327392578","140.5529327392578","140.5529327392578","163.43020629882812","163.43020629882812","163.43020629882812","579.5274047851562","579.5274047851562","579.5274047851562","140","140","140","162.89854431152344","162.89854431152344","162.89854431152344"
"299","553.7034912109375","553.7034912109375","553.7034912109375","140.114013671875","140.114013671875","140.114013671875","155.56796264648438","155.56796264648438","155.56796264648438","551.572265625","551.572265625","551.572265625","139.2781219482422","139.2781219482422","139.2781219482422","154.77577209472656","154.77577209472656","154.77577209472656"
"329","317.29254150390625","317.29254150390625","317.29254150390625","241.466552734375","241.466552734375","241.466552734375","159.4218292236328","159.4218292236328","159.4218292236328","316.6279602050781","316.6279602050781","316.6279602050781","240.13772583007812","240.13772583007812","240.13772583007812","158.6171417236328","158.6171417236328","158.6171417236328"
"359","305.944091796875","305.944091796875","305.944091796875","224.49659729003906","224.49659729003906","224.49659729003906","138.00851440429688","138.00851440429688","138.00851440429688","304.921630859375","304.921630859375","304.921630859375","224.18101501464844","224.18101501464844","224.18101501464844","137.47560119628906","137.47560119628906","137.47560119628906"
"389","334.5075988769531","334.5075988769531","334.5075988769531","222.256591796875","222.256591796875","222.256591796875","172.0265655517578","172.0265655517578","172.0265655517578","333.40325927734375","333.40325927734375","333.40325927734375","220.42041015625","220.42041015625","220.42041015625","171.42465209960938","171.42465209960938","171.42465209960938"
"419","300.92645263671875","300.92645263671875","300.92645263671875","210.19680786132812","210.19680786132812","210.19680786132812","137.16448974609375","137.16448974609375","137.16448974609375","299.83746337890625","299.83746337890625","299.83746337890625","209.32186889648438","209.32186889648438","209.32186889648438","136.42088317871094","136.42088317871094","136.42088317871094"
"449","378.0362548828125","378.0362548828125","378.0362548828125","192.3328857421875","192.3328857421875","192.3328857421875","138.60108947753906","138.60108947753906","138.60108947753906","377.18878173828125","377.18878173828125","377.18878173828125","191.5409393310547","191.5409393310547","191.5409393310547","137.87606811523438","137.87606811523438","137.87606811523438"
"479","355.189208984375","355.189208984375","355.189208984375","194.42100524902344","194.42100524902344","194.42100524902344","137.09092712402344","137.09092712402344","137.09092712402344","354.5980529785156","354.5980529785156","354.5980529785156","193.4803466796875","193.4803466796875","193.4803466796875","136.5988006591797","136.5988006591797","136.5988006591797"
"509","336.6081237792969","336.6081237792969","336.6081237792969","197.35491943359375","197.35491943359375","197.35491943359375","144.36097717285156","144.36097717285156","144.36097717285156","335.8723449707031","335.8723449707031","335.8723449707031","196.13784790039062","196.13784790039062","196.13784790039062","143.97714233398438","143.97714233398438","143.97714233398438"
"539","298.8158874511719","298.8158874511719","298.8158874511719","182.1913299560547","182.1913299560547","182.1913299560547","101.96729278564453","101.96729278564453","101.96729278564453","297.9607238769531","297.9607238769531","297.9607238769531","181.3397674560547","181.3397674560547","181.3397674560547","101.35527038574219","101.35527038574219","101.35527038574219"
"569","346.6994934082031","346.6994934082031","346.6994934082031","166.29481506347656","166.29481506347656","166.29481506347656","121.75419616699219","121.75419616699219","121.75419616699219","345.92816162109375","345.92816162109375","345.92816162109375","165.10238647460938","165.10238647460938","165.10238647460938","121.16068267822266","121.16068267822266","121.16068267822266"
"599","290.98358154296875","290.98358154296875","290.98358154296875","183.66268920898438","183.66268920898438","183.66268920898438","102.77295684814453","102.77295684814453","102.77295684814453","290.3384704589844","290.3384704589844","290.3384704589844","182.23257446289062","182.23257446289062","182.23257446289062","102.71945190429688","102.71945190429688","102.71945190429688"
"629","259.4767150878906","259.4767150878906","259.4767150878906","225.52764892578125","225.52764892578125","225.52764892578125","117.00545501708984","117.00545501708984","117.00545501708984","258.6922302246094","258.6922302246094","258.6922302246094","223.32167053222656","223.32167053222656","223.32167053222656","116.4496841430664","116.4496841430664","116.4496841430664"
"659","225.60281372070312","225.60281372070312","225.60281372070312","228.20162963867188","228.20162963867188","228.20162963867188","104.13799285888672","104.13799285888672","104.13799285888672","224.92776489257812","224.92776489257812","224.92776489257812","226.68919372558594","226.68919372558594","226.68919372558594","103.67251586914062","103.67251586914062","103.67251586914062"
"689","218.9304962158203","218.9304962158203","218.9304962158203","178.7804718017578","178.7804718017578","178.7804718017578","96.9185562133789","96.9185562133789","96.9185562133789","218.21820068359375","218.21820068359375","218.21820068359375","177.6984405517578","177.6984405517578","177.6984405517578","96.47097778320312","96.47097778320312","96.47097778320312"
"719","259.37384033203125","259.37384033203125","259.37384033203125","187.9266357421875","187.9266357421875","187.9266357421875","93.97439575195312","93.97439575195312","93.97439575195312","258.45941162109375","258.45941162109375","258.45941162109375","186.49778747558594","186.49778747558594","186.49778747558594","93.20216369628906","93.20216369628906","93.20216369628906"
"749","278.8092956542969","278.8092956542969","278.8092956542969","170.39254760742188","170.39254760742188","170.39254760742188","111.9609375","111.9609375","111.9609375","278.0000915527344","278.0000915527344","278.0000915527344","168.43756103515625","168.43756103515625","168.43756103515625","112.30615234375","112.30615234375","112.30615234375"
"779","282.16448974609375","282.16448974609375","282.16448974609375","201.95562744140625","201.95562744140625","201.95562744140625","119.76696014404297","119.76696014404297","119.76696014404297","281.3817443847656","281.3817443847656","281.3817443847656","200.46507263183594","200.46507263183594","200.46507263183594","119.88328552246094","119.88328552246094","119.88328552246094"
"809","281.5135803222656","281.5135803222656","281.5135803222656","202.45919799804688","202.45919799804688","202.45919799804688","96.85587310791016","96.85587310791016","96.85587310791016","281.00799560546875","281.00799560546875","281.00799560546875","200.7989044189453","200.7989044189453","200.7989044189453","96.22936248779297","96.22936248779297","96.22936248779297"
"839","280.9754943847656","280.9754943847656","280.9754943847656","194.70030212402344","194.70030212402344","194.70030212402344","107.7974853515625","107.7974853515625","107.7974853515625","280.4316711425781","280.4316711425781","280.4316711425781","192.9718780517578","192.9718780517578","192.9718780517578","107.49971771240234","107.49971771240234","107.49971771240234"
"869","268.696044921875","268.696044921875","268.696044921875","171.62960815429688","171.62960815429688","171.62960815429688","109.99421691894531","109.99421691894531","109.99421691894531","268.0945739746094","268.0945739746094","268.0945739746094","169.97216796875","169.97216796875","169.97216796875","110.00298309326172","110.00298309326172","110.00298309326172"
"899","266.0973205566406","266.0973205566406","266.0973205566406","176.55722045898438","176.55722045898438","176.55722045898438","93.8604965209961","93.8604965209961","93.8604965209961","265.2071533203125","265.2071533203125","265.2071533203125","174.3209991455078","174.3209991455078","174.3209991455078","93.73685455322266","93.73685455322266","93.73685455322266"
"929","254.95445251464844","254.95445251464844","254.95445251464844","178.802001953125","178.802001953125","178.802001953125","106.07009887695312","106.07009887695312","106.07009887695312","254.25534057617188","254.25534057617188","254.25534057617188","177.07542419433594","177.07542419433594","177.07542419433594","105.59788513183594","105.59788513183594","105.59788513183594"
