"Step","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - losses/fisher_reg_term","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - losses/fisher_reg_term__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - losses/fisher_reg_term__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - losses/fisher_reg_term","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - losses/fisher_reg_term__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - losses/fisher_reg_term__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - losses/fisher_reg_term","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - losses/fisher_reg_term__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - losses/fisher_reg_term__MAX"
"29","34.98808670043945","34.98808670043945","34.98808670043945","9.041512489318848","9.041512489318848","9.041512489318848","14.971463203430176","14.971463203430176","14.971463203430176"
"59","37.16790008544922","37.16790008544922","37.16790008544922","6.602294921875","6.602294921875","6.602294921875","9.633260726928711","9.633260726928711","9.633260726928711"
"89","27.99296760559082","27.99296760559082","27.99296760559082","6.312399864196777","6.312399864196777","6.312399864196777","8.660487174987793","8.660487174987793","8.660487174987793"
"119","22.359025955200195","22.359025955200195","22.359025955200195","6.3094377517700195","6.3094377517700195","6.3094377517700195","8.351645469665527","8.351645469665527","8.351645469665527"
"149","20.790077209472656","20.790077209472656","20.790077209472656","9.898799896240234","9.898799896240234","9.898799896240234","12.300207138061523","12.300207138061523","12.300207138061523"
"179","22.40456199645996","22.40456199645996","22.40456199645996","9.011670112609863","9.011670112609863","9.011670112609863","11.954249382019043","11.954249382019043","11.954249382019043"
"209","16.329784393310547","16.329784393310547","16.329784393310547","4.915195941925049","4.915195941925049","4.915195941925049","6.818642616271973","6.818642616271973","6.818642616271973"
"239","14.426718711853027","14.426718711853027","14.426718711853027","4.24929666519165","4.24929666519165","4.24929666519165","6.122794151306152","6.122794151306152","6.122794151306152"
"269","14.587779998779297","14.587779998779297","14.587779998779297","4.406835556030273","4.406835556030273","4.406835556030273","5.823504447937012","5.823504447937012","5.823504447937012"
"299","13.649893760681152","13.649893760681152","13.649893760681152","4.343972206115723","4.343972206115723","4.343972206115723","5.97027587890625","5.97027587890625","5.97027587890625"
