"Step","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - sparsity.l0","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - sparsity.l0__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - sparsity.l0__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - sparsity.l0","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - sparsity.l0__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - sparsity.l0__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - sparsity.l0","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - sparsity.l0__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - sparsity.l0__MAX","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - sparsity.l0","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - sparsity.l0__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - sparsity.l0__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - sparsity.l0","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - sparsity.l0__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - sparsity.l0__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - sparsity.l0","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - sparsity.l0__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - sparsity.l0__MAX"
"599","11949.5146484375","11949.5146484375","11949.5146484375","11508.15625","11508.15625","11508.15625","11844.341796875","11844.341796875","11844.341796875","11429.2275390625","11429.2275390625","11429.2275390625","10959.1064453125","10959.1064453125","10959.1064453125","11790.431640625","11790.431640625","11790.431640625"
"1199","11992.892578125","11992.892578125","11992.892578125","11662.015625","11662.015625","11662.015625","11958.4912109375","11958.4912109375","11958.4912109375","10948.1689453125","10948.1689453125","10948.1689453125","10983.3779296875","10983.3779296875","10983.3779296875","11847.6572265625","11847.6572265625","11847.6572265625"
"1799","12087.6318359375","12087.6318359375","12087.6318359375","11816.6787109375","11816.6787109375","11816.6787109375","12040.2685546875","12040.2685546875","12040.2685546875","10680.1083984375","10680.1083984375","10680.1083984375","11095.5068359375","11095.5068359375","11095.5068359375","11901.7763671875","11901.7763671875","11901.7763671875"
"2399","12103.6767578125","12103.6767578125","12103.6767578125","11986.59375","11986.59375","11986.59375","12088.87890625","12088.87890625","12088.87890625","10631.8828125","10631.8828125","10631.8828125","11201.1376953125","11201.1376953125","11201.1376953125","11931.9482421875","11931.9482421875","11931.9482421875"
"2999","12126.962890625","12126.962890625","12126.962890625","11960.203125","11960.203125","11960.203125","12098.0830078125","12098.0830078125","12098.0830078125","10626.384765625","10626.384765625","10626.384765625","11203.3349609375","11203.3349609375","11203.3349609375","11937.212890625","11937.212890625","11937.212890625"
"3599","12168.0654296875","12168.0654296875","12168.0654296875","12069.6640625","12069.6640625","12069.6640625","12146.47265625","12146.47265625","12146.47265625","10753.302734375","10753.302734375","10753.302734375","11336.4169921875","11336.4169921875","11336.4169921875","11974.2158203125","11974.2158203125","11974.2158203125"
"4199","12185.7626953125","12185.7626953125","12185.7626953125","12108.6376953125","12108.6376953125","12108.6376953125","12169.5458984375","12169.5458984375","12169.5458984375","10988.5302734375","10988.5302734375","10988.5302734375","11363.4951171875","11363.4951171875","11363.4951171875","11995.10546875","11995.10546875","11995.10546875"
"4799","12187.763671875","12187.763671875","12187.763671875","12102.328125","12102.328125","12102.328125","12170.0849609375","12170.0849609375","12170.0849609375","11131.48046875","11131.48046875","11131.48046875","11371.7578125","11371.7578125","11371.7578125","11990.8544921875","11990.8544921875","11990.8544921875"
"5399","12192.66015625","12192.66015625","12192.66015625","12122.9560546875","12122.9560546875","12122.9560546875","12175.3046875","12175.3046875","12175.3046875","11263.5","11263.5","11263.5","11396.5400390625","11396.5400390625","11396.5400390625","12001.5966796875","12001.5966796875","12001.5966796875"
"5999","12199.7568359375","12199.7568359375","12199.7568359375","12154.400390625","12154.400390625","12154.400390625","12189.51953125","12189.51953125","12189.51953125","11390.6953125","11390.6953125","11390.6953125","11417.53125","11417.53125","11417.53125","12011.5595703125","12011.5595703125","12011.5595703125"
