"Step","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - shrinkage.l2_ratio","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - shrinkage.l2_ratio","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - shrinkage.l2_ratio","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - shrinkage.l2_ratio","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - shrinkage.l2_ratio","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - shrinkage.l2_ratio","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MAX"
"599","2.2593233585357666","2.2593233585357666","2.2593233585357666","0.5682907104492188","0.5682907104492188","0.5682907104492188","0.9290046691894531","0.9290046691894531","0.9290046691894531","2.276268720626831","2.276268720626831","2.276268720626831","0.5779760479927063","0.5779760479927063","0.5779760479927063","0.9321357607841492","0.9321357607841492","0.9321357607841492"
"1199","2.3141982555389404","2.3141982555389404","2.3141982555389404","0.6065837144851685","0.6065837144851685","0.6065837144851685","0.9542474150657654","0.9542474150657654","0.9542474150657654","2.3374316692352295","2.3374316692352295","2.3374316692352295","0.6133429408073425","0.6133429408073425","0.6133429408073425","0.956028938293457","0.956028938293457","0.956028938293457"
"1799","2.338121175765991","2.338121175765991","2.338121175765991","0.6223630309104919","0.6223630309104919","0.6223630309104919","0.9645795226097107","0.9645795226097107","0.9645795226097107","2.3514208793640137","2.3514208793640137","2.3514208793640137","0.627754807472229","0.627754807472229","0.627754807472229","0.9670078158378601","0.9670078158378601","0.9670078158378601"
"2399","2.3528759479522705","2.3528759479522705","2.3528759479522705","0.6328749656677246","0.6328749656677246","0.6328749656677246","0.9696164131164551","0.9696164131164551","0.9696164131164551","2.37156343460083","2.37156343460083","2.37156343460083","0.6342594027519226","0.6342594027519226","0.6342594027519226","0.970334529876709","0.970334529876709","0.970334529876709"
"2999","2.3560791015625","2.3560791015625","2.3560791015625","0.6309083104133606","0.6309083104133606","0.6309083104133606","0.9712602496147156","0.9712602496147156","0.9712602496147156","2.3671512603759766","2.3671512603759766","2.3671512603759766","0.6330329179763794","0.6330329179763794","0.6330329179763794","0.9736853837966919","0.9736853837966919","0.9736853837966919"
"3599","2.3638246059417725","2.3638246059417725","2.3638246059417725","0.6351708769798279","0.6351708769798279","0.6351708769798279","0.9733128547668457","0.9733128547668457","0.9733128547668457","2.368589162826538","2.368589162826538","2.368589162826538","0.6362984776496887","0.6362984776496887","0.6362984776496887","0.9740480780601501","0.9740480780601501","0.9740480780601501"
"4199","2.3676514625549316","2.3676514625549316","2.3676514625549316","0.6366240382194519","0.6366240382194519","0.6366240382194519","0.9702674746513367","0.9702674746513367","0.9702674746513367","2.3724098205566406","2.3724098205566406","2.3724098205566406","0.6359090209007263","0.6359090209007263","0.6359090209007263","0.9722961783409119","0.9722961783409119","0.9722961783409119"
"4799","2.3664743900299072","2.3664743900299072","2.3664743900299072","0.6349823474884033","0.6349823474884033","0.6349823474884033","0.9734976887702942","0.9734976887702942","0.9734976887702942","2.3676795959472656","2.3676795959472656","2.3676795959472656","0.6354767680168152","0.6354767680168152","0.6354767680168152","0.9722597002983093","0.9722597002983093","0.9722597002983093"
"5399","2.3659000396728516","2.3659000396728516","2.3659000396728516","0.6359044313430786","0.6359044313430786","0.6359044313430786","0.9750873446464539","0.9750873446464539","0.9750873446464539","2.368396043777466","2.368396043777466","2.368396043777466","0.6367650032043457","0.6367650032043457","0.6367650032043457","0.9747911691665649","0.9747911691665649","0.9747911691665649"
"5999","2.3675003051757812","2.3675003051757812","2.3675003051757812","0.6370150446891785","0.6370150446891785","0.6370150446891785","0.9755515456199646","0.9755515456199646","0.9755515456199646","2.367938995361328","2.367938995361328","2.367938995361328","0.637578010559082","0.637578010559082","0.637578010559082","0.9761366248130798","0.9761366248130798","0.9761366248130798"
