"Step","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - losses/mse_loss","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - losses/mse_loss__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - losses/mse_loss__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - losses/mse_loss","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - losses/mse_loss__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - losses/mse_loss__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - losses/mse_loss","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - losses/mse_loss__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - losses/mse_loss__MAX","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - losses/mse_loss","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - losses/mse_loss__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - losses/mse_loss__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - losses/mse_loss","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - losses/mse_loss__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - losses/mse_loss__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - losses/mse_loss","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - losses/mse_loss__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - losses/mse_loss__MAX"
"29","1914.602783203125","1914.602783203125","1914.602783203125","162.8319549560547","162.8319549560547","162.8319549560547","321.00360107421875","321.00360107421875","321.00360107421875","1919.78076171875","1919.78076171875","1919.78076171875","164.80218505859375","164.80218505859375","164.80218505859375","321.5953063964844","321.5953063964844","321.5953063964844"
"59","960.4125366210938","960.4125366210938","960.4125366210938","128.4087371826172","128.4087371826172","128.4087371826172","234.03952026367188","234.03952026367188","234.03952026367188","950.1572265625","950.1572265625","950.1572265625","127.10958099365234","127.10958099365234","127.10958099365234","231.73416137695312","231.73416137695312","231.73416137695312"
"89","614.3549194335938","614.3549194335938","614.3549194335938","103.28922271728516","103.28922271728516","103.28922271728516","177.20101928710938","177.20101928710938","177.20101928710938","604.4348754882812","604.4348754882812","604.4348754882812","101.33702087402344","101.33702087402344","101.33702087402344","173.90980529785156","173.90980529785156","173.90980529785156"
"119","473.17120361328125","473.17120361328125","473.17120361328125","88.39861297607422","88.39861297607422","88.39861297607422","125.64042663574219","125.64042663574219","125.64042663574219","463.83148193359375","463.83148193359375","463.83148193359375","85.78485107421875","85.78485107421875","85.78485107421875","122.02003479003906","122.02003479003906","122.02003479003906"
"149","407.61358642578125","407.61358642578125","407.61358642578125","109.19647979736328","109.19647979736328","109.19647979736328","181.79421997070312","181.79421997070312","181.79421997070312","398.6614074707031","398.6614074707031","398.6614074707031","107.10480499267578","107.10480499267578","107.10480499267578","181.83534240722656","181.83534240722656","181.83534240722656"
"179","403.24761962890625","403.24761962890625","403.24761962890625","100.25631713867188","100.25631713867188","100.25631713867188","139.6463623046875","139.6463623046875","139.6463623046875","392.6686096191406","392.6686096191406","392.6686096191406","97.5094223022461","97.5094223022461","97.5094223022461","139.5452880859375","139.5452880859375","139.5452880859375"
"209","397.0514831542969","397.0514831542969","397.0514831542969","67.70169830322266","67.70169830322266","67.70169830322266","117.02294921875","117.02294921875","117.02294921875","387.76617431640625","387.76617431640625","387.76617431640625","63.41450119018555","63.41450119018555","63.41450119018555","113.05498504638672","113.05498504638672","113.05498504638672"
"239","319.2225036621094","319.2225036621094","319.2225036621094","60.150115966796875","60.150115966796875","60.150115966796875","86.31350708007812","86.31350708007812","86.31350708007812","309.3279113769531","309.3279113769531","309.3279113769531","56.23048782348633","56.23048782348633","56.23048782348633","82.99590301513672","82.99590301513672","82.99590301513672"
"269","275.61199951171875","275.61199951171875","275.61199951171875","51.868064880371094","51.868064880371094","51.868064880371094","71.03864288330078","71.03864288330078","71.03864288330078","266.8056335449219","266.8056335449219","266.8056335449219","48.20876693725586","48.20876693725586","48.20876693725586","68.31549835205078","68.31549835205078","68.31549835205078"
"299","248.31900024414062","248.31900024414062","248.31900024414062","46.67121887207031","46.67121887207031","46.67121887207031","60.82149124145508","60.82149124145508","60.82149124145508","238.19854736328125","238.19854736328125","238.19854736328125","42.94987106323242","42.94987106323242","42.94987106323242","59.01955032348633","59.01955032348633","59.01955032348633"
