"Step","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackPython - losses/fisher_reg_term","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackPython - losses/fisher_reg_term__MIN","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackPython - losses/fisher_reg_term__MAX","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackPython - losses/fisher_reg_term","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackPython - losses/fisher_reg_term__MIN","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackPython - losses/fisher_reg_term__MAX","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackPython - losses/fisher_reg_term","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackPython - losses/fisher_reg_term__MIN","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackPython - losses/fisher_reg_term__MAX"
"29","34.98090362548828","34.98090362548828","34.98090362548828","9.026236534118652","9.026236534118652","9.026236534118652","14.959732055664062","14.959732055664062","14.959732055664062"
"59","37.16769790649414","37.16769790649414","37.16769790649414","6.587338924407959","6.587338924407959","6.587338924407959","9.625711441040039","9.625711441040039","9.625711441040039"
"89","27.98869514465332","27.98869514465332","27.98869514465332","6.30155611038208","6.30155611038208","6.30155611038208","8.65054988861084","8.65054988861084","8.65054988861084"
"119","22.35065460205078","22.35065460205078","22.35065460205078","6.290358066558838","6.290358066558838","6.290358066558838","8.336976051330566","8.336976051330566","8.336976051330566"
"149","20.78386116027832","20.78386116027832","20.78386116027832","9.88990592956543","9.88990592956543","9.88990592956543","12.290340423583984","12.290340423583984","12.290340423583984"
"179","22.390771865844727","22.390771865844727","22.390771865844727","9.002264976501465","9.002264976501465","9.002264976501465","11.9461669921875","11.9461669921875","11.9461669921875"
"209","16.319791793823242","16.319791793823242","16.319791793823242","4.901248455047607","4.901248455047607","4.901248455047607","6.805330753326416","6.805330753326416","6.805330753326416"
"239","14.419872283935547","14.419872283935547","14.419872283935547","4.242674350738525","4.242674350738525","4.242674350738525","6.112016677856445","6.112016677856445","6.112016677856445"
"269","14.578425407409668","14.578425407409668","14.578425407409668","4.398123741149902","4.398123741149902","4.398123741149902","5.818175315856934","5.818175315856934","5.818175315856934"
"299","13.641694068908691","13.641694068908691","13.641694068908691","4.332273006439209","4.332273006439209","4.332273006439209","5.96282958984375","5.96282958984375","5.96282958984375"
"329","27.566287994384766","27.566287994384766","27.566287994384766","7.491946697235107","7.491946697235107","7.491946697235107","5.496555805206299","5.496555805206299","5.496555805206299"
"359","22.15938949584961","22.15938949584961","22.15938949584961","4.983253479003906","4.983253479003906","4.983253479003906","6.246440887451172","6.246440887451172","6.246440887451172"
"389","19.86154556274414","19.86154556274414","19.86154556274414","6.658190727233887","6.658190727233887","6.658190727233887","5.084120273590088","5.084120273590088","5.084120273590088"
"419","18.63475227355957","18.63475227355957","18.63475227355957","6.835750579833984","6.835750579833984","6.835750579833984","5.601754188537598","5.601754188537598","5.601754188537598"
"449","20.122291564941406","20.122291564941406","20.122291564941406","7.258012294769287","7.258012294769287","7.258012294769287","5.263433933258057","5.263433933258057","5.263433933258057"
