"Step","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackPython - shrinkage.l2_ratio","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackPython - shrinkage.l2_ratio","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackPython - shrinkage.l2_ratio","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackPython - shrinkage.l2_ratio","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackPython - shrinkage.l2_ratio","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackPython - shrinkage.l2_ratio","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MAX"
"599","2.25935697555542","2.25935697555542","2.25935697555542","0.5683340430259705","0.5683340430259705","0.5683340430259705","0.9290591478347778","0.9290591478347778","0.9290591478347778","2.276275634765625","2.276275634765625","2.276275634765625","0.5779538154602051","0.5779538154602051","0.5779538154602051","0.9321783185005188","0.9321783185005188","0.9321783185005188"
"1199","2.3142144680023193","2.3142144680023193","2.3142144680023193","0.6066117286682129","0.6066117286682129","0.6066117286682129","0.9542744755744934","0.9542744755744934","0.9542744755744934","2.337405204772949","2.337405204772949","2.337405204772949","0.6133392453193665","0.6133392453193665","0.6133392453193665","0.956054151058197","0.956054151058197","0.956054151058197"
"1799","2.3381216526031494","2.3381216526031494","2.3381216526031494","0.6223756074905396","0.6223756074905396","0.6223756074905396","0.9646011590957642","0.9646011590957642","0.9646011590957642","2.3513638973236084","2.3513638973236084","2.3513638973236084","0.6277634501457214","0.6277634501457214","0.6277634501457214","0.9670225381851196","0.9670225381851196","0.9670225381851196"
"2399","2.3528809547424316","2.3528809547424316","2.3528809547424316","0.6328868269920349","0.6328868269920349","0.6328868269920349","0.969635009765625","0.969635009765625","0.969635009765625","2.3715271949768066","2.3715271949768066","2.3715271949768066","0.6342560052871704","0.6342560052871704","0.6342560052871704","0.9701681137084961","0.9701681137084961","0.9701681137084961"
"2999","2.356064796447754","2.356064796447754","2.356064796447754","0.6309760212898254","0.6309760212898254","0.6309760212898254","0.9712552428245544","0.9712552428245544","0.9712552428245544","2.3671605587005615","2.3671605587005615","2.3671605587005615","0.6330296993255615","0.6330296993255615","0.6330296993255615","0.9736707806587219","0.9736707806587219","0.9736707806587219"
"3599","2.363793134689331","2.363793134689331","2.363793134689331","0.6357988715171814","0.6357988715171814","0.6357988715171814","0.973089337348938","0.973089337348938","0.973089337348938","2.368612051010132","2.368612051010132","2.368612051010132","0.636285126209259","0.636285126209259","0.636285126209259","0.9739333391189575","0.9739333391189575","0.9739333391189575"
"4199","2.3678863048553467","2.3678863048553467","2.3678863048553467","0.6365283131599426","0.6365283131599426","0.6365283131599426","0.9724255800247192","0.9724255800247192","0.9724255800247192","2.3725860118865967","2.3725860118865967","2.3725860118865967","0.6359117031097412","0.6359117031097412","0.6359117031097412","0.9721576571464539","0.9721576571464539","0.9721576571464539"
"4799","2.3660690784454346","2.3660690784454346","2.3660690784454346","0.6349912881851196","0.6349912881851196","0.6349912881851196","0.9646689295768738","0.9646689295768738","0.9646689295768738","2.367687463760376","2.367687463760376","2.367687463760376","0.6354688405990601","0.6354688405990601","0.6354688405990601","0.9708178639411926","0.9708178639411926","0.9708178639411926"
"5399","2.3658783435821533","2.3658783435821533","2.3658783435821533","0.635191798210144","0.635191798210144","0.635191798210144","0.9733970761299133","0.9733970761299133","0.9733970761299133","2.3685355186462402","2.3685355186462402","2.3685355186462402","0.6367893815040588","0.6367893815040588","0.6367893815040588","0.9754213690757751","0.9754213690757751","0.9754213690757751"
"5999","2.3690993785858154","2.3690993785858154","2.3690993785858154","0.6369397044181824","0.6369397044181824","0.6369397044181824","0.974822461605072","0.974822461605072","0.974822461605072","2.3677480220794678","2.3677480220794678","2.3677480220794678","0.6375875473022461","0.6375875473022461","0.6375875473022461","0.9741184115409851","0.9741184115409851","0.9741184115409851"
"6599","2.3737869262695312","2.3737869262695312","2.3737869262695312","0.6363469958305359","0.6363469958305359","0.6363469958305359","0.9795219302177429","0.9795219302177429","0.9795219302177429","2.370497465133667","2.370497465133667","2.370497465133667","0.6366097331047058","0.6366097331047058","0.6366097331047058","0.9758001565933228","0.9758001565933228","0.9758001565933228"
"7199","2.3668949604034424","2.3668949604034424","2.3668949604034424","0.6371740698814392","0.6371740698814392","0.6371740698814392","0.9755033850669861","0.9755033850669861","0.9755033850669861","2.370361804962158","2.370361804962158","2.370361804962158","0.6372837424278259","0.6372837424278259","0.6372837424278259","0.9745535254478455","0.9745535254478455","0.9745535254478455"
"7799","2.370194435119629","2.370194435119629","2.370194435119629","0.6372570395469666","0.6372570395469666","0.6372570395469666","0.9754169583320618","0.9754169583320618","0.9754169583320618","2.3707239627838135","2.3707239627838135","2.3707239627838135","0.6372117400169373","0.6372117400169373","0.6372117400169373","0.9763189554214478","0.9763189554214478","0.9763189554214478"
"8399","2.3680951595306396","2.3680951595306396","2.3680951595306396","0.6360242366790771","0.6360242366790771","0.6360242366790771","0.9763890504837036","0.9763890504837036","0.9763890504837036","2.3674099445343018","2.3674099445343018","2.3674099445343018","0.6367887258529663","0.6367887258529663","0.6367887258529663","0.9752017855644226","0.9752017855644226","0.9752017855644226"
"8999","2.360987424850464","2.360987424850464","2.360987424850464","0.6360659003257751","0.6360659003257751","0.6360659003257751","0.9743351340293884","0.9743351340293884","0.9743351340293884","2.3709676265716553","2.3709676265716553","2.3709676265716553","0.6367583274841309","0.6367583274841309","0.6367583274841309","0.9748021960258484","0.9748021960258484","0.9748021960258484"
"9599","2.369436740875244","2.369436740875244","2.369436740875244","0.6364861726760864","0.6364861726760864","0.6364861726760864","0.9747792482376099","0.9747792482376099","0.9747792482376099","2.3725204467773438","2.3725204467773438","2.3725204467773438","0.6364688873291016","0.6364688873291016","0.6364688873291016","0.9763292670249939","0.9763292670249939","0.9763292670249939"
"10199","2.3714873790740967","2.3714873790740967","2.3714873790740967","0.6365755200386047","0.6365755200386047","0.6365755200386047","0.9761520624160767","0.9761520624160767","0.9761520624160767","2.3684780597686768","2.3684780597686768","2.3684780597686768","0.6365996599197388","0.6365996599197388","0.6365996599197388","0.9741424918174744","0.9741424918174744","0.9741424918174744"
"10799","2.367967367172241","2.367967367172241","2.367967367172241","0.6361989974975586","0.6361989974975586","0.6361989974975586","0.9738022089004517","0.9738022089004517","0.9738022089004517","2.3701324462890625","2.3701324462890625","2.3701324462890625","0.6363406777381897","0.6363406777381897","0.6363406777381897","0.9794741868972778","0.9794741868972778","0.9794741868972778"
"11399","2.369283676147461","2.369283676147461","2.369283676147461","0.6367220282554626","0.6367220282554626","0.6367220282554626","0.9751839637756348","0.9751839637756348","0.9751839637756348","2.373605489730835","2.373605489730835","2.373605489730835","0.6373082995414734","0.6373082995414734","0.6373082995414734","0.9754438400268555","0.9754438400268555","0.9754438400268555"
"11999","2.372000217437744","2.372000217437744","2.372000217437744","0.6368231773376465","0.6368231773376465","0.6368231773376465","0.9743645787239075","0.9743645787239075","0.9743645787239075","2.3629567623138428","2.3629567623138428","2.3629567623138428","0.6368656158447266","0.6368656158447266","0.6368656158447266","0.9762247204780579","0.9762247204780579","0.9762247204780579"
"12599","2.3710319995880127","2.3710319995880127","2.3710319995880127","0.6373029947280884","0.6373029947280884","0.6373029947280884","0.9748247265815735","0.9748247265815735","0.9748247265815735","2.3713207244873047","2.3713207244873047","2.3713207244873047","0.6366303563117981","0.6366303563117981","0.6366303563117981","0.9737791419029236","0.9737791419029236","0.9737791419029236"
"13199","2.3666393756866455","2.3666393756866455","2.3666393756866455","0.637007474899292","0.637007474899292","0.637007474899292","0.9760627746582031","0.9760627746582031","0.9760627746582031","2.368279218673706","2.368279218673706","2.368279218673706","0.6376358866691589","0.6376358866691589","0.6376358866691589","0.9739224314689636","0.9739224314689636","0.9739224314689636"
"13799","2.368319272994995","2.368319272994995","2.368319272994995","0.6370409727096558","0.6370409727096558","0.6370409727096558","0.9737929701805115","0.9737929701805115","0.9737929701805115","2.3680591583251953","2.3680591583251953","2.3680591583251953","0.6372392773628235","0.6372392773628235","0.6372392773628235","0.9749639630317688","0.9749639630317688","0.9749639630317688"
"14399","2.368375778198242","2.368375778198242","2.368375778198242","0.6366171836853027","0.6366171836853027","0.6366171836853027","0.9736469388008118","0.9736469388008118","0.9736469388008118","2.3722500801086426","2.3722500801086426","2.3722500801086426","0.6369292140007019","0.6369292140007019","0.6369292140007019","0.9751781821250916","0.9751781821250916","0.9751781821250916"
"14999","2.3673603534698486","2.3673603534698486","2.3673603534698486","0.6363702416419983","0.6363702416419983","0.6363702416419983","0.9743644595146179","0.9743644595146179","0.9743644595146179","2.371356964111328","2.371356964111328","2.371356964111328","0.6367958784103394","0.6367958784103394","0.6367958784103394","0.9746584296226501","0.9746584296226501","0.9746584296226501"
"15599","2.3683083057403564","2.3683083057403564","2.3683083057403564","0.6365963816642761","0.6365963816642761","0.6365963816642761","0.9733349680900574","0.9733349680900574","0.9733349680900574","2.3655941486358643","2.3655941486358643","2.3655941486358643","0.636837899684906","0.636837899684906","0.636837899684906","0.9742628335952759","0.9742628335952759","0.9742628335952759"
"16199","2.3684051036834717","2.3684051036834717","2.3684051036834717","0.6369253993034363","0.6369253993034363","0.6369253993034363","0.9747833609580994","0.9747833609580994","0.9747833609580994","2.3712680339813232","2.3712680339813232","2.3712680339813232","0.6369835734367371","0.6369835734367371","0.6369835734367371","0.975178062915802","0.975178062915802","0.975178062915802"
"16799","2.3674938678741455","2.3674938678741455","2.3674938678741455","0.6365408897399902","0.6365408897399902","0.6365408897399902","0.9743817448616028","0.9743817448616028","0.9743817448616028","2.368112564086914","2.368112564086914","2.368112564086914","0.6368570923805237","0.6368570923805237","0.6368570923805237","0.9744162559509277","0.9744162559509277","0.9744162559509277"
"17399","2.369473695755005","2.369473695755005","2.369473695755005","0.6368700861930847","0.6368700861930847","0.6368700861930847","0.9744535684585571","0.9744535684585571","0.9744535684585571","2.36746883392334","2.36746883392334","2.36746883392334","0.6368749141693115","0.6368749141693115","0.6368749141693115","0.9751192331314087","0.9751192331314087","0.9751192331314087"
"17999","2.3684704303741455","2.3684704303741455","2.3684704303741455","0.6371968388557434","0.6371968388557434","0.6371968388557434","0.9755832552909851","0.9755832552909851","0.9755832552909851","2.3730194568634033","2.3730194568634033","2.3730194568634033","0.637584388256073","0.637584388256073","0.637584388256073","0.9752155542373657","0.9752155542373657","0.9752155542373657"
"18599","2.368791341781616","2.368791341781616","2.368791341781616","0.636564314365387","0.636564314365387","0.636564314365387","0.9759133458137512","0.9759133458137512","0.9759133458137512","2.366968870162964","2.366968870162964","2.366968870162964","0.6367959976196289","0.6367959976196289","0.6367959976196289","0.9750838279724121","0.9750838279724121","0.9750838279724121"
"19199","2.367729902267456","2.367729902267456","2.367729902267456","0.6374908685684204","0.6374908685684204","0.6374908685684204","0.974132239818573","0.974132239818573","0.974132239818573","2.369320869445801","2.369320869445801","2.369320869445801","0.6373240351676941","0.6373240351676941","0.6373240351676941","0.9744037985801697","0.9744037985801697","0.9744037985801697"
"19799","2.3668174743652344","2.3668174743652344","2.3668174743652344","0.6366443634033203","0.6366443634033203","0.6366443634033203","0.9752869606018066","0.9752869606018066","0.9752869606018066","2.369779348373413","2.369779348373413","2.369779348373413","0.6371437311172485","0.6371437311172485","0.6371437311172485","0.9743441939353943","0.9743441939353943","0.9743441939353943"
