"Step","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackPython - losses/mse_loss","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackPython - losses/mse_loss__MIN","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackPython - losses/mse_loss__MAX","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackPython - losses/mse_loss","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackPython - losses/mse_loss__MIN","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackPython - losses/mse_loss__MAX","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackPython - losses/mse_loss","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackPython - losses/mse_loss__MIN","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackPython - losses/mse_loss__MAX","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackPython - losses/mse_loss","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackPython - losses/mse_loss__MIN","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackPython - losses/mse_loss__MAX","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackPython - losses/mse_loss","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackPython - losses/mse_loss__MIN","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackPython - losses/mse_loss__MAX","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackPython - losses/mse_loss","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackPython - losses/mse_loss__MIN","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackPython - losses/mse_loss__MAX"
"29","1914.6937255859375","1914.6937255859375","1914.6937255859375","162.8563995361328","162.8563995361328","162.8563995361328","321.0434875488281","321.0434875488281","321.0434875488281","1919.9129638671875","1919.9129638671875","1919.9129638671875","164.869140625","164.869140625","164.869140625","321.7071533203125","321.7071533203125","321.7071533203125"
"59","960.4071655273438","960.4071655273438","960.4071655273438","128.4271240234375","128.4271240234375","128.4271240234375","234.07261657714844","234.07261657714844","234.07261657714844","950.1697998046875","950.1697998046875","950.1697998046875","127.16216278076172","127.16216278076172","127.16216278076172","231.8192596435547","231.8192596435547","231.8192596435547"
"89","614.3138427734375","614.3138427734375","614.3138427734375","103.30479431152344","103.30479431152344","103.30479431152344","177.20030212402344","177.20030212402344","177.20030212402344","604.39208984375","604.39208984375","604.39208984375","101.37773132324219","101.37773132324219","101.37773132324219","173.93338012695312","173.93338012695312","173.93338012695312"
"119","473.1217041015625","473.1217041015625","473.1217041015625","88.40287017822266","88.40287017822266","88.40287017822266","125.62358093261719","125.62358093261719","125.62358093261719","463.7875671386719","463.7875671386719","463.7875671386719","85.80986785888672","85.80986785888672","85.80986785888672","122.01700592041016","122.01700592041016","122.01700592041016"
"149","407.5602111816406","407.5602111816406","407.5602111816406","109.18502044677734","109.18502044677734","109.18502044677734","181.7880401611328","181.7880401611328","181.7880401611328","398.6084289550781","398.6084289550781","398.6084289550781","107.12362670898438","107.12362670898438","107.12362670898438","181.86862182617188","181.86862182617188","181.86862182617188"
"179","403.1822509765625","403.1822509765625","403.1822509765625","100.24958801269531","100.24958801269531","100.24958801269531","139.62521362304688","139.62521362304688","139.62521362304688","392.59814453125","392.59814453125","392.59814453125","97.5195083618164","97.5195083618164","97.5195083618164","139.57362365722656","139.57362365722656","139.57362365722656"
"209","396.9796447753906","396.9796447753906","396.9796447753906","67.70368194580078","67.70368194580078","67.70368194580078","116.97618103027344","116.97618103027344","116.97618103027344","387.7010192871094","387.7010192871094","387.7010192871094","63.438655853271484","63.438655853271484","63.438655853271484","113.02586364746094","113.02586364746094","113.02586364746094"
"239","319.1546630859375","319.1546630859375","319.1546630859375","60.15216827392578","60.15216827392578","60.15216827392578","86.26785278320312","86.26785278320312","86.26785278320312","309.2669982910156","309.2669982910156","309.2669982910156","56.25013732910156","56.25013732910156","56.25013732910156","82.96468353271484","82.96468353271484","82.96468353271484"
"269","275.551513671875","275.551513671875","275.551513671875","51.864871978759766","51.864871978759766","51.864871978759766","70.99663543701172","70.99663543701172","70.99663543701172","266.74774169921875","266.74774169921875","266.74774169921875","48.221649169921875","48.221649169921875","48.221649169921875","68.2861328125","68.2861328125","68.2861328125"
"299","248.25286865234375","248.25286865234375","248.25286865234375","46.658905029296875","46.658905029296875","46.658905029296875","60.782196044921875","60.782196044921875","60.782196044921875","238.13690185546875","238.13690185546875","238.13690185546875","42.959007263183594","42.959007263183594","42.959007263183594","58.99253845214844","58.99253845214844","58.99253845214844"
