"Step","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - sparsity.l0","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - sparsity.l0__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - sparsity.l0__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - sparsity.l0","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - sparsity.l0__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - sparsity.l0__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - sparsity.l0","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - sparsity.l0__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - sparsity.l0__MAX","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - sparsity.l0","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - sparsity.l0__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - sparsity.l0__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - sparsity.l0","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - sparsity.l0__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - sparsity.l0__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - sparsity.l0","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - sparsity.l0__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - sparsity.l0__MAX"
"599","4687.76318359375","4687.76318359375","4687.76318359375","2826.065673828125","2826.065673828125","2826.065673828125","2256.412841796875","2256.412841796875","2256.412841796875","4674.99853515625","4674.99853515625","4674.99853515625","2815.736328125","2815.736328125","2815.736328125","2026.188720703125","2026.188720703125","2026.188720703125"
"1199","3057.257080078125","3057.257080078125","3057.257080078125","1839.8922119140625","1839.8922119140625","1839.8922119140625","1750.8984375","1750.8984375","1750.8984375","3042.771240234375","3042.771240234375","3042.771240234375","1827.071533203125","1827.071533203125","1827.071533203125","1518.2486572265625","1518.2486572265625","1518.2486572265625"
"1799","2050.644775390625","2050.644775390625","2050.644775390625","1291.7474365234375","1291.7474365234375","1291.7474365234375","1466.4945068359375","1466.4945068359375","1466.4945068359375","2033.3426513671875","2033.3426513671875","2033.3426513671875","1278.966064453125","1278.966064453125","1278.966064453125","1246.9320068359375","1246.9320068359375","1246.9320068359375"
"2399","1478.576171875","1478.576171875","1478.576171875","975.0043334960938","975.0043334960938","975.0043334960938","1285.0430908203125","1285.0430908203125","1285.0430908203125","1459.7392578125","1459.7392578125","1459.7392578125","964.3931884765625","964.3931884765625","964.3931884765625","1079.449462890625","1079.449462890625","1079.449462890625"
"2999","1106.7425537109375","1106.7425537109375","1106.7425537109375","787.4865112304688","787.4865112304688","787.4865112304688","1173.7884521484375","1173.7884521484375","1173.7884521484375","1090.6385498046875","1090.6385498046875","1090.6385498046875","778.6716918945312","778.6716918945312","778.6716918945312","978.0841064453125","978.0841064453125","978.0841064453125"
"3599","857.6102905273438","857.6102905273438","857.6102905273438","637.8358154296875","637.8358154296875","637.8358154296875","1066.8397216796875","1066.8397216796875","1066.8397216796875","843.6599731445312","843.6599731445312","843.6599731445312","631.0888061523438","631.0888061523438","631.0888061523438","879.1824340820312","879.1824340820312","879.1824340820312"
"4199","653.7528686523438","653.7528686523438","653.7528686523438","519.4845581054688","519.4845581054688","519.4845581054688","986.4740600585938","986.4740600585938","986.4740600585938","646.9769897460938","646.9769897460938","646.9769897460938","513.91650390625","513.91650390625","513.91650390625","809.250732421875","809.250732421875","809.250732421875"
"4799","549.1727905273438","549.1727905273438","549.1727905273438","455.01739501953125","455.01739501953125","455.01739501953125","933.1389770507812","933.1389770507812","933.1389770507812","544.1685180664062","544.1685180664062","544.1685180664062","449.720703125","449.720703125","449.720703125","761.0961303710938","761.0961303710938","761.0961303710938"
"5399","446.65771484375","446.65771484375","446.65771484375","396.4851379394531","396.4851379394531","396.4851379394531","874.267578125","874.267578125","874.267578125","443.86572265625","443.86572265625","443.86572265625","392.0754699707031","392.0754699707031","392.0754699707031","710.3966674804688","710.3966674804688","710.3966674804688"
"5999","380.10791015625","380.10791015625","380.10791015625","346.5271911621094","346.5271911621094","346.5271911621094","832.6025390625","832.6025390625","832.6025390625","378.2367248535156","378.2367248535156","378.2367248535156","343.2547302246094","343.2547302246094","343.2547302246094","671.9760131835938","671.9760131835938","671.9760131835938"
"6599","333.073974609375","333.073974609375","333.073974609375","314.21795654296875","314.21795654296875","314.21795654296875","795.404541015625","795.404541015625","795.404541015625","331.682373046875","331.682373046875","331.682373046875","310.9702453613281","310.9702453613281","310.9702453613281","639.0545043945312","639.0545043945312","639.0545043945312"
"7199","293.2231750488281","293.2231750488281","293.2231750488281","284.3053283691406","284.3053283691406","284.3053283691406","763.7373046875","763.7373046875","763.7373046875","292.3270568847656","292.3270568847656","292.3270568847656","281.64404296875","281.64404296875","281.64404296875","611.0150756835938","611.0150756835938","611.0150756835938"
"7799","266.8389587402344","266.8389587402344","266.8389587402344","259.5960388183594","259.5960388183594","259.5960388183594","726.4865112304688","726.4865112304688","726.4865112304688","266.216552734375","266.216552734375","266.216552734375","257.142822265625","257.142822265625","257.142822265625","579.18310546875","579.18310546875","579.18310546875"
"8399","248.33706665039062","248.33706665039062","248.33706665039062","242.5353546142578","242.5353546142578","242.5353546142578","706.7788696289062","706.7788696289062","706.7788696289062","247.7438201904297","247.7438201904297","247.7438201904297","240.0091552734375","240.0091552734375","240.0091552734375","561.0616455078125","561.0616455078125","561.0616455078125"
"8999","230.0720672607422","230.0720672607422","230.0720672607422","228.1347198486328","228.1347198486328","228.1347198486328","672.4346923828125","672.4346923828125","672.4346923828125","229.670166015625","229.670166015625","229.670166015625","225.92503356933594","225.92503356933594","225.92503356933594","531.9954223632812","531.9954223632812","531.9954223632812"
"9599","213.2662353515625","213.2662353515625","213.2662353515625","212.9295196533203","212.9295196533203","212.9295196533203","649.0455932617188","649.0455932617188","649.0455932617188","213.11729431152344","213.11729431152344","213.11729431152344","211.0380096435547","211.0380096435547","211.0380096435547","513.6857299804688","513.6857299804688","513.6857299804688"
"10199","204.0884246826172","204.0884246826172","204.0884246826172","203.6534881591797","203.6534881591797","203.6534881591797","627.5021362304688","627.5021362304688","627.5021362304688","203.5603485107422","203.5603485107422","203.5603485107422","201.9083251953125","201.9083251953125","201.9083251953125","495.65997314453125","495.65997314453125","495.65997314453125"
"10799","194.2948760986328","194.2948760986328","194.2948760986328","189.2550048828125","189.2550048828125","189.2550048828125","602.2340698242188","602.2340698242188","602.2340698242188","194.0253143310547","194.0253143310547","194.0253143310547","187.5747528076172","187.5747528076172","187.5747528076172","474.9792175292969","474.9792175292969","474.9792175292969"
"11399","181.1866912841797","181.1866912841797","181.1866912841797","181.44558715820312","181.44558715820312","181.44558715820312","581.9469604492188","581.9469604492188","581.9469604492188","181.0094757080078","181.0094757080078","181.0094757080078","179.84304809570312","179.84304809570312","179.84304809570312","459.65362548828125","459.65362548828125","459.65362548828125"
"11999","173.8538055419922","173.8538055419922","173.8538055419922","173.68687438964844","173.68687438964844","173.68687438964844","565.6644897460938","565.6644897460938","565.6644897460938","173.5798797607422","173.5798797607422","173.5798797607422","172.10791015625","172.10791015625","172.10791015625","444.9915466308594","444.9915466308594","444.9915466308594"
"12599","168.6463165283203","168.6463165283203","168.6463165283203","165.4586181640625","165.4586181640625","165.4586181640625","551.05859375","551.05859375","551.05859375","168.4019775390625","168.4019775390625","168.4019775390625","164.1324462890625","164.1324462890625","164.1324462890625","434.228271484375","434.228271484375","434.228271484375"
"13199","160.98403930664062","160.98403930664062","160.98403930664062","156.77517700195312","156.77517700195312","156.77517700195312","538.90478515625","538.90478515625","538.90478515625","160.5088653564453","160.5088653564453","160.5088653564453","155.56053161621094","155.56053161621094","155.56053161621094","423.5509948730469","423.5509948730469","423.5509948730469"
"13799","152.5032958984375","152.5032958984375","152.5032958984375","150.5654296875","150.5654296875","150.5654296875","522.0211791992188","522.0211791992188","522.0211791992188","152.4161834716797","152.4161834716797","152.4161834716797","149.48355102539062","149.48355102539062","149.48355102539062","409.3255615234375","409.3255615234375","409.3255615234375"
"14399","148.0152130126953","148.0152130126953","148.0152130126953","146.5576934814453","146.5576934814453","146.5576934814453","507.9203186035156","507.9203186035156","507.9203186035156","147.7545928955078","147.7545928955078","147.7545928955078","145.2393035888672","145.2393035888672","145.2393035888672","399.2594909667969","399.2594909667969","399.2594909667969"
"14999","143.88211059570312","143.88211059570312","143.88211059570312","139.95420837402344","139.95420837402344","139.95420837402344","497.3194885253906","497.3194885253906","497.3194885253906","143.6240234375","143.6240234375","143.6240234375","138.93276977539062","138.93276977539062","138.93276977539062","390.7599792480469","390.7599792480469","390.7599792480469"
