"Step","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - shrinkage.l2_ratio","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - shrinkage.l2_ratio","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - shrinkage.l2_ratio","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - shrinkage.l2_ratio","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - shrinkage.l2_ratio","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - shrinkage.l2_ratio","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MAX"
"599","6.437470436096191","6.437470436096191","6.437470436096191","2.929049253463745","2.929049253463745","2.929049253463745","1.2338097095489502","1.2338097095489502","1.2338097095489502","6.439107418060303","6.439107418060303","6.439107418060303","2.9285223484039307","2.9285223484039307","2.9285223484039307","1.2336076498031616","1.2336076498031616","1.2336076498031616"
"1199","6.3471574783325195","6.3471574783325195","6.3471574783325195","2.9551873207092285","2.9551873207092285","2.9551873207092285","1.245131254196167","1.245131254196167","1.245131254196167","6.353715419769287","6.353715419769287","6.353715419769287","2.9556357860565186","2.9556357860565186","2.9556357860565186","1.2463436126708984","1.2463436126708984","1.2463436126708984"
"1799","6.186379909515381","6.186379909515381","6.186379909515381","2.9198341369628906","2.9198341369628906","2.9198341369628906","1.2451659440994263","1.2451659440994263","1.2451659440994263","6.192910671234131","6.192910671234131","6.192910671234131","2.920719623565674","2.920719623565674","2.920719623565674","1.245370626449585","1.245370626449585","1.245370626449585"
"2399","6.194660663604736","6.194660663604736","6.194660663604736","2.8812263011932373","2.8812263011932373","2.8812263011932373","1.244720458984375","1.244720458984375","1.244720458984375","6.200246334075928","6.200246334075928","6.200246334075928","2.8826310634613037","2.8826310634613037","2.8826310634613037","1.2433942556381226","1.2433942556381226","1.2433942556381226"
"2999","6.122805118560791","6.122805118560791","6.122805118560791","2.906846761703491","2.906846761703491","2.906846761703491","1.2500133514404297","1.2500133514404297","1.2500133514404297","6.127481937408447","6.127481937408447","6.127481937408447","2.9092109203338623","2.9092109203338623","2.9092109203338623","1.2494343519210815","1.2494343519210815","1.2494343519210815"
"3599","6.007287502288818","6.007287502288818","6.007287502288818","2.954028844833374","2.954028844833374","2.954028844833374","1.2523895502090454","1.2523895502090454","1.2523895502090454","6.010107040405273","6.010107040405273","6.010107040405273","2.9542806148529053","2.9542806148529053","2.9542806148529053","1.24978506565094","1.24978506565094","1.24978506565094"
"4199","6.1568193435668945","6.1568193435668945","6.1568193435668945","2.9509758949279785","2.9509758949279785","2.9509758949279785","1.249768853187561","1.249768853187561","1.249768853187561","6.16142463684082","6.16142463684082","6.16142463684082","2.952152729034424","2.952152729034424","2.952152729034424","1.2494186162948608","1.2494186162948608","1.2494186162948608"
"4799","6.160854339599609","6.160854339599609","6.160854339599609","2.9581964015960693","2.9581964015960693","2.9581964015960693","1.2503864765167236","1.2503864765167236","1.2503864765167236","6.162520885467529","6.162520885467529","6.162520885467529","2.957617998123169","2.957617998123169","2.957617998123169","1.2506883144378662","1.2506883144378662","1.2506883144378662"
"5399","6.147375583648682","6.147375583648682","6.147375583648682","2.9700632095336914","2.9700632095336914","2.9700632095336914","1.243783712387085","1.243783712387085","1.243783712387085","6.145809173583984","6.145809173583984","6.145809173583984","2.9702208042144775","2.9702208042144775","2.9702208042144775","1.244393229484558","1.244393229484558","1.244393229484558"
"5999","6.181549072265625","6.181549072265625","6.181549072265625","2.9596614837646484","2.9596614837646484","2.9596614837646484","1.2457598447799683","1.2457598447799683","1.2457598447799683","6.181060314178467","6.181060314178467","6.181060314178467","2.9609837532043457","2.9609837532043457","2.9609837532043457","1.2457261085510254","1.2457261085510254","1.2457261085510254"
"6599","6.206331253051758","6.206331253051758","6.206331253051758","2.977092742919922","2.977092742919922","2.977092742919922","1.2532986402511597","1.2532986402511597","1.2532986402511597","6.206246376037598","6.206246376037598","6.206246376037598","2.9754281044006348","2.9754281044006348","2.9754281044006348","1.2528313398361206","1.2528313398361206","1.2528313398361206"
"7199","6.1880598068237305","6.1880598068237305","6.1880598068237305","2.9632372856140137","2.9632372856140137","2.9632372856140137","1.256930947303772","1.256930947303772","1.256930947303772","6.187455654144287","6.187455654144287","6.187455654144287","2.9696731567382812","2.9696731567382812","2.9696731567382812","1.2580955028533936","1.2580955028533936","1.2580955028533936"
"7799","6.220431327819824","6.220431327819824","6.220431327819824","2.9847118854522705","2.9847118854522705","2.9847118854522705","1.2516459226608276","1.2516459226608276","1.2516459226608276","6.21579647064209","6.21579647064209","6.21579647064209","2.9843056201934814","2.9843056201934814","2.9843056201934814","1.2523648738861084","1.2523648738861084","1.2523648738861084"
"8399","6.221046447753906","6.221046447753906","6.221046447753906","2.956284523010254","2.956284523010254","2.956284523010254","1.2652316093444824","1.2652316093444824","1.2652316093444824","6.219462871551514","6.219462871551514","6.219462871551514","2.9542338848114014","2.9542338848114014","2.9542338848114014","1.2623008489608765","1.2623008489608765","1.2623008489608765"
"8999","6.292767524719238","6.292767524719238","6.292767524719238","3.00677227973938","3.00677227973938","3.00677227973938","1.2547322511672974","1.2547322511672974","1.2547322511672974","6.295844554901123","6.295844554901123","6.295844554901123","3.003892660140991","3.003892660140991","3.003892660140991","1.2511703968048096","1.2511703968048096","1.2511703968048096"
"9599","6.265009880065918","6.265009880065918","6.265009880065918","2.997915744781494","2.997915744781494","2.997915744781494","1.2593107223510742","1.2593107223510742","1.2593107223510742","6.263509273529053","6.263509273529053","6.263509273529053","2.9967095851898193","2.9967095851898193","2.9967095851898193","1.2594175338745117","1.2594175338745117","1.2594175338745117"
"10199","6.262101650238037","6.262101650238037","6.262101650238037","2.9944634437561035","2.9944634437561035","2.9944634437561035","1.2540138959884644","1.2540138959884644","1.2540138959884644","6.261041164398193","6.261041164398193","6.261041164398193","2.995431423187256","2.995431423187256","2.995431423187256","1.2518316507339478","1.2518316507339478","1.2518316507339478"
"10799","6.257646083831787","6.257646083831787","6.257646083831787","2.98116135597229","2.98116135597229","2.98116135597229","1.2552379369735718","1.2552379369735718","1.2552379369735718","6.257500648498535","6.257500648498535","6.257500648498535","2.9798965454101562","2.9798965454101562","2.9798965454101562","1.253799557685852","1.253799557685852","1.253799557685852"
"11399","6.281804084777832","6.281804084777832","6.281804084777832","3.0152831077575684","3.0152831077575684","3.0152831077575684","1.2569599151611328","1.2569599151611328","1.2569599151611328","6.2787652015686035","6.2787652015686035","6.2787652015686035","3.014380931854248","3.014380931854248","3.014380931854248","1.2570117712020874","1.2570117712020874","1.2570117712020874"
"11999","6.298316955566406","6.298316955566406","6.298316955566406","3.0171070098876953","3.0171070098876953","3.0171070098876953","1.2573223114013672","1.2573223114013672","1.2573223114013672","6.295907974243164","6.295907974243164","6.295907974243164","3.0143179893493652","3.0143179893493652","3.0143179893493652","1.2578747272491455","1.2578747272491455","1.2578747272491455"
"12599","6.255557537078857","6.255557537078857","6.255557537078857","2.9952569007873535","2.9952569007873535","2.9952569007873535","1.260810375213623","1.260810375213623","1.260810375213623","6.257516384124756","6.257516384124756","6.257516384124756","2.9974358081817627","2.9974358081817627","2.9974358081817627","1.2596219778060913","1.2596219778060913","1.2596219778060913"
