"Step","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - losses/mse_loss","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - losses/mse_loss__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - losses/mse_loss__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - losses/mse_loss","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - losses/mse_loss__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - losses/mse_loss__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - losses/mse_loss","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - losses/mse_loss__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - losses/mse_loss__MAX","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - losses/mse_loss","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - losses/mse_loss__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - losses/mse_loss__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - losses/mse_loss","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - losses/mse_loss__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - losses/mse_loss__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - losses/mse_loss","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - losses/mse_loss__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - losses/mse_loss__MAX"
"29","11785.7373046875","11785.7373046875","11785.7373046875","2702.8193359375","2702.8193359375","2702.8193359375","555.3296508789062","555.3296508789062","555.3296508789062","11784.138671875","11784.138671875","11784.138671875","2702.5224609375","2702.5224609375","2702.5224609375","568.728271484375","568.728271484375","568.728271484375"
"59","6499.52490234375","6499.52490234375","6499.52490234375","1757.7471923828125","1757.7471923828125","1757.7471923828125","214.31350708007812","214.31350708007812","214.31350708007812","6496.30712890625","6496.30712890625","6496.30712890625","1756.5068359375","1756.5068359375","1756.5068359375","226.98898315429688","226.98898315429688","226.98898315429688"
"89","4936.798828125","4936.798828125","4936.798828125","1343.0946044921875","1343.0946044921875","1343.0946044921875","125.37864685058594","125.37864685058594","125.37864685058594","4933.32177734375","4933.32177734375","4933.32177734375","1342.282470703125","1342.282470703125","1342.282470703125","131.07032775878906","131.07032775878906","131.07032775878906"
"119","4069.0224609375","4069.0224609375","4069.0224609375","1063.8720703125","1063.8720703125","1063.8720703125","95.91978454589844","95.91978454589844","95.91978454589844","4066.498046875","4066.498046875","4066.498046875","1062.569091796875","1062.569091796875","1062.569091796875","98.20442199707031","98.20442199707031","98.20442199707031"
"149","44088.984375","44088.984375","44088.984375","34983.2109375","34983.2109375","34983.2109375","87.8402099609375","87.8402099609375","87.8402099609375","44081.52734375","44081.52734375","44081.52734375","34973.05859375","34973.05859375","34973.05859375","89.98490142822266","89.98490142822266","89.98490142822266"
"179","36228.16796875","36228.16796875","36228.16796875","27769.162109375","27769.162109375","27769.162109375","81.54097747802734","81.54097747802734","81.54097747802734","36218.65234375","36218.65234375","36218.65234375","27756.75","27756.75","27756.75","82.7279052734375","82.7279052734375","82.7279052734375"
"209","3849.34765625","3849.34765625","3849.34765625","1035.5186767578125","1035.5186767578125","1035.5186767578125","88.71759796142578","88.71759796142578","88.71759796142578","3848.059326171875","3848.059326171875","3848.059326171875","1034.7249755859375","1034.7249755859375","1034.7249755859375","89.43247985839844","89.43247985839844","89.43247985839844"
"239","3564.59326171875","3564.59326171875","3564.59326171875","928.532470703125","928.532470703125","928.532470703125","79.0175552368164","79.0175552368164","79.0175552368164","3563.49609375","3563.49609375","3563.49609375","927.634521484375","927.634521484375","927.634521484375","79.0398941040039","79.0398941040039","79.0398941040039"
"269","3128.421142578125","3128.421142578125","3128.421142578125","854.0061645507812","854.0061645507812","854.0061645507812","66.03008270263672","66.03008270263672","66.03008270263672","3127.280029296875","3127.280029296875","3127.280029296875","853.269775390625","853.269775390625","853.269775390625","65.53875732421875","65.53875732421875","65.53875732421875"
"299","2922.019287109375","2922.019287109375","2922.019287109375","776.4542236328125","776.4542236328125","776.4542236328125","63.381629943847656","63.381629943847656","63.381629943847656","2921.121826171875","2921.121826171875","2921.121826171875","775.9690551757812","775.9690551757812","775.9690551757812","62.72292709350586","62.72292709350586","62.72292709350586"
