"Step","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackPython - sparsity.l0","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackPython - sparsity.l0__MIN","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackPython - sparsity.l0__MAX","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackPython - sparsity.l0","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackPython - sparsity.l0__MIN","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackPython - sparsity.l0__MAX","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackPython - sparsity.l0","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackPython - sparsity.l0__MIN","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackPython - sparsity.l0__MAX","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - sparsity.l0","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - sparsity.l0__MIN","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - sparsity.l0__MAX","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - sparsity.l0","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - sparsity.l0__MIN","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - sparsity.l0__MAX","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - sparsity.l0","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - sparsity.l0__MIN","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - sparsity.l0__MAX"
"599","12114.859375","12114.859375","12114.859375","12067.1259765625","12067.1259765625","12067.1259765625","12102.8017578125","12102.8017578125","12102.8017578125","11918.9951171875","11918.9951171875","11918.9951171875","11456.73828125","11456.73828125","11456.73828125","11912.103515625","11912.103515625","11912.103515625"
"1199","12062.54296875","12062.54296875","12062.54296875","12045.7099609375","12045.7099609375","12045.7099609375","12138.705078125","12138.705078125","12138.705078125","11404.4267578125","11404.4267578125","11404.4267578125","10686.466796875","10686.466796875","10686.466796875","11784.4599609375","11784.4599609375","11784.4599609375"
"1799","12016.5458984375","12016.5458984375","12016.5458984375","12011.4013671875","12011.4013671875","12011.4013671875","12137.533203125","12137.533203125","12137.533203125","10701.693359375","10701.693359375","10701.693359375","10240.9638671875","10240.9638671875","10240.9638671875","11715.7099609375","11715.7099609375","11715.7099609375"
"2399","12010.2548828125","12010.2548828125","12010.2548828125","12033.970703125","12033.970703125","12033.970703125","12144.68359375","12144.68359375","12144.68359375","10098.7861328125","10098.7861328125","10098.7861328125","10125.275390625","10125.275390625","10125.275390625","11671.595703125","11671.595703125","11671.595703125"
"2999","11924.9677734375","11924.9677734375","11924.9677734375","11986.9091796875","11986.9091796875","11986.9091796875","12128.5908203125","12128.5908203125","12128.5908203125","9753.6630859375","9753.6630859375","9753.6630859375","10075.4248046875","10075.4248046875","10075.4248046875","11432.7236328125","11432.7236328125","11432.7236328125"
"3599","11936.7451171875","11936.7451171875","11936.7451171875","12005.4091796875","12005.4091796875","12005.4091796875","12148.3486328125","12148.3486328125","12148.3486328125","9362.283203125","9362.283203125","9362.283203125","10174.8388671875","10174.8388671875","10174.8388671875","11134.9189453125","11134.9189453125","11134.9189453125"
"4199","12004.1787109375","12004.1787109375","12004.1787109375","12037.9345703125","12037.9345703125","12037.9345703125","12150.1796875","12150.1796875","12150.1796875","9379.7451171875","9379.7451171875","9379.7451171875","10488.923828125","10488.923828125","10488.923828125","10929.916015625","10929.916015625","10929.916015625"
"4799","12031.5419921875","12031.5419921875","12031.5419921875","12044.6982421875","12044.6982421875","12044.6982421875","12149.1953125","12149.1953125","12149.1953125","9500.0439453125","9500.0439453125","9500.0439453125","10701.4482421875","10701.4482421875","10701.4482421875","10647.59375","10647.59375","10647.59375"
"5399","12046.7841796875","12046.7841796875","12046.7841796875","11989.3427734375","11989.3427734375","11989.3427734375","12148.4521484375","12148.4521484375","12148.4521484375","9684.9052734375","9684.9052734375","9684.9052734375","10855.9560546875","10855.9560546875","10855.9560546875","10418.5185546875","10418.5185546875","10418.5185546875"
"5999","12088.08984375","12088.08984375","12088.08984375","12015.9755859375","12015.9755859375","12015.9755859375","12156.2021484375","12156.2021484375","12156.2021484375","9872.8388671875","9872.8388671875","9872.8388671875","11086.1630859375","11086.1630859375","11086.1630859375","10209.4365234375","10209.4365234375","10209.4365234375"
