"Step","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackPython - shrinkage.l2_ratio","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackPython - shrinkage.l2_ratio","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackPython - shrinkage.l2_ratio","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - shrinkage.l2_ratio","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - shrinkage.l2_ratio","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - shrinkage.l2_ratio","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MAX"
"599","6.262080669403076","6.262080669403076","6.262080669403076","2.9725818634033203","2.9725818634033203","2.9725818634033203","1.2575626373291016","1.2575626373291016","1.2575626373291016","6.276484966278076","6.276484966278076","6.276484966278076","2.9833245277404785","2.9833245277404785","2.9833245277404785","1.2581220865249634","1.2581220865249634","1.2581220865249634"
"1199","6.387307643890381","6.387307643890381","6.387307643890381","3.0246450901031494","3.0246450901031494","3.0246450901031494","1.2655349969863892","1.2655349969863892","1.2655349969863892","6.414013862609863","6.414013862609863","6.414013862609863","3.0559284687042236","3.0559284687042236","3.0559284687042236","1.2657182216644287","1.2657182216644287","1.2657182216644287"
"1799","6.459163188934326","6.459163188934326","6.459163188934326","3.057582378387451","3.057582378387451","3.057582378387451","1.2678207159042358","1.2678207159042358","1.2678207159042358","6.46554708480835","6.46554708480835","6.46554708480835","3.082026720046997","3.082026720046997","3.082026720046997","1.2683435678482056","1.2683435678482056","1.2683435678482056"
"2399","6.483114719390869","6.483114719390869","6.483114719390869","3.085259437561035","3.085259437561035","3.085259437561035","1.2682322263717651","1.2682322263717651","1.2682322263717651","6.526364326477051","6.526364326477051","6.526364326477051","3.0890278816223145","3.0890278816223145","3.0890278816223145","1.268352746963501","1.268352746963501","1.268352746963501"
"2999","6.51546049118042","6.51546049118042","6.51546049118042","3.0814566612243652","3.0814566612243652","3.0814566612243652","1.268099069595337","1.268099069595337","1.268099069595337","6.57363748550415","6.57363748550415","6.57363748550415","3.087916374206543","3.087916374206543","3.087916374206543","1.2681716680526733","1.2681716680526733","1.2681716680526733"
"3599","6.51330041885376","6.51330041885376","6.51330041885376","3.0984902381896973","3.0984902381896973","3.0984902381896973","1.2698713541030884","1.2698713541030884","1.2698713541030884","6.564340114593506","6.564340114593506","6.564340114593506","3.106794834136963","3.106794834136963","3.106794834136963","1.2702230215072632","1.2702230215072632","1.2702230215072632"
"4199","6.5267839431762695","6.5267839431762695","6.5267839431762695","3.1029441356658936","3.1029441356658936","3.1029441356658936","1.2687591314315796","1.2687591314315796","1.2687591314315796","6.54957914352417","6.54957914352417","6.54957914352417","3.105178117752075","3.105178117752075","3.105178117752075","1.2692269086837769","1.2692269086837769","1.2692269086837769"
"4799","6.5393385887146","6.5393385887146","6.5393385887146","3.108854055404663","3.108854055404663","3.108854055404663","1.2692819833755493","1.2692819833755493","1.2692819833755493","6.549247741699219","6.549247741699219","6.549247741699219","3.1053855419158936","3.1053855419158936","3.1053855419158936","1.2687962055206299","1.2687962055206299","1.2687962055206299"
"5399","6.5512614250183105","6.5512614250183105","6.5512614250183105","3.0948832035064697","3.0948832035064697","3.0948832035064697","1.2686606645584106","1.2686606645584106","1.2686606645584106","6.569830417633057","6.569830417633057","6.569830417633057","3.100829601287842","3.100829601287842","3.100829601287842","1.2690662145614624","1.2690662145614624","1.2690662145614624"
"5999","6.5556182861328125","6.5556182861328125","6.5556182861328125","3.1061275005340576","3.1061275005340576","3.1061275005340576","1.2686336040496826","1.2686336040496826","1.2686336040496826","6.563784122467041","6.563784122467041","6.563784122467041","3.1091995239257812","3.1091995239257812","3.1091995239257812","1.2686374187469482","1.2686374187469482","1.2686374187469482"
"6599","6.538608074188232","6.538608074188232","6.538608074188232","3.0955138206481934","3.0955138206481934","3.0955138206481934","1.269692301750183","1.269692301750183","1.269692301750183","6.554443359375","6.554443359375","6.554443359375","3.1087944507598877","3.1087944507598877","3.1087944507598877","1.268866777420044","1.268866777420044","1.268866777420044"
"7199","6.561010837554932","6.561010837554932","6.561010837554932","3.1036486625671387","3.1036486625671387","3.1036486625671387","1.2682621479034424","1.2682621479034424","1.2682621479034424","6.559561252593994","6.559561252593994","6.559561252593994","3.1116225719451904","3.1116225719451904","3.1116225719451904","1.2687838077545166","1.2687838077545166","1.2687838077545166"
"7799","6.556692600250244","6.556692600250244","6.556692600250244","3.097553253173828","3.097553253173828","3.097553253173828","1.2696266174316406","1.2696266174316406","1.2696266174316406","6.5395050048828125","6.5395050048828125","6.5395050048828125","3.1078617572784424","3.1078617572784424","3.1078617572784424","1.268804669380188","1.268804669380188","1.268804669380188"
"8399","6.543491363525391","6.543491363525391","6.543491363525391","3.1089465618133545","3.1089465618133545","3.1089465618133545","1.2687596082687378","1.2687596082687378","1.2687596082687378","6.531008243560791","6.531008243560791","6.531008243560791","3.103431224822998","3.103431224822998","3.103431224822998","1.2702457904815674","1.2702457904815674","1.2702457904815674"
"8999","6.5710272789001465","6.5710272789001465","6.5710272789001465","3.1081745624542236","3.1081745624542236","3.1081745624542236","1.2691535949707031","1.2691535949707031","1.2691535949707031","6.544387340545654","6.544387340545654","6.544387340545654","3.1016647815704346","3.1016647815704346","3.1016647815704346","1.2693134546279907","1.2693134546279907","1.2693134546279907"
"9599","6.5277323722839355","6.5277323722839355","6.5277323722839355","3.105797290802002","3.105797290802002","3.105797290802002","1.2697113752365112","1.2697113752365112","1.2697113752365112","6.555698394775391","6.555698394775391","6.555698394775391","3.099935293197632","3.099935293197632","3.099935293197632","1.269461989402771","1.269461989402771","1.269461989402771"
"10199","6.544259548187256","6.544259548187256","6.544259548187256","3.0951712131500244","3.0951712131500244","3.0951712131500244","1.2690609693527222","1.2690609693527222","1.2690609693527222","6.54597806930542","6.54597806930542","6.54597806930542","3.1034047603607178","3.1034047603607178","3.1034047603607178","1.2690140008926392","1.2690140008926392","1.2690140008926392"
"10799","6.546484470367432","6.546484470367432","6.546484470367432","3.104541540145874","3.104541540145874","3.104541540145874","1.2695900201797485","1.2695900201797485","1.2695900201797485","6.551770210266113","6.551770210266113","6.551770210266113","3.1058247089385986","3.1058247089385986","3.1058247089385986","1.2683870792388916","1.2683870792388916","1.2683870792388916"
"11399","6.563760280609131","6.563760280609131","6.563760280609131","3.0951619148254395","3.0951619148254395","3.0951619148254395","1.269314169883728","1.269314169883728","1.269314169883728","6.533064365386963","6.533064365386963","6.533064365386963","3.104247808456421","3.104247808456421","3.104247808456421","1.2689493894577026","1.2689493894577026","1.2689493894577026"
"11999","6.548994541168213","6.548994541168213","6.548994541168213","3.1023290157318115","3.1023290157318115","3.1023290157318115","1.2697290182113647","1.2697290182113647","1.2697290182113647","6.55352783203125","6.55352783203125","6.55352783203125","3.1040380001068115","3.1040380001068115","3.1040380001068115","1.2695568799972534","1.2695568799972534","1.2695568799972534"
"12599","6.551614284515381","6.551614284515381","6.551614284515381","3.1063029766082764","3.1063029766082764","3.1063029766082764","1.269921898841858","1.269921898841858","1.269921898841858","6.5580339431762695","6.5580339431762695","6.5580339431762695","3.1131865978240967","3.1131865978240967","3.1131865978240967","1.268942952156067","1.268942952156067","1.268942952156067"
"13199","6.560665130615234","6.560665130615234","6.560665130615234","3.110767364501953","3.110767364501953","3.110767364501953","1.2688413858413696","1.2688413858413696","1.2688413858413696","6.550436496734619","6.550436496734619","6.550436496734619","3.1034486293792725","3.1034486293792725","3.1034486293792725","1.269165277481079","1.269165277481079","1.269165277481079"
"13799","6.570075988769531","6.570075988769531","6.570075988769531","3.1098134517669678","3.1098134517669678","3.1098134517669678","1.2694171667099","1.2694171667099","1.2694171667099","6.535933017730713","6.535933017730713","6.535933017730713","3.1056082248687744","3.1056082248687744","3.1056082248687744","1.2695013284683228","1.2695013284683228","1.2695013284683228"
"14399","6.566246032714844","6.566246032714844","6.566246032714844","3.099846601486206","3.099846601486206","3.099846601486206","1.269187331199646","1.269187331199646","1.269187331199646","6.555699348449707","6.555699348449707","6.555699348449707","3.1093904972076416","3.1093904972076416","3.1093904972076416","1.2699600458145142","1.2699600458145142","1.2699600458145142"
"14999","6.550541877746582","6.550541877746582","6.550541877746582","3.1131768226623535","3.1131768226623535","3.1131768226623535","1.2698209285736084","1.2698209285736084","1.2698209285736084","6.555652141571045","6.555652141571045","6.555652141571045","3.107525587081909","3.107525587081909","3.107525587081909","1.2697827816009521","1.2697827816009521","1.2697827816009521"
"15599","6.5623650550842285","6.5623650550842285","6.5623650550842285","3.100815534591675","3.100815534591675","3.100815534591675","1.2706454992294312","1.2706454992294312","1.2706454992294312","6.562661647796631","6.562661647796631","6.562661647796631","3.1057682037353516","3.1057682037353516","3.1057682037353516","1.270039439201355","1.270039439201355","1.270039439201355"
"16199","6.556180477142334","6.556180477142334","6.556180477142334","3.1030168533325195","3.1030168533325195","3.1030168533325195","1.2696126699447632","1.2696126699447632","1.2696126699447632","6.5506911277771","6.5506911277771","6.5506911277771","3.100886583328247","3.100886583328247","3.100886583328247","1.2694889307022095","1.2694889307022095","1.2694889307022095"
"16799","6.563443183898926","6.563443183898926","6.563443183898926","3.10688853263855","3.10688853263855","3.10688853263855","1.2692571878433228","1.2692571878433228","1.2692571878433228","6.561744213104248","6.561744213104248","6.561744213104248","3.1098783016204834","3.1098783016204834","3.1098783016204834","1.2686998844146729","1.2686998844146729","1.2686998844146729"
"17399","6.55134916305542","6.55134916305542","6.55134916305542","3.100459337234497","3.100459337234497","3.100459337234497","1.2689350843429565","1.2689350843429565","1.2689350843429565","6.540574073791504","6.540574073791504","6.540574073791504","3.0787723064422607","3.0787723064422607","3.0787723064422607","1.2692714929580688","1.2692714929580688","1.2692714929580688"
"17999","6.542605876922607","6.542605876922607","6.542605876922607","3.1058619022369385","3.1058619022369385","3.1058619022369385","1.2702686786651611","1.2702686786651611","1.2702686786651611","6.557672023773193","6.557672023773193","6.557672023773193","3.104506254196167","3.104506254196167","3.104506254196167","1.270276427268982","1.270276427268982","1.270276427268982"
