"Step","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackPython - losses/mse_loss","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackPython - losses/mse_loss__MIN","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackPython - losses/mse_loss__MAX","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackPython - losses/mse_loss","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackPython - losses/mse_loss__MIN","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackPython - losses/mse_loss__MAX","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackPython - losses/mse_loss","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackPython - losses/mse_loss__MIN","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackPython - losses/mse_loss__MAX","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - losses/mse_loss","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - losses/mse_loss__MIN","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - losses/mse_loss__MAX","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - losses/mse_loss","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - losses/mse_loss__MIN","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - losses/mse_loss__MAX","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - losses/mse_loss","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - losses/mse_loss__MIN","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - losses/mse_loss__MAX"
"29","10997.228515625","10997.228515625","10997.228515625","2351.254638671875","2351.254638671875","2351.254638671875","296.8957214355469","296.8957214355469","296.8957214355469","10993.2099609375","10993.2099609375","10993.2099609375","2345.83203125","2345.83203125","2345.83203125","317.5866394042969","317.5866394042969","317.5866394042969"
"59","6116.3642578125","6116.3642578125","6116.3642578125","1434.2252197265625","1434.2252197265625","1434.2252197265625","101.3383560180664","101.3383560180664","101.3383560180664","6108.4150390625","6108.4150390625","6108.4150390625","1427.1993408203125","1427.1993408203125","1427.1993408203125","103.84957885742188","103.84957885742188","103.84957885742188"
"89","4512.3359375","4512.3359375","4512.3359375","1049.658935546875","1049.658935546875","1049.658935546875","68.42814636230469","68.42814636230469","68.42814636230469","4503.95947265625","4503.95947265625","4503.95947265625","1042.224609375","1042.224609375","1042.224609375","66.75757598876953","66.75757598876953","66.75757598876953"
"119","3603.395751953125","3603.395751953125","3603.395751953125","788.6181030273438","788.6181030273438","788.6181030273438","52.30608367919922","52.30608367919922","52.30608367919922","3596.244384765625","3596.244384765625","3596.244384765625","782.2730102539062","782.2730102539062","782.2730102539062","50.21146011352539","50.21146011352539","50.21146011352539"
"149","43765.90234375","43765.90234375","43765.90234375","34292.390625","34292.390625","34292.390625","48.652469635009766","48.652469635009766","48.652469635009766","43725.42578125","43725.42578125","43725.42578125","34232.1796875","34232.1796875","34232.1796875","46.138572692871094","46.138572692871094","46.138572692871094"
"179","34766.01171875","34766.01171875","34766.01171875","26801.2265625","26801.2265625","26801.2265625","41.54072570800781","41.54072570800781","41.54072570800781","34723.23828125","34723.23828125","34723.23828125","26745.3984375","26745.3984375","26745.3984375","38.866668701171875","38.866668701171875","38.866668701171875"
"209","3193.439697265625","3193.439697265625","3193.439697265625","703.929443359375","703.929443359375","703.929443359375","40.91765594482422","40.91765594482422","40.91765594482422","3186.305908203125","3186.305908203125","3186.305908203125","698.7344970703125","698.7344970703125","698.7344970703125","38.460838317871094","38.460838317871094","38.460838317871094"
"239","2852.3681640625","2852.3681640625","2852.3681640625","588.240478515625","588.240478515625","588.240478515625","33.65056228637695","33.65056228637695","33.65056228637695","2845.563720703125","2845.563720703125","2845.563720703125","583.0399780273438","583.0399780273438","583.0399780273438","31.32501792907715","31.32501792907715","31.32501792907715"
"269","2647.931884765625","2647.931884765625","2647.931884765625","555.4108276367188","555.4108276367188","555.4108276367188","26.106964111328125","26.106964111328125","26.106964111328125","2640.62939453125","2640.62939453125","2640.62939453125","550.64208984375","550.64208984375","550.64208984375","24.308971405029297","24.308971405029297","24.308971405029297"
"299","2158.4560546875","2158.4560546875","2158.4560546875","447.0529479980469","447.0529479980469","447.0529479980469","23.176000595092773","23.176000595092773","23.176000595092773","2153.08642578125","2153.08642578125","2153.08642578125","443.3570861816406","443.3570861816406","443.3570861816406","21.528871536254883","21.528871536254883","21.528871536254883"
