"Step","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - losses/fisher_reg_term","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - losses/fisher_reg_term__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - losses/fisher_reg_term__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - losses/fisher_reg_term","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - losses/fisher_reg_term__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - losses/fisher_reg_term__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - losses/fisher_reg_term","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - losses/fisher_reg_term__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - losses/fisher_reg_term__MAX"
"29","20.61332893371582","20.61332893371582","20.61332893371582","21.19186019897461","21.19186019897461","21.19186019897461","21.69151496887207","21.69151496887207","21.69151496887207"
"59","18.143930435180664","18.143930435180664","18.143930435180664","12.318334579467773","12.318334579467773","12.318334579467773","25.84840202331543","25.84840202331543","25.84840202331543"
"89","14.231538772583008","14.231538772583008","14.231538772583008","11.058869361877441","11.058869361877441","11.058869361877441","20.49873924255371","20.49873924255371","20.49873924255371"
"119","12.48556900024414","12.48556900024414","12.48556900024414","9.493983268737793","9.493983268737793","9.493983268737793","16.677637100219727","16.677637100219727","16.677637100219727"
"149","40.717288970947266","40.717288970947266","40.717288970947266","53.80984115600586","53.80984115600586","53.80984115600586","14.688990592956543","14.688990592956543","14.688990592956543"
"179","43.03600311279297","43.03600311279297","43.03600311279297","55.11127853393555","55.11127853393555","55.11127853393555","13.089943885803223","13.089943885803223","13.089943885803223"
"209","7.9930739402771","7.9930739402771","7.9930739402771","7.21406364440918","7.21406364440918","7.21406364440918","11.7745361328125","11.7745361328125","11.7745361328125"
"239","7.17349100112915","7.17349100112915","7.17349100112915","6.290322780609131","6.290322780609131","6.290322780609131","10.24915885925293","10.24915885925293","10.24915885925293"
"269","6.99798583984375","6.99798583984375","6.99798583984375","6.661623477935791","6.661623477935791","6.661623477935791","10.165620803833008","10.165620803833008","10.165620803833008"
"299","7.552731037139893","7.552731037139893","7.552731037139893","6.564888954162598","6.564888954162598","6.564888954162598","9.057544708251953","9.057544708251953","9.057544708251953"
"329","67.52392578125","67.52392578125","67.52392578125","36.41059494018555","36.41059494018555","36.41059494018555","9.528722763061523","9.528722763061523","9.528722763061523"
"359","59.00283432006836","59.00283432006836","59.00283432006836","29.323286056518555","29.323286056518555","29.323286056518555","8.301076889038086","8.301076889038086","8.301076889038086"
"389","58.60664749145508","58.60664749145508","58.60664749145508","26.309980392456055","26.309980392456055","26.309980392456055","7.779172897338867","7.779172897338867","7.779172897338867"
"419","58.7669792175293","58.7669792175293","58.7669792175293","25.069250106811523","25.069250106811523","25.069250106811523","7.601318359375","7.601318359375","7.601318359375"
"449","52.95629119873047","52.95629119873047","52.95629119873047","22.082382202148438","22.082382202148438","22.082382202148438","7.147160530090332","7.147160530090332","7.147160530090332"
"479","48.81322479248047","48.81322479248047","48.81322479248047","22.59438133239746","22.59438133239746","22.59438133239746","6.889169692993164","6.889169692993164","6.889169692993164"
"509","53.36865234375","53.36865234375","53.36865234375","23.133975982666016","23.133975982666016","23.133975982666016","6.607571125030518","6.607571125030518","6.607571125030518"
"539","41.82965087890625","41.82965087890625","41.82965087890625","44.76487350463867","44.76487350463867","44.76487350463867","6.523013591766357","6.523013591766357","6.523013591766357"
"569","47.11079025268555","47.11079025268555","47.11079025268555","18.86094856262207","18.86094856262207","18.86094856262207","6.3154191970825195","6.3154191970825195","6.3154191970825195"
"599","51.19707107543945","51.19707107543945","51.19707107543945","20.984615325927734","20.984615325927734","20.984615325927734","6.145239353179932","6.145239353179932","6.145239353179932"
"629","52.54929733276367","52.54929733276367","52.54929733276367","22.522001266479492","22.522001266479492","22.522001266479492","5.961552143096924","5.961552143096924","5.961552143096924"
"659","60.2181396484375","60.2181396484375","60.2181396484375","22.074262619018555","22.074262619018555","22.074262619018555","5.796478748321533","5.796478748321533","5.796478748321533"
"689","58.295101165771484","58.295101165771484","58.295101165771484","57.7373046875","57.7373046875","57.7373046875","5.695692539215088","5.695692539215088","5.695692539215088"
"719","55.332576751708984","55.332576751708984","55.332576751708984","22.37188148498535","22.37188148498535","22.37188148498535","5.663550853729248","5.663550853729248","5.663550853729248"
"749","48.41336441040039","48.41336441040039","48.41336441040039","19.22031593322754","19.22031593322754","19.22031593322754","5.443030834197998","5.443030834197998","5.443030834197998"
"779","52.72494125366211","52.72494125366211","52.72494125366211","19.295141220092773","19.295141220092773","19.295141220092773","4.9768290519714355","4.9768290519714355","4.9768290519714355"
"809","56.71091842651367","56.71091842651367","56.71091842651367","56.62846374511719","56.62846374511719","56.62846374511719","4.867902755737305","4.867902755737305","4.867902755737305"
"839","49.75300598144531","49.75300598144531","49.75300598144531","20.371423721313477","20.371423721313477","20.371423721313477","4.917452335357666","4.917452335357666","4.917452335357666"
"869","54.67361068725586","54.67361068725586","54.67361068725586","55.41051483154297","55.41051483154297","55.41051483154297","4.867279052734375","4.867279052734375","4.867279052734375"
"899","48.19322967529297","48.19322967529297","48.19322967529297","20.340044021606445","20.340044021606445","20.340044021606445","5.079545497894287","5.079545497894287","5.079545497894287"
"929","51.84337615966797","51.84337615966797","51.84337615966797","18.696170806884766","18.696170806884766","18.696170806884766","4.625805377960205","4.625805377960205","4.625805377960205"
"959","39.00463104248047","39.00463104248047","39.00463104248047","41.34547805786133","41.34547805786133","41.34547805786133","4.842953205108643","4.842953205108643","4.842953205108643"
"989","59.39999771118164","59.39999771118164","59.39999771118164","19.804035186767578","19.804035186767578","19.804035186767578","4.450331211090088","4.450331211090088","4.450331211090088"
"1019","59.03026580810547","59.03026580810547","59.03026580810547","56.17870330810547","56.17870330810547","56.17870330810547","4.392744064331055","4.392744064331055","4.392744064331055"
"1049","51.02783203125","51.02783203125","51.02783203125","17.926721572875977","17.926721572875977","17.926721572875977","4.330824375152588","4.330824375152588","4.330824375152588"
"1079","50.17325210571289","50.17325210571289","50.17325210571289","18.064390182495117","18.064390182495117","18.064390182495117","4.303238868713379","4.303238868713379","4.303238868713379"
"1109","57.84359359741211","57.84359359741211","57.84359359741211","54.91684341430664","54.91684341430664","54.91684341430664","4.467071533203125","4.467071533203125","4.467071533203125"
"1139","48.913875579833984","48.913875579833984","48.913875579833984","16.196083068847656","16.196083068847656","16.196083068847656","4.09900426864624","4.09900426864624","4.09900426864624"
"1169","40.446495056152344","40.446495056152344","40.446495056152344","15.300272941589355","15.300272941589355","15.300272941589355","4.393279075622559","4.393279075622559","4.393279075622559"
