"Step","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - sparsity.l0","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - sparsity.l0__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - sparsity.l0__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - sparsity.l0","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - sparsity.l0__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - sparsity.l0__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - sparsity.l0","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - sparsity.l0__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - sparsity.l0__MAX","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - sparsity.l0","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - sparsity.l0__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - sparsity.l0__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - sparsity.l0","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - sparsity.l0__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - sparsity.l0__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - sparsity.l0","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - sparsity.l0__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - sparsity.l0__MAX"
"599","12117.3125","12117.3125","12117.3125","12069.552734375","12069.552734375","12069.552734375","12106.0263671875","12106.0263671875","12106.0263671875","11924.0654296875","11924.0654296875","11924.0654296875","11465.02734375","11465.02734375","11465.02734375","11872.5703125","11872.5703125","11872.5703125"
"1199","12065.3271484375","12065.3271484375","12065.3271484375","12048.2958984375","12048.2958984375","12048.2958984375","12139.8466796875","12139.8466796875","12139.8466796875","11414.0224609375","11414.0224609375","11414.0224609375","10699.1552734375","10699.1552734375","10699.1552734375","11743.5146484375","11743.5146484375","11743.5146484375"
"1799","12019.908203125","12019.908203125","12019.908203125","12014.384765625","12014.384765625","12014.384765625","12139.140625","12139.140625","12139.140625","10715.5703125","10715.5703125","10715.5703125","10255.2685546875","10255.2685546875","10255.2685546875","11675.103515625","11675.103515625","11675.103515625"
"2399","12013.607421875","12013.607421875","12013.607421875","12036.576171875","12036.576171875","12036.576171875","12146.8642578125","12146.8642578125","12146.8642578125","10115.5380859375","10115.5380859375","10115.5380859375","10140.0537109375","10140.0537109375","10140.0537109375","11629.7099609375","11629.7099609375","11629.7099609375"
"2999","11928.9033203125","11928.9033203125","11928.9033203125","11990.1953125","11990.1953125","11990.1953125","12131.236328125","12131.236328125","12131.236328125","9772.0498046875","9772.0498046875","9772.0498046875","10091.6884765625","10091.6884765625","10091.6884765625","11386.2841796875","11386.2841796875","11386.2841796875"
"3599","11940.6826171875","11940.6826171875","11940.6826171875","12009.1435546875","12009.1435546875","12009.1435546875","12151.3291015625","12151.3291015625","12151.3291015625","9382.6484375","9382.6484375","9382.6484375","10191.8779296875","10191.8779296875","10191.8779296875","11082.4404296875","11082.4404296875","11082.4404296875"
"4199","12007.56640625","12007.56640625","12007.56640625","12042.2021484375","12042.2021484375","12042.2021484375","12151.123046875","12151.123046875","12151.123046875","9401.8935546875","9401.8935546875","9401.8935546875","10506.3896484375","10506.3896484375","10506.3896484375","10879.4912109375","10879.4912109375","10879.4912109375"
"4799","12034.373046875","12034.373046875","12034.373046875","12038.3779296875","12038.3779296875","12038.3779296875","12150.9404296875","12150.9404296875","12150.9404296875","9522.9306640625","9522.9306640625","9522.9306640625","10711.390625","10711.390625","10711.390625","10616.21484375","10616.21484375","10616.21484375"
"5399","12049.666015625","12049.666015625","12049.666015625","11996.203125","11996.203125","11996.203125","12152.2626953125","12152.2626953125","12152.2626953125","9705.861328125","9705.861328125","9705.861328125","10883.8896484375","10883.8896484375","10883.8896484375","10383.2724609375","10383.2724609375","10383.2724609375"
"5999","12087.4267578125","12087.4267578125","12087.4267578125","12009.443359375","12009.443359375","12009.443359375","12157.8154296875","12157.8154296875","12157.8154296875","9896.3984375","9896.3984375","9896.3984375","11108.5908203125","11108.5908203125","11108.5908203125","10189.078125","10189.078125","10189.078125"
