"Step","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - shrinkage.l2_ratio","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - shrinkage.l2_ratio","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - shrinkage.l2_ratio","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - shrinkage.l2_ratio","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - shrinkage.l2_ratio","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - shrinkage.l2_ratio","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MAX"
"599","6.262134552001953","6.262134552001953","6.262134552001953","2.972637891769409","2.972637891769409","2.972637891769409","1.257584810256958","1.257584810256958","1.257584810256958","6.276490688323975","6.276490688323975","6.276490688323975","2.9833405017852783","2.9833405017852783","2.9833405017852783","1.2581309080123901","1.2581309080123901","1.2581309080123901"
"1199","6.387391567230225","6.387391567230225","6.387391567230225","3.0246052742004395","3.0246052742004395","3.0246052742004395","1.2655409574508667","1.2655409574508667","1.2655409574508667","6.4140167236328125","6.4140167236328125","6.4140167236328125","3.0559566020965576","3.0559566020965576","3.0559566020965576","1.265758752822876","1.265758752822876","1.265758752822876"
"1799","6.45913028717041","6.45913028717041","6.45913028717041","3.0575978755950928","3.0575978755950928","3.0575978755950928","1.267825961112976","1.267825961112976","1.267825961112976","6.465542793273926","6.465542793273926","6.465542793273926","3.0820014476776123","3.0820014476776123","3.0820014476776123","1.2683628797531128","1.2683628797531128","1.2683628797531128"
"2399","6.483145236968994","6.483145236968994","6.483145236968994","3.085402488708496","3.085402488708496","3.085402488708496","1.2682428359985352","1.2682428359985352","1.2682428359985352","6.526278972625732","6.526278972625732","6.526278972625732","3.0890538692474365","3.0890538692474365","3.0890538692474365","1.268328070640564","1.268328070640564","1.268328070640564"
"2999","6.515315532684326","6.515315532684326","6.515315532684326","3.081411838531494","3.081411838531494","3.081411838531494","1.2680929899215698","1.2680929899215698","1.2680929899215698","6.573589324951172","6.573589324951172","6.573589324951172","3.0880327224731445","3.0880327224731445","3.0880327224731445","1.2682733535766602","1.2682733535766602","1.2682733535766602"
"3599","6.513026714324951","6.513026714324951","6.513026714324951","3.098818302154541","3.098818302154541","3.098818302154541","1.2699326276779175","1.2699326276779175","1.2699326276779175","6.563792705535889","6.563792705535889","6.563792705535889","3.106921911239624","3.106921911239624","3.106921911239624","1.2711457014083862","1.2711457014083862","1.2711457014083862"
"4199","6.526742458343506","6.526742458343506","6.526742458343506","3.1117160320281982","3.1117160320281982","3.1117160320281982","1.2686796188354492","1.2686796188354492","1.2686796188354492","6.549765110015869","6.549765110015869","6.549765110015869","3.1053569316864014","3.1053569316864014","3.1053569316864014","1.2692171335220337","1.2692171335220337","1.2692171335220337"
"4799","6.539241790771484","6.539241790771484","6.539241790771484","3.0988101959228516","3.0988101959228516","3.0988101959228516","1.269390344619751","1.269390344619751","1.269390344619751","6.549168586730957","6.549168586730957","6.549168586730957","3.1024672985076904","3.1024672985076904","3.1024672985076904","1.2688636779785156","1.2688636779785156","1.2688636779785156"
"5399","6.551609992980957","6.551609992980957","6.551609992980957","3.094294548034668","3.094294548034668","3.094294548034668","1.2692548036575317","1.2692548036575317","1.2692548036575317","6.569152355194092","6.569152355194092","6.569152355194092","3.109565496444702","3.109565496444702","3.109565496444702","1.269387125968933","1.269387125968933","1.269387125968933"
"5999","6.554462432861328","6.554462432861328","6.554462432861328","3.120232343673706","3.120232343673706","3.120232343673706","1.2688570022583008","1.2688570022583008","1.2688570022583008","6.565537929534912","6.565537929534912","6.565537929534912","3.105664014816284","3.105664014816284","3.105664014816284","1.269584059715271","1.269584059715271","1.269584059715271"
