"Step","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - losses/mse_loss","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - losses/mse_loss__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - losses/mse_loss__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - losses/mse_loss","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - losses/mse_loss__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - losses/mse_loss__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - losses/mse_loss","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - losses/mse_loss__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - losses/mse_loss__MAX","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - losses/mse_loss","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - losses/mse_loss__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - losses/mse_loss__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - losses/mse_loss","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - losses/mse_loss__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - losses/mse_loss__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - losses/mse_loss","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - losses/mse_loss__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - losses/mse_loss__MAX"
"29","10997.8447265625","10997.8447265625","10997.8447265625","2351.4609375","2351.4609375","2351.4609375","296.93194580078125","296.93194580078125","296.93194580078125","10993.833984375","10993.833984375","10993.833984375","2346.037109375","2346.037109375","2346.037109375","319.2601623535156","319.2601623535156","319.2601623535156"
"59","6116.1611328125","6116.1611328125","6116.1611328125","1434.173095703125","1434.173095703125","1434.173095703125","101.32205200195312","101.32205200195312","101.32205200195312","6108.2900390625","6108.2900390625","6108.2900390625","1427.130859375","1427.130859375","1427.130859375","105.06206512451172","105.06206512451172","105.06206512451172"
"89","4512.12255859375","4512.12255859375","4512.12255859375","1049.5428466796875","1049.5428466796875","1049.5428466796875","68.41311645507812","68.41311645507812","68.41311645507812","4503.75732421875","4503.75732421875","4503.75732421875","1042.088623046875","1042.088623046875","1042.088623046875","67.4039535522461","67.4039535522461","67.4039535522461"
"119","3603.247802734375","3603.247802734375","3603.247802734375","788.5204467773438","788.5204467773438","788.5204467773438","52.2874641418457","52.2874641418457","52.2874641418457","3596.037353515625","3596.037353515625","3596.037353515625","782.1683349609375","782.1683349609375","782.1683349609375","50.684383392333984","50.684383392333984","50.684383392333984"
"149","43766.09375","43766.09375","43766.09375","34291.79296875","34291.79296875","34291.79296875","48.62554168701172","48.62554168701172","48.62554168701172","43725.37890625","43725.37890625","43725.37890625","34231.28515625","34231.28515625","34231.28515625","46.38313293457031","46.38313293457031","46.38313293457031"
"179","34765.93359375","34765.93359375","34765.93359375","26799.798828125","26799.798828125","26799.798828125","41.50918960571289","41.50918960571289","41.50918960571289","34723.10546875","34723.10546875","34723.10546875","26743.966796875","26743.966796875","26743.966796875","39.06240463256836","39.06240463256836","39.06240463256836"
"209","3193.235595703125","3193.235595703125","3193.235595703125","703.78857421875","703.78857421875","703.78857421875","40.88853454589844","40.88853454589844","40.88853454589844","3186.03125","3186.03125","3186.03125","698.5957641601562","698.5957641601562","698.5957641601562","38.701053619384766","38.701053619384766","38.701053619384766"
"239","2852.12744140625","2852.12744140625","2852.12744140625","588.0927124023438","588.0927124023438","588.0927124023438","33.62617111206055","33.62617111206055","33.62617111206055","2845.30126953125","2845.30126953125","2845.30126953125","582.8853759765625","582.8853759765625","582.8853759765625","31.477542877197266","31.477542877197266","31.477542877197266"
"269","2647.59130859375","2647.59130859375","2647.59130859375","555.2059936523438","555.2059936523438","555.2059936523438","26.086305618286133","26.086305618286133","26.086305618286133","2640.25537109375","2640.25537109375","2640.25537109375","550.43310546875","550.43310546875","550.43310546875","24.42072296142578","24.42072296142578","24.42072296142578"
"299","2158.199462890625","2158.199462890625","2158.199462890625","446.9136657714844","446.9136657714844","446.9136657714844","23.155574798583984","23.155574798583984","23.155574798583984","2152.802978515625","2152.802978515625","2152.802978515625","443.2149658203125","443.2149658203125","443.2149658203125","21.592845916748047","21.592845916748047","21.592845916748047"
"329","993.0693359375","993.0693359375","993.0693359375","231.10797119140625","231.10797119140625","231.10797119140625","17.989145278930664","17.989145278930664","17.989145278930664","990.524169921875","990.524169921875","990.524169921875","229.77291870117188","229.77291870117188","229.77291870117188","16.746171951293945","16.746171951293945","16.746171951293945"
"359","997.177001953125","997.177001953125","997.177001953125","207.52557373046875","207.52557373046875","207.52557373046875","14.986433029174805","14.986433029174805","14.986433029174805","994.7770385742188","994.7770385742188","994.7770385742188","207.1229705810547","207.1229705810547","207.1229705810547","13.880698204040527","13.880698204040527","13.880698204040527"
"389","1006.6926879882812","1006.6926879882812","1006.6926879882812","241.7187042236328","241.7187042236328","241.7187042236328","16.185670852661133","16.185670852661133","16.185670852661133","1005.111083984375","1005.111083984375","1005.111083984375","241.61167907714844","241.61167907714844","241.61167907714844","15.05056381225586","15.05056381225586","15.05056381225586"
"419","920.9496459960938","920.9496459960938","920.9496459960938","204.80477905273438","204.80477905273438","204.80477905273438","12.159829139709473","12.159829139709473","12.159829139709473","912.0565185546875","912.0565185546875","912.0565185546875","202.2967987060547","202.2967987060547","202.2967987060547","11.228577613830566","11.228577613830566","11.228577613830566"
"449","1038.88134765625","1038.88134765625","1038.88134765625","229.59632873535156","229.59632873535156","229.59632873535156","13.108112335205078","13.108112335205078","13.108112335205078","1035.8726806640625","1035.8726806640625","1035.8726806640625","230.33583068847656","230.33583068847656","230.33583068847656","12.037358283996582","12.037358283996582","12.037358283996582"
"479","928.052490234375","928.052490234375","928.052490234375","197.92535400390625","197.92535400390625","197.92535400390625","10.826918601989746","10.826918601989746","10.826918601989746","919.6946411132812","919.6946411132812","919.6946411132812","197.01876831054688","197.01876831054688","197.01876831054688","9.941498756408691","9.941498756408691","9.941498756408691"
