"Step","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - losses/fisher_reg_term","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - losses/fisher_reg_term__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - losses/fisher_reg_term__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - losses/fisher_reg_term","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - losses/fisher_reg_term__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - losses/fisher_reg_term__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - losses/fisher_reg_term","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - losses/fisher_reg_term__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - losses/fisher_reg_term__MAX"
"29","11.050050735473633","11.050050735473633","11.050050735473633","3.314763069152832","3.314763069152832","3.314763069152832","3.580203056335449","3.580203056335449","3.580203056335449"
"59","15.277331352233887","15.277331352233887","15.277331352233887","3.432387113571167","3.432387113571167","3.432387113571167","3.929581880569458","3.929581880569458","3.929581880569458"
"89","15.533205032348633","15.533205032348633","15.533205032348633","3.668513298034668","3.668513298034668","3.668513298034668","3.9396252632141113","3.9396252632141113","3.9396252632141113"
"119","12.606554985046387","12.606554985046387","12.606554985046387","3.1130802631378174","3.1130802631378174","3.1130802631378174","3.9928691387176514","3.9928691387176514","3.9928691387176514"
"149","10.52016544342041","10.52016544342041","10.52016544342041","7.430286884307861","7.430286884307861","7.430286884307861","7.34071683883667","7.34071683883667","7.34071683883667"
"179","8.533596992492676","8.533596992492676","8.533596992492676","9.161665916442871","9.161665916442871","9.161665916442871","7.134108543395996","7.134108543395996","7.134108543395996"
"209","6.114969253540039","6.114969253540039","6.114969253540039","3.0336172580718994","3.0336172580718994","3.0336172580718994","3.489194869995117","3.489194869995117","3.489194869995117"
"239","6.192198276519775","6.192198276519775","6.192198276519775","3.1350064277648926","3.1350064277648926","3.1350064277648926","3.2509965896606445","3.2509965896606445","3.2509965896606445"
"269","5.435543060302734","5.435543060302734","5.435543060302734","2.93432354927063","2.93432354927063","2.93432354927063","3.622971773147583","3.622971773147583","3.622971773147583"
"299","5.123372554779053","5.123372554779053","5.123372554779053","2.889432907104492","2.889432907104492","2.889432907104492","3.3856303691864014","3.3856303691864014","3.3856303691864014"
"329","7.168976783752441","7.168976783752441","7.168976783752441","3.201357126235962","3.201357126235962","3.201357126235962","3.2596275806427","3.2596275806427","3.2596275806427"
"359","7.312326431274414","7.312326431274414","7.312326431274414","3.033051013946533","3.033051013946533","3.033051013946533","3.4250009059906006","3.4250009059906006","3.4250009059906006"
"389","5.527375221252441","5.527375221252441","5.527375221252441","3.316530704498291","3.316530704498291","3.316530704498291","3.4088408946990967","3.4088408946990967","3.4088408946990967"
"419","5.733885765075684","5.733885765075684","5.733885765075684","3.0298876762390137","3.0298876762390137","3.0298876762390137","3.1355080604553223","3.1355080604553223","3.1355080604553223"
"449","4.773609161376953","4.773609161376953","4.773609161376953","2.8139801025390625","2.8139801025390625","2.8139801025390625","3.110996961593628","3.110996961593628","3.110996961593628"
"479","4.938906192779541","4.938906192779541","4.938906192779541","2.7374298572540283","2.7374298572540283","2.7374298572540283","3.082188129425049","3.082188129425049","3.082188129425049"
