"Step","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - sparsity.l1__MAX","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - sparsity.l1__MAX"
"599","1110.9742431640625","1110.9742431640625","1110.9742431640625","457.37060546875","457.37060546875","457.37060546875","701.4589233398438","701.4589233398438","701.4589233398438","1107.595947265625","1107.595947265625","1107.595947265625","458.1466979980469","458.1466979980469","458.1466979980469","695.5709228515625","695.5709228515625","695.5709228515625"
"1199","892.1953125","892.1953125","892.1953125","462.40118408203125","462.40118408203125","462.40118408203125","540.2008666992188","540.2008666992188","540.2008666992188","886.3390502929688","886.3390502929688","886.3390502929688","460.7039489746094","460.7039489746094","460.7039489746094","532.72900390625","532.72900390625","532.72900390625"
"1799","758.5567626953125","758.5567626953125","758.5567626953125","439.732421875","439.732421875","439.732421875","454.6141052246094","454.6141052246094","454.6141052246094","750.3795776367188","750.3795776367188","750.3795776367188","437.5876159667969","437.5876159667969","437.5876159667969","446.91900634765625","446.91900634765625","446.91900634765625"
"2399","670.1503295898438","670.1503295898438","670.1503295898438","412.3009948730469","412.3009948730469","412.3009948730469","399.4474182128906","399.4474182128906","399.4474182128906","659.6259155273438","659.6259155273438","659.6259155273438","410.5324401855469","410.5324401855469","410.5324401855469","391.547119140625","391.547119140625","391.547119140625"
"2999","595.8577270507812","595.8577270507812","595.8577270507812","390.6447448730469","390.6447448730469","390.6447448730469","360.3221130371094","360.3221130371094","360.3221130371094","584.2211303710938","584.2211303710938","584.2211303710938","389.04986572265625","389.04986572265625","389.04986572265625","352.4486389160156","352.4486389160156","352.4486389160156"
"3599","534.513427734375","534.513427734375","534.513427734375","367.9364929199219","367.9364929199219","367.9364929199219","333.4547424316406","333.4547424316406","333.4547424316406","522.7129516601562","522.7129516601562","522.7129516601562","366.2718505859375","366.2718505859375","366.2718505859375","325.7867431640625","325.7867431640625","325.7867431640625"
"4199","485.7997741699219","485.7997741699219","485.7997741699219","349.7521057128906","349.7521057128906","349.7521057128906","308.6055603027344","308.6055603027344","308.6055603027344","474.1553649902344","474.1553649902344","474.1553649902344","348.2060546875","348.2060546875","348.2060546875","301.4916076660156","301.4916076660156","301.4916076660156"
"4799","443.04864501953125","443.04864501953125","443.04864501953125","330.70135498046875","330.70135498046875","330.70135498046875","289.9659729003906","289.9659729003906","289.9659729003906","431.61407470703125","431.61407470703125","431.61407470703125","329.3526306152344","329.3526306152344","329.3526306152344","283.3077697753906","283.3077697753906","283.3077697753906"
"5399","408.81005859375","408.81005859375","408.81005859375","311.3634948730469","311.3634948730469","311.3634948730469","275.17938232421875","275.17938232421875","275.17938232421875","398.13818359375","398.13818359375","398.13818359375","310.2063903808594","310.2063903808594","310.2063903808594","268.9408874511719","268.9408874511719","268.9408874511719"
"5999","379.125732421875","379.125732421875","379.125732421875","299.7763977050781","299.7763977050781","299.7763977050781","260.112060546875","260.112060546875","260.112060546875","369.0426940917969","369.0426940917969","369.0426940917969","298.6965026855469","298.6965026855469","298.6965026855469","254.2983856201172","254.2983856201172","254.2983856201172"
