"Step","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - losses/mse_loss","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - losses/mse_loss__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - losses/mse_loss__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - losses/mse_loss","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - losses/mse_loss__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - losses/mse_loss__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - losses/mse_loss","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - losses/mse_loss__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - losses/mse_loss__MAX","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - losses/mse_loss","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - losses/mse_loss__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - losses/mse_loss__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - losses/mse_loss","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - losses/mse_loss__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - losses/mse_loss__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - losses/mse_loss","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - losses/mse_loss__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - losses/mse_loss__MAX"
"29","3100.373046875","3100.373046875","3100.373046875","287.5771179199219","287.5771179199219","287.5771179199219","532.3594970703125","532.3594970703125","532.3594970703125","3100.265869140625","3100.265869140625","3100.265869140625","287.82257080078125","287.82257080078125","287.82257080078125","531.7760620117188","531.7760620117188","531.7760620117188"
"59","1873.5433349609375","1873.5433349609375","1873.5433349609375","265.9922180175781","265.9922180175781","265.9922180175781","401.7449645996094","401.7449645996094","401.7449645996094","1877.946533203125","1877.946533203125","1877.946533203125","264.72027587890625","264.72027587890625","264.72027587890625","400.0631103515625","400.0631103515625","400.0631103515625"
"89","1272.9072265625","1272.9072265625","1272.9072265625","237.79444885253906","237.79444885253906","237.79444885253906","299.7712707519531","299.7712707519531","299.7712707519531","1272.51611328125","1272.51611328125","1272.51611328125","236.20681762695312","236.20681762695312","236.20681762695312","297.64617919921875","297.64617919921875","297.64617919921875"
"119","1010.6409301757812","1010.6409301757812","1010.6409301757812","221.0419921875","221.0419921875","221.0419921875","277.9375","277.9375","277.9375","1006.7662353515625","1006.7662353515625","1006.7662353515625","219.0663604736328","219.0663604736328","219.0663604736328","277.2276611328125","277.2276611328125","277.2276611328125"
"149","970.3273315429688","970.3273315429688","970.3273315429688","269.79840087890625","269.79840087890625","269.79840087890625","376.2989501953125","376.2989501953125","376.2989501953125","966.473388671875","966.473388671875","966.473388671875","270.8434753417969","270.8434753417969","270.8434753417969","383.1457214355469","383.1457214355469","383.1457214355469"
"179","880.909423828125","880.909423828125","880.909423828125","237.89854431152344","237.89854431152344","237.89854431152344","269.753173828125","269.753173828125","269.753173828125","877.875","877.875","877.875","239.497802734375","239.497802734375","239.497802734375","276.8128967285156","276.8128967285156","276.8128967285156"
"209","903.06591796875","903.06591796875","903.06591796875","210.546142578125","210.546142578125","210.546142578125","177.41574096679688","177.41574096679688","177.41574096679688","899.8071899414062","899.8071899414062","899.8071899414062","208.9620819091797","208.9620819091797","208.9620819091797","176.25511169433594","176.25511169433594","176.25511169433594"
"239","801.111328125","801.111328125","801.111328125","200.75045776367188","200.75045776367188","200.75045776367188","174.80343627929688","174.80343627929688","174.80343627929688","798.467041015625","798.467041015625","798.467041015625","199.1160888671875","199.1160888671875","199.1160888671875","174.32406616210938","174.32406616210938","174.32406616210938"
"269","766.7068481445312","766.7068481445312","766.7068481445312","185.05303955078125","185.05303955078125","185.05303955078125","131.85609436035156","131.85609436035156","131.85609436035156","764.1421508789062","764.1421508789062","764.1421508789062","182.9637451171875","182.9637451171875","182.9637451171875","130.72589111328125","130.72589111328125","130.72589111328125"
"299","786.8803100585938","786.8803100585938","786.8803100585938","192.60464477539062","192.60464477539062","192.60464477539062","164.2980499267578","164.2980499267578","164.2980499267578","784.3885498046875","784.3885498046875","784.3885498046875","191.4880828857422","191.4880828857422","191.4880828857422","164.55007934570312","164.55007934570312","164.55007934570312"
"329","449.2994384765625","449.2994384765625","449.2994384765625","321.1183776855469","321.1183776855469","321.1183776855469","122.94584655761719","122.94584655761719","122.94584655761719","448.3753662109375","448.3753662109375","448.3753662109375","318.03900146484375","318.03900146484375","318.03900146484375","122.34273529052734","122.34273529052734","122.34273529052734"
"359","478.2340393066406","478.2340393066406","478.2340393066406","298.53338623046875","298.53338623046875","298.53338623046875","143.75949096679688","143.75949096679688","143.75949096679688","477.3685302734375","477.3685302734375","477.3685302734375","294.9817199707031","294.9817199707031","294.9817199707031","143.61959838867188","143.61959838867188","143.61959838867188"
"389","515.1768798828125","515.1768798828125","515.1768798828125","274.6122741699219","274.6122741699219","274.6122741699219","106.51009368896484","106.51009368896484","106.51009368896484","514.3314208984375","514.3314208984375","514.3314208984375","271.8013916015625","271.8013916015625","271.8013916015625","106.05079650878906","106.05079650878906","106.05079650878906"
"419","477.8322448730469","477.8322448730469","477.8322448730469","316.6961364746094","316.6961364746094","316.6961364746094","131.07972717285156","131.07972717285156","131.07972717285156","476.8492126464844","476.8492126464844","476.8492126464844","315.35504150390625","315.35504150390625","315.35504150390625","131.20399475097656","131.20399475097656","131.20399475097656"
"449","451.8969421386719","451.8969421386719","451.8969421386719","261.5662536621094","261.5662536621094","261.5662536621094","117.07740020751953","117.07740020751953","117.07740020751953","450.7340393066406","450.7340393066406","450.7340393066406","259.11517333984375","259.11517333984375","259.11517333984375","117.61538696289062","117.61538696289062","117.61538696289062"
"479","425.0255432128906","425.0255432128906","425.0255432128906","276.3873291015625","276.3873291015625","276.3873291015625","118.9837875366211","118.9837875366211","118.9837875366211","424.0561218261719","424.0561218261719","424.0561218261719","273.24566650390625","273.24566650390625","273.24566650390625","119.01536560058594","119.01536560058594","119.01536560058594"
